# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.328
metadata : {}


# id : NWRW1800000022.328.1.1
"기업형 수퍼와 경쟁" 동네 수퍼도 체인화한다;정부, 시설자금 직접 지원 공동 구매로 가격 낮추고 직원들 유니폼도 갖추기로

"기업형	"/SS+기업/NNG+형/XSN
있음에도	있/VX+음/ETN+에/JKB+도/JX
불구하고,	불구하/VV+고/EC+,/SP
자본과	자본/NNG+과/JC
규모가	규모/NNG+가/JKS
영세해	영세/NNG+하/XSA+아/EC
홈플러스익스프레스·롯데슈퍼	홈플러스익스프레스/NNP+·/SP+롯데슈퍼/NNP
같은	같/VA+은/ETM
기업형	기업/NNG+형/XSN
수퍼마켓에	수퍼마켓/NNG+에/JKB
계속	계속/MAG
밀리고	밀리/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.328.5.2
중기청은 최근 공동 브랜드·공동구매를 통해 성장한 미국과 일본의 소매 체인점을 집중연구해왔다.

중기청은	중기청/NNG+은/JX
최근	최근/MAG
공동	공동/NNG
브랜드·공동구매를	브랜드/NNG+·/SP+공동/NNG+구매/NNG+를/JKO
통해	통하/VV+아/EC
성장한	성장/NNG+하/XSV+ㄴ/ETM
미국과	미국/NNP+과/JC
일본의	일본/NNP+의/JKG
소매	소매/NNG
체인점을	체인점/NNG+을/JKO
집중연구해왔다.	집중/NNG+연구/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.328.5.3
중기청 관계자는 "생존권 차원에서 소상공인 보호도 중요하지만 소비자에게 좋은 서비스를 제공하는 동네수퍼만 살아남을 수 있다"고 말했다.

중기청	중기청/NNG
관계자는	관계자/NNG+는/JX
"생존권	"/SS+생존/NNG+권/XSN
차원에서	차원/NNG+에서/JKB
소상공인	소/XPN+상공인/NNG
보호도	보호/NNG+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
소비자에게	소비자/NNG+에게/JKB
좋은	좋/VA+은/ETM
서비스를	서비스/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
동네수퍼만	동네/NNG+수퍼/NNG+만/JX
살아남을	살아남/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.328.6.1
중기청은 체인화 사업과 함께 동네수퍼들의 낮은 가격 협상력을 개선하기 위해 공동 구매를 장려하고 지역별 공동물류센터 설립을 추진할 방침이다.

중기청은	중기청/NNG+은/JX
체인화	체인/NNG+화/XSN
사업과	사업/NNG+과/JKB
함께	함께/MAG
동네수퍼들의	동네/NNG+수퍼/NNG+들/XSN+의/JKG
낮은	낮/VA+은/ETM
가격	가격/NNG
협상력을	협상력/NNG+을/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
공동	공동/NNG
구매를	구매/NNG+를/JKO
장려하고	장려/NNG+하/XSV+고/EC
지역별	지역/NNG+별/XSN
공동물류센터	공동/NNG+물류/NNG+센터/NNG
설립을	설립/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.328.6.2
신상품정보나 재고현황 등 유통정보를 한눈에 볼 수 있는 유통정보관리시스템도 도입할 계획이다.

신상품정보나	신/XPN+상품/NNG+정보/NNG+나/JC
재고현황	재고/NNG+현황/NNG
등	등/NNB
유통정보를	유통/NNG+정보/NNG+를/JKO
한눈에	한눈/NNG+에/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유통정보관리시스템도	유통/NNG+정보/NNG+관리/NNG+시스템/NNG+도/JX
도입할	도입/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.328.7.1
한편 지식경제부는 기업형 수퍼마켓의 등록 요건을 강화해 기존의 동네 상권을 보호할 계획이다.

한편	한편/MAG
지식경제부는	지식/NNG+경제부/NNG+는/JX
기업형	기업/NNG+형/XSN
수퍼마켓의	수퍼마켓/NNG+의/JKG
등록	등록/NNG
요건을	요건/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
기존의	기존/NNG+의/JKG
동네	동네/NNG
상권을	상권/NNG+을/JKO
보호할	보호/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.328.7.2
지경부는 이미 매장면적에 관계없이 기업형 수퍼마켓도 각 지방자치단체에 등록하도록 하고, 시·도지사가 원할 경우 개점 전에 사실상 주민 동의를 받도록 하는 유통산업법 개정안을 제출해 놓은 상태다.

지경부는	지경부/NNG+는/JX
이미	이미/MAG
매장면적에	매장/NNG+면적/NNG+에/JKB
관계없이	관계없이/MAG
기업형	기업/NNG+형/XSN
수퍼마켓도	수퍼마켓/NNG+도/JX
각	각/MMD
지방자치단체에	지방/NNG+자치/NNG+단체/NNG+에/JKB
등록하도록	등록/NNG+하/XSV+도록/EC
하고,	하/VX+고/EC+,/SP
시·도지사가	시·도지사/NNG+가/JKS
원할	원/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
개점	개점/NNG
전에	전/NNG+에/JKB
사실상	사실/NNG+상/XSN
주민	주민/NNG
동의를	동의/NNG+를/JKO
받도록	받/VV+도록/EC
하는	하/VX+는/ETM
유통산업법	유통/NNG+산업/NNG+법/NNG
개정안을	개정안/NNG+을/JKO
제출해	제출/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.328.8.1
최경환 지경부 장관 내정자는 이달 15일 국회 인사청문회에서 기업형 수퍼마켓 규제에 대한 의원 질의에 대해 "허가제를 가미한 등록제를 통해 (동네수퍼의) 상권을 보호해야 한다"고 말했다.

최경환	최경환/NNP
지경부	지경부/NNG
장관	장관/NNG
내정자는	내정자/NNG+는/JX
이달	이달/NNG
15일	15/SN+일/NNB
국회	국회/NNG
인사청문회에서	인사/NNG+청문회/NNG+에서/JKB
기업형	기업/NNG+형/XSN
수퍼마켓	수퍼마켓/NNG
규제에	규제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의원	의원/NNG
질의에	질의/NNG+에/JKB
대해	대하/VV+아/EC
"허가제를	"/SS+허가/NNG+제/XSN+를/JKO
가미한	가미/NNG+하/XSV+ㄴ/ETM
등록제를	등록/NNG+제/XSN+를/JKO
통해	통하/VV+아/EC
(동네수퍼의)	(/SS+동네/NNG+수퍼/NNG+의/JKG+)/SS
상권을	상권/NNG+을/JKO
보호해야	보호/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


