# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.262
metadata : {}


# id : NWRW1800000024.262.1.1
① 중장기 고용대책 없이 /단기 일자리만 쏟아내

①	①/SW
뒤	뒤/NNG
아직	아직/MAG
새	새/MMA
직장을	직장/NNG+을/JKO
구하지	구하/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.262.2.5
‘안정적’인 일자리를 찾고 싶은 신씨는 취업학원을 알아보는 중이다.

‘안정적’인	‘/SS+안정/NNG+적/XSN+’/SS+이/VCP+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
찾고	찾/VV+고/EC
싶은	싶/VX+은/ETM
신씨는	신/NNP+씨/NNB+는/JX
취업학원을	취업/NNG+학원/NNG+을/JKO
알아보는	알아보/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.262.2.6
‘그냥 쉰다’는 박씨와 ‘취업준비중’인 신씨는 정부 공식 통계에서 ‘실업자’가 아닌 ‘비경제활동인구’로 분류된다.

‘그냥	‘/SS+그냥/MAG
쉰다’는	쉬/VV+ㄴ다/EF+’/SS+는/ETM
박씨와	박/NNP+씨/NNB+와/JC
‘취업준비중’인	‘/SS+취업/NNG+준비/NNG+중/NNB+’/SS+이/VCP+ㄴ/ETM
신씨는	신/NNP+씨/NNB+는/JX
정부	정부/NNG
공식	공식/NNG
통계에서	통계/NNG+에서/JKB
‘실업자’가	‘/SS+실업자/NNG+’/SS+가/JKC
아닌	아니/VCN+ㄴ/ETM
‘비경제활동인구’로	‘/SS+비/XPN+경제/NNG+활동/NNG+인구/NNG+’/SS+로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.262.2.7
이런 사람들이 6월 현재 200만명에 가깝다.

이런	이런/MMD
사람들이	사람/NNG+들/XSN+이/JKS
6월	6/SN+월/NNB
현재	현재/MAG
200만명에	200/SN+만/NR+명/NNB+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000024.262.2.8
▶관련기사 5면

▶관련기사	▶/SW+관련/NNG+기사/NNG
5면	5/SN+면/NNG


# id : NWRW1800000024.262.3.1
정부는 6월 취업자 수가 전년 동월에 견줘 4000명 늘었다는 통계로 고용시장에 ‘훈풍’이 돌 것을 기대하지만, 현장에선 여전히 ‘한파’를 느끼는 이들이 많다.

정부는	정부/NNG+는/JX
6월	6/SN+월/NNB
취업자	취업자/NNG
수가	수/NNG+가/JKS
전년	전년/NNG
동월에	동월/NNG+에/JKB
견줘	견주/VV+어/EC
4000명	4000/SN+명/NNB
늘었다는	늘/VV+었/EP+다는/ETM
통계로	통계/NNG+로/JKB
고용시장에	고용/NNG+시장/NNG+에/JKB
‘훈풍’이	‘/SS+훈풍/NNG+’/SS+이/JKS
돌	돌/VV+ㄹ/ETM
것을	것/NNB+을/JKO
기대하지만,	기대/NNG+하/XSV+지만/EC+,/SP
현장에선	현장/NNG+에서/JKB+ㄴ/JX
여전히	여전히/MAG
‘한파’를	‘/SS+한파/NNG+’/SS+를/JKO
느끼는	느끼/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000024.262.3.2
6월 고용통계를 뜯어보면 이를 쉽게 알 수 있다.

6월	6/SN+월/NNB
고용통계를	고용/NNG+통계/NNG+를/JKO
뜯어보면	뜯어보/VV+면/EC
이를	이/NP+를/JKO
쉽게	쉽/VA+게/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.262.3.3
공식 실업자 수는 96만명(실업률 3.9%)이지만 사실상 실업자나 다름없는 인구가 이보다 훨씬 많다.

공식	공식/NNG
실업자	실업자/NNG
수는	수/NNG+는/JX
96만명(실업률	96/SN+만/NR+명/NNB+(/SS+실업/NNG+률/XSN
3.9%)이지만	3/SN+./SP+9/SN+%/SW+)/SS+이/VCP+지만/EC
사실상	사실/NNG+상/XSN
실업자나	실업자/NNG+나/JX
다름없는	다름없/VA+는/ETM
인구가	인구/NNG+가/JKS
이보다	이/NP+보다/JKB
훨씬	훨씬/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000024.262.3.4
직장을 구하다 아예 포기해버린 ‘실망실업자’가 36만9000명, ‘취업준비중’이라는 사람들이 59만9000명이다.

직장을	직장/NNG+을/JKO
구하다	구하/VV+다/EC
아예	아예/MAG
포기해버린	포기/NNG+하/XSV+아/EC+버리/VX+ㄴ/ETM
‘실망실업자’가	‘/SS+실망/NNG+실업자/NNG+’/SS+가/JKS
36만9000명,	36/SN+만/NR+9000/SN+명/NNB+,/SP
‘취업준비중’이라는	‘/SS+취업/NNG+준비/NNG+중/NNB+’/SS+이/VCP+라는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
59만9000명이다.	59/SN+만/NR+9000/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.262.3.5
여기에 짧은 시간밖에 일하지 못해 추가 일자리를 원하는 ‘부분 실업자’가 58만3000명에 이른다.

여기에	여기/NP+에/JKB
짧은	짧/VA+은/ETM
시간밖에	시간/NNG+밖에/JX
일하지	일/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
추가	추가/NNG
일자리를	일자리/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
‘부분	‘/SS+부분/NNG
실업자’가	실업자/NNG+’/SS+가/JKS
58만3000명에	58/SN+만/NR+3000/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.262.3.6
한국노동연구원은 이들을 모두 넣은 ‘확장 실업자’가 245만5000명에 이르는 것으로 파악한다.

한국노동연구원은	한국노동연구원/NNP+은/JX
이들을	이/NP+들/XSN+을/JKO
모두	모두/MAG
넣은	넣/VV+은/ETM
‘확장	‘/SS+확장/NNG
실업자’가	실업자/NNG+’/SS+가/JKS
245만5000명에	245/SN+만/NR+5000/SN+명/NNB+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
파악한다.	파악/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.262.3.7
실업률은 9.5%로 치솟는다.

실업률은	실업/NNG+률/XSN+은/JX
9.5%로	9/SN+./SP+5/SN+%/SW+로/JKB
치솟는다.	치솟/VV+는다/EF+./SF


# id : NWRW1800000024.262.4.1
고용 전문가들은 ‘희망근로’ 참여자들을 제외하면 6월에도 취업자 수가 26만3000명이나 줄어 고용사정의 악화가 지속되는 것으로 분석한다.

고용	고용/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
‘희망근로’	‘/SS+희망/NNG+근로/NNG+’/SS
참여자들을	참여자/NNG+들/XSN+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
6월에도	6/SN+월/NNB+에/JKB+도/JX
취업자	취업자/NNG
수가	수/NNG+가/JKS
26만3000명이나	26/SN+만/NR+3000/SN+명/NNB+이나/JX
줄어	줄/VV+어/EC
고용사정의	고용/NNG+사정/NNG+의/JKG
악화가	악화/NNG+가/JKS
지속되는	지속/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.262.4.2
정부가 올해 5조원을 웃도는 예산을 일자리 창출에 쏟아붓고 있지만 일시적으로 위기를 봉합하는 ‘땜질 처방’에 머물고 있는 셈이다.

정부가	정부/NNG+가/JKS
올해	올해/NNG
5조원을	5/SN+조/NR+원/NNB+을/JKO
웃도는	웃돌/VV+는/ETM
예산을	예산/NNG+을/JKO
일자리	일자리/NNG
창출에	창출/NNG+에/JKB
쏟아붓고	쏟아붓/VV+고/EC
있지만	있/VX+지만/EC
일시적으로	일시/NNG+적/XSN+으로/JKB
위기를	위기/NNG+를/JKO
봉합하는	봉합/NNG+하/XSV+는/ETM
‘땜질	‘/SS+땜/NNG+질/XSN
처방’에	처방/NNG+’/SS+에/JKB
머물고	머물/VV+고/EC
있는	있/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.262.5.1
한국개발연구원(KDI)의 진단으로도 고용 부진은 지속되고 있다.

한국개발연구원(KDI)의	한국개발연구원/NNP+(/SS+KDI/SL+)/SS+의/JKG
진단으로도	진단/NNG+으로/JKB+도/JX
고용	고용/NNG
부진은	부진/NNG+은/JX
지속되고	지속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.262.5.2
유경준 연구위원은 “경제회복과 고용회복에 시차가 존재하는데다 고령자 취업만 늘리고 있는 정부 대책으로는 정상적인 고용회복을 기대하기 어렵다”며 “이 때문에 국민들이 느끼는 경기회복 체감 효과도 훨씬 낮아질 것”이라고 말했다.

유경준	유경준/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“경제회복과	“/SS+경제/NNG+회복/NNG+과/JC
고용회복에	고용/NNG+회복/NNG+에/JKB
시차가	시차/NNG+가/JKS
존재하는데다	존재/NNG+하/XSV+는데다/EC
고령자	고령자/NNG
취업만	취업/NNG+만/JX
늘리고	늘리/VV+고/EC
있는	있/VX+는/ETM
정부	정부/NNG
대책으로는	대책/NNG+으로/JKB+는/JX
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
고용회복을	고용/NNG+회복/NNG+을/JKO
기대하기	기대/NNG+하/XSV+기/ETN
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
때문에	때문/NNB+에/JKB
국민들이	국민/NNG+들/XSN+이/JKS
느끼는	느끼/VV+는/ETM
경기회복	경기/NNG+회복/NNG
체감	체감/NNG
효과도	효과/NNG+도/JX
훨씬	훨씬/MAG
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.262.6.1
실제로 정부의 일자리 대책은 단기에 효과가 끝나는 ‘생계지원용’이다.

실제로	실제로/MAG
정부의	정부/NNG+의/JKG
일자리	일자리/NNG
대책은	대책/NNG+은/JX
단기에	단기/NNG+에/JKB
효과가	효과/NNG+가/JKS
끝나는	끝나/VV+는/ETM
‘생계지원용’이다.	‘/SS+생계/NNG+지원/NNG+용/XSN+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000024.262.6.2
정부가 올해 만드는 일자리 가운데 희망근로(25만개) 등 정부 스스로 ‘단기 일자리’로 부르는 것만 54만9000개에 이른다.

정부가	정부/NNG+가/JKS
올해	올해/NNG
만드는	만들/VV+는/ETM
일자리	일자리/NNG
가운데	가운데/NNG
희망근로(25만개)	희망/NNG+근로/NNG+(/SS+25/SN+만/NR+개/NNB+)/SS
등	등/NNB
정부	정부/NNG
스스로	스스로/MAG
‘단기	‘/SS+단기/NNG
일자리’로	일자리/NNG+’/SS+로/JKB
부르는	부르/VV+는/ETM
것만	것/NNB+만/JX
54만9000개에	54/SN+만/NR+9000/SN+개/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.262.6.3
김원득 총리실 교육·노동정책관은 “다른 나라에선 국민들에게 용돈을 나눠주기도 했다”며 “(희망근로 등은) 소비 진작을 위해 불가피한 측면이 있다”고 말했다.

김원득	김원득/NNP
총리실	총리실/NNG
교육·노동정책관은	교육/NNG+·/SP+노동/NNG+정책관/NNG+은/JX
“다른	“/SS+다른/MMD
나라에선	나라/NNG+에서/JKB+ㄴ/JX
국민들에게	국민/NNG+들/XSN+에게/JKB
용돈을	용돈/NNG+을/JKO
나눠주기도	나누/VV+어/EC+주/VX+기/ETN+도/JX
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“(희망근로	“/SS+(/SS+희망/NNG+근로/NNG
등은)	등/NNB+은/JX+)/SS
소비	소비/NNG
진작을	진작/NNG+을/JKO
위해	위하/VV+아/EC
불가피한	불가피하/VA+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.262.6.4
정부 일자리 대책의 또다른 문제는 고용시장의 실질적인 소외계층을 겨냥하지 못하는 데 있다.

정부	정부/NNG
일자리	일자리/NNG
대책의	대책/NNG+의/JKG
또다른	또/MAG+다른/MMD
문제는	문제/NNG+는/JX
고용시장의	고용/NNG+시장/NNG+의/JKG
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
소외계층을	소외/NNG+계층/NNG+을/JKO
겨냥하지	겨냥/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
데	데/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.262.6.5
단기 일자리 수혜자의 절반 이상(53.5%)은 65살 이상 노인들이다.

단기	단기/NNG
일자리	일자리/NNG
수혜자의	수혜자/NNG+의/JKG
절반	절반/NNG
이상(53.5%)은	이상/NNG+(/SS+53/SN+./SP+5/SN+%/SW+)/SS+은/JX
65살	65/SN+살/NNB
이상	이상/NNG
노인들이다.	노인/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.262.6.6
경제위기의 직격탄을 맞고 있는 자영업자와 비정규직 등을 흡수하지 못하고 있는 셈이다.

경제위기의	경제/NNG+위기/NNG+의/JKG
직격탄을	직격탄/NNG+을/JKO
맞고	맞/VV+고/EC
있는	있/VX+는/ETM
자영업자와	자영업자/NNG+와/JC
비정규직	비/XPN+정규직/NNG
등을	등/NNB+을/JKO
흡수하지	흡수/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.262.6.7
세계은행은 중진국 이상에선 후진국형 공공근로보다 사회안전망 강화를 통한 시스템적 접근이 고용위기 대처에 더 효과적이라고 권고한다.

세계은행은	세계은행/NNP+은/JX
중진국	중진국/NNG
이상에선	이상/NNG+에서/JKB+ㄴ/JX
후진국형	후진국/NNG+형/XSN
공공근로보다	공공/NNG+근로/NNG+보다/JKB
사회안전망	사회/NNG+안전망/NNG
강화를	강화/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
시스템적	시스템/NNG+적/XSN
접근이	접근/NNG+이/JKS
고용위기	고용/NNG+위기/NNG
대처에	대처/NNG+에/JKB
더	더/MAG
효과적이라고	효과/NNG+적/XSN+이/VCP+라고/EC
권고한다.	권고/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.262.6.8
올해 일자리 대책을 위한 추경예산이 4조9000억원이 넘지만, 이 가운데 ‘고용촉진’ 관련 예산 비중은 1%도 안 된다.

올해	올해/NNG
일자리	일자리/NNG
대책을	대책/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
추경예산이	추경/NNG+예산/NNG+이/JKS
4조9000억원이	4/SN+조/NR+9000/SN+억/NR+원/NNB+이/JKS
넘지만,	넘/VV+지만/EC+,/SP
이	이/MMD
가운데	가운데/NNG
‘고용촉진’	‘/SS+고용/NNG+촉진/NNG+’/SS
관련	관련/NNG
예산	예산/NNG
비중은	비중/NNG+은/JX
1%도	1/SN+%/SW+도/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.262.7.1
근본적으로는 고용 문제를 시장에만 맡기려는 정부 인식이 위기를 키운다는 지적도 나온다.

근본적으로는	근본/NNG+적/XSN+으로/JKB+는/JX
고용	고용/NNG
문제를	문제/NNG+를/JKO
시장에만	시장/NNG+에/JKB+만/JX
맡기려는	맡기/VV+려는/ETM
정부	정부/NNG
인식이	인식/NNG+이/JKS
위기를	위기/NNG+를/JKO
키운다는	키우/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.262.7.2
윤진호 인하대 교수(경제학)는 “‘고용 없는 성장’으로 민간에만 일자리 문제를 맡겨 놓아선 안 된다”며 “취업 유발 효과가 높은 공공부문과 사회서비스 분야에서 양질의 일자리를 늘려야 한다”고 주장했다.

윤진호	윤진호/NNP
인하대	인하대/NNP
교수(경제학)는	교수/NNG+(/SS+경제학/NNG+)/SS+는/JX
“‘고용	“/SS+‘/SS+고용/NNG
없는	없/VA+는/ETM
성장’으로	성장/NNG+’/SS+으로/JKB
민간에만	민간/NNG+에/JKB+만/JX
일자리	일자리/NNG
문제를	문제/NNG+를/JKO
맡겨	맡기/VV+어/EC
놓아선	놓/VX+아서/EC+ㄴ/JX
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“취업	“/SS+취업/NNG
유발	유발/NNG
효과가	효과/NNG+가/JKS
높은	높/VA+은/ETM
공공부문과	공공/NNG+부문/NNG+과/JC
사회서비스	사회/NNG+서비스/NNG
분야에서	분야/NNG+에서/JKB
양질의	양질/NNG+의/JKG
일자리를	일자리/NNG+를/JKO
늘려야	늘리/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.262.7.3
그러나 정부는 오히려 ‘공공부문 효율화’라는 명분 아래 공공기관 인력 약 10% 감축을 밀어붙이고 있다.

그러나	그러나/MAJ
정부는	정부/NNG+는/JX
오히려	오히려/MAG
‘공공부문	‘/SS+공공/NNG+부문/NNG
효율화’라는	효율/NNG+화/XSN+’/SS+이/VCP+라는/ETM
명분	명분/NNG
아래	아래/NNG
공공기관	공공/NNG+기관/NNG
인력	인력/NNG
약	약/MMA
10%	10/SN+%/SW
감축을	감축/NNG+을/JKO
밀어붙이고	밀어붙이/VV+고/EC
있다.	있/VX+다/EF+./SF


