# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.320
metadata : {}


# id : NWRW1800000041.320.1.1
침몰지점 2.4km 밖에서 시신 1구 발견… 유실 우려 커져

침몰지점	침몰/NNG+지점/NNG
범정부사고대책본부는 30일 오후 2시 25분경 세월호 침몰 해역에서 약 2.4km 떨어진 전남 진도군 조도면 동거차도 앞 해상에서 기름 방제작업에 나섰던 어민이 단원고 여학생으로 추정되는 시신 1구를 수습해 민관군 합동구조팀에 인계했다고 밝혔다.

범정부사고대책본부는	범/XPN+정부/NNG+사고/NNG+대책/NNG+본부/NNG+는/JX
30일	30/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
25분경	25/SN+분/NNB+경/XSN
세월호	세월호/NNP
침몰	침몰/NNG
해역에서	해역/NNG+에서/JKB
약	약/MMA
2.4km	2/SN+./SP+4/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
전남	전남/NNP
진도군	진도군/NNP
조도면	조도면/NNP
동거차도	동거차도/NNP
앞	앞/NNG
해상에서	해상/NNG+에서/JKB
기름	기름/NNG
방제작업에	방제/NNG+작업/NNG+에/JKB
나섰던	나서/VV+었/EP+던/ETM
어민이	어민/NNG+이/JKS
단원고	단원고/NNP
여학생으로	여학생/NNG+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
시신	시신/NNG
1구를	1/SN+구/NNB+를/JKO
수습해	수습/NNG+하/XSV+아/EC
민관군	민관군/NNG
합동구조팀에	합동/NNG+구조/NNG+팀/NNG+에/JKB
인계했다고	인계/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.320.4.2
합동구조팀은 현재 사고 해역 기준으로 반경 11km에 시신 유실 방지선을 배치했지만 수색이 장기화되고 사고 해역의 물살이 워낙 빨라 시신이 유실될 가능성이 높아지고 있다.

합동구조팀은	합동/NNG+구조/NNG+팀/NNG+은/JX
현재	현재/MAG
사고	사고/NNG
해역	해역/NNG
기준으로	기준/NNG+으로/JKB
반경	반경/NNG
11km에	11/SN+km/SW+에/JKB
시신	시신/NNG
유실	유실/NNG
방지선을	방지/NNG+선/NNG+을/JKO
배치했지만	배치/NNG+하/XSV+았/EP+지만/EC
수색이	수색/NNG+이/JKS
장기화되고	장기/NNG+화/XSN+되/XSV+고/EC
해역의	해역/NNG+의/JKG
물살이	물살/NNG+이/JKS
워낙	워낙/MAG
빨라	빠르/VA+아/EC
시신이	시신/NNG+이/JKS
유실될	유실/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.320.4.3
1993년 발생한 서해훼리호 침몰 사고의 경우 침몰 16일째 되던 날 시신 2구가 사고 지점에서 약 32km 떨어진 해역에서 발견된 적이 있어 수색 반경을 더 넓혀야 한다는 지적도 나온다.

1993년	1993/SN+년/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
서해훼리호	서해훼리호/NNP
침몰	침몰/NNG
사고의	사고/NNG+의/JKG
경우	경우/NNG
16일째	16/SN+일/NNB+째/XSN
되던	되/VV+던/ETM
날	날/NNG
시신	시신/NNG
2구가	2/SN+구/NNB+가/JKS
사고	사고/NNG
지점에서	지점/NNG+에서/JKB
약	약/MMA
32km	32/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
해역에서	해역/NNG+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있어	있/VA+어/EC
수색	수색/NNG
반경을	반경/NNG+을/JKO
더	더/MAG
넓혀야	넓히/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.320.5.1
이에 합동구조팀뿐 아니라 민간 어선들도 실종자 구조 및 시신 수색 작업에 총력을 기울이고 있다.

이에	이/NP+에/JKB
합동구조팀뿐	합동/NNG+구조/NNG+팀/NNG+뿐/JX
아니라	아니/VCN+라/EC
민간	민간/NNG
어선들도	어선/NNG+들/XSN+도/JX
실종자	실종자/NNG
구조	구조/NNG
및	및/MAG
시신	시신/NNG
수색	수색/NNG
작업에	작업/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울이고	기울이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.320.5.2
현재 어선 73척은 세월호 침몰 사고 해상에서 7∼60km 떨어진 해역에 3중으로 수색선을 형성했다.

현재	현재/MAG
어선	어선/NNG
73척은	73/SN+척/NNB+은/JX
세월호	세월호/NNP
침몰	침몰/NNG
사고	사고/NNG
해상에서	해상/NNG+에서/JKB
7∼60km	7/SN+∼/SO+60/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
해역에	해역/NNG+에/JKB
3중으로	3중/NNG+으로/JKB
수색선을	수색선/NNG+을/JKO
형성했다.	형성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.320.5.3
1차 수색선은 맹골수도 진출입구인 진도군 조도면 외병도와 병풍도 해상에서 조업과 수색을 병행하고 있는 9.77t급 닻자망 어선 14척이 맡았다.

1차	1/SN+차/NNB
수색선은	수색선/NNG+은/JX
맹골수도	맹골수도/NNP
진출입구인	진출/NNG+입구/NNG+이/VCP+ㄴ/ETM
진도군	진도군/NNP
조도면	조도면/NNP
외병도와	외병도/NNP+와/JKB
병풍도	병풍도/NNP
해상에서	해상/NNG+에서/JKB
조업과	조업/NNG+과/JC
수색을	수색/NNG+을/JKO
병행하고	병행/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
9.77t급	9/SN+./SP+77/SN+t/SW+급/NNG
닻자망	닻/NNG+자망/NNG
어선	어선/NNG
14척이	14/SN+척/NNB+이/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.320.5.4
닻자망은 길이 850m, 높이 420cm 크기의 고정 그물로 조업하는 것.

닻자망은	닻/NNG+자망/NNG+은/JX
길이	길이/NNG
850m,	850/SN+m/SW+,/SP
높이	높이/NNG
420cm	420/SN+cm/SW
크기의	크기/NNG+의/JKG
고정	고정/NNG
그물로	그물/NNG+로/JKB
조업하는	조업/NNG+하/XSV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.320.5.5
2차 수색선은 사고 해상에서 8∼15km 떨어진 해역에서 수색 활동을 하고 있는 쌍끌이선 저인망 8척(60∼140t)이 분담했다.

2차	2/SN+차/NNB
수색선은	수색선/NNG+은/JX
사고	사고/NNG
해상에서	해상/NNG+에서/JKB
8∼15km	8/SN+∼/SO+15/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
해역에서	해역/NNG+에서/JKB
수색	수색/NNG
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
쌍끌이선	쌍끌이선/NNG
저인망	저인망/NNG
8척(60∼140t)이	8/SN+척/NNB+(/SS+60/SN+∼/SO+140/SN+t/SW+)/SS+이/JKS
분담했다.	분담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.320.5.6
대형 그물을 끄는 저인망 어선의 수색 범위는 약 40km에 달한다.

대형	대형/NNG
그물을	그물/NNG+을/JKO
끄는	끌/VV+는/ETM
저인망	저인망/NNG
어선의	어선/NNG+의/JKG
수색	수색/NNG
범위는	범위/NNG+는/JX
약	약/MMA
40km에	40/SN+km/SW+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.320.5.7
3차 수색선에는 사고 해상에서 15∼60km 떨어진 해역에서 자루그물로 조업과 수색을 하는 안강망 51척이 투입됐다.

3차	3/SN+차/NNB
수색선에는	수색선/NNG+에/JKB+는/JX
사고	사고/NNG
해상에서	해상/NNG+에서/JKB
15∼60km	15/SN+∼/SO+60/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
해역에서	해역/NNG+에서/JKB
자루그물로	자루그물/NNG+로/JKB
조업과	조업/NNG+과/JC
수색을	수색/NNG+을/JKO
하는	하/VV+는/ETM
안강망	안강망/NNG
51척이	51/SN+척/NNB+이/JKS
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.320.6.1
한편 조류나 유속에 상관없이 잠수사를 장시간 안전하게 선체로 진입할 수 있게 한다고 주장했던 이종인 알파잠수기술종합공사 대표의 다이빙벨은 이날 처음으로 수중에 투입됐지만 28분 만에 물 밖으로 나왔다.

한편	한편/MAG
조류나	조류/NNG+나/JC
유속에	유속/NNG+에/JKB
상관없이	상관없이/MAG
잠수사를	잠수사/NNG+를/JKO
장시간	장시간/NNG
안전하게	안전/NNG+하/XSA+게/EC
선체로	선체/NNG+로/JKB
진입할	진입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한다고	하/VX+ㄴ다고/EC
주장했던	주장/NNG+하/XSV+았/EP+던/ETM
이종인	이종인/NNP
알파잠수기술종합공사	알파잠수기술종합공사/NNP
대표의	대표/NNG+의/JKG
다이빙벨은	다이빙벨/NNG+은/JX
이날	이날/NNG
처음으로	처음/NNG+으로/JKB
수중에	수중/NNG+에/JKB
투입됐지만	투입/NNG+되/XSV+었/EP+지만/EC
28분	28/SN+분/NNB
만에	만/NNB+에/JKB
물	물/NNG
밖으로	밖/NNG+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.320.7.1
4월 29일 팽목항을 떠나 사고 해역에 도착한 이 대표는 30일 오후 3시 45분경 잠수사 3명이 탄 다이빙벨을 수중에 투하했다.

4월	4/SN+월/NNB
29일	29/SN+일/NNB
팽목항을	팽목항/NNP+을/JKO
떠나	떠나/VV+아/EC
사고	사고/NNG
해역에	해역/NNG+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
이	이/NNP
대표는	대표/NNG+는/JX
30일	30/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
45분경	45/SN+분/NNB+경/XSN
잠수사	잠수사/NNG
3명이	3/SN+명/NNB+이/JKS
탄	타/VV+ㄴ/ETM
다이빙벨을	다이빙벨/NNG+을/JKO
수중에	수중/NNG+에/JKB
투하했다.	투하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.320.7.2
하지만 다이빙벨은 잠수 28분 만인 오후 4시 13분 물 밖으로 다시 올라왔다.

하지만	하지만/MAJ
다이빙벨은	다이빙벨/NNG+은/JX
잠수	잠수/NNG
28분	28/SN+분/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
오후	오후/NNG
4시	4/SN+시/NNB
13분	13/SN+분/NNB
물	물/NNG
밖으로	밖/NNG+으로/JKB
다시	다시/MAG
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.320.7.3
이 대표는 투하 실패에 대해 “다이빙벨의 개인용 산소 공급 케이블이 꼬여 손상됐다”고 이유를 밝혔지만 군경 관계자들은 “유속이 빠른 사고 해역에서 다이빙벨은 애초부터 사용하기에 무리가 있었다”고 설명했다.

이	이/NNP
대표는	대표/NNG+는/JX
투하	투하/NNG
실패에	실패/NNG+에/JKB
대해	대하/VV+아/EC
“다이빙벨의	“/SS+다이빙벨/NNG+의/JKG
개인용	개인/NNG+용/XSN
산소	산소/NNG
공급	공급/NNG
케이블이	케이블/NNG+이/JKS
꼬여	꼬이/VV+어/EC
손상됐다”고	손상/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
이유를	이유/NNG+를/JKO
밝혔지만	밝히/VV+었/EP+지만/EC
군경	군경/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
“유속이	“/SS+유속/NNG+이/JKS
빠른	빠르/VA+ㄴ/ETM
사고	사고/NNG
해역에서	해역/NNG+에서/JKB
다이빙벨은	다이빙벨/NNG+은/JX
애초부터	애초/NNG+부터/JX
사용하기에	사용/NNG+하/XSV+기/ETN+에/JKB
무리가	무리/NNG+가/JKS
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


