# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.269
metadata : {}


# id : NWRW1800000032.269.1.1
‘장흥판 도가니’

‘장흥판	‘/SS+장흥판/NNG
3명	3/SN+명/NNB
모두	모두/MAG
혐의를	혐의/NNG+를/JKO
부인한	부인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.269.7.1
피해 여성의 가족은 ‘가해자들이 정신연령이 7살가량밖에 되지 않는 이 여성에게 겁을 주거나 과자 등을 주는 수법으로 유인해 성폭행했다’고 주장한 것으로 알려졌다.

피해	피해/NNG
여성의	여성/NNG+의/JKG
가족은	가족/NNG+은/JX
‘가해자들이	‘/SS+가해자/NNG+들/XSN+이/JKS
정신연령이	정신/NNG+연령/NNG+이/JKS
7살가량밖에	7/SN+살/NNB+가량/XSN+밖에/JX
되지	되/VV+지/EC
않는	않/VX+는/ETM
이	이/MMD
여성에게	여성/NNG+에게/JKB
겁을	겁/NNG+을/JKO
주거나	주/VV+거나/EC
과자	과자/NNG
등을	등/NNB+을/JKO
주는	주/VV+는/ETM
수법으로	수법/NNG+으로/JKB
유인해	유인/NNG+하/XSV+아/EC
성폭행했다’고	성폭행/NNG+하/XSV+았/EP+다/EF+’/SS+고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.269.7.2
가해자들은 대부분 피해 여성이 다녔던 중·고등학교 통학로 주변에서 사는 주민들이다.

가해자들은	가해자/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
피해	피해/NNG
여성이	여성/NNG+이/JKS
다녔던	다니/VV+었/EP+던/ETM
중·고등학교	중·고등학교/NNG
통학로	통학로/NNG
주변에서	주변/NNG+에서/JKB
사는	살/VV+는/ETM
주민들이다.	주민/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.269.8.1
앞서 검찰은 올해 2월 경찰이 수사해 송치한 오아무개(58)씨를 구속 기소했으며, 오씨는 징역 3년을 선고받고 교도소에서 복역중이다.

앞서	앞서/MAG
검찰은	검찰/NNG+은/JX
올해	올해/NNG
2월	2/SN+월/NNB
경찰이	경찰/NNG+이/JKS
수사해	수사/NNG+하/XSV+아/EC
송치한	송치/NNG+하/XSV+ㄴ/ETM
오아무개(58)씨를	오/NNP+아무개/NP+(/SS+58/SN+)/SS+씨/NNB+를/JKO
구속	구속/NNG
기소했으며,	기소/NNG+하/XSV+았/EP+으며/EC+,/SP
오씨는	오/NNP+씨/NNB+는/JX
징역	징역/NNG
3년을	3/SN+년/NNB+을/JKO
선고받고	선고/NNG+받/XSV+고/EC
교도소에서	교도소/NNG+에서/JKB
복역중이다.	복역/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.269.8.2
피해 여성은 경찰에서 중학교 2학년 때인 7년 전 오씨한테 성폭행을 당했다고 진술했다.

피해	피해/NNG
여성은	여성/NNG+은/JX
경찰에서	경찰/NNG+에서/JKB
중학교	중학교/NNG
2학년	2/SN+학년/NNG
때인	때/NNG+이/VCP+ㄴ/ETM
7년	7/SN+년/NNB
전	전/NNG
오씨한테	오/NNP+씨/NNB+한테/JKB
성폭행을	성폭행/NNG+을/JKO
당했다고	당하/VV+았/EP+다고/EC
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.269.9.1
검찰은 가해자가 더 있는지 밝히기 위해 10명 안팎의 주민들을 상대로 조사중이나, 이들도 혐의를 부인하는 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
가해자가	가해자/NNG+가/JKS
더	더/MAG
있는지	있/VA+는지/EF
밝히기	밝히/VV+기/ETN
위해	위하/VV+아/EC
10명	10/SN+명/NNB
안팎의	안팎/NNG+의/JKG
주민들을	주민/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
조사중이나,	조사/NNG+중/NNB+이/VCP+나/EC+,/SP
이들도	이/NP+들/XSN+도/JX
혐의를	혐의/NNG+를/JKO
부인하는	부인/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.269.9.2
피해 여성은 전남지역 한 사회복지시설에서 지내다가 최근 가족에게 돌아와 심리치료를 받고 있다.

피해	피해/NNG
여성은	여성/NNG+은/JX
전남지역	전남지역/NNP
한	한/MMN
사회복지시설에서	사회/NNG+복지/NNG+시설/NNG+에서/JKB
지내다가	지내/VV+다가/EC
최근	최근/MAG
가족에게	가족/NNG+에게/JKB
돌아와	돌아오/VV+아/EC
심리치료를	심리/NNG+치료/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


