# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.62
metadata : {}


# id : NWRW1800000024.62.1.1
“채권형펀드 신용등급따라 2~4등급 세분화”

“채권형펀드	“/SS+채권/NNG+형/XSN+펀드/NNG
2등급(고위험),	2/SN+등급/NNG+(/SS+고/XPN+위험/NNG+)/SS+,/SP
3등급(중위험),	3/SN+등급/NNG+(/SS+중위험/NNG+)/SS+,/SP
4등급(저위험),	4/SN+등급/NNG+(/SS+저/XPN+위험/NNG+)/SS+,/SP
5등급(무위험)	5/SN+등급/NNG+(/SS+무/XPN+위험/NNG+)/SS
등	등/NNB
5개	5/SN+개/NNB
등급으로	등급/NNG+으로/JKB
분류해,	분류/NNG+하/XSV+아/EC+,/SP
분류	분류/NNG
형식은	형식/NNG+은/JX
자통법과	자통법/NNG+과/JKB
함께	함께/MAG
도입된	도입/NNG+되/XSV+ㄴ/ETM
‘표준투자권유준칙’을	‘/SS+표준/NNG+투자/NNG+권유/NNG+준칙/NNG+’/SS+을/JKO
따른다.	따르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.62.3.3
하지만 위험등급을 주식형, 채권형, 혼합형과 같은 ‘펀드 유형’에 따라 기계적으로 나누는 현행 방식과 달리 개별 펀드의 위험도와 특성을 세부적으로 평가해 등급을 결정해야 한다고 주장했다.

하지만	하지만/MAJ
위험등급을	위험/NNG+등급/NNG+을/JKO
주식형,	주식/NNG+형/XSN+,/SP
채권형,	채권/NNG+형/XSN+,/SP
혼합형과	혼합/NNG+형/XSN+과/JKB
같은	같/VA+은/ETM
‘펀드	‘/SS+펀드/NNG
유형’에	유형/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
기계적으로	기계/NNG+적/XSN+으로/JKB
나누는	나누/VV+는/ETM
현행	현행/NNG
방식과	방식/NNG+과/JKB
달리	달리/MAG
개별	개별/NNG
펀드의	펀드/NNG+의/JKG
위험도와	위험도/NNG+와/JC
특성을	특성/NNG+을/JKO
세부적으로	세부/NNG+적/XSN+으로/JKB
평가해	평가/NNG+하/XSV+아/EC
등급을	등급/NNG+을/JKO
결정해야	결정/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.62.4.1
제로인 관계자는 “현행 방식은 주가연계펀드(ELF) 평가 때 리먼브러더스와 같은 거래상대방의 위험을 고려하지 않고, 주식형 펀드는 분산투자 정도에 따른 위험과 지역별 특성을 반영하지 못하며 채권형 펀드는 환율변동 위험과 신용 위험을 반영하지 못한다”고 말했다.

제로인	제로인/NNP
관계자는	관계자/NNG+는/JX
“현행	“/SS+현행/NNG
방식은	방식/NNG+은/JX
주가연계펀드(ELF)	주가/NNG+연계/NNG+펀드/NNG+(/SS+ELF/SL+)/SS
평가	평가/NNG
때	때/NNG
리먼브러더스와	리먼브러더스/NNP+와/JKB
같은	같/VA+은/ETM
거래상대방의	거래/NNG+상대방/NNG+의/JKG
위험을	위험/NNG+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
주식형	주식/NNG+형/XSN
펀드는	펀드/NNG+는/JX
분산투자	분산/NNG+투자/NNG
정도에	정도/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
위험과	위험/NNG+과/JC
지역별	지역/NNG+별/XSN
특성을	특성/NNG+을/JKO
반영하지	반영/NNG+하/XSV+지/EC
못하며	못하/VX+며/EC
채권형	채권/NNG+형/XSN
환율변동	환율/NNG+변동/NNG
신용	신용/NNG
못한다”고	못하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.62.5.1
예컨데 신용등급이 낮은 채권과 공모주에 투자하는 ‘공모주하이일드펀드’의 경우 채권형 펀드기 때문에 표준투자권유준칙에는 모두 4등급으로 분류된다.

예컨데	예컨대/MAG
신용등급이	신용/NNG+등급/NNG+이/JKS
낮은	낮/VA+은/ETM
채권과	채권/NNG+과/JC
공모주에	공모주/NNG+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
‘공모주하이일드펀드’의	‘/SS+공모주/NNG+하이일드펀드/NNG+’/SS+의/JKG
경우	경우/NNG
채권형	채권/NNG+형/XSN
펀드기	펀드/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
표준투자권유준칙에는	표준/NNG+투자/NNG+권유/NNG+준칙/NNG+에/JKB+는/JX
모두	모두/MAG
4등급으로	4/SN+등급/NNG+으로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.62.5.2
하지만 새 분류 방식에 따르면 펀드에 편입된 채권의 신용등급에 따라 2~4등급으로 세분화된다는 것이다.

하지만	하지만/MAJ
새	새/MMA
분류	분류/NNG
방식에	방식/NNG+에/JKB
따르면	따르/VV+면/EC
펀드에	펀드/NNG+에/JKB
편입된	편입/NNG+되/XSV+ㄴ/ETM
채권의	채권/NNG+의/JKG
신용등급에	신용/NNG+등급/NNG+에/JKB
따라	따르/VV+아/EC
2~4등급으로	2/SN+~/SO+4/SN+등급/NNG+으로/JKB
세분화된다는	세분/NNG+화/XSN+되/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.62.6.1
주식형 펀드도 현행대로라면 국외주식형은 1등급, 국내주식형은 2등급 식으로 단순 분류되지만, 새 방식은 펀드 유형에 상관없이 분산투자 정도와 투자지역의 특성에 따라 1~3등급으로 나눠진다.

주식형	주식/NNG+형/XSN
펀드도	펀드/NNG+도/JX
현행대로라면	현행/NNG+대로/JX+이/VCP+라면/EC
국외주식형은	국외/NNG+주식/NNG+형/XSN+은/JX
1등급,	1/SN+등급/NNG+,/SP
국내주식형은	국내/NNG+주식/NNG+형/XSN+은/JX
2등급	2/SN+등급/NNG
식으로	식/NNB+으로/JKB
단순	단순/NNG
분류되지만,	분류/NNG+되/XSV+지만/EC+,/SP
새	새/MMA
방식은	방식/NNG+은/JX
펀드	펀드/NNG
유형에	유형/NNG+에/JKB
상관없이	상관없이/MAG
분산투자	분산/NNG+투자/NNG
정도와	정도/NNG+와/JC
투자지역의	투자/NNG+지역/NNG+의/JKG
특성에	특성/NNG+에/JKB
따라	따르/VV+아/EC
1~3등급으로	1/SN+~/SO+3/SN+등급/NNG+으로/JKB
나눠진다.	나누/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.62.6.2
안정적인 상장지수펀드(ETF)지만 변동성이 큰 반도체 지수를 추종하는 ‘미래에셋 TIGER SEMICON상장지수’는 1등급으로 분류하는 식이다.

안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
상장지수펀드(ETF)지만	상장/NNG+지수/NNG+펀드/NNG+(/SS+ETF/SL+)/SS+이/VCP+지만/EC
변동성이	변동/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
반도체	반도체/NNG
지수를	지수/NNG+를/JKO
추종하는	추종/NNG+하/XSV+는/ETM
‘미래에셋	‘/SS+미래에셋/NNP
TIGER	TIGER/SL
SEMICON상장지수’는	SEMICON/SL+상장/NNG+지수/NNG+’/SS+는/JX
1등급으로	1/SN+등급/NNG+으로/JKB
분류하는	분류/NNG+하/XSV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


