# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.9
metadata : {}


# id : NWRW1800000038.9.1.1
톈안먼 사태 촉발한 후야오방 前총서기, 26년만에 복권 움직임

톈안먼	톈안먼/NNP
해안에	해안/NNG+에/JKB
있는	있/VA+는/ETM
섬	섬/NNG
다천다오(大陳島)에서	다천다오/NNP+(/SS+大陳島/SH+)/SS+에서/JKB
후	후/NNP
전	전/MMD
총서기의	총서기/NNG+의/JKG
동상	동상/NNG
제막식이	제막식/NNG+이/JKS
열렸다"고	열리/VV+었/EP+다/EF+"/SS+고/JKQ
7일	7/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.4.2
후 전 총서기의 동상은 후난(湖南)성 그의 생가에 조성된 기념관 등지에도 있지만, 실외 공간에 건립된 것은 처음 있는 일이다.

후	후/NNP
전	전/MMD
총서기의	총서기/NNG+의/JKG
동상은	동상/NNG+은/JX
후난(湖南)성	후난/NNP+(/SS+湖南/SH+)/SS+성/NNG
그의	그/NP+의/JKG
생가에	생가/NNG+에/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
기념관	기념관/NNG
등지에도	등지/NNB+에/JKB+도/JX
있지만,	있/VA+지만/EC+,/SP
실외	실외/NNG
공간에	공간/NNG+에/JKB
건립된	건립/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음	처음/NNG
있는	있/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.9.4.3
하지만 중국청년보는 동상의 구체적인 위치와 제막식 참석 인사 등은 자세히 보도하지 않았다.

하지만	하지만/MAJ
중국청년보는	중국청년보/NNP+는/JX
동상의	동상/NNG+의/JKG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
위치와	위치/NNG+와/JC
제막식	제막식/NNG
참석	참석/NNG
인사	인사/NNG
등은	등/NNB+은/JX
자세히	자세히/MAG
보도하지	보도/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.9.5.1
다천다오는 후 전 총서기가 공산주의청년단(공청단) 제1서기를 지낼 당시인 1956년 청년들에게 황무지 개간을 호소했던 곳이다.

다천다오는	다천다오/NNP+는/JX
후	후/NNP
전	전/MMD
총서기가	총서기/NNG+가/JKS
공산주의청년단(공청단)	공산주의청년단/NNP+(/SS+공청단/NNP+)/SS
제1서기를	제/XPN+1/SN+서기/NNG+를/JKO
지낼	지내/VV+ㄹ/ETM
당시인	당시/NNG+이/VCP+ㄴ/ETM
1956년	1956/SN+년/NNB
청년들에게	청년/NNG+들/XSN+에게/JKB
황무지	황무지/NNG
개간을	개간/NNG+을/JKO
호소했던	호소/NNG+하/XSV+았/EP+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.9.5.2
그의 호소에 부응한 청년 467명이 자원 봉사에 나서, 1960년까지 4년 동안 이 황무지를 개간했다.

그의	그/NP+의/JKG
호소에	호소/NNG+에/JKB
부응한	부응/NNG+하/XSV+ㄴ/ETM
청년	청년/NNG
467명이	467/SN+명/NNB+이/JKS
자원	자원/NNG
봉사에	봉사/NNG+에/JKB
나서,	나서/VV+어/EC+,/SP
1960년까지	1960/SN+년/NNB+까지/JX
4년	4/SN+년/NNB
동안	동안/NNG
이	이/MMD
황무지를	황무지/NNG+를/JKO
개간했다.	개간/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.5.3
지금은 11.89㎢에 이르는 섬의 50~60%가 울창한 삼림으로 덮여 있고, 대규모 항구까지 갖춘 아름다운 섬으로 변했다.

지금은	지금/NNG+은/JX
11.89㎢에	11/SN+./SP+89/SN+㎢/SW+에/JKB
이르는	이르/VV+는/ETM
섬의	섬/NNG+의/JKG
50~60%가	50/SN+~/SO+60/SN+%/SW+가/JKS
울창한	울창하/VA+ㄴ/ETM
삼림으로	삼림/NNG+으로/JKB
덮여	덮이/VV+어/EC
있고,	있/VX+고/EC+,/SP
대규모	대/XPN+규모/NNG
항구까지	항구/NNG+까지/JX
갖춘	갖추/VV+ㄴ/ETM
아름다운	아름답/VA+ㄴ/ETM
섬으로	섬/NNG+으로/JKB
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.5.4
후 전 총 서기는 총서기로 재임 중이던 1985년 이곳을 방문해 황무지 개간에 앞장섰던 자원봉사자들을 만나기도 했다.

후	후/NNP
전	전/MMD
총	총/MMA
서기는	서기/NNG+는/JX
총서기로	총서기/NNG+로/JKB
재임	재임/NNG
중이던	중/NNB+이/VCP+던/ETM
1985년	1985/SN+년/NNB
이곳을	이곳/NP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
황무지	황무지/NNG
개간에	개간/NNG+에/JKB
앞장섰던	앞장서/VV+었/EP+던/ETM
자원봉사자들을	자원봉사자/NNG+들/XSN+을/JKO
만나기도	만나/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.9.6.1
후 전 총서기는 1980년대 대표적인 개혁파 인사이다.

후	후/NNP
전	전/MMD
총서기는	총서기/NNG+는/JX
1980년대	1980/SN+년대/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
개혁파	개혁파/NNG
인사이다.	인사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.9.6.2
1929년 공청단에 가입하며 공산 혁명에 뛰어든 그는 대장정, 항일전쟁 등에 참여했다.

1929년	1929/SN+년/NNB
공청단에	공청단/NNP+에/JKB
가입하며	가입/NNG+하/XSV+며/EC
공산	공산/NNG
혁명에	혁명/NNG+에/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
그는	그/NP+는/JX
대장정,	대/XPN+장정/NNG+,/SP
항일전쟁	항일/NNG+전쟁/NNG
등에	등/NNB+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.6.3
마오쩌둥(毛澤東) 전 주석과 같은 후난성 출신이었지만, 정치적으로는 개혁 성향이 강해 문화대혁명 당시에는 박해를 받았다.

마오쩌둥(毛澤東)	마오쩌둥/NNP+(/SS+毛澤東/SH+)/SS
전	전/MMD
주석과	주석/NNG+과/JKB
같은	같/VA+은/ETM
후난성	후난성/NNP
출신이었지만,	출신/NNG+이/VCP+었/EP+지만/EC+,/SP
정치적으로는	정치/NNG+적/XSN+으로/JKB+는/JX
개혁	개혁/NNG
성향이	성향/NNG+이/JKS
강해	강하/VA+아/EC
문화대혁명	문화/NNG+대/XPN+혁명/NNG
당시에는	당시/NNG+에/JKB+는/JX
박해를	박해/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.6.4
문화대혁명 종료와 함께 일선에 복귀한 그는 최고지도자 덩샤오핑(鄧小平)의 신임을 받아 1982년 공산당 총서기 자리에 올랐다.

문화대혁명	문화/NNG+대/XPN+혁명/NNG
종료와	종료/NNG+와/JKB
함께	함께/MAG
일선에	일선/NNG+에/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
최고지도자	최고/NNG+지도자/NNG
덩샤오핑(鄧小平)의	덩샤오핑/NNP+(/SS+鄧小平/SH+)/SS+의/JKG
신임을	신임/NNG+을/JKO
받아	받/VV+아/EC
1982년	1982/SN+년/NNB
공산당	공산당/NNP
총서기	총서기/NNG
자리에	자리/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.7.1
그러나 1987년 민주와 인권을 요구하며 전국 각지에서 벌어진 학생 시위에 유화적으로 대처하고, 정치 개혁 차원에서 덩샤오핑을 비롯한 당 원로들이 일선에서 은퇴할 것을 주장했다가 당내 원로 회의에서 실각당했다.

그러나	그러나/MAJ
1987년	1987/SN+년/NNB
민주와	민주/NNG+와/JC
인권을	인권/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
전국	전국/NNG
각지에서	각지/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
학생	학생/NNG
시위에	시위/NNG+에/JKB
유화적으로	유화/NNG+적/XSN+으로/JKB
대처하고,	대처/NNG+하/XSV+고/EC+,/SP
정치	정치/NNG
개혁	개혁/NNG
차원에서	차원/NNG+에서/JKB
덩샤오핑을	덩샤오핑/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
당	당/NNG
원로들이	원로/NNG+들/XSN+이/JKS
일선에서	일선/NNG+에서/JKB
은퇴할	은퇴/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
주장했다가	주장/NNG+하/XSV+았/EP+다가/EC
당내	당내/NNG
원로	원로/NNG
회의에서	회의/NNG+에서/JKB
실각당했다.	실각/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.7.2
2년 뒤인 1989년 4월 정치국 회의 도중 급성 심근경색이 발병해 숨졌다.

2년	2/SN+년/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1989년	1989/SN+년/NNB
4월	4/SN+월/NNB
정치국	정치국/NNG
회의	회의/NNG
도중	도중/NNG
급성	급성/NNG
심근경색이	심근/NNG+경색/NNG+이/JKS
발병해	발병/NNG+하/XSV+아/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.9.7.3
그의 죽음을 계기로 학생들은 '노인 정치 청산'을 외치며 베이징에서 대대적인 시위를 벌였고, 결국 그해 6월 중국 공산당이 군대를 동원해 학생 시위를 유혈 진압하면서 톈안먼(天安門)사태가 일어났다.

그의	그/NP+의/JKG
죽음을	죽음/NNG+을/JKO
계기로	계기/NNG+로/JKB
학생들은	학생/NNG+들/XSN+은/JX
'노인	'/SS+노인/NNG
정치	정치/NNG
청산'을	청산/NNG+'/SS+을/JKO
외치며	외치/VV+며/EC
베이징에서	베이징/NNP+에서/JKB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
시위를	시위/NNG+를/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
결국	결국/MAG
그해	그해/NNG
6월	6/SN+월/NNB
중국	중국/NNP
공산당이	공산당/NNP+이/JKS
군대를	군대/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
학생	학생/NNG
유혈	유혈/NNG
진압하면서	진압/NNG+하/XSV+면서/EC
톈안먼(天安門)사태가	톈안먼/NNP+(/SS+天安門/SH+)/SS+사태/NNG+가/JKS
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.8.1
중국 내에서는 그의 동상 건립이 후 전 총서기의 복권으로 이어지는 것 아니냐는 분석이 나오고 있다.

중국	중국/NNP
내에서는	내/NNB+에서/JKB+는/JX
그의	그/NP+의/JKG
동상	동상/NNG
건립이	건립/NNG+이/JKS
후	후/NNP
전	전/MMD
총서기의	총서기/NNG+의/JKG
복권으로	복권/NNG+으로/JKB
이어지는	이어지/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.9.8.2
이에 앞서 중국 공산당은 지난해 11월 18차 당대회 때 베이징 시내 미디어센터에 역대 당대회 사진을 전시하면서, 후 전 총서기가 등장하는 사진을 내걸기도 했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
중국	중국/NNP
공산당은	공산당/NNP+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
18차	18/SN+차/NNB
당대회	당/NNG+대회/NNG
때	때/NNG
베이징	베이징/NNP
시내	시내/NNG
미디어센터에	미디어/NNG+센터/NNG+에/JKB
역대	역대/NNG
사진을	사진/NNG+을/JKO
전시하면서,	전시/NNG+하/XSV+면서/EC+,/SP
후	후/NNP
전	전/MMD
총서기가	총서기/NNG+가/JKS
등장하는	등장/NNG+하/XSV+는/ETM
내걸기도	내걸/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.9.9.1
후 전 총서기는 생전에 청렴하면서도 친서민적인 행보로 지금도 중국 국민에게 존경을 받고 있는 인물이다.

후	후/NNP
전	전/MMD
총서기는	총서기/NNG+는/JX
생전에	생전/NNG+에/JKB
청렴하면서도	청렴/NNG+하/XSA+면서/EC+도/JX
친서민적인	친/XPN+서민/NNG+적/XSN+이/VCP+ㄴ/ETM
행보로	행보/NNG+로/JKB
지금도	지금/NNG+도/JX
중국	중국/NNP
국민에게	국민/NNG+에게/JKB
존경을	존경/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.9.9.2
이 때문에 그의 정치적 제자이자 공청단 후배인 후진타오(胡錦濤) 주석이 집권한 2000년대부터 그의 복권설이 계속 나돌았다.

이	이/MMD
때문에	때문/NNB+에/JKB
그의	그/NP+의/JKG
정치적	정치/NNG+적/XSN
제자이자	제자/NNG+이/VCP+자/EC
공청단	공청단/NNP
후배인	후배/NNG+이/VCP+ㄴ/ETM
후진타오(胡錦濤)	후진타오/NNP+(/SS+胡錦濤/SH+)/SS
주석이	주석/NNG+이/JKS
집권한	집권/NNG+하/XSV+ㄴ/ETM
2000년대부터	2000/SN+년대/NNB+부터/JX
복권설이	복권설/NNG+이/JKS
계속	계속/MAG
나돌았다.	나돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.9.3
중국 최고지도부는 그의 탄생 90주년인 2005년 베이징 인민대회당에서 기념 좌담회를 열기도 했다.

중국	중국/NNP
최고지도부는	최고/NNG+지도부/NNG+는/JX
그의	그/NP+의/JKG
탄생	탄생/NNG
90주년인	90/SN+주년/NNB+이/VCP+ㄴ/ETM
2005년	2005/SN+년/NNB
베이징	베이징/NNP
인민대회당에서	인민대회당/NNP+에서/JKB
기념	기념/NNG
좌담회를	좌담회/NNG+를/JKO
열기도	열/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.9.9.4
이 자리에는 후 전 총서기의 유족과 함께, 원자바오(溫家寶) 총리와 쩡칭훙(曾慶紅) 국가 부주석 등 현직 최고지도부들이 참석했다.

이	이/MMD
자리에는	자리/NNG+에/JKB+는/JX
후	후/NNP
전	전/MMD
총서기의	총서기/NNG+의/JKG
유족과	유족/NNG+과/JKB
함께,	함께/MAG+,/SP
원자바오(溫家寶)	원자바오/NNP+(/SS+溫家寶/SH+)/SS
총리와	총리/NNG+와/JC
쩡칭훙(曾慶紅)	쩡칭훙/NNP+(/SS+曾慶紅/SH+)/SS
국가	국가/NNG
부주석	부주석/NNG
등	등/NNB
현직	현직/NNG
최고지도부들이	최고/NNG+지도부/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.9.5
그러나 그의 복권이 톈안먼사태의 재평가로 이어질 것을 우려한 중국 최고지도부는 결국 그에 대한 공식 복권 결정을 내리지 못했다.

그러나	그러나/MAJ
그의	그/NP+의/JKG
복권이	복권/NNG+이/JKS
톈안먼사태의	톈안먼/NNP+사태/NNG+의/JKG
재평가로	재/XPN+평가/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
최고지도부는	최고/NNG+지도부/NNG+는/JX
결국	결국/MAG
그에	그/NP+에/JKB
대한	대하/VV+ㄴ/ETM
공식	공식/NNG
복권	복권/NNG
결정을	결정/NNG+을/JKO
내리지	내리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.9.10.1
후 전 총서기는 시진핑 총서기의 부친인 시중쉰(習仲勛) 전 부총리와 각별한 인연이 있다.

후	후/NNP
전	전/MMD
총서기는	총서기/NNG+는/JX
시진핑	시진핑/NNP
총서기의	총서기/NNG+의/JKG
부친인	부친/NNG+이/VCP+ㄴ/ETM
시중쉰(習仲勛)	시중쉰/NNP+(/SS+習仲勛/SH+)/SS
부총리와	부총리/NNG+와/JKB
각별한	각별/NNG+하/XSA+ㄴ/ETM
인연이	인연/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.9.10.2
1978년 문화대혁명으로 박해를 받고 지방에 쫓겨가 있던 시 전 부총리를 복권해 광둥(廣東)성 서기에 발탁한 이가 바로 후야오방이다.

1978년	1978/SN+년/NNB
문화대혁명으로	문화/NNG+대/XPN+혁명/NNG+으로/JKB
박해를	박해/NNG+를/JKO
받고	받/VV+고/EC
지방에	지방/NNG+에/JKB
쫓겨가	쫓기/VV+어/EC+가/VV+아/EC
있던	있/VX+던/ETM
시	시/NNP
전	전/MMD
부총리를	부총리/NNG+를/JKO
복권해	복권/NNG+하/XSV+아/EC
광둥(廣東)성	광둥/NNP+(/SS+廣東/SH+)/SS+성/NNG
서기에	서기/NNG+에/JKB
발탁한	발탁/NNG+하/XSV+ㄴ/ETM
이가	이/NNB+가/JKS
바로	바로/MAG
후야오방이다.	후야오방/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000038.9.10.3
시 전 부총리가 광둥성에서 경제특구를 추진할 때에도 이를 적극 지지했다.

시	시/NNP
전	전/MMD
부총리가	부총리/NNG+가/JKS
광둥성에서	광둥성/NNP+에서/JKB
경제특구를	경제특구/NNG+를/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
때에도	때/NNG+에/JKB+도/JX
이를	이/NP+를/JKO
적극	적극/NNG
지지했다.	지지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.10.4
시 전 부총리도 1987년 덩샤오핑 등 원로들이 후 전 총서기를 실각시킬 당시, 앞장서서 반대했다가 한직으로 밀려났다.

시	시/NNP
전	전/MMD
부총리도	부총리/NNG+도/JX
1987년	1987/SN+년/NNB
덩샤오핑	덩샤오핑/NNP
등	등/NNB
원로들이	원로/NNG+들/XSN+이/JKS
후	후/NNP
총서기를	총서기/NNG+를/JKO
실각시킬	실각/NNG+시키/XSV+ㄹ/ETM
당시,	당시/NNG+,/SP
앞장서서	앞장서/VV+어서/EC
반대했다가	반대/NNG+하/XSV+았/EP+다가/EC
한직으로	한직/NNG+으로/JKB
밀려났다.	밀려나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.9.11.1
시 총서기는 이런 인연을 감안한 듯, 총서기 취임을 수개월 앞둔 지난해 7월, 후 전 총서기의 아들로 중국 내 유명 개혁파 이론가인 후더핑(胡德平) 중국정치협상회의(정협) 경제위원회 부주임을 따로 면담하기도 했다.

시	시/NNP
총서기는	총서기/NNG+는/JX
이런	이런/MMD
인연을	인연/NNG+을/JKO
감안한	감안/NNG+하/XSV+ㄴ/ETM
듯,	듯/NNB+,/SP
총서기	총서기/NNG
취임을	취임/NNG+을/JKO
수개월	수개월/NNG
앞둔	앞두/VV+ㄴ/ETM
지난해	지난해/NNG
7월,	7/SN+월/NNB+,/SP
후	후/NNP
전	전/MMD
총서기의	총서기/NNG+의/JKG
아들로	아들/NNG+로/JKB
중국	중국/NNP
내	내/NNB
유명	유명/NNG
개혁파	개혁파/NNG
이론가인	이론가/NNG+이/VCP+ㄴ/ETM
후더핑(胡德平)	후더핑/NNP+(/SS+胡德平/SH+)/SS
중국정치협상회의(정협)	중국정치협상회의/NNP+(/SS+정협/NNP+)/SS
경제위원회	경제/NNG+위원회/NNG
부주임을	부주임/NNG+을/JKO
따로	따로/MAG
면담하기도	면담/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


