# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.88
metadata : {}


# id : NWRW1800000046.88.1.1
선배·가족·시민까지 동참한 '기술인 한마당'

선배·가족·시민까지	선배/NNG+·/SP+가족/NNG+·/SP+시민/NNG+까지/JX
경시해온	경시/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
문화는	문화/NNG+는/JX
그리	그리/MAG
개선되지	개선/NNG+되/XSV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
기능경기대회는	기능/NNG+경기/NNG+대회/NNG+는/JX
여전히	여전히/MAG
'그들만의	'/SS+그/NP+들/XSN+만/JX+의/JKG
겨룸의	겨룸/NNG+의/JKG
장'으로	장/NNG+'/SS+으로/JKB
소외된	소외/NNG+되/XSV+ㄴ/ETM
느낌이다.	느낌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.88.4.1
기능대회 반세기를 맞아 이렇듯 침체된 분위기에 변화를 주기 위해 기술 분야 가족은 물론 시민까지 참여하는 한마당이 마련됐다.

기능대회	기능/NNG+대회/NNG
반세기를	반세기/NNG+를/JKO
맞아	맞/VV+아/EC
이렇듯	이렇/VA+듯/EC
침체된	침체/NNG+되/XSV+ㄴ/ETM
분위기에	분위기/NNG+에/JKB
변화를	변화/NNG+를/JKO
주기	주/VV+기/ETN
위해	위하/VV+아/EC
기술	기술/NNG
분야	분야/NNG
가족은	가족/NNG+은/JX
물론	물론/MAG
시민까지	시민/NNG+까지/JX
참여하는	참여/NNG+하/XSV+는/ETM
한마당이	한/XPN+마당/NNG+이/JKS
마련됐다.	마련/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.88.4.2
올가을 울산에서 열리는 전국 대회를 앞두고 지난 8일부터 서울시 대회가 열리고 있는 서울공고·용산공고·성동공고 등 6곳의 경기장이다.

올가을	올가을/NNG
울산에서	울산/NNP+에서/JKB
열리는	열리/VV+는/ETM
전국	전국/NNG
대회를	대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
지난	지나/VV+ㄴ/ETM
8일부터	8/SN+일/NNB+부터/JX
서울시	서울시/NNP
대회가	대회/NNG+가/JKS
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
서울공고·용산공고·성동공고	서울공고/NNP+·/SP+용산공고/NNP+·/SP+성동공고/NNP
등	등/NNB
6곳의	6/SN+곳/NNG+의/JKG
경기장이다.	경기장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.88.5.1
선수 대부분을 차지하는 공업고·IT고·직업전문학교의 학생, 헤어디자인·제과·미용·공예와 같은 현장에서 일하는 젊은 직업인, 기능대회 출신 20~30대 심사위원, 다양한 분야의 40~50대 숙련 기술인과 명장, 그리고 견학과 체험을 위해 온 시민이 함께 어우러졌다.

선수	선수/NNG
대부분을	대/XPN+부분/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
공업고·IT고·직업전문학교의	공업고/NNG+·/SP+IT고/NNG+·/SP+직업/NNG+전문/NNG+학교/NNG+의/JKG
학생,	학생/NNG+,/SP
헤어디자인·제과·미용·공예와	헤어/NNG+디자인/NNG+·/SP+제과/NNG+·/SP+미용/NNG+·/SP+공예/NNG+와/JKB
같은	같/VA+은/ETM
현장에서	현장/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
젊은	젊/VA+은/ETM
직업인,	직업인/NNG+,/SP
기능대회	기능/NNG+대회/NNG
출신	출신/NNG
20~30대	20/SN+~/SO+30/SN+대/NNB
심사위원,	심사/NNG+위원/NNG+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야의	분야/NNG+의/JKG
40~50대	40/SN+~/SO+50/SN+대/NNB
숙련	숙련/NNG
기술인과	기술인/NNG+과/JC
명장,	명장/NNG+,/SP
그리고	그리고/MAJ
견학과	견학/NNG+과/JC
체험을	체험/NNG+을/JKO
위해	위하/VV+아/EC
온	오/VX+ㄴ/ETM
시민이	시민/NNG+이/JKS
함께	함께/MAG
어우러졌다.	어우러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.88.5.2
서울 대회에는 전기전자정보·건축목재·공예·미예 등 48개 직종에 걸쳐 선수만 951명이나 출전했다.

서울	서울/NNP
대회에는	대회/NNG+에/JKB+는/JX
전기전자정보·건축목재·공예·미예	전기/NNG+전자/NNG+정보/NNG+·/SP+건축/NNG+목재/NNG+·/SP+공예/NNG+·/SP+미예/NNG
등	등/NNB
48개	48/SN+개/NNB
직종에	직종/NNG+에/JKB
걸쳐	걸치/VV+어/EC
선수만	선수/NNG+만/JX
951명이나	951/SN+명/NNB+이나/JX
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.6.1
10일 주 경기장인 서울공고에선 17개 종목이 진행되고 있었다.

10일	10/SN+일/NNB
주	주/MMA
경기장인	경기장/NNG+이/VCP+ㄴ/ETM
서울공고에선	서울공고/NNP+에서/JKB+ㄴ/JX
17개	17/SN+개/NNB
종목이	종목/NNG+이/JKS
진행되고	진행/NNG+되/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.88.6.2
주어진 도면만 보고 사흘 안에 완성품을 내야 하는 판금 부문 선수들은 철판을 자르고 용접하느라 흐르는 땀도 닦지 못할 정도로 바빴다.

주어진	주어지/VV+ㄴ/ETM
도면만	도면/NNG+만/JX
보고	보/VV+고/EC
사흘	사흘/NNG
안에	안/NNG+에/JKB
완성품을	완성품/NNG+을/JKO
내야	내/VV+어야/EC
하는	하/VX+는/ETM
판금	판금/NNG
부문	부문/NNG
선수들은	선수/NNG+들/XSN+은/JX
철판을	철판/NNG+을/JKO
자르고	자르/VV+고/EC
용접하느라	용접/NNG+하/XSV+느라/EC
흐르는	흐르/VV+는/ETM
땀도	땀/NNG+도/JX
닦지	닦/VV+지/EC
못할	못하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
바빴다.	바쁘/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.88.6.3
냉동기술 경기장엔 이 분야 첫 여성 선수인 이승희(16·휘경공고)양이 출전해 눈길을 끌었다.

냉동기술	냉동/NNG+기술/NNG
경기장엔	경기장/NNG+에/JKB+ㄴ/JX
이	이/MMD
분야	분야/NNG
첫	첫/MMN
여성	여성/NNG
선수인	선수/NNG+이/VCP+ㄴ/ETM
이승희(16·휘경공고)양이	이승희/NNP+(/SS+16/SN+·/SP+휘경공고/NNP+)/SS+양/NNB+이/JKS
출전해	출전/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.88.7.1
운동장에 설치된 천막 20여 동에는 메이크업·제과제빵·화훼장식·목공예·난(蘭)가꾸기 등을 체험할 수 있도록 분야별 기능인이 재능기부자로 나섰다.

운동장에	운동장/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
천막	천막/NNG
20여	20/SN+여/XSN
동에는	동/NNB+에/JKB+는/JX
메이크업·제과제빵·화훼장식·목공예·난(蘭)가꾸기	메이크업/NNG+·/SP+제과/NNG+제빵/NNG+·/SP+화훼/NNG+장식/NNG+·/SP+목공예/NNG+·/SP+난/NNG+(/SS+蘭/SH+)/SS+가꾸/VV+기/ETN
등을	등/NNB+을/JKO
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
분야별	분야/NNG+별/XSN
기능인이	기능인/NNG+이/JKS
재능기부자로	재능/NNG+기부자/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.88.7.2
농업명장 1호인 이대건(48)씨도 후배들을 격려하려고 대구에서 올라와 분갈이를 시연했다.

농업명장	농업/NNG+명장/NNG
1호인	1/SN+호/NNB+이/VCP+ㄴ/ETM
이대건(48)씨도	이대건/NNP+(/SS+48/SN+)/SS+씨/NNB+도/JX
후배들을	후배/NNG+들/XSN+을/JKO
격려하려고	격려/NNG+하/XSV+려고/EC
대구에서	대구/NNP+에서/JKB
올라와	올라오/VV+아/EC
분갈이를	분갈이/NNG+를/JKO
시연했다.	시연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.7.3
그는 "농업은 기능경기대회 종목이 아니지만 숙련 기능인들의 축제에 함께하고 싶었다"고 했다.

그는	그/NP+는/JX
"농업은	"/SS+농업/NNG+은/JX
기능경기대회	기능/NNG+경기/NNG+대회/NNG
종목이	종목/NNG+이/JKC
아니지만	아니/VCN+지만/EC
숙련	숙련/NNG
기능인들의	기능인/NNG+들/XSN+의/JKG
축제에	축제/NNG+에/JKB
함께하고	함께/MAG+하/XSV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.8.1
가구 부문 심사위원인 김장회(51)·김태민(28)씨는 50년 대회 사상 첫 부자(父子) 심사위원이다.

가구	가구/NNG
부문	부문/NNG
심사위원인	심사/NNG+위원/NNG+이/VCP+ㄴ/ETM
김장회(51)·김태민(28)씨는	김장회/NNP+(/SS+51/SN+)/SS+·/SP+김태민/NNP+(/SS+28/SN+)/SS+씨/NNB+는/JX
50년	50/SN+년/NNB
대회	대회/NNG
사상	사상/NNG
첫	첫/MMN
부자(父子)	부자/NNG+(/SS+父子/SH+)/SS
심사위원이다.	심사/NNG+위원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.88.8.2
아버지는 1985년, 아들은 2009년 국제기능올림픽에 나가 입상했다.

아버지는	아버지/NNG+는/JX
1985년,	1985/SN+년/NNB+,/SP
아들은	아들/NNG+은/JX
2009년	2009/SN+년/NNB
국제기능올림픽에	국제/NNG+기능/NNG+올림픽/NNG+에/JKB
나가	나가/VV+아/EC
입상했다.	입상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.8.3
아들 태민씨는 "가구 실력은 아직 아버지에 못 미치지만 심사는 자신 있다"고 했다.

아들	아들/NNG
태민씨는	태민/NNP+씨/NNB+는/JX
"가구	"/SS+가구/NNG
실력은	실력/NNG+은/JX
아직	아직/MAG
아버지에	아버지/NNG+에/JKB
못	못/MAG
미치지만	미치/VV+지만/EC
심사는	심사/NNG+는/JX
자신	자신/NNG
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.8.4
심사위원은 해를 거듭할수록 젊어지는 추세다.

심사위원은	심사/NNG+위원/NNG+은/JX
해를	해/NNG+를/JKO
거듭할수록	거듭/MAG+하/XSV+ㄹ수록/EC
젊어지는	젊/VA+어/EC+지/VX+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.88.8.5
올해는 106명 가운데 36명이 20~30대다.

올해는	올해/NNG+는/JX
106명	106/SN+명/NNB
가운데	가운데/NNG
36명이	36/SN+명/NNB+이/JKS
20~30대다.	20/SN+~/SO+30/SN+대/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.88.8.6
모두 전국 대회 수상자로, 분야별 정상급 실력을 갖춘 전문가다.

모두	모두/MAG
전국	전국/NNG
대회	대회/NNG
수상자로,	수상자/NNG+로/JKB+,/SP
분야별	분야/NNG+별/XSN
정상급	정상급/NNG
실력을	실력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.88.8.7
변무장 한국산업인력공단 서울지역본부장은 "시합에 나오는 청소년들이 '나도 실력을 기르면 심사위원 형·언니들처럼 대기업에 가고 심사위원도 될 수 있다'는 동기를 심어주기 위한 것"이라고 설명했다.

변무장	변무장/NNP
한국산업인력공단	한국산업인력공단/NNP
서울지역본부장은	서울지역/NNP+본부장/NNG+은/JX
"시합에	"/SS+시합/NNG+에/JKB
나오는	나오/VV+는/ETM
청소년들이	청소년/NNG+들/XSN+이/JKS
'나도	'/SS+나/NP+도/JX
실력을	실력/NNG+을/JKO
기르면	기르/VV+면/EC
심사위원	심사/NNG+위원/NNG
형·언니들처럼	형/NNG+·/SP+언니/NNG+들/XSN+처럼/JKB
대기업에	대/XPN+기업/NNG+에/JKB
가고	가/VV+고/EC
심사위원도	심사/NNG+위원/NNG+도/JX
될	되/VV+ㄹ/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
동기를	동기/NNG+를/JKO
심어주기	심/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.8.8
최연소 심사위원으로 재작년 독일 국제기능올림픽에서 한국인 첫 제과 부문 금메달리스트가 된 강동석(22)씨는 "기능인을 존중하는 문화가 더 훌륭한 기술인을 배출하는 밑거름이 될 것"이라며 "묵묵히 일하고 노력하는 기능인에게 더 관심을 가져달라"고 했다.

최연소	최/XPN+연소/NNG
심사위원으로	심사/NNG+위원/NNG+으로/JKB
재작년	재/XPN+작년/NNG
독일	독일/NNP
국제기능올림픽에서	국제/NNG+기능/NNG+올림픽/NNG+에서/JKB
한국인	한국인/NNG
첫	첫/MMN
제과	제과/NNG
부문	부문/NNG
금메달리스트가	금메달리스트/NNG+가/JKC
된	되/VV+ㄴ/ETM
강동석(22)씨는	강동석/NNP+(/SS+22/SN+)/SS+씨/NNB+는/JX
"기능인을	"/SS+기능인/NNG+을/JKO
존중하는	존중/NNG+하/XSV+는/ETM
문화가	문화/NNG+가/JKS
더	더/MAG
훌륭한	훌륭하/VA+ㄴ/ETM
기술인을	기술인/NNG+을/JKO
배출하는	배출/NNG+하/XSV+는/ETM
밑거름이	밑거름/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"묵묵히	"/SS+묵묵히/MAG
일하고	일/NNG+하/XSV+고/EC
노력하는	노력/NNG+하/XSV+는/ETM
기능인에게	기능인/NNG+에게/JKB
관심을	관심/NNG+을/JKO
가져달라"고	가지/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.9.1
심사위원을 이끄는 기술위원장은 중요무형문화재인 석공예 명장 이재순(60)씨가 맡았다.

심사위원을	심사/NNG+위원/NNG+을/JKO
이끄는	이끌/VV+는/ETM
기술위원장은	기술/NNG+위원장/NNG+은/JX
중요무형문화재인	중요/NNG+무형/NNG+문화재/NNG+이/VCP+ㄴ/ETM
석공예	석공예/NNG
명장	명장/NNG
이재순(60)씨가	이재순/NNP+(/SS+60/SN+)/SS+씨/NNB+가/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.88.9.2
불에 탄 숭례문 복구에도 참여했던 그는 "내가 기능대회에 출전했던 39년 전과 비교하면 국력과 기술력 모두 천지개벽할 정도로 바뀌었지만 기능인에 대한 시선은 여전한 것 같아 아쉽다"고 했다.

불에	불/NNG+에/JKB
탄	타/VV+ㄴ/ETM
숭례문	숭례문/NNP
복구에도	복구/NNG+에/JKB+도/JX
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
"내가	"/SS+내/NP+가/JKS
기능대회에	기능/NNG+대회/NNG+에/JKB
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
39년	39/SN+년/NNB
전과	전/NNG+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
국력과	국력/NNG+과/JKB
기술력	기술력/NNG
모두	모두/MAG
천지개벽할	천지개벽/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
바뀌었지만	바뀌/VV+었/EP+지만/EC
기능인에	기능인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시선은	시선/NNG+은/JX
여전한	여전하/VA+ㄴ/ETM
것	것/NNB
같아	같/VA+아/EC
아쉽다"고	아쉽/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


