# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.311
metadata : {}


# id : NWRW1800000049.311.1.1
北 경제활동 대부분 봉쇄… 中-러 빈틈없는 제재이행이 관건

北	北/SH
제2자연과학원장을	제2자연과학원장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
개인	개인/NNG
16명,	16/SN+명/NNB+,/SP
국가우주개발국(NADA)	국가우주개발국/NNP+(/SS+NADA/SL+)/SS
등	등/NNB
기관	기관/NNG
12곳을	12/SN+곳/NNG+을/JKO
제재	제재/NNG
대상에	대상/NNG+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.311.4.3
개인은 NADA 유철우 국장과 고위 간부인 현광일, 단천상업은행 시리아 대표 장범순 전명국, 조선광업개발무역회사(KOMID) 이란 대표 장연선 김영철 등이 포함됐다.

개인은	개인/NNG+은/JX
NADA	NADA/SL
유철우	유철우/NNP
국장과	국장/NNG+과/JC
고위	고위/NNG
간부인	간부/NNG+이/VCP+ㄴ/ETM
현광일,	현광일/NNP+,/SP
단천상업은행	단천상업은행/NNP
시리아	시리아/NNP
대표	대표/NNG
장범순	장범순/NNP
전명국,	전명국/NNP+,/SP
조선광업개발무역회사(KOMID)	조선광업개발무역회사/NNP+(/SS+KOMID/SL+)/SS
이란	이란/NNP
장연선	장연선/NNP
김영철	김영철/NNP
등이	등/NNB+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.311.4.4
이로써 유엔의 대북제재 대상은 총 60건(개인 28명, 기관 32곳)으로 늘어났다.

이로써	이/NP+로써/JKB
유엔의	유엔/NNP+의/JKG
대북제재	대북/NNG+제재/NNG
대상은	대상/NNG+은/JX
총	총/MMA
60건(개인	60/SN+건/NNB+(/SS+개인/NNG
28명,	28/SN+명/NNB+,/SP
기관	기관/NNG
32곳)으로	32/SN+곳/NNG+)/SS+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.311.5.1
항공유 제공이 금지됐고 주요 외화벌이 수단인 석탄 수출도 원칙적으로 막혔다.

항공유	항공유/NNG
제공이	제공/NNG+이/JKS
금지됐고	금지/NNG+되/XSV+었/EP+고/EC
주요	주요/NNG
외화벌이	외화벌이/NNG
수단인	수단/NNG+이/VCP+ㄴ/ETM
석탄	석탄/NNG
수출도	수출/NNG+도/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
막혔다.	막히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.311.5.2
북한 금융기관의 활동도 제약이 걸렸다.

북한	북한/NNP
금융기관의	금융/NNG+기관/NNG+의/JKG
활동도	활동/NNG+도/JX
제약이	제약/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.311.5.3
사실상 유·무형 북한 경제 활동이 대부분 타격을 입게 된 것이다.

사실상	사실/NNG+상/XSN
유·무형	유·무형/NNG
북한	북한/NNP
경제	경제/NNG
활동이	활동/NNG+이/JKS
대부분	대/XPN+부분/NNG
타격을	타격/NNG+을/JKO
입게	입/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.311.6.1
역대 가장 강력한 대북제재가 채택됐지만 정부 고위 당국자는 2일 “결의 채택은 시작에 불과하다.

역대	역대/NNG
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
대북제재가	대북/NNG+제재/NNG+가/JKS
채택됐지만	채택/NNG+되/XSV+었/EP+지만/EC
정부	정부/NNG
고위	고위/NNG
당국자는	당국자/NNG+는/JX
2일	2/SN+일/NNB
“결의	“/SS+결의/NNG
채택은	채택/NNG+은/JX
시작에	시작/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000049.311.6.2
본격적인 외교는 이제부터”라고 말했다.

본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
외교는	외교/NNG+는/JX
이제부터”라고	이제/NNG+부터/JX+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.311.6.3
당장 중국, 러시아를 제재 이행에 묶어두는 것이 급선무다.

당장	당장/NNG
중국,	중국/NNP+,/SP
러시아를	러시아/NNP+를/JKO
제재	제재/NNG
이행에	이행/NNG+에/JKB
묶어두는	묶/VV+어/EC+두/VX+는/ETM
것이	것/NNB+이/JKS
급선무다.	급선무/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.311.6.4
한국의 단독 제재, 한미 제재 공조도 필요하다.

한국의	한국/NNP+의/JKG
단독	단독/NNG
제재,	제재/NNG+,/SP
한미	한미/NNP
제재	제재/NNG
공조도	공조/NNG+도/JX
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.311.7.1
외교부는 앤드루 켈러 미 국무부 금융제재 담당 부차관보가 주중에 방한한다고 2일 밝혔다.

외교부는	외교부/NNG+는/JX
앤드루	앤드루/NNP
켈러	켈러/NNP
미	미/NNP
국무부	국무부/NNG
금융제재	금융/NNG+제재/NNG
담당	담당/NNG
부차관보가	부차관보/NNG+가/JKS
주중에	주중/NNG+에/JKB
방한한다고	방한/NNG+하/XSV+ㄴ다고/EC
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.311.7.2
지난달 23일 제니퍼 파울러 미 재무부 테러자금·금융범죄 담당 부차관보가 방한한 지 10여 일 만에 또 미국 제재 담당자가 한국을 찾는 것이다.

지난달	지난달/NNG
23일	23/SN+일/NNB
제니퍼	제니퍼/NNP
파울러	파울러/NNP
미	미/NNP
재무부	재무부/NNG
테러자금·금융범죄	테러/NNG+자금/NNG+·/SP+금융/NNG+범죄/NNG
담당	담당/NNG
부차관보가	부차관보/NNG+가/JKS
방한한	방한/NNG+하/XSV+ㄴ/ETM
지	지/NNB
10여	10/SN+여/XSN
일	일/NNB
만에	만/NNB+에/JKB
또	또/MAG
미국	미국/NNP
제재	제재/NNG
담당자가	담당자/NNG+가/JKS
한국을	한국/NNP+을/JKO
찾는	찾/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.311.7.3
두 사람은 모두 애덤 주빈 미 재무부 테러·금융정보 담당 차관 지명자의 지시를 받으며 미 재무부 해외자산통제국(OFAC)과 함께 금융제재를 가하는 책임자다.

두	두/MMN
사람은	사람/NNG+은/JX
모두	모두/MAG
애덤	애덤/NNP
주빈	주빈/NNP
미	미/NNP
재무부	재무부/NNG
테러·금융정보	테러/NNG+·/SP+금융/NNG+정보/NNG
담당	담당/NNG
차관	차관/NNG
지명자의	지명자/NNG+의/JKG
지시를	지시/NNG+를/JKO
받으며	받/VV+으며/EC
해외자산통제국(OFAC)과	해외자산통제국/NNP+(/SS+OFAC/SL+)/SS+과/JKB
함께	함께/MAG
금융제재를	금융/NNG+제재/NNG+를/JKO
가하는	가하/VV+는/ETM
책임자다.	책임자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.311.8.1
고고도미사일방어(THAAD·사드) 체계 한반도 배치, 북한과의 평화협정 논의 등 제재 협의 동안 수면 아래로 내려갔던 이슈도 재점화될 것으로 전망돼 앞으로 한국 외교의 역할은 더 중요해졌다.

고고도미사일방어(THAAD·사드)	고/XPN+고도/NNG+미사일/NNG+방어/NNG+(/SS+THAAD/SL+·/SP+사드/NNG+)/SS
체계	체계/NNG
한반도	한반도/NNP
배치,	배치/NNG+,/SP
북한과의	북한/NNP+과/JKB+의/JKG
평화협정	평화/NNG+협정/NNG
논의	논의/NNG
등	등/NNB
제재	제재/NNG
협의	협의/NNG
동안	동안/NNG
수면	수면/NNG
아래로	아래/NNG+로/JKB
내려갔던	내려가/VV+았/EP+던/ETM
이슈도	이슈/NNG+도/JX
재점화될	재/XPN+점화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망돼	전망/NNG+되/XSV+어/EC
앞으로	앞/NNG+으로/JKB
한국	한국/NNP
외교의	외교/NNG+의/JKG
역할은	역할/NNG+은/JX
더	더/MAG
중요해졌다.	중요/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.311.8.2
전직 고위 당국자는 “윤병세 외교부 장관이 강조해온 ‘끝장 제재’가 도출됐다고 일희일비할 게 아니라 주변국 외교에 더 주력해야 한다”고 말했다.

전직	전직/NNG
고위	고위/NNG
당국자는	당국자/NNG+는/JX
“윤병세	“/SS+윤병세/NNP
외교부	외교부/NNG
장관이	장관/NNG+이/JKS
강조해온	강조/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
‘끝장	‘/SS+끝장/NNG
제재’가	제재/NNG+’/SS+가/JKS
도출됐다고	도출/NNG+되/XSV+었/EP+다고/EC
일희일비할	일희일비/NNG+하/XSV+ㄹ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
주변국	주변국/NNG
외교에	외교/NNG+에/JKB
더	더/MAG
주력해야	주력/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.311.9.1
5년 만에 한국을 방문했던 우다웨이(武大偉) 중국 외교부 한반도사무특별대표는 예상과 달리 사드, 평화협정 문제를 전면에 부각하지 않았다.

5년	5/SN+년/NNB
만에	만/NNB+에/JKB
한국을	한국/NNP+을/JKO
방문했던	방문/NNG+하/XSV+았/EP+던/ETM
우다웨이(武大偉)	우다웨이/NNP+(/SS+武大偉/SH+)/SS
중국	중국/NNP
외교부	외교부/NNG
한반도사무특별대표는	한반도/NNP+사무/NNG+특별/NNG+대표/NNG+는/JX
예상과	예상/NNG+과/JKB
달리	달리/MAG
사드,	사드/NNG+,/SP
평화협정	평화/NNG+협정/NNG
문제를	문제/NNG+를/JKO
전면에	전면/NNG+에/JKB
부각하지	부각/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.311.9.2
대통령 직속 통일준비위원회 관계자들을 만나서도 통일 문제를 꺼내지 않는 등 완급을 조절하는 세련미를 보였다.

대통령	대통령/NNG
직속	직속/NNG
통일준비위원회	통일/NNG+준비/NNG+위원회/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
만나서도	만나/VV+아서/EC+도/JX
통일	통일/NNG
문제를	문제/NNG+를/JKO
꺼내지	꺼내/VV+지/EC
않는	않/VX+는/ETM
등	등/NNB
완급을	완급/NNG+을/JKO
조절하는	조절/NNG+하/XSV+는/ETM
세련미를	세련미/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.311.9.3
국책연구소 관계자는 “미국이 중국에 대해 대북제재 협조를 끌어내려고 사드를 양보한 것처럼 비치지만 미국은 국방 이슈를 외교 목적으로 포기하는 나라가 아니다”라며 “국내에서 대미(對美), 대중(對中) 외교를 너무 단선적으로 보는 경향이 있다”고 말했다.

국책연구소	국책/NNG+연구소/NNG
관계자는	관계자/NNG+는/JX
“미국이	“/SS+미국/NNP+이/JKS
중국에	중국/NNP+에/JKB
대해	대하/VV+아/EC
대북제재	대북/NNG+제재/NNG
협조를	협조/NNG+를/JKO
끌어내려고	끌어내/VV+려고/EC
사드를	사드/NNG+를/JKO
양보한	양보/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
비치지만	비치/VV+지만/EC
미국은	미국/NNP+은/JX
국방	국방/NNG
이슈를	이슈/NNG+를/JKO
외교	외교/NNG
목적으로	목적/NNG+으로/JKB
포기하는	포기/NNG+하/XSV+는/ETM
나라가	나라/NNG+가/JKC
아니다”라며	아니/VCN+다/EF+”/SS+라며/EC
“국내에서	“/SS+국내/NNG+에서/JKB
대미(對美),	대미/NNG+(/SS+對美/SH+)/SS+,/SP
대중(對中)	대중/NNG+(/SS+對中/SH+)/SS
외교를	외교/NNG+를/JKO
너무	너무/MAG
단선적으로	단선/NNG+적/XSN+으로/JKB
보는	보/VV+는/ETM
경향이	경향/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.311.10.1
5월에 진행될 북한의 7차 당대회까지 북한이 다양한 형태로 전개할 가능성이 높은 대남 위협과 도발에 대한 대비도 필요하다.

5월에	5/SN+월/NNB+에/JKB
진행될	진행/NNG+되/XSV+ㄹ/ETM
북한의	북한/NNP+의/JKG
7차	7/SN+차/NNB
당대회까지	당/NNG+대회/NNG+까지/JX
북한이	북한/NNP+이/JKS
다양한	다양/NNG+하/XSA+ㄴ/ETM
형태로	형태/NNG+로/JKB
전개할	전개/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
대남	대남/NNG
위협과	위협/NNG+과/JC
도발에	도발/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대비도	대비/NNG+도/JX
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.311.10.2
정부가 지금과 같은 ‘북한 위협→테러방지법 필요성 강조→국회 태업 비난’이라는 단순 프레임 접근에서 벗어나 다양한 형태로 국민 설득에 나서야 한다는 지적도 나온다.

정부가	정부/NNG+가/JKS
지금과	지금/NNG+과/JKB
같은	같/VA+은/ETM
‘북한	‘/SS+북한/NNP
위협→테러방지법	위협/NNG+→/SW+테러/NNG+방지법/NNG
필요성	필요/NNG+성/XSN
강조→국회	강조/NNG+→/SW+국회/NNG
태업	태업/NNG
비난’이라는	비난/NNG+’/SS+이/VCP+라는/ETM
단순	단순/NNG
프레임	프레임/NNG
접근에서	접근/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
형태로	형태/NNG+로/JKB
국민	국민/NNG
설득에	설득/NNG+에/JKB
나서야	나서/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


