# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.39
metadata : {}


# id : NWRW1800000044.39.1.1
획 뒤집어 기능 전환하는 엘지 ‘G3 A’…핵심기술 ‘T액션’ 알고보니 SKT꺼네

획	획/MAG
무렵부터	무렵/NNB+부터/JX
상황이	상황/NNG+이/JKS
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.39.8.6
통신시장이 포화되면서 통신사의 주도권은 약해졌고, 스마트폰 시대가 본격화되면서 제조사들은 각자 자기 제품의 브랜드 정체성을 강화했다.

통신시장이	통신/NNG+시장/NNG+이/JKS
포화되면서	포화/NNG+되/XSV+면서/EC
통신사의	통신사/NNG+의/JKG
주도권은	주도/NNG+권/XSN+은/JX
약해졌고,	약하/VA+아/EC+지/VX+었/EP+고/EC+,/SP
스마트폰	스마트폰/NNG
시대가	시대/NNG+가/JKS
본격화되면서	본격/NNG+화/XSN+되/XSV+면서/EC
제조사들은	제조사/NNG+들/XSN+은/JX
각자	각자/MAG
자기	자기/NP
제품의	제품/NNG+의/JKG
브랜드	브랜드/NNG
정체성을	정체/NNG+성/XSN+을/JKO
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.39.8.7
애플과 삼성 스마트폰을 두고 고민하는 소비자들의 머릿속에 통신사가 낄 자리가 거의 사라진 것이다.

애플과	애플/NNP+과/JC
삼성	삼성/NNP
스마트폰을	스마트폰/NNG+을/JKO
두고	두/VV+고/EC
고민하는	고민/NNG+하/XSV+는/ETM
소비자들의	소비자/NNG+들/XSN+의/JKG
머릿속에	머릿속/NNG+에/JKB
통신사가	통신사/NNG+가/JKS
낄	끼/VV+ㄹ/ETM
자리가	자리/NNG+가/JKS
거의	거의/MAG
사라진	사라지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.39.8.8
조 매니저는 “에스케이텔레콤 고객만 느낄 수 있는 차별화된 경험, 가치있는 경험을 다시 제공할 필요가 있다고 판단했다”고 설명했다.

조	조/NNP
매니저는	매니저/NNG+는/JX
“에스케이텔레콤	“/SS+에스케이텔레콤/NNP
고객만	고객/NNG+만/JX
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
경험,	경험/NNG+,/SP
가치있는	가치/NNG+있/VA+는/ETM
경험을	경험/NNG+을/JKO
다시	다시/MAG
제공할	제공/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.39.9.1
그런 고민 끝에 1년여의 준비기간을 거쳐 티액션이 나왔다.

그런	그런/MMD
고민	고민/NNG
끝에	끝/NNG+에/JKB
1년여의	1/SN+년/NNB+여/XSN+의/JKG
준비기간을	준비/NNG+기간/NNG+을/JKO
거쳐	거치/VV+어/EC
티액션이	티액션/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.39.9.2
‘원래 전화는 한 손으로 받는 것’이라는 데에 초점을 맞췄다.

‘원래	‘/SS+원래/MAG
전화는	전화/NNG+는/JX
한	한/MMN
손으로	손/NNG+으로/JKB
받는	받/VV+는/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
데에	데/NNB+에/JKB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.39.9.3
스마트폰도 초기에는 모두 한 손으로 조작할 수 있었다.

스마트폰도	스마트폰/NNG+도/JX
초기에는	초기/NNG+에/JKB+는/JX
모두	모두/MAG
한	한/MMN
손으로	손/NNG+으로/JKB
조작할	조작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.39.9.4
하지만 3인치 크기였던 화면은 점점 커져 이제 아이폰마저 5인치대에 이르렀다.

하지만	하지만/MAJ
3인치	3/SN+인치/NNB
크기였던	크기/NNG+이/VCP+었/EP+던/ETM
화면은	화면/NNG+은/JX
점점	점점/MAG
커져	커지/VV+어/EC
이제	이제/MAG
아이폰마저	아이폰/NNP+마저/JX
5인치대에	5/SN+인치/NNB+대/XSN+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.39.9.5
또 많은 사용자들이 스마트폰 보호를 위해 커버를 씌웠다.

또	또/MAG
많은	많/VA+은/ETM
사용자들이	사용자/NNG+들/XSN+이/JKS
스마트폰	스마트폰/NNG
보호를	보호/NNG+를/JKO
위해	위하/VV+아/EC
커버를	커버/NNG+를/JKO
씌웠다.	씌우/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.39.9.6
한 손으로 전화받기가 너무 힘들어졌다.

한	한/MMN
손으로	손/NNG+으로/JKB
전화받기가	전화/NNG+받/XSV+기/ETN+가/JKS
너무	너무/MAG
힘들어졌다.	힘들어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.39.9.7
그래서 티액션은 스마트폰을 앞뒤로 뒤집기만 하면 전화를 받을 수 있게 했다.

그래서	그래서/MAJ
티액션은	티액션/NNG+은/JX
스마트폰을	스마트폰/NNG+을/JKO
앞뒤로	앞뒤/NNG+로/JKB
뒤집기만	뒤집/VV+기/ETN+만/JX
하면	하/VX+면/EC
전화를	전화/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.39.10.1
모든 에스케이텔레콤 고객에게 차별화된 경험을 제공하려면 티액션은 지3에이뿐만 아니라 모든 단말기로 확대되야 한다.

모든	모든/MMN
에스케이텔레콤	에스케이텔레콤/NNP
고객에게	고객/NNG+에게/JKB
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
경험을	경험/NNG+을/JKO
제공하려면	제공/NNG+하/XSV+려면/EC
티액션은	티액션/NNG+은/JX
지3에이뿐만	지3에이/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
단말기로	단말기/NNG+로/JKB
확대되야	확대/NNG+되/XSV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.39.10.2
이를 위해 에스케이텔레콤은 올초부터 제조사들에 티액션 구동에 필수적인 가속센서와 방향센서의 성능을 일정 기준 이상 맞춰줄 것을 요구하고 있다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
올초부터	올/NNG+초/NNB+부터/JX
제조사들에	제조사/NNG+들/XSN+에/JKB
티액션	티액션/NNG
구동에	구동/NNG+에/JKB
필수적인	필수/NNG+적/XSN+이/VCP+ㄴ/ETM
가속센서와	가속/NNG+센서/NNG+와/JC
방향센서의	방향/NNG+센서/NNG+의/JKG
성능을	성능/NNG+을/JKO
일정	일정/NNG
기준	기준/NNG
이상	이상/NNG
맞춰줄	맞추/VV+어/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.39.10.3
우선 엘지전자와 지3에이 외에 다른 모델에까지 티액션을 확대하는 것을 논의중이고, 삼성전자와도 협의중이다.

우선	우선/MAG
엘지전자와	엘지전자/NNP+와/JC
지3에이	지3에이/NNP
외에	외/NNB+에/JKB
다른	다른/MMD
모델에까지	모델/NNG+에/JKB+까지/JX
티액션을	티액션/NNG+을/JKO
확대하는	확대/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
논의중이고,	논의/NNG+중/NNB+이/VCP+고/EC+,/SP
삼성전자와도	삼성전자/NNP+와/JKB+도/JX
협의중이다.	협의/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.39.10.4
에스케이텔레콤은 또 티액션의 응용프로그램인터페이스(API)를 공개해 다른 앱 개발자들이 이용할 수 있도록 했다.

에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
또	또/MAG
티액션의	티액션/NNG+의/JKG
응용프로그램인터페이스(API)를	응용/NNG+프로그램/NNG+인터페이스/NNG+(/SS+API/SL+)/SS+를/JKO
공개해	공개/NNG+하/XSV+아/EC
다른	다른/MMD
앱	앱/NNG
개발자들이	개발자/NNG+들/XSN+이/JKS
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.39.10.5
스마트폰에 내장된 기능뿐만 아니라 다양한 앱에서도 티액션을 이용할 수 있도록 하자는 취지다.

스마트폰에	스마트폰/NNG+에/JKB
내장된	내장/NNG+되/XSV+ㄴ/ETM
기능뿐만	기능/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
앱에서도	앱/NNG+에서/JKB+도/JX
티액션을	티액션/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하자는	하/VX+자는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.39.10.6
조승현 매니저는 “앞으로 통신사는 제조사가 만든 단말기를 팔아주기만 하는 회사가 되지는 않을 것”이라고 말했다.

조승현	조승현/NNP
매니저는	매니저/NNG+는/JX
“앞으로	“/SS+앞/NNG+으로/JKB
통신사는	통신사/NNG+는/JX
제조사가	제조사/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
단말기를	단말기/NNG+를/JKO
팔아주기만	팔/VV+아/EC+주/VX+기/ETN+만/JX
하는	하/VX+는/ETM
회사가	회사/NNG+가/JKC
되지는	되/VV+지/EC+는/JX
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


