# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.103
metadata : {}


# id : NWRW1800000030.103.1.1
"미래식량 수산업 키울 국가적 전략 시급"

"미래식량	"/SS+미래/NNG+식량/NNG
세계 수협인들의 첫 대회가 한국에서 열린 것은 이종구(60) 수협중앙회장이 ICA 수산위원장이기 때문이다.

세계	세계/NNG
수협인들의	수협인/NNG+들/XSN+의/JKG
첫	첫/MMN
대회가	대회/NNG+가/JKS
한국에서	한국/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
것은	것/NNB+은/JX
이종구(60)	이종구/NNP+(/SS+60/SN+)/SS
수협중앙회장이	수협/NNP+중앙회장/NNG+이/JKS
ICA	ICA/SL
수산위원장이기	수산/NNG+위원장/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.103.4.2
수산위원회는 작년 가을 베이징 모임 때 6월 16일을 '세계 수협의 날'로 정하고 첫 행사를 한국에서 갖기로 했었다.

수산위원회는	수산/NNG+위원회/NNG+는/JX
작년	작년/NNG
가을	가을/NNG
베이징	베이징/NNP
모임	모임/NNG
때	때/NNG
6월	6/SN+월/NNB
16일을	16/SN+일/NNB+을/JKO
'세계	'/SS+세계/NNG
수협의	수협/NNP+의/JKG
날'로	날/NNG+'/SS+로/JKB
정하고	정하/VV+고/EC
첫	첫/MMN
행사를	행사/NNG+를/JKO
한국에서	한국/NNP+에서/JKB
갖기로	갖/VV+기/ETN+로/JKB
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000030.103.4.3
일반인이 별 관심을 두지 않는 사이, 우리의 수산기술이 발전하고 위상도 높아졌음을 뜻한다.

일반인이	일반인/NNG+이/JKS
별	별/MMA
관심을	관심/NNG+을/JKO
두지	두/VV+지/EC
않는	않/VX+는/ETM
사이,	사이/NNG+,/SP
우리의	우리/NP+의/JKG
수산기술이	수산/NNG+기술/NNG+이/JKS
발전하고	발전/NNG+하/XSV+고/EC
위상도	위상/NNG+도/JX
높아졌음을	높아지/VV+었/EP+음/ETN+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.103.5.1
"한반도의 삼면이 바다이고, 지구의 70%가 바다라는 것, 그리고 미래의 식량전쟁에서 국가 차원에서 살아남으려면 수산업이 중요하다는 건 누구나 알잖아요.

"한반도의	"/SS+한반도/NNP+의/JKG
삼면이	삼면/NNG+이/JKS
바다이고,	바다/NNG+이/VCP+고/EC+,/SP
지구의	지구/NNG+의/JKG
70%가	70/SN+%/SW+가/JKS
바다라는	바다/NNG+이/VCP+라는/ETM
것,	것/NNB+,/SP
그리고	그리고/MAJ
미래의	미래/NNG+의/JKG
식량전쟁에서	식량/NNG+전쟁/NNG+에서/JKB
국가	국가/NNG
차원에서	차원/NNG+에서/JKB
살아남으려면	살아남/VV+으려면/EC
수산업이	수산업/NNG+이/JKS
중요하다는	중요/NNG+하/XSA+다는/ETM
건	거/NNB+ㄴ/JX
누구나	누구/NP+나/JX
알잖아요.	알/VV+잖아요/EF+./SF


# id : NWRW1800000030.103.5.2
그에 비하면 실제적 관심이나 지원은 크게 못 미치는 게 사실이죠.

그에	그/NP+에/JKB
비하면	비/NNG+하/XSV+면/EC
실제적	실제/NNG+적/XSN
관심이나	관심/NNG+이나/JC
지원은	지원/NNG+은/JX
크게	크/VA+게/EC
못	못/MAG
미치는	미치/VV+는/ETM
게	거/NNB+이/JKS
사실이죠.	사실/NNG+이/VCP+죠/EF+./SF


# id : NWRW1800000030.103.5.3
수산업을 우리의 전략산업으로 키울 구체적 전략이 시급해요."

수산업을	수산업/NNG+을/JKO
우리의	우리/NP+의/JKG
전략산업으로	전략/NNG+산업/NNG+으로/JKB
키울	키우/VV+ㄹ/ETM
구체적	구체/NNG+적/XSN
전략이	전략/NNG+이/JKS
시급해요."	시급하/VA+아요/EF+./SF+"/SS


# id : NWRW1800000030.103.6.1
이 회장은 어업인에 대한 지원 확대가 특히 절실하다고 했다.

이	이/NNP
회장은	회장/NNG+은/JX
어업인에	어업인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원	지원/NNG
확대가	확대/NNG+가/JKS
특히	특히/MAG
절실하다고	절실하/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.103.6.2
"수산업 종사자들을 제대로 대우해서 더 많은 어업 자원을 확보해 가야 합니다.

"수산업	"/SS+수산업/NNG
종사자들을	종사자/NNG+들/XSN+을/JKO
제대로	제대로/MAG
대우해서	대우/NNG+하/XSV+아서/EC
더	더/MAG
많은	많/VA+은/ETM
어업	어업/NNG
자원을	자원/NNG+을/JKO
확보해	확보/NNG+하/XSV+아/EC
가야	가/VX+아야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000030.103.6.3
바닷속 식량은 사실 주인이 따로 없어요.

바닷속	바닷속/NNG
식량은	식량/NNG+은/JX
사실	사실/MAG
주인이	주인/NNG+이/JKS
따로	따로/MAG
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000030.103.6.4
한 곳에 몰려 있는 것도 아니고요.

한	한/MMN
곳에	곳/NNG+에/JKB
몰려	몰리/VV+어/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
아니고요.	아니/VCN+고/EC+요/JX+./SF


# id : NWRW1800000030.103.6.5
하지만 우리가 놓치면 돈 주고 수입하는 방법밖에 없잖아요.

하지만	하지만/MAJ
우리가	우리/NP+가/JKS
놓치면	놓치/VV+면/EC
돈	돈/NNG
주고	주/VV+고/EC
수입하는	수입/NNG+하/XSV+는/ETM
방법밖에	방법/NNG+밖에/JX
없잖아요.	없/VA+잖아요/EF+./SF


# id : NWRW1800000030.103.6.6
경쟁력을 키워 대응하도록 좀 더 많은 사람이 관심을 가졌으면 합니다."

경쟁력을	경쟁력/NNG+을/JKO
키워	키우/VV+어/EC
대응하도록	대응/NNG+하/XSV+도록/EC
좀	좀/MAG
더	더/MAG
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
관심을	관심/NNG+을/JKO
가졌으면	가지/VV+었/EP+으면/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000030.103.7.1
그는 "이번 행사를 위해 여러 달 집중적으로 준비했다"면서 "재정 문제로 큰 호텔을 빌리거나 이벤트회사에 맡기지는 못했지만 직원들이 발로 뛰어 준비한 행사라서 더 자랑스럽다"고 했다.

그는	그/NP+는/JX
"이번	"/SS+이번/NNG
행사를	행사/NNG+를/JKO
위해	위하/VV+아/EC
여러	여러/MMN
달	달/NNB
집중적으로	집중/NNG+적/XSN+으로/JKB
준비했다"면서	준비/NNG+하/XSV+았/EP+다/EF+"/SS+면서/EC
"재정	"/SS+재정/NNG
문제로	문제/NNG+로/JKB
큰	크/VA+ㄴ/ETM
호텔을	호텔/NNG+을/JKO
빌리거나	빌리/VV+거나/EC
이벤트회사에	이벤트/NNG+회사/NNG+에/JKB
맡기지는	맡기/VV+지/EC+는/JX
못했지만	못하/VX+았/EP+지만/EC
직원들이	직원/NNG+들/XSN+이/JKS
발로	발/NNG+로/JKB
뛰어	뛰/VV+어/EC
준비한	준비/NNG+하/XSV+ㄴ/ETM
행사라서	행사/NNG+이/VCP+라서/EC
더	더/MAG
자랑스럽다"고	자랑/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.103.8.1
이날 참석자들은 '세계 어업인을 위한 수협인의 행동강령'을 선포했다.

이날	이날/NNG
참석자들은	참석자/NNG+들/XSN+은/JX
'세계	'/SS+세계/NNG
어업인을	어업인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
수협인의	수협인/NNG+의/JKG
행동강령'을	행동/NNG+강령/NNG+'/SS+을/JKO
선포했다.	선포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.103.8.2
다음 세대를 위한 수산업의 중요성 홍보, 활력 넘치는 어촌공동체 건설, 녹색성장 산업으로의 도약 등을 담고 있다.

다음	다음/NNG
세대를	세대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
수산업의	수산업/NNG+의/JKG
중요성	중요/NNG+성/XSN
홍보,	홍보/NNG+,/SP
활력	활력/NNG
넘치는	넘치/VV+는/ETM
어촌공동체	어촌/NNG+공동체/NNG
건설,	건설/NNG+,/SP
녹색성장	녹색/NNG+성장/NNG
산업으로의	산업/NNG+으로/JKB+의/JKG
도약	도약/NNG
등을	등/NNB+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


