# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.12
metadata : {}


# id : NWRW1800000044.12.1.1
금융사, 이번엔 거짓 상품 정보에 허위 계약서까지

금융사,	금융사/NNG+,/SP
받을	받/VV+을/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
고객을	고객/NNG+을/JKO
꾀었다.	꾀/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.12.5.3
심지어 만기 환급금이 없거나 적은 소멸성·보장성 보험임에도 월 보험료가 적립되는 것처럼 안내하기도 했다.

심지어	심지어/MAG
만기	만기/NNG
환급금이	환급금/NNG+이/JKS
없거나	없/VA+거나/EC
적은	적/VA+은/ETM
소멸성·보장성	소멸/NNG+성/XSN+·/SP+보장/NNG+성/XSN
보험임에도	보험/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
월	월/NNG
보험료가	보험료/NNG+가/JKS
적립되는	적립/NNG+되/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
안내하기도	안내/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.12.5.4
이들 카드사는 이런 방식으로 2011년 7월부터 2013년 3월까지 모두 7만건에 이르는 보험모집을 한 것으로 나타났다.

이들	이/NP+들/XSN
카드사는	카드사/NNG+는/JX
이런	이런/MMD
방식으로	방식/NNG+으로/JKB
2011년	2011/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
2013년	2013/SN+년/NNB
3월까지	3/SN+월/NNB+까지/JX
모두	모두/MAG
7만건에	7/SN+만/NR+건/NNB+에/JKB
이르는	이르/VV+는/ETM
보험모집을	보험/NNG+모집/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.12.5.5
부당 모집으로 챙긴 보험료는 보험 계약 첫회(초회 보험료)만 100억원에 이른다.

부당	부당/NNG
모집으로	모집/NNG+으로/JKB
챙긴	챙기/VV+ㄴ/ETM
보험료는	보험료/NNG+는/JX
보험	보험/NNG
계약	계약/NNG
첫회(초회	첫/MMN+회/NNB+(/SS+초회/NNG
보험료)만	보험료/NNG+)/SS+만/JX
100억원에	100/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.12.6.1
값비싼 특약 보험료를 강제로 고객한테 떠넘긴 보험사도 적발됐다.

값비싼	값비싸/VA+ㄴ/ETM
특약	특약/NNG
보험료를	보험료/NNG+를/JKO
강제로	강제/NNG+로/JKB
고객한테	고객/NNG+한테/JKB
떠넘긴	떠넘기/VV+ㄴ/ETM
보험사도	보험사/NNG+도/JX
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.12.6.2
엘아이지(LIG)손해보험과 한화손해보험은 2011년 10월부터 2012년 2월까지 상품 계약 조건 등이 담긴 사업방법서에 특약 ‘의무부가’ 여부를 적지 않은 채 고액 보험료가 부과되는 특약을 고객들이 의무적으로 들도록 했다.

엘아이지(LIG)손해보험과	엘아이지/NNP+(/SS+LIG/SL+)/SS+손해/NNG+보험/NNG+과/JC
한화손해보험은	한화손해보험/NNP+은/JX
2011년	2011/SN+년/NNB
10월부터	10/SN+월/NNB+부터/JX
2012년	2012/SN+년/NNB
2월까지	2/SN+월/NNB+까지/JX
상품	상품/NNG
계약	계약/NNG
조건	조건/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
사업방법서에	사업/NNG+방법서/NNG+에/JKB
특약	특약/NNG
‘의무부가’	‘/SS+의무/NNG+부가/NNG+’/SS
여부를	여부/NNG+를/JKO
적지	적/VA+지/EC
않은	않/VX+은/ETM
채	채/NNB
고액	고액/NNG
보험료가	보험료/NNG+가/JKS
부과되는	부과/NNG+되/XSV+는/ETM
특약을	특약/NNG+을/JKO
고객들이	고객/NNG+들/XSN+이/JKS
의무적으로	의무/NNG+적/XSN+으로/JKB
들도록	들/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.12.6.3
이런 방식으로 엘아이지손해보험과 한화손해보험은 각각 1만8238건과 3만479건의 보험을 팔았다.

이런	이런/MMD
방식으로	방식/NNG+으로/JKB
엘아이지손해보험과	엘아이지손해보험/NNP+과/JC
한화손해보험은	한화손해보험/NNP+은/JX
각각	각각/MAG
1만8238건과	1/SN+만/NR+8238/SN+건/NNB+과/JC
3만479건의	3/SN+만/NR+479/SN+건/NNB+의/JKG
보험을	보험/NNG+을/JKO
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.12.6.4
금융위는 이들 회사에 다른 부당행위를 덧붙여 과징금 3억4800만원과 5200만원을 각각 부과했다.

금융위는	금융위/NNG+는/JX
이들	이/NP+들/XSN
회사에	회사/NNG+에/JKB
다른	다른/MMD
부당행위를	부당/NNG+행위/NNG+를/JKO
덧붙여	덧붙이/VV+어/EC
과징금	과징금/NNG
3억4800만원과	3/SN+억/NR+4800/SN+만/NR+원/NNB+과/JC
5200만원을	5200/SN+만/NR+원/NNB+을/JKO
각각	각각/MAG
부과했다.	부과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.12.6.5
금융위와 금감원 쪽은 “고객을 기만하는 형태의 영업행위에는 앞으로도 엄중 조치할 것”이라고 말했다.

금융위와	금융위/NNG+와/JC
금감원	금감원/NNG
쪽은	쪽/NNB+은/JX
“고객을	“/SS+고객/NNG+을/JKO
기만하는	기만/NNG+하/XSV+는/ETM
형태의	형태/NNG+의/JKG
영업행위에는	영업/NNG+행위/NNG+에/JKB+는/JX
앞으로도	앞/NNG+으로/JKB+도/JX
엄중	엄중/NNG
조치할	조치/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


