# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.330
metadata : {}


# id : NWRW1800000030.330.1.1
홍준표 4, 원희룡 3, 나경원 1(복수응답 포함)

홍준표	홍준표/NNP
1명씩이었다.	1/SN+명/NNB+씩/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.330.5.2
〈그래픽 참조〉.

〈그래픽	〈/SS+그래픽/NNG
참조〉.	참조/NNG+〉/SS+./SF


# id : NWRW1800000030.330.5.3
2위 예상자로 홍 후보를 꼽은 후보는 3명, 원 후보 2명, 나 후보 1명이었다.

2위	2/SN+위/NNB
예상자로	예상자/NNG+로/JKB
홍	홍/NNP
후보를	후보/NNG+를/JKO
꼽은	꼽/VV+은/ETM
후보는	후보/NNG+는/JX
3명,	3/SN+명/NNB+,/SP
원	원/NNP
후보	후보/NNG
2명,	2/SN+명/NNB+,/SP
나	나/NNP
1명이었다.	1/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.330.5.4
홍 후보는 모든 후보가 최소 2위 안에 들 것으로 예상했다.

홍	홍/NNP
후보는	후보/NNG+는/JX
모든	모든/MMN
후보가	후보/NNG+가/JKS
최소	최소/NNG
2위	2/SN+위/NNB
안에	안/NNG+에/JKB
들	들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.330.5.5
유승민 후보에 대해선 4명의 후보가 3위를 차지할 것이라고 답했고, 남경필 후보는 5명의 후보에게서 5위 예상자로 꼽혔다.

유승민	유승민/NNP
후보에	후보/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
4명의	4/SN+명/NNB+의/JKG
후보가	후보/NNG+가/JKS
3위를	3/SN+위/NNB+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
답했고,	답/NNG+하/XSV+았/EP+고/EC+,/SP
남경필	남경필/NNP
후보는	후보/NNG+는/JX
5명의	5/SN+명/NNB+의/JKG
후보에게서	후보/NNG+에게서/JKB
5위	5/SN+위/NNB
예상자로	예상자/NNG+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.330.6.1
홍 후보가 유력하다고 보는 이유로는 "인지도가 높고 전투력이 강하다" "친이·친박·중도파에서 고루 표를 받고 있다"는 점이 꼽혔다.

홍	홍/NNP
후보가	후보/NNG+가/JKS
유력하다고	유력/NNG+하/XSA+다고/EC
보는	보/VV+는/ETM
이유로는	이유/NNG+로/JKB+는/JX
"인지도가	"/SS+인지도/NNG+가/JKS
높고	높/VA+고/EC
전투력이	전투력/NNG+이/JKS
강하다"	강하/VA+다/EF+"/SS
"친이·친박·중도파에서	"/SS+친/XPN+이/NNP+·/SP+친/XPN+박/NNP+·/SP+중도파/NNG+에서/JKB
고루	고루/MAG
표를	표/NNG+를/JKO
받고	받/VV+고/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
점이	점/NNG+이/JKS
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.330.6.2
원 후보에 대해선 "친이계의 집중 지지를 받고 있다" "조직세가 강하다"는 평가가 나왔고, 나 후보는 "여론조사에서 강세를 보이고 있고, 일반 당원들에게도 인기가 높다"는 얘기를 들었다.

원	원/NNP
후보에	후보/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"친이계의	"/SS+친/XPN+이/NNP+계/XSN+의/JKG
집중	집중/NNG
지지를	지지/NNG+를/JKO
받고	받/VV+고/EC
있다"	있/VX+다/EF+"/SS
"조직세가	"/SS+조직/NNG+세/NNG+가/JKS
강하다"는	강하/VA+다/EF+"/SS+는/ETM
평가가	평가/NNG+가/JKS
나왔고,	나오/VV+았/EP+고/EC+,/SP
나	나/NNP
후보는	후보/NNG+는/JX
"여론조사에서	"/SS+여론/NNG+조사/NNG+에서/JKB
강세를	강세/NNG+를/JKO
보이고	보이/VV+고/EC
있고,	있/VX+고/EC+,/SP
일반	일반/NNG
당원들에게도	당원/NNG+들/XSN+에게/JKB+도/JX
인기가	인기/NNG+가/JKS
높다"는	높/VA+다/EF+"/SS+는/ETM
얘기를	얘기/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.330.7.1
◆대세론이냐 역전이냐

◆대세론이냐	◆/SW+대세/NNG+론/XSN+이/VCP+냐/EF
역전이냐	역전/NNG+이/VCP+냐/EF


# id : NWRW1800000030.330.8.1
그동안 각 언론사와 후보 진영이 실시한 여론조사에서도 홍준표·원희룡·나경원 후보가 '3강'을 형성하며 엎치락뒤치락해 왔다.

그동안	그동안/NNG
각	각/MMD
언론사와	언론사/NNG+와/JC
후보	후보/NNG
진영이	진영/NNG+이/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
여론조사에서도	여론/NNG+조사/NNG+에서/JKB+도/JX
홍준표·원희룡·나경원	홍준표/NNP+·/SP+원희룡/NNP+·/SP+나경원/NNP
후보가	후보/NNG+가/JKS
'3강'을	'/SS+3/SN+강/NNB+'/SS+을/JKO
형성하며	형성/NNG+하/XSV+며/EC
엎치락뒤치락해	엎치락뒤치락/MAG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.330.8.2
일반인 여론조사에선 나경원·홍준표 후보가, 선거인단 여론조사에선 홍준표·원희룡 후보가 다소 앞선 것으로 알려졌다.

일반인	일반인/NNG
여론조사에선	여론/NNG+조사/NNG+에서/JKB+ㄴ/JX
나경원·홍준표	나경원/NNP+·/SP+홍준표/NNP
후보가,	후보/NNG+가/JKS+,/SP
선거인단	선거인단/NNG
홍준표·원희룡	홍준표/NNP+·/SP+원희룡/NNP
후보가	후보/NNG+가/JKS
다소	다소/MAG
앞선	앞서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.330.9.1
홍 후보 측은 "일반인·선거인단, 친이·친박을 가리지 않고 지지세가 쏠리고 있다"며 '대세론'을 폈다.

홍	홍/NNP
후보	후보/NNG
측은	측/NNB+은/JX
"일반인·선거인단,	"/SS+일반인/NNG+·/SP+선거인단/NNG+,/SP
친이·친박을	친/XPN+이/NNP+·/SP+친/XPN+박/NNP+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
지지세가	지지세/NNG+가/JKS
쏠리고	쏠리/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
'대세론'을	'/SS+대세/NNG+론/XSN+'/SS+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.330.9.2
그러나 원 후보 측은 "지난 30일을 기점으로 일반인 여론조사에서 급상승하고 선거인단에선 뒤집어지고 있다"며 '판세 역전'을 주장했다.

그러나	그러나/MAJ
원	원/NNP
후보	후보/NNG
측은	측/NNB+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
30일을	30/SN+일/NNB+을/JKO
기점으로	기점/NNG+으로/JKB
일반인	일반인/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
급상승하고	급상승/NNG+하/XSV+고/EC
선거인단에선	선거인단/NNG+에서/JKB+ㄴ/JX
뒤집어지고	뒤집/VV+어/EC+지/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
'판세	'/SS+판세/NNG
역전'을	역전/NNG+'/SS+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.330.9.3
나 후보 측은 "일반인의 지지세가 당원들에게도 계속 확산되고 있다"고 했다.

나	나/NNP
후보	후보/NNG
측은	측/NNB+은/JX
"일반인의	"/SS+일반인/NNG+의/JKG
지지세가	지지세/NNG+가/JKS
당원들에게도	당원/NNG+들/XSN+에게/JKB+도/JX
계속	계속/MAG
확산되고	확산/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.330.10.1
유 후보 측은 "친박뿐 아니라 친이에서도 표가 오고 있다"고 했고, 남 후보는 "변화를 원하는 젊은 표심이 몰리고 있다"고 했다.

유	유/NNP
후보	후보/NNG
측은	측/NNB+은/JX
"친박뿐	"/SS+친/XPN+박/NNP+뿐/JX
아니라	아니/VCN+라/EC
친이에서도	친/XPN+이/NNP+에서/JKB+도/JX
표가	표/NNG+가/JKS
오고	오/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
남	남/NNP
후보는	후보/NNG+는/JX
"변화를	"/SS+변화/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
젊은	젊/VA+은/ETM
표심이	표심/NNG+이/JKS
몰리고	몰리/VV+고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.330.10.2
권 후보는 "친박이 적극 지지하고 있다"고 했고, 박 후보는 "'책임 있는 보수론'이 어필하고 있다"고 했다.

권	권/NNP
후보는	후보/NNG+는/JX
"친박이	"/SS+친/XPN+박/NNP+이/JKS
적극	적극/NNG
지지하고	지지/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
박	박/NNP
"'책임	"/SS+'/SS+책임/NNG
있는	있/VA+는/ETM
보수론'이	보수/NNG+론/XSN+'/SS+이/JKS
어필하고	어필/NNG+하/XSV+고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.330.11.1
◆투표율·조직표가 변수

◆투표율·조직표가	◆/SW+투표/NNG+율/XSN+·/SP+조직/NNG+표/NNG+가/JKS
변수	변수/NNG


# id : NWRW1800000030.330.12.1
각 후보들은 투표율을 막판 최대 변수로 꼽았다.

각	각/MMD
후보들은	후보/NNG+들/XSN+은/JX
투표율을	투표/NNG+율/XSN+을/JKO
막판	막판/NNG
최대	최대/NNG
변수로	변수/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.330.12.2
선거인단 전국 동시 투표가 실시되는 3일에는 장맛비가 내릴 것으로 예상된다.

선거인단	선거인단/NNG
전국	전국/NNG
동시	동시/NNG
투표가	투표/NNG+가/JKS
실시되는	실시/NNG+되/XSV+는/ETM
3일에는	3/SN+일/NNB+에/JKB+는/JX
장맛비가	장맛비/NNG+가/JKS
내릴	내리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.330.12.3
당 관계자는 "당초 40% 투표율까지 예상했는데 25%까지 떨어질 수 있다"며 "그러면 조직선거가 될 공산이 크다"고 했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
"당초	"/SS+당초/NNG
40%	40/SN+%/SW
투표율까지	투표/NNG+율/XSN+까지/JX
예상했는데	예상/NNG+하/XSV+았/EP+는데/EC
25%까지	25/SN+%/SW+까지/JX
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"그러면	"/SS+그러면/MAJ
조직선거가	조직/NNG+선거/NNG+가/JKC
될	되/VV+ㄹ/ETM
공산이	공산/NNG+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.330.12.4
조직력이 강한 원희룡·홍준표 후보에겐 유리하게 작용할 수 있는 반면 나경원·남경필 후보는 "비가 너무 오지 않길 기도하고 있다"고 했다.

조직력이	조직력/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
원희룡·홍준표	원희룡/NNP+·/SP+홍준표/NNP
후보에겐	후보/NNG+에게/JKB+ㄴ/JX
유리하게	유리/NNG+하/XSA+게/EC
작용할	작용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
반면	반면/NNG
나경원·남경필	나경원/NNP+·/SP+남경필/NNP
후보는	후보/NNG+는/JX
"비가	"/SS+비/NNG+가/JKS
너무	너무/MAG
오지	오/VV+지/EC
않길	않/VX+기/ETN+ㄹ/JKO
기도하고	기도/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.330.13.1
한편 선거인단 21만명 중 10~20%가량이 주소·전화번호 오기·불명 등으로 투표 통지를 받지 못한 것으로 알려졌다.

한편	한편/MAG
선거인단	선거인단/NNG
21만명	21/SN+만/NR+명/NNB
중	중/NNB
10~20%가량이	10/SN+~/SO+20/SN+%/SW+가량/XSN+이/JKS
주소·전화번호	주소/NNG+·/SP+전화번호/NNG
오기·불명	오기/NNG+·/SP+불명/NNG
등으로	등/NNB+으로/JKB
투표	투표/NNG
통지를	통지/NNG+를/JKO
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.330.13.2
이들은 투표 참여가 힘들 것으로 보여 추후 선거 효력에 대한 논란이 일 가능성도 있다.

이들은	이/NP+들/XSN+은/JX
투표	투표/NNG
참여가	참여/NNG+가/JKS
힘들	힘들/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보여	보이/VV+어/EC
추후	추후/NNG
선거	선거/NNG
효력에	효력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.330.14.1
선거 막판에 친이·친박 진영의 '뭉치표(조직표)'가 특정 후보로 움직일 가능성도 배제할 수 없다.

선거	선거/NNG
막판에	막판/NNG+에/JKB
친이·친박	친/XPN+이/NNP+·/SP+친/XPN+박/NNP
진영의	진영/NNG+의/JKG
'뭉치표(조직표)'가	'/SS+뭉치/NNG+표/NNG+(/SS+조직/NNG+표/NNG+)/SS+'/SS+가/JKS
특정	특정/NNG
후보로	후보/NNG+로/JKB
움직일	움직이/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.330.14.2
벌써 당내엔 "친이계가 급속히 결집하고 있다" "친박 진영이 주말에 특정 후보 지지 오더(지시)를 내릴 것"이란 소문이 파다하다.

벌써	벌써/MAG
당내엔	당내/NNG+에/JKB+ㄴ/JX
"친이계가	"/SS+친/XPN+이/NNP+계/XSN+가/JKS
급속히	급속히/MAG
결집하고	결집/NNG+하/XSV+고/EC
있다"	있/VX+다/EF+"/SS
"친박	"/SS+친/XPN+박/NNP
진영이	진영/NNG+이/JKS
주말에	주말/NNG+에/JKB
특정	특정/NNG
후보	후보/NNG
지지	지지/NNG
오더(지시)를	오더/NNG+(/SS+지시/NNG+)/SS+를/JKO
내릴	내리/VV+ㄹ/ETM
것"이란	것/NNB+"/SS+이/VCP+란/ETM
소문이	소문/NNG+이/JKS
파다하다.	파다하/VA+다/EF+./SF


