# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.9
metadata : {}


# id : NWRW1800000041.9.1.1
에코, 솔라, 그리고 强小車

에코,	에코/NNG+,/SP
모터쇼	모터쇼/NNG
개막에	개막/NNG+에/JKB
앞서	앞서/VV+어/EC
4,	4/SN+,/SP
5일	5/SN+일/NNB
행사장인	행사장/NNG+이/VCP+ㄴ/ETM
‘팔렉스포’에서	‘/SS+팔렉스포/NNP+’/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
‘프레스데이’(모터쇼	‘/SS+프레스데이/NNG+’/SS+(/SS+모터쇼/NNG
참가	참가/NNG
업체들이	업체/NNG+들/XSN+이/JKS
언론에	언론/NNG+에/JKB
미리	미리/MAG
출품	출품/NNG
차량과	차량/NNG+과/JC
기술을	기술/NNG+을/JKO
공개하는	공개/NNG+하/XSV+는/ETM
행사)에서는	행사/NNG+)/SS+에서/JKB+는/JX
환경을	환경/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
유럽자동차	유럽/NNP+자동차/NNG
시장	시장/NNG
트렌드에	트렌드/NNG+에/JKB
맞춘	맞추/VV+ㄴ/ETM
자동차가	자동차/NNG+가/JKS
대거	대거/MAG
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.9.5.1
이번 제네바모터쇼에는 완성차 업체 60여 곳 등 자동차 관련 250여 개 업체가 참가했다.

이번	이번/NNG
제네바모터쇼에는	제네바/NNP+모터쇼/NNG+에/JKB+는/JX
완성차	완성차/NNG
업체	업체/NNG
60여	60/SN+여/XSN
곳	곳/NNG
등	등/NNB
자동차	자동차/NNG
관련	관련/NNG
250여	250/SN+여/XSN
개	개/NNB
업체가	업체/NNG+가/JKS
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.5.2
제네바 모터쇼는 ‘북미국제오토쇼’, ‘파리 모터쇼’, ‘프랑크푸르트 모터쇼’와 함께 세계 4대 모터쇼로 꼽힌다.

제네바	제네바/NNP
모터쇼는	모터쇼/NNG+는/JX
‘북미국제오토쇼’,	‘/SS+북미/NNP+국제/NNG+오토쇼/NNG+’/SS+,/SP
‘파리	‘/SS+파리/NNP
모터쇼’,	모터쇼/NNG+’/SS+,/SP
‘프랑크푸르트	‘/SS+프랑크푸르트/NNP
모터쇼’와	모터쇼/NNG+’/SS+와/JKB
함께	함께/MAG
세계	세계/NNG
4대	4/SN+대/NNG
모터쇼로	모터쇼/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.9.6.1
○ 하이브리드카에서 태양열 자동차까지

○	○/SW
하이브리드카에서	하이브리드카/NNG+에서/JKB
태양열	태양열/NNG
자동차까지	자동차/NNG+까지/JX


# id : NWRW1800000041.9.7.1
출품 차량 중 65종은 유럽연합(EU) 환경규제 ‘유로6’ 기준에 이미 부합하는 차들이었다.

출품	출품/NNG
차량	차량/NNG
중	중/NNB
65종은	65/SN+종/NNG+은/JX
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
환경규제	환경/NNG+규제/NNG
‘유로6’	‘/SS+유로/NNG+6/SN+’/SS
기준에	기준/NNG+에/JKB
이미	이미/MAG
부합하는	부합/NNG+하/XSV+는/ETM
차들이었다.	차/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.9.7.2
유로6는 2021년부터 EU 회원국에서 판매되는 차량의 이산화탄소 배출량을 1km 주행거리당 95g으로 규제하는 것이다.

유로6는	유로/NNG+6/SN+는/JX
2021년부터	2021/SN+년/NNB+부터/JX
EU	EU/SL
회원국에서	회원국/NNG+에서/JKB
판매되는	판매/NNG+되/XSV+는/ETM
차량의	차량/NNG+의/JKG
이산화탄소	이산화/NNG+탄소/NNG
배출량을	배출량/NNG+을/JKO
1km	1/SN+km/SW
주행거리당	주행/NNG+거리/NNG+당/XSN
95g으로	95/SN+g/SW+으로/JKB
규제하는	규제/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.9.8.1
독일 폴크스바겐은 ‘골프’의 플러그인 하이브리드차 ‘골프 GTE’를 세계 처음으로 내놨다.

독일	독일/NNP
폴크스바겐은	폴크스바겐/NNP+은/JX
‘골프’의	‘/SS+골프/NNG+’/SS+의/JKG
플러그인	플러그인/NNG
하이브리드차	하이브리드/NNG+차/NNG
‘골프	‘/SS+골프/NNG
GTE’를	GTE/SL+’/SS+를/JKO
세계	세계/NNG
처음으로	처음/NNG+으로/JKB
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.8.2
마르틴 빈터코른 폴크스바겐 회장은 3일 열린 전야제에서 “2018년까지 친환경차 연구개발에 100억 유로를 투자하고, 생산공정에서 이산화탄소 배출량을 25% 낮추겠다”고 말했다.

마르틴	마르틴/NNP
빈터코른	빈터코른/NNP
폴크스바겐	폴크스바겐/NNP
회장은	회장/NNG+은/JX
3일	3/SN+일/NNB
열린	열리/VV+ㄴ/ETM
전야제에서	전야제/NNG+에서/JKB
“2018년까지	“/SS+2018/SN+년/NNB+까지/JX
친환경차	친/XPN+환경/NNG+차/NNG
연구개발에	연구/NNG+개발/NNG+에/JKB
100억	100/SN+억/NR
유로를	유로/NNB+를/JKO
투자하고,	투자/NNG+하/XSV+고/EC+,/SP
생산공정에서	생산/NNG+공정/NNG+에서/JKB
이산화탄소	이산화/NNG+탄소/NNG
배출량을	배출량/NNG+을/JKO
25%	25/SN+%/SW
낮추겠다”고	낮추/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.9.1
일본 미쓰비시는 부스명을 ‘드라이브@어스’로 정하고 올해 출품작 8개를 플러그인 하이브리드차 등 모두 스포츠유틸리티차량(SUV) 전기차로 채웠다.

일본	일본/NNP
미쓰비시는	미쓰비시/NNP+는/JX
부스명을	부스/NNG+명/NNG+을/JKO
‘드라이브@어스’로	‘/SS+드라이브/NNG+@/SW+어스/NNG+’/SS+로/JKB
정하고	정하/VV+고/EC
올해	올해/NNG
출품작	출품작/NNG
8개를	8/SN+개/NNB+를/JKO
플러그인	플러그인/NNG
하이브리드차	하이브리드/NNG+차/NNG
등	등/NNB
모두	모두/MAG
스포츠유틸리티차량(SUV)	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS
전기차로	전기/NNG+차/NNG+로/JKB
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.9.9.2
워너 프레이 미쓰비시독일지사 매니징 디렉터는 “전기차 중에서도 유럽에서 인기가 많은 SUV에 집중했다”고 설명했다.

워너	워너/NNP
프레이	프레이/NNP
미쓰비시독일지사	미쓰비시/NNP+독일/NNP+지사/NNG
매니징	매니징/NNG
디렉터는	디렉터/NNG+는/JX
“전기차	“/SS+전기/NNG+차/NNG
중에서도	중/NNB+에서/JKB+도/JX
유럽에서	유럽/NNP+에서/JKB
인기가	인기/NNG+가/JKS
많은	많/VA+은/ETM
SUV에	SUV/SL+에/JKB
집중했다”고	집중/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.10.1
미국 전기차 업체 테슬라는 ‘모델S’를 전시했다.

미국	미국/NNP
전기차	전기/NNG+차/NNG
업체	업체/NNG
테슬라는	테슬라/NNP+는/JX
‘모델S’를	‘/SS+모델/NNG+S/SL+’/SS+를/JKO
전시했다.	전시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.10.2
폴라 덴 던넌 유럽 커뮤니케이션 디렉터는 “올해 유럽 내 매장을 11개에서 30개로 늘릴 계획”이라며 “약 3년 뒤 가격을 3만 달러대로 낮춘 보급형 모델을 선보인다”고 말했다.

폴라	폴라/NNP
덴	덴/NNP
던넌	던넌/NNP
유럽	유럽/NNP
커뮤니케이션	커뮤니케이션/NNG
디렉터는	디렉터/NNG+는/JX
“올해	“/SS+올해/NNG
내	내/NNB
매장을	매장/NNG+을/JKO
11개에서	11/SN+개/NNB+에서/JKB
30개로	30/SN+개/NNB+로/JKB
늘릴	늘리/VV+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“약	“/SS+약/MMA
3년	3/SN+년/NNB
뒤	뒤/NNG
가격을	가격/NNG+을/JKO
3만	3/SN+만/NR
달러대로	달러/NNB+대/XSN+로/JKB
낮춘	낮추/VV+ㄴ/ETM
보급형	보급/NNG+형/XSN
모델을	모델/NNG+을/JKO
선보인다”고	선보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.11.1
미국 포드는 태양열로 움직이는 콘셉트카 ‘C맥스 솔라 에너지’를 내놨다.

미국	미국/NNP
포드는	포드/NNP+는/JX
태양열로	태양열/NNG+로/JKB
움직이는	움직이/VV+는/ETM
콘셉트카	콘셉트카/NNG
‘C맥스	‘/SS+C/SL+맥스/NNP
솔라	솔라/NNP
에너지’를	에너지/NNP+’/SS+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.11.2
자동차 지붕에 달린 패널이 태양열을 모아 에너지로 변환하는 원리다.

자동차	자동차/NNG
지붕에	지붕/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
패널이	패널/NNG+이/JKS
태양열을	태양열/NNG+을/JKO
모아	모으/VV+아/EC
에너지로	에너지/NNG+로/JKB
변환하는	변환/NNG+하/XSV+는/ETM
원리다.	원리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.9.12.1
○ 수소연료전지차로 승부를 건 현대차

○	○/SW
수소연료전지차로	수소/NNG+연료/NNG+전지/NNG+차/NNG+로/JKB
승부를	승부/NNG+를/JKO
건	걸/VV+ㄴ/ETM
현대차	현대차/NNP


# id : NWRW1800000041.9.13.1
현대자동차는 수소연료전지차 콘셉트카인 ‘인트라도’를 공개했다.

현대자동차는	현대자동차/NNP+는/JX
수소연료전지차	수소/NNG+연료/NNG+전지/NNG+차/NNG
콘셉트카인	콘셉트카/NNG+이/VCP+ㄴ/ETM
‘인트라도’를	‘/SS+인트라도/NNP+’/SS+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.13.2
한 번 충전에 600km까지 갈 수 있는 차량이다.

한	한/MMN
번	번/NNB
충전에	충전/NNG+에/JKB
600km까지	600/SN+km/SW+까지/JX
갈	가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
차량이다.	차량/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.9.13.3
피터 슈라이어 현대·기아차 사장은 “인트라도는 현대차의 미래 디자인을 담았다”며 “신형 제네시스의 ‘플루이딕 스컬프처 2.0’보다 발전한 2.5 단계”라고 소개했다.

피터	피터/NNP
슈라이어	슈라이어/NNP
현대·기아차	현대/NNP+·/SP+기아차/NNP
사장은	사장/NNG+은/JX
“인트라도는	“/SS+인트라도/NNP+는/JX
현대차의	현대차/NNP+의/JKG
미래	미래/NNG
디자인을	디자인/NNG+을/JKO
담았다”며	담/VV+았/EP+다/EF+”/SS+며/EC
“신형	“/SS+신형/NNG
제네시스의	제네시스/NNP+의/JKG
‘플루이딕	‘/SS+플루이딕/NNG
스컬프처	스컬프처/NNG
2.0’보다	2/SN+./SP+0/SN+’/SS+보다/JKB
발전한	발전/NNG+하/XSV+ㄴ/ETM
2.5	2/SN+./SP+5/SN
단계”라고	단계/NNG+”/SS+라고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.14.1
행사장에서 만난 앨런 러시포스 현대차 유럽판매법인 부사장은 “EU 정부 및 비정부기관들과 수소연료전지차 판매와 관련해 협상 막바지 단계에 이르렀다”며 “아직 충전 인프라가 깔려 있지 않다는 점을 감안하면 향후 5∼10년 뒤에는 1년에 수백 대씩은 수소연료전지차를 팔 수 있을 것”이라고 말했다.

행사장에서	행사장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
앨런	앨런/NNP
러시포스	러시포스/NNP
현대차	현대차/NNP
유럽판매법인	유럽/NNP+판매/NNG+법인/NNG
부사장은	부사장/NNG+은/JX
“EU	“/SS+EU/SL
정부	정부/NNG
및	및/MAG
비정부기관들과	비/XPN+정부/NNG+기관/NNG+들/XSN+과/JC
수소연료전지차	수소/NNG+연료/NNG+전지/NNG+차/NNG
판매와	판매/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
협상	협상/NNG
막바지	막바지/NNG
단계에	단계/NNG+에/JKB
이르렀다”며	이르/VV+었/EP+다/EF+”/SS+며/EC
“아직	“/SS+아직/MAG
충전	충전/NNG
인프라가	인프라/NNG+가/JKS
깔려	깔리/VV+어/EC
있지	있/VX+지/EC
않다는	않/VX+다는/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
향후	향후/NNG
5∼10년	5/SN+∼/SO+10/SN+년/NNB
뒤에는	뒤/NNG+에/JKB+는/JX
1년에	1/SN+년/NNB+에/JKB
수백	수백/NR
대씩은	대/NNB+씩/XSN+은/JX
수소연료전지차를	수소/NNG+연료/NNG+전지/NNG+차/NNG+를/JKO
팔	팔/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.15.1
○ 작지만 강한 차

○	○/SW
작지만	작/VA+지만/EC
강한	강하/VA+ㄴ/ETM
차	차/NNG


# id : NWRW1800000041.9.16.1
글로벌 완성차업체들은 콘셉트카보다는 당장 양산 가능한 신차들을 주로 선보였다.

글로벌	글로벌/NNG
완성차업체들은	완성차업체/NNG+들/XSN+은/JX
콘셉트카보다는	콘셉트카/NNG+보다/JKB+는/JX
당장	당장/NNG
양산	양산/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
신차들을	신차/NNG+들/XSN+을/JKO
주로	주로/MAG
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.9.16.2
경기 회복세에 맞춰 하루라도 빨리 시장에 선보이려는 것이다.

경기	경기/NNG
회복세에	회복세/NNG+에/JKB
맞춰	맞추/VV+어/EC
하루라도	하루/NNG+이/VCP+라도/EC
빨리	빨리/MAG
시장에	시장/NNG+에/JKB
선보이려는	선보이/VV+려는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.9.17.1
프랑스 르노 트윙고와 일본 도요타 ‘아이고’는 ‘운전의 즐거움’을 강조했다.

프랑스	프랑스/NNP
르노	르노/NNP
트윙고와	트윙고/NNG+와/JC
일본	일본/NNP
도요타	도요타/NNP
‘아이고’는	‘/SS+아이고/NNG+’/SS+는/JX
‘운전의	‘/SS+운전/NNG+의/JKG
즐거움’을	즐거움/NNG+’/SS+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.17.2
트윙고는 엔진을 뒷부분에 넣고 보닛의 길이를 줄여 코너가 많은 도시에 적합하다.

트윙고는	트윙고/NNG+는/JX
엔진을	엔진/NNG+을/JKO
뒷부분에	뒷부분/NNG+에/JKB
넣고	넣/VV+고/EC
보닛의	보닛/NNG+의/JKG
길이를	길이/NNG+를/JKO
줄여	줄이/VV+어/EC
코너가	코너/NNG+가/JKS
많은	많/VA+은/ETM
도시에	도시/NNG+에/JKB
적합하다.	적합/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.9.17.3
아이고는 스마트폰과 연동해 음악을 듣거나 지도 검색을 할 수 있는 대형 디스플레이를 달았다.

아이고는	아이고/NNG+는/JX
스마트폰과	스마트폰/NNG+과/JKB
연동해	연동/NNG+하/XSV+아/EC
음악을	음악/NNG+을/JKO
듣거나	듣/VV+거나/EC
지도	지도/NNG
검색을	검색/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대형	대형/NNG
디스플레이를	디스플레이/NNG+를/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.18.1
독일 BMW는 처음으로 전륜구동을 적용한 소형 다목적차량(MPV) ‘2시리즈 액티브 투어러’를 발표했다.

독일	독일/NNP
BMW는	BMW/SL+는/JX
처음으로	처음/NNG+으로/JKB
전륜구동을	전륜/NNG+구동/NNG+을/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
소형	소형/NNG
다목적차량(MPV)	다목적/NNG+차량/NNG+(/SS+MPV/SL+)/SS
‘2시리즈	‘/SS+2/SN+시리즈/NNP
액티브	액티브/NNP
투어러’를	투어러/NNP+’/SS+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.9.18.2
독일 아우디는 경차 ‘A1’의 고성능 버전 ‘S1’과 ‘S1 스포트백’을 내놓았다.

독일	독일/NNP
아우디는	아우디/NNP+는/JX
경차	경차/NNG
‘A1’의	‘/SS+A/SL+1/SN+’/SS+의/JKG
고성능	고/XPN+성능/NNG
버전	버전/NNG
‘S1’과	‘/SS+S/SL+1/SN+’/SS+과/JC
‘S1	‘/SS+S/SL+1/SN
스포트백’을	스포트백/NNG+’/SS+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


