# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.124
metadata : {}


# id : NWRW1800000048.124.1.1
일본산 스텔스기 다음달 공개

일본산	일본/NNP+산/XSN
신신·心神)	신신/NNP+·/SP+心神/SH+)/SS
기체를	기체/NNG+를/JKO
아이치현	아이치현/NNP
도요야마초에	도요야마초/NNP+에/JKB
있는	있/VA+는/ETM
미쓰비시중공업	미쓰비시중공업/NNP
고마키	고마키/NNP
남	남/NNG
공장에서	공장/NNG+에서/JKB
공개할	공개/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
<니혼게이자이신문>이	</SS+니혼게이자이신문/NNP+>/SS+이/JKS
20일	20/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.124.5.2
방위성은 이번 기체 공개 이후 9월 초쯤 항공자위대 기후기지에서 엔진 성능과 조작성 등을 평가하기 위한 시험비행도 할 예정이다.

방위성은	방위성/NNG+은/JX
이번	이번/NNG
기체	기체/NNG
공개	공개/NNG
이후	이후/NNG
9월	9/SN+월/NNB
초쯤	초/NNB+쯤/XSN
항공자위대	항공/NNG+자위대/NNG
기후기지에서	기후/NNG+기지/NNG+에서/JKB
엔진	엔진/NNG
성능과	성능/NNG+과/JC
조작성	조작/NNG+성/XSN
등을	등/NNB+을/JKO
평가하기	평가/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
시험비행도	시험/NNG+비행/NNG+도/JX
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.124.5.3
이 스텔스기는 애초 올 1월께 시험 비행에 나설 예정이었지만, 예정보다 일정이 다소 늦어졌다.

이	이/MMD
스텔스기는	스텔스기/NNG+는/JX
애초	애초/NNG
올	올/NNG
1월께	1/SN+월/NNB+께/XSN
시험	시험/NNG
비행에	비행/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
예정이었지만,	예정/NNG+이/VCP+었/EP+지만/EC+,/SP
예정보다	예정/NNG+보다/JKB
일정이	일정/NNG+이/JKS
다소	다소/MAG
늦어졌다.	늦어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.124.5.4
이 시범 제작기를 만드는데 든 총비용은 393억엔이다.

이	이/MMD
시범	시범/NNG
제작기를	제작기/NNG+를/JKO
만드는데	만들/VV+는데/EC
든	들/VV+ㄴ/ETM
총비용은	총비용/NNG+은/JX
393억엔이다.	393/SN+억/NR+엔/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.124.6.1
스텔스 기술은 상대의 레이터에 탐지되지 않는 기술이다.

스텔스	스텔스/NNG
기술은	기술/NNG+은/JX
상대의	상대/NNG+의/JKG
레이터에	레이터/NNG+에/JKB
탐지되지	탐지/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.124.6.2
일본 방위성은 이번 시범 제작기의 스텔스 성능이 어느 정도이고, 비행 성능이 어떤지 등에 대한 정보를 모아 2018년까지 이 비행기를 양산할지 여부를 결정할 예정이다.

일본	일본/NNP
방위성은	방위성/NNG+은/JX
이번	이번/NNG
시범	시범/NNG
제작기의	제작기/NNG+의/JKG
스텔스	스텔스/NNG
성능이	성능/NNG+이/JKS
어느	어느/MMD
정도이고,	정도/NNG+이/VCP+고/EC+,/SP
비행	비행/NNG
어떤지	어떻/VA+ㄴ지/EF
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
모아	모으/VV+아/EC
2018년까지	2018/SN+년/NNB+까지/JX
이	이/MMD
비행기를	비행기/NNG+를/JKO
양산할지	양산/NNG+하/XSV+ㄹ지/EF
여부를	여부/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.124.6.3
이 스텔스기는 동체 길이 14.1m, 날개 길이 9.1m, 무게는 13t으로 알려져 있다.

이	이/MMD
스텔스기는	스텔스기/NNG+는/JX
동체	동체/NNG
길이	길이/NNG
14.1m,	14/SN+./SP+1/SN+m/SW+,/SP
날개	날개/NNG
9.1m,	9/SN+./SP+1/SN+m/SW+,/SP
무게는	무게/NNG+는/JX
13t으로	13/SN+t/SW+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.124.6.4
일본은 이와 별도로 미국 등이 개발한 스텔스 성능을 갖춘 5세대 전투기인 F-35A를 42기 도입하기로 확정한 상태다.

일본은	일본/NNP+은/JX
이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
미국	미국/NNP
등이	등/NNB+이/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
스텔스	스텔스/NNG
성능을	성능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
5세대	5/SN+세대/NNG
전투기인	전투기/NNG+이/VCP+ㄴ/ETM
F-35A를	F/SL+-/SO+35/SN+A/SL+를/JKO
42기	42/SN+기/NNG
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
확정한	확정/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.124.7.1
이 기체는 방위성 기술연구본부가 개발을 맡고, 기체 제작은 2009년부터 미쓰비시중공업이 담당하고 있다.

이	이/MMD
기체는	기체/NNG+는/JX
방위성	방위성/NNG
기술연구본부가	기술/NNG+연구/NNG+본부/NNG+가/JKS
개발을	개발/NNG+을/JKO
맡고,	맡/VV+고/EC+,/SP
기체	기체/NNG
제작은	제작/NNG+은/JX
2009년부터	2009/SN+년/NNB+부터/JX
미쓰비시중공업이	미쓰비시중공업/NNP+이/JKS
담당하고	담당/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.124.7.2
미쓰비시중공업은 2차대전 일본 해군의 주력 함재기였던 ‘제로센’을 제작한 곳이어서 일본의 일부 군사 매니아들은 이 스텔스기를 ‘헤이세이의 제로센’이라 부르기도 한다.

미쓰비시중공업은	미쓰비시중공업/NNP+은/JX
2차대전	2/SN+차/NNB+대전/NNG
일본	일본/NNP
해군의	해군/NNG+의/JKG
주력	주력/NNG
함재기였던	함재기/NNG+이/VCP+었/EP+던/ETM
‘제로센’을	‘/SS+제로센/NNP+’/SS+을/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
곳이어서	곳/NNG+이/VCP+어서/EC
일본의	일본/NNP+의/JKG
일부	일부/NNG
군사	군사/NNG
매니아들은	매니아/NNG+들/XSN+은/JX
이	이/MMD
스텔스기를	스텔스기/NNG+를/JKO
‘헤이세이의	‘/SS+헤이세이/NNG+의/JKG
제로센’이라	제로센/NNP+’/SS+이/VCP+라/EC
부르기도	부르/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.124.7.3
일본 방위성은 지난해 5월 흰색, 검은색, 빨간색 등으로 도장을 끝낸 기체 모습을 공개한 바 있다.

일본	일본/NNP
방위성은	방위성/NNG+은/JX
지난해	지난해/NNG
5월	5/SN+월/NNB
흰색,	흰색/NNG+,/SP
검은색,	검은색/NNG+,/SP
빨간색	빨간색/NNG
등으로	등/NNB+으로/JKB
도장을	도장/NNG+을/JKO
끝낸	끝내/VV+ㄴ/ETM
기체	기체/NNG
모습을	모습/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.124.7.4
선진기술실증기는 레이더에 반사되지 않는 탄소 섬유의 전파흡수제를 사용해 스텔스 성능을 갖춘 것으로 알려져 있다.

선진기술실증기는	선진/NNG+기술/NNG+실증기/NNG+는/JX
레이더에	레이더/NNG+에/JKB
반사되지	반사/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
탄소	탄소/NNG
섬유의	섬유/NNG+의/JKG
전파흡수제를	전파/NNG+흡수제/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
스텔스	스텔스/NNG
성능을	성능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.124.8.1
한편, 중국은 이미 2011년과 2012년에 자체 개발한 스텔스기인 젠-20(J-20), 젠-31(J-31)의 시험비행에 모두 성공한 바 있고, 한국은 스텔스 성능을 갖춘 국산 차세대 전투기 개발사업(KF-X)을 추진중이다.

한편,	한편/MAG+,/SP
중국은	중국/NNP+은/JX
이미	이미/MAG
2011년과	2011/SN+년/NNB+과/JC
2012년에	2012/SN+년/NNB+에/JKB
자체	자체/NNG
개발한	개발/NNG+하/XSV+ㄴ/ETM
스텔스기인	스텔스기/NNG+이/VCP+ㄴ/ETM
젠-20(J-20),	젠-20/NNP+(/SS+J/SL+-/SO+20/SN+)/SS+,/SP
젠-31(J-31)의	젠-31/NNP+(/SS+J/SL+-/SO+31/SN+)/SS+의/JKG
시험비행에	시험/NNG+비행/NNG+에/JKB
모두	모두/MAG
성공한	성공/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있고,	있/VA+고/EC+,/SP
한국은	한국/NNP+은/JX
스텔스	스텔스/NNG
성능을	성능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
국산	국산/NNG
차세대	차세대/NNG
전투기	전투기/NNG
개발사업(KF-X)을	개발/NNG+사업/NNG+(/SS+KF/SL+-/SO+X/SL+)/SS+을/JKO
추진중이다.	추진/NNG+중/NNB+이/VCP+다/EF+./SF


