# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.11
metadata : {}


# id : NWRW1800000030.11.1.1
[이집트 시위 사태] 튀니지에서 이집트까지… 'SNS(소셜네트워크)혁명' 터지나

[이집트	[/SS+이집트/NNP
끊어버렸다.	끊/VV+어/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.11.4.4
하지만 이는 오히려 자신의 약점이 무엇인지 더욱 노출하는 결과가 됐다.

하지만	하지만/MAJ
이는	이/NP+는/JX
오히려	오히려/MAG
자신의	자신/NNG+의/JKG
약점이	약점/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EF
더욱	더욱/MAG
노출하는	노출/NNG+하/XSV+는/ETM
결과가	결과/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.11.5.1
튀니지도 트위터와 페이스북 등 SNS가 시위를 조직하고 확산하는 데 큰 기여를 했다.

튀니지도	튀니지/NNP+도/JX
트위터와	트위터/NNP+와/JC
페이스북	페이스북/NNP
등	등/NNB
SNS가	SNS/SL+가/JKS
시위를	시위/NNG+를/JKO
조직하고	조직/NNG+하/XSV+고/EC
확산하는	확산/NNG+하/XSV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
기여를	기여/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.11.5.2
이 때문에 일부에서는 수십년 장기 독재자들도 이제 SNS와의 싸움에서 지고 있으며 이런 추세는 앞으로 가속화할 것이라고 전망했다.

이	이/MMD
때문에	때문/NNB+에/JKB
일부에서는	일부/NNG+에서/JKB+는/JX
수십년	수십/NR+년/NNB
장기	장기/NNG
독재자들도	독재자/NNG+들/XSN+도/JX
이제	이제/MAG
SNS와의	SNS/SL+와/JKB+의/JKG
싸움에서	싸움/NNG+에서/JKB
지고	지/VV+고/EC
있으며	있/VX+으며/EC
이런	이런/MMD
추세는	추세/NNG+는/JX
앞으로	앞/NNG+으로/JKB
가속화할	가속/NNG+화/XSN+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.11.6.1
하지만 SNS의 한계를 지적하는 의견도 있다.

하지만	하지만/MAJ
SNS의	SNS/SL+의/JKG
한계를	한계/NNG+를/JKO
지적하는	지적/NNG+하/XSV+는/ETM
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.11.6.2
미 뉴욕타임스(NYT)는 29일 SNS가 만능이 아니라고 보도했다.

미	미/NNP
뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
29일	29/SN+일/NNB
SNS가	SNS/SL+가/JKS
만능이	만능/NNG+이/JKC
아니라고	아니/VCN+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.11.6.3
NYT는 "21세기형 페이스북과 트위터를 매개로 모인 청년들이 20세기형 독재정권을 차례로 무너뜨리고 있다"면서도 "이런 트렌드가 더 강하고 영악한 정권에도 통할지는 미지수"라고 전했다.

NYT는	NYT/SL+는/JX
"21세기형	"/SS+21/SN+세기/NNG+형/XSN
페이스북과	페이스북/NNP+과/JKB
트위터를	트위터/NNP+를/JKO
매개로	매개/NNG+로/JKB
모인	모이/VV+ㄴ/ETM
청년들이	청년/NNG+들/XSN+이/JKS
20세기형	20/SN+세기/NNG+형/XSN
독재정권을	독재/NNG+정권/NNG+을/JKO
차례로	차례/NNG+로/JKB
무너뜨리고	무너뜨리/VV+고/EC
있다"면서도	있/VX+다/EF+"/SS+면서/EC+도/JX
"이런	"/SS+이런/MMD
트렌드가	트렌드/NNG+가/JKS
더	더/MAG
강하고	강하/VA+고/EC
영악한	영악하/VA+ㄴ/ETM
정권에도	정권/NNG+에/JKB+도/JX
통할지는	통하/VV+ㄹ지/EF+는/JX
미지수"라고	미지수/NNG+"/SS+라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.11.6.4
장기간 별다른 저항 없이 집권해온 튀니지와 이집트의 지도자들이 유독 페이스북과 트위터에 속수무책이었을 뿐, SNS 개통이 곧 혁명을 의미하는 것은 아니라는 분석이다.

장기간	장기간/NNG
별다른	별다르/VA+ㄴ/ETM
저항	저항/NNG
없이	없이/MAG
집권해온	집권/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
튀니지와	튀니지/NNP+와/JKB
이집트의	이집트/NNP+의/JKG
지도자들이	지도자/NNG+들/XSN+이/JKS
유독	유독/MAG
페이스북과	페이스북/NNP+과/JKB
트위터에	트위터/NNP+에/JKB
속수무책이었을	속수무책/NNG+이/VCP+었/EP+을/ETM
뿐,	뿐/NNB+,/SP
SNS	SNS/SL
개통이	개통/NNG+이/JKS
곧	곧/MAG
혁명을	혁명/NNG+을/JKO
의미하는	의미/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
아니라는	아니/VCN+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.11.7.1
심지어 중국과 러시아, 이란의 반(反)민주 정부들은 SNS를 정권유지 수단으로 활용하는 측면도 있다.

심지어	심지어/MAG
중국과	중국/NNP+과/JC
러시아,	러시아/NNP+,/SP
이란의	이란/NNP+의/JKG
반(反)민주	반/XPN+(/SS+反/SH+)/SS+민주/NNG
정부들은	정부/NNG+들/XSN+은/JX
SNS를	SNS/SL+를/JKO
정권유지	정권/NNG+유지/NNG
수단으로	수단/NNG+으로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
측면도	측면/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.11.7.2
중국에는 수천명의 웹 요원들이 포털사이트에 친정부 댓글을 달며 여론몰이를 하고 있고 러시아는 인터넷을 국유화해 재미를 보고 있다.

중국에는	중국/NNP+에/JKB+는/JX
수천명의	수천/NR+명/NNB+의/JKG
웹	웹/NNG
요원들이	요원/NNG+들/XSN+이/JKS
포털사이트에	포털/NNG+사이트/NNG+에/JKB
친정부	친/XPN+정부/NNG
댓글을	댓글/NNG+을/JKO
달며	달/VV+며/EC
여론몰이를	여론/NNG+몰이/NNG+를/JKO
하고	하/VV+고/EC
있고	있/VX+고/EC
러시아는	러시아/NNP+는/JX
인터넷을	인터넷/NNG+을/JKO
국유화해	국유/NNG+화/XSN+하/XSV+아/EC
재미를	재미/NNG+를/JKO
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


