# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.398
metadata : {}


# id : NWRW1800000038.398.1.1
非理 체육단체장 곧 검찰 고발, 교체 추진

非理	非理/SH
당시 박 대통령은 "체육인들을 키우고 양성해야 할 각 체육 단체장이 다양한 비리에 연루되었다는 것은 참으로 안타까운 일"이라며 "앞으로 체육단체장들은 사명감을 가지고 끼와 능력이 있는 젊은 인재들을 발굴하고 지원할 수 있는 분들이 되면 좋겠다"고 말했다.

당시	당시/NNG
박	박/NNP
대통령은	대통령/NNG+은/JX
"체육인들을	"/SS+체육인/NNG+들/XSN+을/JKO
키우고	키우/VV+고/EC
양성해야	양성/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
각	각/MMD
체육	체육/NNG
단체장이	단체장/NNG+이/JKS
다양한	다양/NNG+하/XSA+ㄴ/ETM
비리에	비리/NNG+에/JKB
연루되었다는	연루/NNG+되/XSV+었/EP+다는/ETM
것은	것/NNB+은/JX
참으로	참으로/MAG
안타까운	안타깝/VA+ㄴ/ETM
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
체육단체장들은	체육/NNG+단체장/NNG+들/XSN+은/JX
사명감을	사명감/NNG+을/JKO
가지고	가지/VV+고/EC
끼와	끼/NNG+와/JC
능력이	능력/NNG+이/JKS
있는	있/VA+는/ETM
젊은	젊/VA+은/ETM
인재들을	인재/NNG+들/XSN+을/JKO
발굴하고	발굴/NNG+하/XSV+고/EC
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
분들이	분/NNB+들/XSN+이/JKS
되면	되/VV+면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.398.7.1
박 대통령은 "본인의 명예를 위해서 협회장을 하거나 장기간 운영하는 것은 우리 체육 발전을 위해서 바로잡아야 한다"고도 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"본인의	"/SS+본인/NNG+의/JKG
명예를	명예/NNG+를/JKO
위해서	위하/VV+아서/EC
협회장을	협회장/NNG+을/JKO
하거나	하/VV+거나/EC
장기간	장기간/NNG
운영하는	운영/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
우리	우리/NP
체육	체육/NNG
발전을	발전/NNG+을/JKO
바로잡아야	바로잡/VV+아야/EC
한다"고도	하/VX+ㄴ다/EF+"/SS+고/JKQ+도/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.398.7.2
박 대통령은 최근 선수 부친의 자살로까지 번진 태권도 심판 문제도 거론했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
최근	최근/MAG
선수	선수/NNG
부친의	부친/NNG+의/JKG
자살로까지	자살/NNG+로/JKB+까지/JX
번진	번지/VV+ㄴ/ETM
태권도	태권도/NNG
심판	심판/NNG
문제도	문제/NNG+도/JX
거론했다.	거론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.398.8.1
정부가 체육단체 일제 점검에 나섬에 따라 비리가 확인되거나 비정상적으로 운영되는 단체들엔 상당한 변화가 불가피할 것으로 보인다.

정부가	정부/NNG+가/JKS
체육단체	체육/NNG+단체/NNG
일제	일제/NNG
점검에	점검/NNG+에/JKB
나섬에	나서/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
비리가	비리/NNG+가/JKS
확인되거나	확인/NNG+되/XSV+거나/EC
비정상적으로	비/XPN+정상/NNG+적/XSN+으로/JKB
운영되는	운영/NNG+되/XSV+는/ETM
단체들엔	단체/NNG+들/XSN+에/JKB+ㄴ/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
변화가	변화/NNG+가/JKS
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


