# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.80
metadata : {}


# id : NWRW1800000044.80.1.1
한풀 꺾인 힐러리 열풍

한풀	한풀/MAG
회고록	회고록/NNG
서명	서명/NNG
행사를	행사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
데도	데/NNB+도/JX
책의	책/NNG+의/JKG
인기가	인기/NNG+가/JKS
시들한	시들하/VA+ㄴ/ETM
데는	데/NNB+는/JX
‘르윈스키	‘/SS+르윈스키/NNP
스캔들’	스캔들/NNG+’/SS
등을	등/NNB+을/JKO
담았던	담/VV+았/EP+던/ETM
전작에	전작/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
대중의	대중/NNG+의/JKG
관심이	관심/NNG+이/JKS
적다는	적/VA+다는/ETM
점과	점/NNG+과/JKB
아울러,	아울러/MAG+,/SP
일가의	일가/NNG+의/JKG
잇단	잇달/VV+ㄴ/ETM
‘특권’	‘/SS+특권/NNG+’/SS
논란에	논란/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미국민들의	미/NNP+국민/NNG+들/XSN+의/JKG
실망감도	실망감/NNG+도/JX
한몫	한몫/NNG
했을	하/XSV+았/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.80.10.1
“대통령 퇴임 뒤 생계를 걱정해야 했다”는 클린턴 전 장관의 말과 달리 빌 클린턴 전 대통령이 강연료로만 1억900만달러(1100억여원)를 챙기는 등 부부가 막대한 부를 축적한 사실이 최근 공개됐다.

“대통령	“/SS+대통령/NNG
퇴임	퇴임/NNG
뒤	뒤/NNG
생계를	생계/NNG+를/JKO
걱정해야	걱정/NNG+하/XSV+아야/EC
했다”는	하/VX+았/EP+다/EF+”/SS+는/ETM
클린턴	클린턴/NNP
전	전/MMD
장관의	장관/NNG+의/JKG
말과	말/NNG+과/JKB
달리	달리/MAG
빌	빌/NNP
대통령이	대통령/NNG+이/JKS
강연료로만	강연료/NNG+로/JKB+만/JX
1억900만달러(1100억여원)를	1/SN+억/NR+900/SN+만/NR+달러/NNB+(/SS+1100/SN+억/NR+여/XSN+원/NNB+)/SS+를/JKO
챙기는	챙기/VV+는/ETM
등	등/NNB
부부가	부부/NNG+가/JKS
막대한	막대하/VA+ㄴ/ETM
부를	부/NNG+를/JKO
축적한	축적/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
최근	최근/MAG
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.80.10.2
지난 14일엔 딸 첼시가 언론 경력이 전혀 없는 상태로 2011년 <엔비시>(NBC) 방송 기자로 특채된 이래 올해 초까지 60만달러의 고액 연봉을 받아왔다는 보도가 나왔다.

지난	지나/VV+ㄴ/ETM
14일엔	14/SN+일/NNB+에/JKB+ㄴ/JX
딸	딸/NNG
첼시가	첼시/NNP+가/JKS
언론	언론/NNG
경력이	경력/NNG+이/JKS
전혀	전혀/MAG
없는	없/VA+는/ETM
상태로	상태/NNG+로/JKB
2011년	2011/SN+년/NNB
<엔비시>(NBC)	</SS+엔비시/NNP+>/SS+(/SS+NBC/SL+)/SS
방송	방송/NNG
기자로	기자/NNG+로/JKB
특채된	특채/NNG+되/XSV+ㄴ/ETM
이래	이래/NNB
올해	올해/NNG
초까지	초/NNB+까지/JX
60만달러의	60/SN+만/NR+달러/NNB+의/JKG
고액	고액/NNG
연봉을	연봉/NNG+을/JKO
받아왔다는	받/VV+아/EC+오/VX+았/EP+다는/ETM
보도가	보도/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


