# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.132
metadata : {}


# id : NWRW1800000022.132.1.1
식약청, 석면 함유 탈크 사용 의약품 1122개 판매금지;"최종제품 석면검출 확인 않고 명단 발표"… 제약업계 반발

식약청,	식약청/NNG+,/SP
제약사와	제약사/NNG+와/JC
의약품	의약품/NNG
명단을	명단/NNG+을/JKO
발표하는	발표/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
직접	직접/NNG
손실은	손실/NNG+은/JX
물론	물론/MAG
기업	기업/NNG
이미지에	이미지/NNG+에/JKB
큰	크/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
입었다는	입/VV+었/EP+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000022.132.4.1
한미약품 관계자는 10일 "식약청이 발표한 3개 우리 회사 제품을 미 식품의약국(FDA) 기준에 맞춰 자체 조사한 결과, 석면이 전혀 검출되지 않았다"며 "검사도 하지 않고 발표를 해 제약사들의 이미지 실추가 심각하게 됐다"고 말했다.

한미약품	한미약품/NNP
관계자는	관계자/NNG+는/JX
10일	10/SN+일/NNB
"식약청이	"/SS+식약청/NNG+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
3개	3/SN+개/NNB
우리	우리/NP
회사	회사/NNG
제품을	제품/NNG+을/JKO
미	미/NNP
식품의약국(FDA)	식품/NNG+의약국/NNG+(/SS+FDA/SL+)/SS
기준에	기준/NNG+에/JKB
맞춰	맞추/VV+어/EC
자체	자체/NNG
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
석면이	석면/NNG+이/JKS
전혀	전혀/MAG
검출되지	검출/NNG+되/XSV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"검사도	"/SS+검사/NNG+도/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
발표를	발표/NNG+를/JKO
해	하/VV+아/EC
제약사들의	제약사/NNG+들/XSN+의/JKG
이미지	이미지/NNG
실추가	실추/NNG+가/JKS
심각하게	심각하/VA+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.132.5.1
식약청은 석면 파동이 시작된 베이비파우더와 달리 의약품에 대해서는 최종제품의 석면 함유 여부를 조사하지 않았다.

식약청은	식약청/NNG+은/JX
석면	석면/NNG
파동이	파동/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
베이비파우더와	베이비파우더/NNG+와/JKB
달리	달리/MAG
의약품에	의약품/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
최종제품의	최종/NNG+제품/NNG+의/JKG
함유	함유/NNG
여부를	여부/NNG+를/JKO
조사하지	조사/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.132.5.2
정부는 지난해 멜라민 식품 파동 당시 "멜라민 원료를 사용했어도 최종 제품에서 검출되지 않으면 문제가 없다"고 밝혔다.

정부는	정부/NNG+는/JX
지난해	지난해/NNG
멜라민	멜라민/NNG
식품	식품/NNG
파동	파동/NNG
당시	당시/NNG
"멜라민	"/SS+멜라민/NNG
원료를	원료/NNG+를/JKO
사용했어도	사용/NNG+하/XSV+았/EP+어도/EC
최종	최종/NNG
제품에서	제품/NNG+에서/JKB
검출되지	검출/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
문제가	문제/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.132.6.1
한 제약사 임원은 "의약품에서 석면이 검출됐는지, 또 검출되면 인체에 유해한지를 규명한 다음 명단을 공개하고 판매금지시켜도 늦지 않았을 것"이라며 "오히려 소비자들에게 혼란만 주고 있다"고 말했다.

한	한/MMN
제약사	제약사/NNG
임원은	임원/NNG+은/JX
"의약품에서	"/SS+의약품/NNG+에서/JKB
석면이	석면/NNG+이/JKS
검출됐는지,	검출/NNG+되/XSV+었/EP+는지/EC+,/SP
또	또/MAG
검출되면	검출/NNG+되/XSV+면/EC
인체에	인체/NNG+에/JKB
유해한지를	유해/NNG+하/XSA+ㄴ지/EF+를/JKO
규명한	규명/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
명단을	명단/NNG+을/JKO
공개하고	공개/NNG+하/XSV+고/EC
판매금지시켜도	판매/NNG+금지/NNG+시키/XSV+어도/EC
늦지	늦/VA+지/EC
않았을	않/VX+았/EP+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"오히려	"/SS+오히려/MAG
소비자들에게	소비자/NNG+들/XSN+에게/JKB
혼란만	혼란/NNG+만/JX
주고	주/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.132.6.2
식약청 발표 후 각 제약사에는 소비자들의 문의전화가 빗발치고 있다.

식약청	식약청/NNG
발표	발표/NNG
후	후/NNG
각	각/MMD
제약사에는	제약사/NNG+에/JKB+는/JX
소비자들의	소비자/NNG+들/XSN+의/JKG
문의전화가	문의/NNG+전화/NNG+가/JKS
빗발치고	빗발치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.132.7.1
탈크는 알약이 기계에 달라붙지 않게 하는 성분으로 일반적으로 알약 무게의 1% 정도에 해당한다.

탈크는	탈크/NNG+는/JX
알약이	알약/NNG+이/JKS
기계에	기계/NNG+에/JKB
달라붙지	달라붙/VV+지/EC
않게	않/VX+게/EC
하는	하/VX+는/ETM
성분으로	성분/NNG+으로/JKB
일반적으로	일반/NNG+적/XSN+으로/JKB
알약	알약/NNG
무게의	무게/NNG+의/JKG
1%	1/SN+%/SW
정도에	정도/NNG+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.132.7.2
석면은 그 탈크의 2~5%에 불과해 최종 의약품에서 석면이 검출될 가능성은 매우 낮은 것으로 알려졌다.

석면은	석면/NNG+은/JX
그	그/MMD
탈크의	탈크/NNG+의/JKG
2~5%에	2/SN+~/SO+5/SN+%/SW+에/JKB
불과해	불과/MAG+하/XSA+아/EC
최종	최종/NNG
의약품에서	의약품/NNG+에서/JKB
석면이	석면/NNG+이/JKS
검출될	검출/NNG+되/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
매우	매우/MAG
낮은	낮/VA+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.132.7.3
식약청도 "의약품에 함유된 미량의 석면은 먹어서는 위해 가능성이 거의 없는 것으로 파악됐다"고 밝힌 바 있다.

식약청도	식약청/NNG+도/JX
"의약품에	"/SS+의약품/NNG+에/JKB
함유된	함유/NNG+되/XSV+ㄴ/ETM
미량의	미량/NNG+의/JKG
석면은	석면/NNG+은/JX
먹어서는	먹/VV+어서/EC+는/JX
위해	위해/NNG
가능성이	가능/NNG+성/XSN+이/JKS
거의	거의/MAG
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
파악됐다"고	파악/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.132.8.1
한국제약협회는 10일 대국민 성명서에서 "제약사들은 이번 석면 파동 이전에도 정부가 정한 원료기준을 위반하지 않았음에도 불구하고, 이번 회수명령으로 경제적·사회적으로 감당키 어려운 타격을 입게 됐다"고 주장했다.

한국제약협회는	한국제약협회/NNP+는/JX
10일	10/SN+일/NNB
대국민	대국민/NNG
성명서에서	성명서/NNG+에서/JKB
"제약사들은	"/SS+제약사/NNG+들/XSN+은/JX
이번	이번/NNG
석면	석면/NNG
파동	파동/NNG
이전에도	이전/NNG+에/JKB+도/JX
정부가	정부/NNG+가/JKS
정한	정하/VV+ㄴ/ETM
원료기준을	원료/NNG+기준/NNG+을/JKO
위반하지	위반/NNG+하/XSV+지/EC
않았음에도	않/VX+았/EP+음/ETN+에/JKB+도/JX
불구하고,	불구하/VV+고/EC+,/SP
회수명령으로	회수/NNG+명령/NNG+으로/JKB
경제적·사회적으로	경제/NNG+적/XSN+·/SP+사회/NNG+적/XSN+으로/JKB
감당키	감당/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
입게	입/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.132.9.1
한편 일부 제약사는 석면 함유 원료를 쓴 제품이 유통되지 않았는데도 판매금지 명단에 포함된 것으로 드러났다.

한편	한편/MAG
일부	일부/NNG
제약사는	제약사/NNG+는/JX
석면	석면/NNG
함유	함유/NNG
원료를	원료/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
제품이	제품/NNG+이/JKS
유통되지	유통/NNG+되/XSV+지/EC
않았는데도	않/VX+았/EP+는데/EC+도/JX
판매금지	판매/NNG+금지/NNG
명단에	명단/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.132.9.2
동국제약은 석면 함유 원료를 쓴 제품이 아직 유통되지 않고 공장에 보관 중이라고 밝혔다.

동국제약은	동국제약/NNP+은/JX
석면	석면/NNG
함유	함유/NNG
원료를	원료/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
제품이	제품/NNG+이/JKS
아직	아직/MAG
유통되지	유통/NNG+되/XSV+지/EC
않고	않/VX+고/EC
공장에	공장/NNG+에/JKB
보관	보관/NNG
중이라고	중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.132.9.3
한림제약도 2006년 7월부터는 석면 오염 우려가 없는 탈크를 사용해 현재 유통 중인 제품은 아무 문제가 없다고 밝혔다.

한림제약도	한림제약/NNP+도/JX
2006년	2006/SN+년/NNB
7월부터는	7/SN+월/NNB+부터/JX+는/JX
석면	석면/NNG
오염	오염/NNG
우려가	우려/NNG+가/JKS
없는	없/VA+는/ETM
탈크를	탈크/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
현재	현재/MAG
유통	유통/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
제품은	제품/NNG+은/JX
아무	아무/MMD
문제가	문제/NNG+가/JKS
없다고	없/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.132.10.1
이들 업체는 "식약청 직원이 현장조사에서 이런 사실을 확인하고도 판매금지 명단에 포함시켰다"며 분통을 터뜨렸다.

이들	이/NP+들/XSN
업체는	업체/NNG+는/JX
"식약청	"/SS+식약청/NNG
직원이	직원/NNG+이/JKS
현장조사에서	현장/NNG+조사/NNG+에서/JKB
이런	이런/MMD
사실을	사실/NNG+을/JKO
확인하고도	확인/NNG+하/XSV+고/EC+도/JX
판매금지	판매/NNG+금지/NNG
명단에	명단/NNG+에/JKB
포함시켰다"며	포함/NNG+시키/XSV+었/EP+다/EF+"/SS+며/EC
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


