# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.373
metadata : {}


# id : NWRW1800000038.373.1.1
[지방부채 100兆 시대, 나라 살림까지 흔든다] (2) 묻지마식 대형 개발 사업

[지방부채	[/SS+지방/NNG+부채/NNG
공동주택사업	공동/NNG+주택/NNG+사업/NNG
등이	등/NNB+이/JKS
잇따라	잇따르/VV+아/EC
부진에	부진/NNG+에/JKB
빠지면서	빠지/VV+면서/EC
빚더미에	빚더미/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.373.6.1
2010년 경기도시공사와 공동으로 5370억원을 투자해 서신면 전곡리 일대 162만㎡에 조성 중인 전곡해양산업단지는 지금까지 세 차례 분양을 실시했지만 분양률이 9.9%에 그치고 있다.

2010년	2010/SN+년/NNB
경기도시공사와	경기도시공사/NNP+와/JKB
공동으로	공동/NNG+으로/JKB
5370억원을	5370/SN+억/NR+원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
서신면	서신면/NNP
전곡리	전곡리/NNP
일대	일대/NNG
162만㎡에	162/SN+만/NR+㎡/SW+에/JKB
조성	조성/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
전곡해양산업단지는	전곡해양산업단지/NNP+는/JX
지금까지	지금/NNG+까지/JX
세	세/MMN
차례	차례/NNG
분양을	분양/NNG+을/JKO
실시했지만	실시/NNG+하/XSV+았/EP+지만/EC
분양률이	분양/NNG+률/XSN+이/JKS
9.9%에	9/SN+./SP+9/SN+%/SW+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.373.6.2
'서해안 시대 해양산업 중심 도시'라는 멋진 청사진을 내걸었지만 내년 10월 준공 때까지 추가 분양이 이뤄질지도 미지수다.

'서해안	'/SS+서해안/NNP
시대	시대/NNG
해양산업	해양/NNG+산업/NNG
중심	중심/NNG
도시'라는	도시/NNG+'/SS+이/VCP+라는/ETM
멋진	멋지/VA+ㄴ/ETM
청사진을	청사진/NNG+을/JKO
내걸었지만	내걸/VV+었/EP+지만/EC
내년	내년/NNG
10월	10/SN+월/NNB
준공	준공/NNG
때까지	때/NNG+까지/JX
추가	추가/NNG
분양이	분양/NNG+이/JKS
이뤄질지도	이뤄지/VV+ㄹ지/EF+도/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.373.6.3
또 총 1500억원을 투자해 작년 말 완공한 635가구 규모의 조암 공동주택사업도 분양률이 50%에도 못 미친다.

또	또/MAG
총	총/MMA
1500억원을	1500/SN+억/NR+원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
작년	작년/NNG
말	말/NNB
완공한	완공/NNG+하/XSV+ㄴ/ETM
635가구	635/SN+가구/NNG
규모의	규모/NNG+의/JKG
조암	조암/NNP
공동주택사업도	공동/NNG+주택/NNG+사업/NNG+도/JX
분양률이	분양/NNG+률/XSN+이/JKS
50%에도	50/SN+%/SW+에/JKB+도/JX
못	못/MAG
미친다.	미치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.373.7.1
이로 인해 화성도시공사의 부채는 작년 말 2221억원으로 자본 대비 부채비율이 333%에 이르고 있다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
화성도시공사의	화성도시공사/NNP+의/JKG
부채는	부채/NNG+는/JX
작년	작년/NNG
말	말/NNB
2221억원으로	2221/SN+억/NR+원/NNB+으로/JKB
자본	자본/NNG
대비	대비/NNG
부채비율이	부채/NNG+비율/NNG+이/JKS
333%에	333/SN+%/SW+에/JKB
이르고	이르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.373.7.2
호황을 기대하고 대형 개발 사업을 시작했지만 사업성 과대평가와 부동산 경기 침체로 투자비 대부분을 회수하지 못하고 있는 것이다.

호황을	호황/NNG+을/JKO
기대하고	기대/NNG+하/XSV+고/EC
대형	대형/NNG
개발	개발/NNG
사업을	사업/NNG+을/JKO
시작했지만	시작/NNG+하/XSV+았/EP+지만/EC
사업성	사업/NNG+성/XSN
과대평가와	과대평가/NNG+와/JC
부동산	부동산/NNG
경기	경기/NNG
침체로	침체/NNG+로/JKB
투자비	투자비/NNG
대부분을	대/XPN+부분/NNG+을/JKO
회수하지	회수/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.373.8.1
경기도시공사도 개발공사 실패로 빚에 시달리고 있다.

경기도시공사도	경기도시공사/NNP+도/JX
개발공사	개발/NNG+공사/NNG
실패로	실패/NNG+로/JKB
빚에	빚/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.373.8.2
경기도시공사가 현재 진행 중인 개발 사업은 광교신도시 등 택지 분야 7개(3155만㎡), 고덕국제화단지 등 산업단지 7개(818만㎡), 남양주 진건지구 등 6개 주택지구 등 모두 25건에 달한다.

경기도시공사가	경기도시공사/NNP+가/JKS
현재	현재/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
개발	개발/NNG
사업은	사업/NNG+은/JX
광교신도시	광교신도시/NNP
등	등/NNB
택지	택지/NNG
분야	분야/NNG
7개(3155만㎡),	7/SN+개/NNB+(/SS+3155/SN+만/NR+㎡/SW+)/SS+,/SP
고덕국제화단지	고덕국제화단지/NNP
산업단지	산업/NNG+단지/NNG
7개(818만㎡),	7/SN+개/NNB+(/SS+818/SN+만/NR+㎡/SW+)/SS+,/SP
남양주	남양주/NNP
진건지구	진건지구/NNP
6개	6/SN+개/NNB
주택지구	주택/NNG+지구/NNG
모두	모두/MAG
25건에	25/SN+건/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.373.9.1
그러나 이들 사업 중 미분양 물량이 2조7503억원에 이른다.

그러나	그러나/MAJ
이들	이/NP+들/XSN
사업	사업/NNG
중	중/NNB
미분양	미/XPN+분양/NNG
물량이	물량/NNG+이/JKS
2조7503억원에	2/SN+조/NR+7503/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.373.9.2
평균 분양률은 50%대에 불과하고 택지지구는 79%가 미분양이다.

평균	평균/NNG
분양률은	분양/NNG+률/XSN+은/JX
50%대에	50/SN+%/SW+대/XSN+에/JKB
불과하고	불과/MAG+하/XSA+고/EC
택지지구는	택지/NNG+지구/NNG+는/JX
79%가	79/SN+%/SW+가/JKS
미분양이다.	미/XPN+분양/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.373.9.3
택지·공단 수요도 제대로 파악하지 않은 채 무분별하게 사업을 벌인 탓이다.

택지·공단	택지/NNG+·/SP+공단/NNG
수요도	수요/NNG+도/JX
제대로	제대로/MAG
파악하지	파악/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
무분별하게	무/XPN+분별/NNG+하/XSA+게/EC
사업을	사업/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.373.9.4
경기도시공사는 작년 말 기준으로 8조4356억원의 부채를 안고 있다.

경기도시공사는	경기도시공사/NNP+는/JX
작년	작년/NNG
말	말/NNB
기준으로	기준/NNG+으로/JKB
8조4356억원의	8/SN+조/NR+4356/SN+억/NR+원/NNB+의/JKG
부채를	부채/NNG+를/JKO
안고	안/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.373.9.5
지난 2008년에 비해 60%가 늘어났다.

지난	지나/VV+ㄴ/ETM
2008년에	2008/SN+년/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
60%가	60/SN+%/SW+가/JKS
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.373.9.6
부채비율도 321%에 이른다.

부채비율도	부채/NNG+비율/NNG+도/JX
321%에	321/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.373.10.1
◇대출 상환 몰려 알짜 자산 매각

◇대출	◇/SW+대출/NNG
상환	상환/NNG
몰려	몰리/VV+어/EC
알짜	알짜/NNG
자산	자산/NNG
매각	매각/NNG


# id : NWRW1800000038.373.11.1
불어나는 적자를 견디지 못해 토지 등 알짜 자산을 매각하는 지방공기업들도 생겨나고 있다.

불어나는	불어나/VV+는/ETM
적자를	적자/NNG+를/JKO
견디지	견디/VV+지/EC
못해	못하/VX+아/EC
토지	토지/NNG
등	등/NNB
알짜	알짜/NNG
자산을	자산/NNG+을/JKO
매각하는	매각/NNG+하/XSV+는/ETM
지방공기업들도	지방/NNG+공기업/NNG+들/XSN+도/JX
생겨나고	생겨나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.373.11.2
대구도시공사는 지난 2009년부터 총 1076가구 규모의 죽곡 청아람 푸르지오 아파트 단지를 분양했다.

대구도시공사는	대구도시공사/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2009년부터	2009/SN+년/NNB+부터/JX
총	총/MMA
1076가구	1076/SN+가구/NNG
규모의	규모/NNG+의/JKG
죽곡	죽곡/NNP
청아람	청아람/NNP
푸르지오	푸르지오/NNP
아파트	아파트/NNG
단지를	단지/NNG+를/JKO
분양했다.	분양/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.373.11.3
그러나 84㎡의 소규모 평형만 분양이 되고, 117·118㎡의 중규모 평형은 분양률이 10%에도 미치지 못했다.

그러나	그러나/MAJ
84㎡의	84/SN+㎡/SW+의/JKG
소규모	소/XPN+규모/NNG
평형만	평/NNB+형/XSN+만/JX
분양이	분양/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
117·118㎡의	117/SN+·/SP+118/SN+㎡/SW+의/JKG
중규모	중규모/NNG
평형은	평/NNB+형/XSN+은/JX
분양률이	분양/NNG+률/XSN+이/JKS
10%에도	10/SN+%/SW+에/JKB+도/JX
미치지	미치/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.373.12.1
잇단 주택사업 실패로 공사 부채는 작년 말 5859억원으로 급증했다.

잇단	잇달/VV+ㄴ/ETM
주택사업	주택/NNG+사업/NNG
실패로	실패/NNG+로/JKB
공사	공사/NNG
부채는	부채/NNG+는/JX
작년	작년/NNG
말	말/NNB
5859억원으로	5859/SN+억/NR+원/NNB+으로/JKB
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.373.12.2
한국정책금융공사에서 빌린 2745억원의 만기가 도래하자 공사 측은 보유 토지를 매각해 1468억원을 급하게 막았지만 1277억원은 미해결 상태다.

한국정책금융공사에서	한국정책금융공사/NNP+에서/JKB
빌린	빌리/VV+ㄴ/ETM
2745억원의	2745/SN+억/NR+원/NNB+의/JKG
만기가	만기/NNG+가/JKS
도래하자	도래/NNG+하/XSV+자/EC
공사	공사/NNG
측은	측/NNB+은/JX
보유	보유/NNG
토지를	토지/NNG+를/JKO
매각해	매각/NNG+하/XSV+아/EC
1468억원을	1468/SN+억/NR+원/NNB+을/JKO
급하게	급하/VA+게/EC
막았지만	막/VV+았/EP+지만/EC
1277억원은	1277/SN+억/NR+원/NNB+은/JX
미해결	미/XPN+해결/NNG
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.373.13.1
◇파산 위기에 성과급 잔치

◇파산	◇/SW+파산/NNG
위기에	위기/NNG+에/JKB
성과급	성과급/NNG
잔치	잔치/NNG


# id : NWRW1800000038.373.14.1
인천도시공사는 택지·산업단지 개발뿐 아니라 호텔 건설과 교육사업 등 회사 설립 목적에서 벗어난 각종 사업에 투자했다가 잇따라 실패했다.

인천도시공사는	인천도시공사/NNP+는/JX
택지·산업단지	택지/NNG+·/SP+산업/NNG+단지/NNG
개발뿐	개발/NNG+뿐/JX
아니라	아니/VCN+라/EC
호텔	호텔/NNG
건설과	건설/NNG+과/JC
교육사업	교육/NNG+사업/NNG
등	등/NNB
회사	회사/NNG
설립	설립/NNG
목적에서	목적/NNG+에서/JKB
벗어난	벗어나/VV+ㄴ/ETM
각종	각종/NNG
사업에	사업/NNG+에/JKB
투자했다가	투자/NNG+하/XSV+았/EP+다가/EC
잇따라	잇따르/VV+아/EC
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.373.14.2
2011년 10월 인천 송도국제도시에 분양한 1063가구 아파트는 계약률이 불과 1.5%(16가구)에 그쳤다.

2011년	2011/SN+년/NNB
10월	10/SN+월/NNB
인천	인천/NNP
송도국제도시에	송도국제도시/NNP+에/JKB
분양한	분양/NNG+하/XSV+ㄴ/ETM
1063가구	1063/SN+가구/NNG
아파트는	아파트/NNG+는/JX
계약률이	계약/NNG+률/XSN+이/JKS
불과	불과/MAG
1.5%(16가구)에	1/SN+./SP+5/SN+%/SW+(/SS+16/SN+가구/NNG+)/SS+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.373.14.3
이로 인해 작년 말 빚이 5년 전의 3.6배인 7조9271억원으로 급증, 파산 위기에 몰려 있다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
작년	작년/NNG
말	말/NNB
빚이	빚/NNG+이/JKS
5년	5/SN+년/NNB
전의	전/NNG+의/JKG
3.6배인	3/SN+./SP+6/SN+배/NNG+이/VCP+ㄴ/ETM
7조9271억원으로	7/SN+조/NR+9271/SN+억/NR+원/NNB+으로/JKB
급증,	급증/NNG+,/SP
파산	파산/NNG
위기에	위기/NNG+에/JKB
몰려	몰리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.373.14.4
부채비율은 356%에 달한다.

부채비율은	부채/NNG+비율/NNG+은/JX
356%에	356/SN+%/SW+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.373.14.5
인천시로부터 해마다 400억원씩의 운영자금을 지원받고 있다.

인천시로부터	인천시/NNP+로부터/JKB
해마다	해마다/MAG
400억원씩의	400/SN+억/NR+원/NNB+씩/XSN+의/JKG
운영자금을	운영/NNG+자금/NNG+을/JKO
지원받고	지원/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.373.15.1
공사 측은 2010년 27개 사업 중 6개를 포기하고, 회사가 지분 참여한 14개 특수목적회사(SPC) 중 7개를 정리키로 했다.

공사	공사/NNG
측은	측/NNB+은/JX
2010년	2010/SN+년/NNB
27개	27/SN+개/NNB
사업	사업/NNG
중	중/NNB
6개를	6/SN+개/NNB+를/JKO
포기하고,	포기/NNG+하/XSV+고/EC+,/SP
회사가	회사/NNG+가/JKS
지분	지분/NNG
참여한	참여/NNG+하/XSV+ㄴ/ETM
14개	14/SN+개/NNB
특수목적회사(SPC)	특수/NNG+목적/NNG+회사/NNG+(/SS+SPC/SL+)/SS
7개를	7/SN+개/NNB+를/JKO
정리키로	정리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.373.15.2
당시 경영진도 "과도하게 사업을 추진했다"고 했다.

당시	당시/NNG
경영진도	경영진/NNG+도/JX
"과도하게	"/SS+과도/NNG+하/XSA+게/EC
사업을	사업/NNG+을/JKO
추진했다"고	추진/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.373.16.1
그러나 공사 측은 2008년과 2009년 직원들에게 1인당 평균 381만원, 334만원씩의 성과급을 준 데 이어 2010년에도 연봉 기준 월급여액의 100~200%씩의 성과급을 지급했다.

그러나	그러나/MAJ
공사	공사/NNG
측은	측/NNB+은/JX
2008년과	2008/SN+년/NNB+과/JC
2009년	2009/SN+년/NNB
직원들에게	직원/NNG+들/XSN+에게/JKB
1인당	1/SN+인/NNG+당/XSN
평균	평균/NNG
381만원,	381/SN+만/NR+원/NNB+,/SP
334만원씩의	334/SN+만/NR+원/NNB+씩/XSN+의/JKG
성과급을	성과급/NNG+을/JKO
준	주/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2010년에도	2010/SN+년/NNB+에/JKB+도/JX
연봉	연봉/NNG
기준	기준/NNG
월급여액의	월/NNG+급여액/NNG+의/JKG
100~200%씩의	100/SN+~/SO+200/SN+%/SW+씩/XSN+의/JKG
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.373.16.2
'묻지마식' 사업 추진으로 돈을 날리고 주민 세금으로 운영자금까지 지원받으면서 직원들에겐 성과급 잔치를 벌인 것이다.

'묻지마식'	'/SS+묻/VV+지/EC+말/VX+아/EF+식/NNB+'/SS
사업	사업/NNG
추진으로	추진/NNG+으로/JKB
돈을	돈/NNG+을/JKO
날리고	날리/VV+고/EC
주민	주민/NNG
세금으로	세금/NNG+으로/JKB
운영자금까지	운영/NNG+자금/NNG+까지/JX
지원받으면서	지원/NNG+받/XSV+으면서/EC
직원들에겐	직원/NNG+들/XSN+에게/JKB+ㄴ/JX
성과급	성과급/NNG
잔치를	잔치/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


