# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.116
metadata : {}


# id : NWRW1800000029.116.1.1
코피환자, 6세 남자어린이 가장 많다

코피환자,	코피/NNG+환자/NNG+,/SP
보내는	보내/VV+는/ETM
시간이	시간/NNG+이/JKS
크게	크/VA+게/EC
늘어나기	늘어나/VV+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000029.116.7.3
습관적으로 코를 파는 어린이는 코 속 혈관을 계속 자극하는 셈이어서 특히 위험하다.

습관적으로	습관/NNG+적/XSN+으로/JKB
코를	코/NNG+를/JKO
파는	파/VV+는/ETM
어린이는	어린이/NNG+는/JX
코	코/NNG
속	속/NNG
혈관을	혈관/NNG+을/JKO
계속	계속/MAG
자극하는	자극/NNG+하/XSV+는/ETM
셈이어서	셈/NNB+이/VCP+어서/EC
특히	특히/MAG
위험하다.	위험/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000029.116.8.1
어른도 코를 후비거나 코를 세게 풀면서 코피를 흘리는 사례가 많다.

어른도	어른/NNG+도/JX
코를	코/NNG+를/JKO
후비거나	후비/VV+거나/EC
세게	세/VA+게/EC
풀면서	풀/VV+면서/EC
코피를	코피/NNG+를/JKO
흘리는	흘리/VV+는/ETM
사례가	사례/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.116.8.2
또 고혈압과 간질환이 있는 사람이 코피를 흘릴 가능성이 높다.

또	또/MAG
고혈압과	고/XPN+혈압/NNG+과/JC
간질환이	간/NNG+질환/NNG+이/JKS
있는	있/VA+는/ETM
사람이	사람/NNG+이/JKS
코피를	코피/NNG+를/JKO
흘릴	흘리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000029.116.8.3
혈우병, 백혈병, 혈소판 감소증 등 혈액질환으로 코피가 나기도 한다.

혈우병,	혈우병/NNG+,/SP
백혈병,	백혈병/NNG+,/SP
혈소판	혈소판/NNG
감소증	감소증/NNG
등	등/NNB
혈액질환으로	혈액/NNG+질환/NNG+으로/JKB
코피가	코피/NNG+가/JKS
나기도	나/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.116.9.1
장정현 일산병원 이비인후과 교수는 “코피가 날 경우 솜뭉치를 비교적 크게 만들어 콧속에 넣고 콧등 아래쪽에 있는 연골 부위를 압박한 후 머리를 앞으로 숙여야 한다”고 조언했다.

장정현	장정현/NNP
일산병원	일산/NNP+병원/NNG
이비인후과	이비인후과/NNG
교수는	교수/NNG+는/JX
“코피가	“/SS+코피/NNG+가/JKS
날	나/VV+ㄹ/ETM
경우	경우/NNG
솜뭉치를	솜뭉치/NNG+를/JKO
비교적	비교/NNG+적/XSN
크게	크/VA+게/EC
만들어	만들/VV+어/EC
콧속에	콧속/NNG+에/JKB
넣고	넣/VV+고/EC
콧등	콧등/NNG
아래쪽에	아래쪽/NNG+에/JKB
있는	있/VA+는/ETM
연골	연골/NNG
부위를	부위/NNG+를/JKO
압박한	압박/NNG+하/XSV+ㄴ/ETM
후	후/NNG
머리를	머리/NNG+를/JKO
앞으로	앞/NNG+으로/JKB
숙여야	숙이/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.116.10.1
코를 압박하면서 찬물에 적신 수건이나 얼음으로 찜질을 해도 지혈에 도움이 된다.

코를	코/NNG+를/JKO
압박하면서	압박/NNG+하/XSV+면서/EC
찬물에	찬물/NNG+에/JKB
적신	적시/VV+ㄴ/ETM
수건이나	수건/NNG+이나/JC
얼음으로	얼음/NNG+으로/JKB
찜질을	찜/NNG+질/XSN+을/JKO
해도	하/VV+아도/EC
지혈에	지혈/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.116.11.1
코피를 예방하려면 코를 건드리는 습관부터 버려야 한다.

코피를	코피/NNG+를/JKO
예방하려면	예방/NNG+하/XSV+려면/EC
코를	코/NNG+를/JKO
건드리는	건드리/VV+는/ETM
습관부터	습관/NNG+부터/JX
버려야	버리/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.116.11.2
코 점막이 건조해지면 코피가 많이 나므로 코피가 자주 나는 자녀가 있다면 실내 습도를 조절해야 한다.

코	코/NNG
점막이	점막/NNG+이/JKS
건조해지면	건조/NNG+하/XSA+아/EC+지/VX+면/EC
코피가	코피/NNG+가/JKS
많이	많이/MAG
나므로	나/VV+므로/EC
자주	자주/MAG
나는	나/VV+는/ETM
자녀가	자녀/NNG+가/JKS
있다면	있/VA+다면/EC
실내	실내/NNG
습도를	습도/NNG+를/JKO
조절해야	조절/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.116.12.1
자녀가 코딱지를 자주 판다면 콧속에 물을 묻혀 부드럽게 만들도록 지도해야 한다.

자녀가	자녀/NNG+가/JKS
코딱지를	코딱지/NNG+를/JKO
자주	자주/MAG
판다면	파/VV+ㄴ다면/EC
콧속에	콧속/NNG+에/JKB
물을	물/NNG+을/JKO
묻혀	묻히/VV+어/EC
부드럽게	부드럽/VA+게/EC
만들도록	만들/VV+도록/EC
지도해야	지도/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.116.12.2
얼굴을 닦으면서 코를 세게 풀면 좋지 않다.

얼굴을	얼굴/NNG+을/JKO
닦으면서	닦/VV+으면서/EC
코를	코/NNG+를/JKO
세게	세/VA+게/EC
풀면	풀/VV+면/EC
좋지	좋/VA+지/EC
않다.	않/VX+다/EF+./SF


