# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.174
metadata : {}


# id : NWRW1800000030.174.1.1
郭교육감, 사립학교 관선 이사에 좌파 인사 대거 추천

郭교육감,	郭/SH+교육감/NNG+,/SP
민주화를위한전국교수협의회,	민주화를위한전국교수협의회/NNP+,/SP
참교육을위한전국학부모회,	참교육을위한전국학부모회/NNP+,/SP
민변,	민변/NNP+,/SP
학술단체협의회	학술/NNG+단체/NNG+협의회/NNG
등	등/NNB
진보·좌파	진보/NNG+·/SP+좌파/NNG
단체	단체/NNG
소속	소속/NNG
13명이다.	13/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.174.6.1
이사 후보들 중에는 박명기 후보에게 곽 교육감의 돈을 전달한 것으로 드러난 강경선 방송통신대 교수를 비롯해, 박주현 민주당 윤리위원장(이상 진명학원), 김귀식 전 전교조 위원장(숭실학원), 장은숙 참교육을위한전국학부모회 회장, 박찬운 전 민변 사무차장, 이부영 전 서울시 교육위원(이상 청숙학원), 박경양 전 참교육을위한전국학부모회 회장(상록학원) 등이 포함됐다.

이사	이사/NNG
후보들	후보/NNG+들/XSN
중에는	중/NNB+에/JKB+는/JX
박명기	박명기/NNP
후보에게	후보/NNG+에게/JKB
곽	곽/NNP
교육감의	교육감/NNG+의/JKG
돈을	돈/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러난	드러나/VV+ㄴ/ETM
강경선	강경선/NNP
방송통신대	방송통신대/NNP
교수를	교수/NNG+를/JKO
비롯해,	비롯하/VV+아/EC+,/SP
박주현	박주현/NNP
민주당	민주당/NNP
윤리위원장(이상	윤리위원장/NNG+(/SS+이상/NNG
진명학원),	진명학원/NNP+)/SS+,/SP
김귀식	김귀식/NNP
전	전/MMD
전교조	전교조/NNP
위원장(숭실학원),	위원장/NNG+(/SS+숭실학원/NNP+)/SS+,/SP
장은숙	장은숙/NNP
참교육을위한전국학부모회	참교육을위한전국학부모회/NNP
회장,	회장/NNG+,/SP
박찬운	박찬운/NNP
민변	민변/NNP
사무차장,	사무/NNG+차장/NNG+,/SP
이부영	이부영/NNP
서울시	서울시/NNP
교육위원(이상	교육/NNG+위원/NNG+(/SS+이상/NNG
청숙학원),	청숙학원/NNP+)/SS+,/SP
박경양	박경양/NNP
회장(상록학원)	회장/NNG+(/SS+상록학원/NNP+)/SS
등이	등/NNB+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.174.7.1
서울시교육청은 진명학원 등 4개 학교법인에 대해 특별감사를 실시했으며, 감사 결과에 따라 지난 7월 기존 임원들에 대한 취임 승인을 취소했다.

서울시교육청은	서울시교육청/NNP+은/JX
진명학원	진명학원/NNP
등	등/NNB
4개	4/SN+개/NNB
학교법인에	학교/NNG+법인/NNG+에/JKB
대해	대하/VV+아/EC
특별감사를	특별/NNG+감사/NNG+를/JKO
실시했으며,	실시/NNG+하/XSV+았/EP+으며/EC+,/SP
감사	감사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
기존	기존/NNG
임원들에	임원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
취임	취임/NNG
승인을	승인/NNG+을/JKO
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.174.7.2
이후 기존 이사들이 항의해 소송을 제기했고, 곽 교육감이 보내려 했던 임시이사의 선임이 현재 정지된 상태다.

이후	이후/NNG
기존	기존/NNG
이사들이	이사/NNG+들/XSN+이/JKS
항의해	항의/NNG+하/XSV+아/EC
소송을	소송/NNG+을/JKO
제기했고,	제기/NNG+하/XSV+았/EP+고/EC+,/SP
곽	곽/NNP
교육감이	교육감/NNG+이/JKS
보내려	보내/VV+려/EC
했던	하/VX+았/EP+던/ETM
임시이사의	임시/NNG+이사/NNG+의/JKG
선임이	선임/NNG+이/JKS
현재	현재/MAG
정지된	정지/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.174.8.1
권영진 의원은 "서울시교육청은 임시이사 추천을 위해 다양한 단체의 의견을 받지 않고 민주화를위한전국교수협의회, 참교육을위한전국학부모회 등 특정 단체에만 공문을 발송해 임시이사 후보를 추천받은 것으로 드러났다"며 "사립학교 이사까지도 자기 사람들의 '자리 나눠주기' 방편으로 삼은 것은 선거 이후의 논공행상이자 매관매직 행위로 볼 수 있다"고 말했다.

권영진	권영진/NNP
의원은	의원/NNG+은/JX
"서울시교육청은	"/SS+서울시교육청/NNP+은/JX
임시이사	임시/NNG+이사/NNG
추천을	추천/NNG+을/JKO
위해	위하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
단체의	단체/NNG+의/JKG
의견을	의견/NNG+을/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
민주화를위한전국교수협의회,	민주화를위한전국교수협의회/NNP+,/SP
참교육을위한전국학부모회	참교육을위한전국학부모회/NNP
등	등/NNB
특정	특정/NNG
단체에만	단체/NNG+에/JKB+만/JX
공문을	공문/NNG+을/JKO
발송해	발송/NNG+하/XSV+아/EC
후보를	후보/NNG+를/JKO
추천받은	추천/NNG+받/XSV+은/ETM
것으로	것/NNB+으로/JKB
드러났다"며	드러나/VV+았/EP+다/EF+"/SS+며/EC
"사립학교	"/SS+사립/NNG+학교/NNG
이사까지도	이사/NNG+까지/JX+도/JX
자기	자기/NP
사람들의	사람/NNG+들/XSN+의/JKG
'자리	'/SS+자리/NNG
나눠주기'	나누/VV+어/EC+주/VX+기/ETN+'/SS
방편으로	방편/NNG+으로/JKB
삼은	삼/VV+은/ETM
것은	것/NNB+은/JX
선거	선거/NNG
이후의	이후/NNG+의/JKG
논공행상이자	논공행상/NNG+이/VCP+자/EC
매관매직	매관매직/NNG
행위로	행위/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.174.9.1
이에 대해 서울시교육청 관계자는 "모든 단체로부터 다 추천을 받을 수는 없기 때문에 선별해서 하다 보니까 그렇게 됐다"며 "교육감과 국장·과장이 같이 논의해서 추천한 것이며, 교육감이 추천한 사람도 있고 아닌 사람도 있다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
서울시교육청	서울시교육청/NNP
관계자는	관계자/NNG+는/JX
"모든	"/SS+모든/MMN
단체로부터	단체/NNG+로부터/JKB
다	다/MAG
추천을	추천/NNG+을/JKO
받을	받/VV+을/ETM
수는	수/NNB+는/JX
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
선별해서	선별/NNG+하/XSV+아서/EC
하다	하/VV+다/EC
보니까	보/VX+니까/EC
그렇게	그렇/VA+게/EC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"교육감과	"/SS+교육감/NNG+과/JC
국장·과장이	국장/NNG+·/SP+과장/NNG+이/JKS
같이	같이/MAG
논의해서	논의/NNG+하/XSV+아서/EC
추천한	추천/NNG+하/XSV+ㄴ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
교육감이	교육감/NNG+이/JKS
사람도	사람/NNG+도/JX
있고	있/VA+고/EC
아닌	아니/VCN+ㄴ/ETM
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


