# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.298
metadata : {}


# id : NWRW1800000048.298.1.1
인천시, 급식 예산은 깎고 골프대회엔 ‘16억’

인천시,	인천시/NNP+,/SP
‘인천학교급식시민모임’은	‘/SS+인천/NNP+학교/NNG+급식/NNG+시민/NNG+모임/NNG+’/SS+은/JX
7일	7/SN+일/NNB
인천시청에서	인천시청/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
“인천시의	“/SS+인천시/NNP+의/JKG
중학교	중학교/NNG
무상급식	무상/NNG+급식/NNG
비율이	비율/NNG+이/JKS
전국	전국/NNG
꼴찌”라며	꼴찌/NNG+”/SS+라며/EC
내년도	내년도/NNG
예산	예산/NNG
반영을	반영/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.298.6.1
정진후 정의당 의원이 최근 국정감사에서 공개한 전국 중학교 의무급식 실시 현황을 보면, 인천시내 중학생 8만9298명 가운데 불과 0.3%인 305명만이 무상급식을 하고 있는 것으로 나타났다.

정진후	정진후/NNP
정의당	정의당/NNP
의원이	의원/NNG+이/JKS
최근	최근/MAG
국정감사에서	국정/NNG+감사/NNG+에서/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
전국	전국/NNG
중학교	중학교/NNG
의무급식	의무/NNG+급식/NNG
실시	실시/NNG
현황을	현황/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
인천시내	인천시/NNP+내/NNB
중학생	중학/NNG+생/XSN
8만9298명	8/SN+만/NR+9298/SN+명/NNB
가운데	가운데/NNG
불과	불과/MAG
0.3%인	0/SN+./SP+3/SN+%/SW+이/VCP+ㄴ/ETM
305명만이	305/SN+명/NNB+만/JX+이/JKS
무상급식을	무상/NNG+급식/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.298.6.2
서울은 27만2142명의 99.6%(27만1000명)가, 경기도는 42만1187명 전원이 무상급식을 하고 있다.

서울은	서울/NNP+은/JX
27만2142명의	27/SN+만/NR+2142/SN+명/NNB+의/JKG
99.6%(27만1000명)가,	99/SN+./SP+6/SN+%/SW+(/SS+27/SN+만/NR+1000/SN+명/NNB+)/SS+가/JKS+,/SP
경기도는	경기도/NNP+는/JX
42만1187명	42/SN+만/NR+1187/SN+명/NNB
전원이	전원/NNG+이/JKS
무상급식을	무상/NNG+급식/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.298.6.3
또 전국 17개 시도 가운데 9개 시도가 100% 중학교 무상급식을 실시하고 있는 것으로 나타났다.

또	또/MAG
전국	전국/NNG
17개	17/SN+개/NNB
시도	시도/NNG
가운데	가운데/NNG
9개	9/SN+개/NNB
시도가	시도/NNG+가/JKS
100%	100/SN+%/SW
중학교	중학교/NNG
무상급식을	무상/NNG+급식/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.298.6.4
유정복 시장은 지난 5월 송도에서 열린 세계교육포럼에서 ‘초·중등학교에 양질의 평등한 무상교육을 실시하겠다’는 ‘인천선언’을 발표한 바 있다.

유정복	유정복/NNP
시장은	시장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
송도에서	송도/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
세계교육포럼에서	세계/NNG+교육/NNG+포럼/NNG+에서/JKB
‘초·중등학교에	‘/SS+초·중등학교/NNG+에/JKB
양질의	양질/NNG+의/JKG
평등한	평등/NNG+하/XSA+ㄴ/ETM
무상교육을	무상/NNG+교육/NNG+을/JKO
실시하겠다’는	실시/NNG+하/XSV+겠/EP+다/EF+’/SS+는/ETM
‘인천선언’을	‘/SS+인천/NNP+선언/NNG+’/SS+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.298.7.1
인천시는 지난 8월 재정건전화 계획을 발표하면서 유치원과 초·중학교 친환경 농산물 차액 지원 대상에서 쌀을 제외한 2개 품목을 제외해 연 1억6000여만원을 절감하겠다고 밝혔다.

인천시는	인천시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
재정건전화	재정/NNG+건전/NNG+화/XSN
계획을	계획/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
유치원과	유치원/NNG+과/JC
초·중학교	초·중학교/NNG
친환경	친/XPN+환경/NNG
농산물	농산물/NNG
차액	차액/NNG
지원	지원/NNG
대상에서	대상/NNG+에서/JKB
쌀을	쌀/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
2개	2/SN+개/NNB
품목을	품목/NNG+을/JKO
제외해	제외/NNG+하/XSV+아/EC
연	연/NNG
1억6000여만원을	1/SN+억/NR+6000/SN+여/XSN+만/NR+원/NNB+을/JKO
절감하겠다고	절감/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.298.8.1
인천학교급식시민모임은 “다른 자치단체도 재정이 어렵기는 대동소이하다.

인천학교급식시민모임은	인천/NNP+학교/NNG+급식/NNG+시민/NNG+모임/NNG+은/JX
“다른	“/SS+다른/MMD
자치단체도	자치/NNG+단체/NNG+도/JX
재정이	재정/NNG+이/JKS
어렵기는	어렵/VA+기/ETN+는/JX
대동소이하다.	대동소이/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.298.8.2
무상급식 실시는 단체장의 의지와 능력의 차이”라며 “유 시장은 모르쇠로 일관하지 말고 아이들 밥상을 챙기라”고 말했다.

무상급식	무상/NNG+급식/NNG
실시는	실시/NNG+는/JX
단체장의	단체장/NNG+의/JKG
의지와	의지/NNG+와/JC
능력의	능력/NNG+의/JKG
차이”라며	차이/NNG+”/SS+라며/EC
“유	“/SS+유/NNP
시장은	시장/NNG+은/JX
모르쇠로	모르쇠/NNG+로/JKB
일관하지	일관/NNG+하/XSV+지/EC
말고	말/VX+고/EC
아이들	아이/NNG+들/XSN
밥상을	밥상/NNG+을/JKO
챙기라”고	챙기/VV+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.298.9.1
한편, 인천시는 지난 6일부터 송도에서 열리고 있는 프레지던츠컵 골프대회 유치를 위해 기탁금 10만달러(11억원), 운영비 5억원 등 16억원을 사용한 것으로 나타났다.

한편,	한편/MAG+,/SP
인천시는	인천시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
6일부터	6/SN+일/NNB+부터/JX
송도에서	송도/NNP+에서/JKB
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
프레지던츠컵	프레지던츠컵/NNG
골프대회	골프/NNG+대회/NNG
유치를	유치/NNG+를/JKO
위해	위하/VV+아/EC
기탁금	기탁금/NNG
10만달러(11억원),	10/SN+만/NR+달러/NNB+(/SS+11/SN+억/NR+원/NNB+)/SS+,/SP
운영비	운영비/NNG
5억원	5/SN+억/NR+원/NNB
등	등/NNB
16억원을	16/SN+억/NR+원/NNB+을/JKO
사용한	사용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


