# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.210
metadata : {}


# id : NWRW1800000021.210.1.1
[대구/경북]달라도 다함께/영천 결혼 이민 여성 교육

[대구/경북]달라도	[/SS+대구/NNP+//SP+경북/NNP+]/SS+다르/VA+아도/EC
수료식에서	수료식/NNG+에서/JKB
베트남과	베트남/NNP+과/JC
중국,	중국/NNP+,/SP
필리핀	필리핀/NNP
출신의	출신/NNG+의/JKG
이민여성들은	이민/NNG+여성/NNG+들/XSN+은/JX
한국을	한국/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
4개국의	4/SN+개국/NNB+의/JKG
국수를	국수/NNG+를/JKO
직접	직접/MAG
만들어	만들/VV+어/EC
먹으며	먹/VV+으며/EC
정을	정/NNG+을/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.210.4.3
김영석 영천시장도 필리핀 국수를 먹으며 이들과 많은 이야기를 나눴다.

김영석	김영석/NNP
영천시장도	영천시장/NNG+도/JX
필리핀	필리핀/NNP
국수를	국수/NNG+를/JKO
먹으며	먹/VV+으며/EC
이들과	이/NP+들/XSN+과/JKB
많은	많/VA+은/ETM
이야기를	이야기/NNG+를/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.210.4.4
베트남 출신 한 여성은 “베트남이나 필리핀 출신 며느리라고 하면 ‘가난한 나라에서 시집왔다’는 선입견을 많이 갖는 것 같다”며 “이제 한국인인데 이런 생각은 빨리 없어졌으면 좋겠다”고 말했다.

베트남	베트남/NNP
출신	출신/NNG
한	한/MMN
여성은	여성/NNG+은/JX
“베트남이나	“/SS+베트남/NNP+이나/JC
필리핀	필리핀/NNP
며느리라고	며느리/NNG+이/VCP+라고/EC
하면	하/VV+면/EC
‘가난한	‘/SS+가난/NNG+하/XSA+ㄴ/ETM
나라에서	나라/NNG+에서/JKB
시집왔다’는	시집오/VV+았/EP+다/EF+’/SS+는/ETM
선입견을	선입견/NNG+을/JKO
많이	많이/MAG
갖는	갖/VV+는/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
한국인인데	한국인/NNG+이/VCP+ㄴ데/EC
이런	이런/MMD
생각은	생각/NNG+은/JX
빨리	빨리/MAG
없어졌으면	없어지/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.210.5.1
이민여성 70명을 대상으로 다음 달 18일부터 시작되는 하반기 교육에도 운전면허 학과시험 준비 등 다양한 프로그램을 선보인다.

이민여성	이민/NNG+여성/NNG
70명을	70/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
다음	다음/NNG
달	달/NNG
18일부터	18/SN+일/NNB+부터/JX
시작되는	시작/NNG+되/XSV+는/ETM
하반기	하반기/NNG
교육에도	교육/NNG+에/JKB+도/JX
운전면허	운전면허/NNG
학과시험	학과/NNG+시험/NNG
준비	준비/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.210.5.2
프로그램을 운영하는 여성복지회관 신미경 씨(39·여)는 “결혼이민여성이 늘면서 지역사회가 다양해지고 풍성해지는 느낌”이라며 “이민여성의 옷차림이나 말투 등 일상적인 차이를 자연스럽게 받아들이는 분위기가 필요하다”고 말했다.

프로그램을	프로그램/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
여성복지회관	여성/NNG+복지/NNG+회관/NNG
신미경	신미경/NNP
씨(39·여)는	씨/NNB+(/SS+39/SN+·/SP+여/NNG+)/SS+는/JX
“결혼이민여성이	“/SS+결혼/NNG+이민/NNG+여성/NNG+이/JKS
늘면서	늘/VV+면서/EC
지역사회가	지역/NNG+사회/NNG+가/JKS
다양해지고	다양/NNG+하/XSA+아/EC+지/VX+고/EC
풍성해지는	풍성/NNG+하/XSA+아/EC+지/VX+는/ETM
느낌”이라며	느낌/NNG+”/SS+이/VCP+라며/EC
“이민여성의	“/SS+이민/NNG+여성/NNG+의/JKG
옷차림이나	옷차림/NNG+이나/JC
말투	말투/NNG
등	등/NNB
일상적인	일상/NNG+적/XSN+이/VCP+ㄴ/ETM
차이를	차이/NNG+를/JKO
자연스럽게	자연/NNG+스럽/XSA+게/EC
받아들이는	받아들이/VV+는/ETM
분위기가	분위기/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


