# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.24
metadata : {}


# id : NWRW1800000022.24.1.1
"방송법 개정이 언론장악이란 주장은 잘못" ● 언론학회 토론회

"방송법	"/SS+방송법/NNG
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.24.5.1
'방송 장악' '언론 장악'이라는 구호성의 주장은 전제가 잘못됐다는 지적도 나왔다.

'방송	'/SS+방송/NNG
장악'	장악/NNG+'/SS
'언론	'/SS+언론/NNG
장악'이라는	장악/NNG+'/SS+이/VCP+라는/ETM
구호성의	구호/NNG+성/XSN+의/JKG
주장은	주장/NNG+은/JX
전제가	전제/NNG+가/JKS
잘못됐다는	잘못/MAG+되/XSV+었/EP+다는/ETM
지적도	지적/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.24.5.2
문재완 한국외대 법대 교수는 "대기업이나 신문사가 방송을 경영하면 국민 모두 그 방송만 보고, 왜곡 보도를 해도 '아, 그렇구나' 수긍할 것이라는 논리"라며 "이미 국민들이 다양한 매체를 통해 다양한 의견을 듣고 있다는 사실은 외면하고 있다"고 지적했다.

문재완	문재완/NNP
한국외대	한국외대/NNP
법대	법대/NNG
교수는	교수/NNG+는/JX
"대기업이나	"/SS+대/XPN+기업/NNG+이나/JC
신문사가	신문사/NNG+가/JKS
방송을	방송/NNG+을/JKO
경영하면	경영/NNG+하/XSV+면/EC
국민	국민/NNG
모두	모두/MAG
그	그/MMD
방송만	방송/NNG+만/JX
보고,	보/VV+고/EC+,/SP
왜곡	왜곡/NNG
보도를	보도/NNG+를/JKO
해도	하/VV+아도/EC
'아,	'/SS+아/IC+,/SP
그렇구나'	그렇/VA+구나/EF+'/SS
수긍할	수긍/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
논리"라며	논리/NNG+"/SS+이/VCP+라며/EC
"이미	"/SS+이미/MAG
국민들이	국민/NNG+들/XSN+이/JKS
다양한	다양/NNG+하/XSA+ㄴ/ETM
매체를	매체/NNG+를/JKO
통해	통하/VV+아/EC
의견을	의견/NNG+을/JKO
듣고	듣/VV+고/EC
있다는	있/VX+다는/ETM
사실은	사실/NNG+은/JX
외면하고	외면/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.24.6.1
윤석민 서울대 언론정보학과 교수는 "모든 미디어는 당시의 최신 기술 발전을 받아들이며 끊임없이 변신해 왔다"면서 "신문에 대해 '활자체로만 남으라'고 하는 것은 언론의 발전을 가로막는 악법"이라고 말했다.

윤석민	윤석민/NNP
서울대	서울대/NNP
언론정보학과	언론/NNG+정보학과/NNG
교수는	교수/NNG+는/JX
"모든	"/SS+모든/MMN
미디어는	미디어/NNG+는/JX
당시의	당시/NNG+의/JKG
최신	최신/NNG
기술	기술/NNG
발전을	발전/NNG+을/JKO
받아들이며	받아들이/VV+며/EC
끊임없이	끊임없이/MAG
변신해	변신/NNG+하/XSV+아/EC
왔다"면서	오/VX+았/EP+다/EF+"/SS+면서/EC
"신문에	"/SS+신문/NNG+에/JKB
대해	대하/VV+아/EC
'활자체로만	'/SS+활자체/NNG+로/JKB+만/JX
남으라'고	남/VV+으라/EF+'/SS+고/JKQ
하는	하/VV+는/ETM
것은	것/NNB+은/JX
언론의	언론/NNG+의/JKG
가로막는	가로막/VV+는/ETM
악법"이라고	악법/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.24.6.2
반면 이창현 국민대 언론정보학과 교수는 "한나라당 법안에서는 복지, 공익, 공공성을 찾아볼 수 없다"면서 "무리한 법안"이라고 주장했다.

반면	반면/NNG
이창현	이창현/NNP
국민대	국민대/NNP
언론정보학과	언론/NNG+정보학과/NNG
교수는	교수/NNG+는/JX
"한나라당	"/SS+한나라당/NNP
법안에서는	법안/NNG+에서/JKB+는/JX
복지,	복지/NNG+,/SP
공익,	공익/NNG+,/SP
공공성을	공공/NNG+성/XSN+을/JKO
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
"무리한	"/SS+무리/NNG+하/XSA+ㄴ/ETM
법안"이라고	법안/NNG+"/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.24.7.1
참석자들은 방송법 개정안을 논의하는 학계나 정치권, 시민단체에 논의 방식의 '전환'을 주문했다.

참석자들은	참석자/NNG+들/XSN+은/JX
방송법	방송법/NNG
개정안을	개정안/NNG+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
학계나	학계/NNG+나/JC
정치권,	정치/NNG+권/XSN+,/SP
시민단체에	시민/NNG+단체/NNG+에/JKB
논의	논의/NNG
방식의	방식/NNG+의/JKG
'전환'을	'/SS+전환/NNG+'/SS+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.24.7.2
강남준 서울대 언론정보학과 교수는 "악법(惡法)이니 선법(善法)이니 논쟁을 벌이기보다 현 체제로 갈 때 10년 후 형편이 더 나아질 것인가 하는 질문에 답해야 한다"며 "시장주의적 경쟁요소를 도입할 경우 실제 어느 정도 경제적 효과가 있는지에 대해서도 답해야 한다"고 말했다.

강남준	강남준/NNP
서울대	서울대/NNP
언론정보학과	언론/NNG+정보학과/NNG
교수는	교수/NNG+는/JX
"악법(惡法)이니	"/SS+악법/NNG+(/SS+惡法/SH+)/SS+이/VCP+니/EC
선법(善法)이니	선법/NNG+(/SS+善法/SH+)/SS+이/VCP+니/EC
논쟁을	논쟁/NNG+을/JKO
벌이기보다	벌이/VV+기/ETN+보다/JKB
현	현/MMD
체제로	체제/NNG+로/JKB
갈	가/VV+ㄹ/ETM
때	때/NNG
10년	10/SN+년/NNB
후	후/NNG
형편이	형편/NNG+이/JKS
더	더/MAG
나아질	나아지/VV+ㄹ/ETM
것인가	것/NNB+이/VCP+ㄴ가/EF
하는	하/VV+는/ETM
질문에	질문/NNG+에/JKB
답해야	답/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"시장주의적	"/SS+시장주의/NNG+적/XSN
경쟁요소를	경쟁/NNG+요소/NNG+를/JKO
도입할	도입/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
실제	실제/NNG
어느	어느/MMD
정도	정도/NNG
경제적	경제/NNG+적/XSN
효과가	효과/NNG+가/JKS
있는지에	있/VA+는지/EF+에/JKB
대해서도	대하/VV+아서/EC+도/JX
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


