# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.343
metadata : {}


# id : NWRW1800000022.343.1.1
"北核, 돈줘서 손떼라는 식으론 해결 안돼";조엘 위트 前 美국무부 북한담당관 주장

"北核,	"/SS+北核/SH+,/SP
핵무기를	핵무기/NNG+를/JKO
더	더/MAG
확대하기	확대/NNG+하/XSV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
지금의	지금/NNG+의/JKG
기회를	기회/NNG+를/JKO
활용해야	활용/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.343.8.1
그는 다음 달로 예정된 버락 오바마 대통령의 한·중·일 3국 방문에서 북핵 문제의 긍정적 해법이 도출될 수 있을 것으로 보느냐는 질문에 대해서는 "정상들이 직접 얼굴을 맞대고 대화하는 것은 10단계쯤 관료를 거쳐 이뤄지는 것과는 다르기 때문에 영향력을 과소평가해서는 안 된다"고 말했다.

그는	그/NP+는/JX
다음	다음/NNG
달로	달/NNG+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
한·중·일	한·중·일/NNP
3국	3국/NNG
방문에서	방문/NNG+에서/JKB
북핵	북핵/NNG
문제의	문제/NNG+의/JKG
긍정적	긍정/NNG+적/XSN
해법이	해법/NNG+이/JKS
도출될	도출/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보느냐는	보/VV+느냐는/ETM
질문에	질문/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"정상들이	"/SS+정상/NNG+들/XSN+이/JKS
직접	직접/MAG
얼굴을	얼굴/NNG+을/JKO
맞대고	맞대/VV+고/EC
대화하는	대화/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
10단계쯤	10/SN+단계/NNG+쯤/XSN
관료를	관료/NNG+를/JKO
거쳐	거치/VV+어/EC
이뤄지는	이뤄지/VV+는/ETM
것과는	것/NNB+과/JKB+는/JX
다르기	다르/VA+기/ETN
때문에	때문/NNB+에/JKB
영향력을	영향력/NNG+을/JKO
과소평가해서는	과소평가/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


