# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.252
metadata : {}


# id : NWRW1800000041.252.1.1
221cm-150kg 코트 거인, 20kg 빠진 홀쭉이로

221cm-150kg	221/SN+cm/SW+-/SO+150/SN+kg/SW
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.252.7.6
하승진의 태극마크 여부는 국가대표운영협의회의 결정에 따르겠다”고 했다.

하승진의	하승진/NNP+의/JKG
태극마크	태극/NNG+마크/NNG
여부는	여부/NNG+는/JX
국가대표운영협의회의	국가/NNG+대표/NNG+운영/NNG+협의회/NNG+의/JKG
결정에	결정/NNG+에/JKB
따르겠다”고	따르/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


