# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.192
metadata : {}


# id : NWRW1800000029.192.1.1
石선장 몸속서 뺀 총알 1개 오만서 잃어버렸다

石선장	石/SH+선장/NNG
의료진은	의료진/NNG+은/JX
총알과	총알/NNG+과/JKB
함께	함께/MAG
옷가지	옷가지/NNG
등	등/NNB
대부분의	대/XPN+부분/NNG+의/JKG
소지품을	소지품/NNG+을/JKO
분실했다.	분실/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.5.4
아주대병원 관계자는 “이 교수가 (석 선장 치료 및 이송 문제 때문에) 정신이 하나도 없었던 상황이었다”며 “오만에 갈 때 가져갔던 짐을 거의 모두 잃어버린 것으로 안다”고 말했다.

아주대병원	아주대병원/NNP
관계자는	관계자/NNG+는/JX
“이	“/SS+이/NNP
교수가	교수/NNG+가/JKS
(석	(/SS+석/NNP
선장	선장/NNG
치료	치료/NNG
및	및/MAG
이송	이송/NNG
문제	문제/NNG
때문에)	때문/NNB+에/JKB+)/SS
정신이	정신/NNG+이/JKS
하나도	하나/NR+도/JX
없었던	없/VA+었/EP+던/ETM
상황이었다”며	상황/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“오만에	“/SS+오만/NNP+에/JKB
갈	가/VV+ㄹ/ETM
때	때/NNG
가져갔던	가져가/VV+았/EP+던/ETM
짐을	짐/NNG+을/JKO
거의	거의/MAG
모두	모두/MAG
잃어버린	잃어버리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.5.5
그만큼 오만 현지 상황이 매우 급박했던 것으로 보인다.

그만큼	그만큼/NNG
오만	오만/NNP
현지	현지/NNG
상황이	상황/NNG+이/JKS
매우	매우/MAG
급박했던	급박/NNG+하/XSA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.192.6.1
그러나 석 선장의 안전에만 집중해야 할 의료진이 사건 증거물까지 챙겼다는 점에서 현지에 파견된 정부 관계자들의 업무처리 과정에 문제가 있었다는 지적이 있다.

그러나	그러나/MAJ
석	석/NNP
선장의	선장/NNG+의/JKG
안전에만	안전/NNG+에/JKB+만/JX
집중해야	집중/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
의료진이	의료진/NNG+이/JKS
사건	사건/NNG
증거물까지	증거물/NNG+까지/JX
챙겼다는	챙기/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
현지에	현지/NNG+에/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
정부	정부/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
업무처리	업무/NNG+처리/NNG
과정에	과정/NNG+에/JKB
문제가	문제/NNG+가/JKS
있었다는	있/VA+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.192.6.2
특히 총알 개수 등에 대한 의문이 제기됐을 때 정부가 이를 제대로 밝히지 않아 결국 의혹을 키웠다는 비난을 피하기 어려울 것으로 보인다.

특히	특히/MAG
총알	총알/NNG
개수	개수/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
의문이	의문/NNG+이/JKS
제기됐을	제기/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
정부가	정부/NNG+가/JKS
이를	이/NP+를/JKO
제대로	제대로/MAG
밝히지	밝히/VV+지/EC
않아	않/VX+아/EC
결국	결국/MAG
의혹을	의혹/NNG+을/JKO
키웠다는	키우/VV+었/EP+다는/ETM
비난을	비난/NNG+을/JKO
피하기	피하/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.192.7.1
실제로 지난달 30일 아주대병원 측은 “석 선장 몸에서 2개의 총알을 제거했는데 오만 현지에서 한 것으로 안다”고 밝혔다.

실제로	실제로/MAG
지난달	지난달/NNG
30일	30/SN+일/NNB
아주대병원	아주대병원/NNP
측은	측/NNB+은/JX
“석	“/SS+석/NNP
선장	선장/NNG
몸에서	몸/NNG+에서/JKB
2개의	2/SN+개/NNB+의/JKG
총알을	총알/NNG+을/JKO
제거했는데	제거/NNG+하/XSV+았/EP+는데/EC
오만	오만/NNP
현지에서	현지/NNG+에서/JKB
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.192.7.2
또 “수거한 총알은 모두 해경에 넘겼다”고 덧붙였다.

또	또/MAG
“수거한	“/SS+수거/NNG+하/XSV+ㄴ/ETM
총알은	총알/NNG+은/JX
모두	모두/MAG
해경에	해경/NNG+에/JKB
넘겼다”고	넘기/VV+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.192.7.3
그러나 해경 관계자가 “해경이 확보한 총알은 3개”라고 정정하면서 의혹이 다시 불거지기 시작했다.

그러나	그러나/MAJ
해경	해경/NNG
관계자가	관계자/NNG+가/JKS
“해경이	“/SS+해경/NNG+이/JKS
확보한	확보/NNG+하/XSV+ㄴ/ETM
총알은	총알/NNG+은/JX
3개”라고	3/SN+개/NNB+”/SS+라고/JKQ
정정하면서	정정/NNG+하/XSV+면서/EC
의혹이	의혹/NNG+이/JKS
다시	다시/MAG
불거지기	불거지/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.8.1
일부 누리꾼은 인터넷 포털 다음의 아고라 토론방 등에 “AK소총은 파괴력이 강해 관통상이 대부분인데 몸 속에 총알이나 파편이 박힌 것은 의아하다”며 아군에 의한 권총 피격 가능성을 제기하기도 했다.

일부	일부/NNG
누리꾼은	누리/NNG+꾼/XSN+은/JX
인터넷	인터넷/NNG
포털	포털/NNG
다음의	다음/NNP+의/JKG
아고라	아고라/NNG
토론방	토론방/NNG
등에	등/NNB+에/JKB
“AK소총은	“/SS+AK/SL+소총/NNG+은/JX
파괴력이	파괴력/NNG+이/JKS
강해	강하/VA+아/EC
관통상이	관통상/NNG+이/JKS
대부분인데	대/XPN+부분/NNG+이/VCP+ㄴ데/EC
몸	몸/NNG
속에	속/NNG+에/JKB
총알이나	총알/NNG+이나/JC
파편이	파편/NNG+이/JKS
박힌	박히/VV+ㄴ/ETM
것은	것/NNB+은/JX
의아하다”며	의아/NNG+하/XSA+다/EF+”/SS+며/EC
아군에	아군/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
권총	권총/NNG
피격	피격/NNG
가능성을	가능/NNG+성/XSN+을/JKO
제기하기도	제기/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.192.8.2
이들은 “총알 개수가 맞지 않는 것은 우리 군이 총알을 빼돌렸기 때문일 수 있다”며 의혹을 제기하기도 했다.

이들은	이/NP+들/XSN+은/JX
“총알	“/SS+총알/NNG
개수가	개수/NNG+가/JKS
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
우리	우리/NP
군이	군/NNG+이/JKS
총알을	총알/NNG+을/JKO
빼돌렸기	빼돌리/VV+었/EP+기/ETN
때문일	때문/NNB+이/VCP+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
의혹을	의혹/NNG+을/JKO
제기하기도	제기/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.192.8.3
이에 대해 외교부 관계자는 “현지에서 확보한 총알은 모두 이 교수가 해경에 넘긴 것으로 알고 있다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
외교부	외교부/NNG
관계자는	관계자/NNG+는/JX
“현지에서	“/SS+현지/NNG+에서/JKB
확보한	확보/NNG+하/XSV+ㄴ/ETM
총알은	총알/NNG+은/JX
모두	모두/MAG
이	이/NNP
교수가	교수/NNG+가/JKS
해경에	해경/NNG+에/JKB
넘긴	넘기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.8.4
결국 석 선장 치료를 맡고 있던 이 교수는 총알 분실과 관련해 경위서까지 작성한 것으로 전해졌다.

결국	결국/MAG
석	석/NNP
선장	선장/NNG
치료를	치료/NNG+를/JKO
맡고	맡/VV+고/EC
있던	있/VX+던/ETM
이	이/NNP
교수는	교수/NNG+는/JX
총알	총알/NNG
분실과	분실/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
경위서까지	경위서/NNG+까지/JX
작성한	작성/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.192.9.1
○ 갑판장 “총 쏜 해적 똑똑히 봤다”

○	○/SW
갑판장	갑판장/NNG
“총	“/SS+총/NNG
쏜	쏘/VV+ㄴ/ETM
해적	해적/NNG
똑똑히	똑똑히/MAG
봤다”	보/VV+았/EP+다/EF+”/SS


# id : NWRW1800000029.192.10.1
소말리아 해적이 석 선장에게 총을 난사한 장면을 목격한 한국인 선원은 김두찬 갑판장(61)인 것으로 알려졌다.

소말리아	소말리아/NNP
해적이	해적/NNG+이/JKS
석	석/NNP
선장에게	선장/NNG+에게/JKB
총을	총/NNG+을/JKO
난사한	난사/NNG+하/XSV+ㄴ/ETM
장면을	장면/NNG+을/JKO
목격한	목격/NNG+하/XSV+ㄴ/ETM
한국인	한국인/NNG
선원은	선원/NNG+은/JX
김두찬	김두찬/NNP
갑판장(61)인	갑판장/NNG+(/SS+61/SN+)/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.192.10.2
수사본부 관계자는 “삼호주얼리호 김 갑판장에게서 석 선장에게 총을 쏜 소말리아 해적을 똑똑히 봤다는 진술을 확보했다”며 “특히 해적 사진 대조를 통해 범인을 사실상 특정했다”고 설명했다.

수사본부	수사본부/NNG
관계자는	관계자/NNG+는/JX
“삼호주얼리호	“/SS+삼호주얼리호/NNP
김	김/NNP
갑판장에게서	갑판장/NNG+에게서/JKB
석	석/NNP
선장에게	선장/NNG+에게/JKB
총을	총/NNG+을/JKO
쏜	쏘/VV+ㄴ/ETM
소말리아	소말리아/NNP
해적을	해적/NNG+을/JKO
똑똑히	똑똑히/MAG
봤다는	보/VV+았/EP+다는/ETM
진술을	진술/NNG+을/JKO
확보했다”며	확보/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
해적	해적/NNG
사진	사진/NNG
대조를	대조/NNG+를/JKO
통해	통하/VV+아/EC
범인을	범인/NNG+을/JKO
사실상	사실/NNG+상/XSN
특정했다”고	특정/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.11.1
현재 유력 용의자는 무함마드 아라이(23)다.

현재	현재/MAG
유력	유력/NNG
용의자는	용의자/NNG+는/JX
무함마드	무함마드/NNP
아라이(23)다.	아라이/NNP+(/SS+23/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.192.11.2
수사본부는 2일 오전 김 갑판장 등이 귀국하는 대로 2차 피해자 조사를 벌이기기로 했다.

수사본부는	수사본부/NNG+는/JX
2일	2/SN+일/NNB
오전	오전/NNG
김	김/NNP
갑판장	갑판장/NNG
등이	등/NNB+이/JKS
귀국하는	귀국/NNG+하/XSV+는/ETM
대로	대로/NNB
2차	2/SN+차/NNB
피해자	피해자/NNG
조사를	조사/NNG+를/JKO
벌이기기로	벌이/VV+기/ETN+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.11.3
필요하면 갑판장이 지목한 해적과 대질조사도 벌일 계획이다.

필요하면	필요/NNG+하/XSA+면/EC
갑판장이	갑판장/NNG+이/JKS
지목한	지목/NNG+하/XSV+ㄴ/ETM
해적과	해적/NNG+과/JKB
대질조사도	대질/NNG+조사/NNG+도/JX
벌일	벌이/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.192.11.4
이르면 2일 중 석 선장에게 총격을 가한 살인미수 피의자를 확정할 수 있을 것으로 전망된다.

이르면	이르/VA+면/EC
2일	2/SN+일/NNB
중	중/NNB
석	석/NNP
선장에게	선장/NNG+에게/JKB
총격을	총격/NNG+을/JKO
가한	가하/VV+ㄴ/ETM
살인미수	살인/NNG+미수/NNG
피의자를	피의자/NNG+를/JKO
확정할	확정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.192.11.5
아라이는 “총을 만져본 사실이 없다”며 혐의를 부인했다.

아라이는	아라이/NNP+는/JX
“총을	“/SS+총/NNG+을/JKO
만져본	만지/VV+어/EC+보/VX+ㄴ/ETM
사실이	사실/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
혐의를	혐의/NNG+를/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.11.6
하지만 지난달 31일 아라이의 손에 난 찰과상을 치료한 병원 측은 “(손 부상은) 청해부대 장병이 아라이의 손에 있던 총을 뺏기 위해 충격을 줘 생긴 상처로 보인다”고 설명했다.

하지만	하지만/MAJ
지난달	지난달/NNG
31일	31/SN+일/NNB
아라이의	아라이/NNP+의/JKG
손에	손/NNG+에/JKB
난	나/VV+ㄴ/ETM
찰과상을	찰과상/NNG+을/JKO
치료한	치료/NNG+하/XSV+ㄴ/ETM
병원	병원/NNG
측은	측/NNB+은/JX
“(손	“/SS+(/SS+손/NNG
부상은)	부상/NNG+은/JX+)/SS
청해부대	청해부대/NNP
장병이	장병/NNG+이/JKS
있던	있/VA+던/ETM
총을	총/NNG+을/JKO
뺏기	뺏/VV+기/ETN
위해	위하/VV+아/EC
충격을	충격/NNG+을/JKO
줘	주/VV+어/EC
생긴	생기/VV+ㄴ/ETM
상처로	상처/NNG+로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.192.12.1
어깨에 유탄이 박힌 채 압송된 압둘라 시룸(21)도 수사와 병원 치료를 병행하고 있다.

어깨에	어깨/NNG+에/JKB
유탄이	유탄/NNG+이/JKS
박힌	박히/VV+ㄴ/ETM
채	채/NNB
압송된	압송/NNG+되/XSV+ㄴ/ETM
압둘라	압둘라/NNP
시룸(21)도	시룸/NNP+(/SS+21/SN+)/SS+도/JX
수사와	수사/NNG+와/JC
병원	병원/NNG
치료를	치료/NNG+를/JKO
병행하고	병행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.192.12.2
해경은 이 유탄이 석 선장 몸에서 나온 총탄처럼 중요한 정황 증거가 될 것으로 보고 있다.

해경은	해경/NNG+은/JX
이	이/MMD
유탄이	유탄/NNG+이/JKS
석	석/NNP
선장	선장/NNG
몸에서	몸/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
총탄처럼	총탄/NNG+처럼/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
정황	정황/NNG
증거가	증거/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


