# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.351
metadata : {}


# id : NWRW1800000022.351.1.1
[대구·경북] 동촌유원지 생태테마공원으로 탈바꿈;대구시, 금호강 생태하천 조성사업 본격 추진

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.351.6.1
하천 고유의 이·치수 측면에서는 항구적인 홍수대비를 위한 하상준설과 함께 4곳의 가동보를 신설 또는 개량해 충분한 수량과 수준높은 수변경관을 확보하게 된다.

하천	하천/NNG
고유의	고유/NNG+의/JKG
이·치수	이·치수/NNG
측면에서는	측면/NNG+에서/JKB+는/JX
항구적인	항구적/NNG+이/VCP+ㄴ/ETM
홍수대비를	홍수/NNG+대비/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
하상준설과	하상/NNG+준설/NNG+과/JKB
함께	함께/MAG
4곳의	4/SN+곳/NNG+의/JKG
가동보를	가동보/NNG+를/JKO
신설	신설/NNG
또는	또는/MAG
개량해	개량/NNG+하/XSV+아/EC
충분한	충분하/VA+ㄴ/ETM
수량과	수량/NNG+과/JC
수준높은	수준/NNG+높/VA+은/ETM
수변경관을	수변/NNG+경관/NNG+을/JKO
확보하게	확보/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.351.7.1
동촌유원지 등 주요 구간은 최소 수심 1.8m 이상을 유지해 유람선, 카누, 조정 등 다양한 수상레저활동이 가능한 공간으로 활용될 수 있도록 한다.

동촌유원지	동촌유원지/NNP
등	등/NNB
주요	주요/NNG
구간은	구간/NNG+은/JX
최소	최소/NNG
수심	수심/NNG
1.8m	1/SN+./SP+8/SN+m/SW
이상을	이상/NNG+을/JKO
유지해	유지/NNG+하/XSV+아/EC
유람선,	유람선/NNG+,/SP
카누,	카누/NNG+,/SP
조정	조정/NNG
다양한	다양/NNG+하/XSA+ㄴ/ETM
수상레저활동이	수상/NNG+레저/NNG+활동/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
공간으로	공간/NNG+으로/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.351.8.1
또 시민들의 다양한 여가활동을 수용할 수 있도록 안심지구 등 18곳의 지구별 친수공간을 구·군별 특색을 살려 조성하게 된다.

또	또/MAG
시민들의	시민/NNG+들/XSN+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
여가활동을	여가/NNG+활동/NNG+을/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
안심지구	안심/NNG+지구/NNG
등	등/NNB
18곳의	18/SN+곳/NNG+의/JKG
지구별	지구/NNG+별/XSN
친수공간을	친수/NNG+공간/NNG+을/JKO
구·군별	구/NNG+·/SP+군/NNG+별/XSN
특색을	특색/NNG+을/JKO
살려	살리/VV+어/EC
조성하게	조성/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.351.9.1
여기에는 금호강 에코트레일(자전거 도로, 산책로, 마라톤코스)이 금호강 41.4㎞ 전 구간에 걸쳐 끊김이 없이 설치된다.

여기에는	여기/NP+에/JKB+는/JX
금호강	금호강/NNP
에코트레일(자전거	에코트레일/NNP+(/SS+자전거/NNG
도로,	도로/NNG+,/SP
산책로,	산책로/NNG+,/SP
마라톤코스)이	마라톤/NNG+코스/NNG+)/SS+이/JKS
41.4㎞	41/SN+./SP+4/SN+㎞/SW
전	전/MMN
구간에	구간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
끊김이	끊기/VV+ㅁ/ETN+이/JKS
없이	없이/MAG
설치된다.	설치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.351.10.1
특히 동촌유원지 일대는 대규모 생태테마공원으로 조성돼 전체 금호강을 대표하는 워터프론트(도시가 큰 강이나 바다·호수 등과 접하고 있는 공간)로 개발될 예정이다.

특히	특히/MAG
동촌유원지	동촌유원지/NNP
일대는	일대/NNG+는/JX
대규모	대/XPN+규모/NNG
생태테마공원으로	생태/NNG+테마/NNG+공원/NNG+으로/JKB
조성돼	조성/NNG+되/XSV+어/EC
전체	전체/NNG
금호강을	금호강/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
워터프론트(도시가	워터프론트/NNG+(/SS+도시/NNG+가/JKS
큰	크/VA+ㄴ/ETM
강이나	강/NNG+이나/JC
바다·호수	바다/NNG+·/SP+호수/NNG
등과	등/NNB+과/JKB
접하고	접하/VV+고/EC
있는	있/VX+는/ETM
공간)로	공간/NNG+)/SS+로/JKB
개발될	개발/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.351.11.1
동촌유원지의 생태테마공원에는 하천생태원, 다목적놀이마당, 수변무대, 접안시설, 생태수로 등이 포함된다.

동촌유원지의	동촌유원지/NNP+의/JKG
생태테마공원에는	생태/NNG+테마/NNG+공원/NNG+에/JKB+는/JX
하천생태원,	하천/NNG+생태원/NNG+,/SP
다목적놀이마당,	다목적/NNG+놀이마당/NNG+,/SP
수변무대,	수변/NNG+무대/NNG+,/SP
접안시설,	접안/NNG+시설/NNG+,/SP
생태수로	생태/NNG+수로/NNG
등이	등/NNB+이/JKS
포함된다.	포함/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.351.12.1
이 중 통행료 징수로 인해 시민들의 이용이 크게 제한돼 왔던 노후된 동촌구름다리(40년 경과)를 대체할 수 있도록 상징성과 디자인이 뛰어난 자전거·보행자 겸용의 경관보도교를 새로 만들어 새롭게 태어나는 금호강의 상징적 랜드마크 및 관광자원으로 활용할 계획이다.

이	이/NP
중	중/NNB
통행료	통행료/NNG
징수로	징수/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
시민들의	시민/NNG+들/XSN+의/JKG
이용이	이용/NNG+이/JKS
크게	크/VA+게/EC
제한돼	제한/NNG+되/XSV+어/EC
왔던	오/VX+았/EP+던/ETM
노후된	노후/NNG+되/XSV+ㄴ/ETM
동촌구름다리(40년	동촌구름다리/NNP+(/SS+40/SN+년/NNB
경과)를	경과/NNG+)/SS+를/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
상징성과	상징/NNG+성/XSN+과/JC
디자인이	디자인/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
자전거·보행자	자전거/NNG+·/SP+보행자/NNG
겸용의	겸용/NNG+의/JKG
경관보도교를	경관/NNG+보도교/NNG+를/JKO
새로	새로/MAG
만들어	만들/VV+어/EC
새롭게	새롭/VA+게/EC
태어나는	태어나/VV+는/ETM
금호강의	금호강/NNP+의/JKG
상징적	상징/NNG+적/XSN
랜드마크	랜드마크/NNG
및	및/MAG
관광자원으로	관광/NNG+자원/NNG+으로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.351.13.1
대구시는 "동촌유원지를 포함한 금호강 생태하천 조성사업은 전국적인 4대강 살기기 사업의 대표적인 모범사례가 될 것"이라고 기대하고 있다.

대구시는	대구시/NNP+는/JX
"동촌유원지를	"/SS+동촌유원지/NNP+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
금호강	금호강/NNP
생태하천	생태/NNG+하천/NNG
조성사업은	조성/NNG+사업/NNG+은/JX
전국적인	전국/NNG+적/XSN+이/VCP+ㄴ/ETM
4대강	4/SN+대/NNG+강/NNG
살기기	살기/VV+기/ETN
사업의	사업/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
모범사례가	모범/NNG+사례/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


