# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.114
metadata : {}


# id : NWRW1800000054.114.1.1
"아들 몰라봐도… 어머니의 사랑 여전히 따뜻했죠"

"아들	"/SS+아들/NNG
몰라봐도…	몰라보/VV+아도/EC+…/SE
알아보지	알아보/VV+지/EC
못하지만	못하/VX+지만/EC
항상	항상/MAG
노래를	노래/NNG+를/JKO
부르고	부르/VV+고/EC
웃으신다"고	웃/VV+으시/EP+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.114.5.2
"어머니가 35년생이신데 당시엔 흔치 않게 4년제 대학을 나온 신여성이었어요.

"어머니가	"/SS+어머니/NNG+가/JKS
35년생이신데	35/SN+년/NNB+생/XSN+이/VCP+시/EP+ㄴ데/EC
당시엔	당시/NNG+에/JKB+ㄴ/JX
흔치	흔하/VA+지/EC
않게	않/VX+게/EC
4년제	4/SN+년/NNB+제/XSN
대학을	대학/NNG+을/JKO
나온	나오/VV+ㄴ/ETM
신여성이었어요.	신/XPN+여성/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000054.114.5.3
영어 선생님이셨는데 매일 도시락 여섯 개를 싸면서도 영어 테이프를 들으면서 수업 준비를 하셨죠.

영어	영어/NNP
선생님이셨는데	선생/NNG+님/XSN+이/VCP+시/EP+었/EP+는데/EC
매일	매일/MAG
도시락	도시락/NNG
여섯	여섯/NR
개를	개/NNB+를/JKO
싸면서도	싸/VV+면서/EC+도/JX
테이프를	테이프/NNG+를/JKO
들으면서	듣/VV+으면서/EC
수업	수업/NNG
준비를	준비/NNG+를/JKO
하셨죠.	하/VV+시/EP+었/EP+죠/EF+./SF


# id : NWRW1800000054.114.5.4
늘 밝고 에너지 넘치셨던 분이라 큰 병을 만나고도 그 모습을 잃지 않으신 것 같아요."

늘	늘/MAG
밝고	밝/VA+고/EC
에너지	에너지/NNG
넘치셨던	넘치/VV+시/EP+었/EP+던/ETM
분이라	분/NNB+이/VCP+라/EC
큰	크/VA+ㄴ/ETM
병을	병/NNG+을/JKO
만나고도	만나/VV+고/EC+도/JX
그	그/MMD
모습을	모습/NNG+을/JKO
잃지	잃/VV+지/EC
않으신	않/VX+으시/EP+ㄴ/ETM
것	것/NNB
같아요."	같/VA+아요/EF+./SF+"/SS


# id : NWRW1800000054.114.6.1
드라마 '불멸의 이순신', 영화 '화려한 휴가' 등에 출연하며 개성 있는 조연 배우로 알려진 지 얼마 되지 않아 어머니가 쓰러지셨다.

드라마	드라마/NNG
'불멸의	'/SS+불멸/NNG+의/JKG
이순신',	이순신/NNP+'/SS+,/SP
영화	영화/NNG
'화려한	'/SS+화려하/VA+ㄴ/ETM
휴가'	휴가/NNG+'/SS
등에	등/NNB+에/JKB
출연하며	출연/NNG+하/XSV+며/EC
개성	개성/NNG
있는	있/VA+는/ETM
조연	조연/NNG
배우로	배우/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
되지	되/VV+지/EC
않아	않/VX+아/EC
어머니가	어머니/NNG+가/JKS
쓰러지셨다.	쓰러지/VV+시/EP+었/EP+다/EF+./SF


# id : NWRW1800000054.114.6.2
"한번은 '네가 유명해져서 여기저기서 한턱내라고 난리'라며 돈을 부쳐 달라고 기분 좋게 요구하셨어요.

"한번은	"/SS+한번/NNG+은/JX
'네가	'/SS+네/NP+가/JKS
유명해져서	유명/NNG+하/XSA+아/EC+지/VX+어서/EC
여기저기서	여기저기/NNG+서/JKB
한턱내라고	한턱내/VV+라고/EC
난리'라며	난리/NNG+'/SS+이/VCP+라며/EC
돈을	돈/NNG+을/JKO
부쳐	부치/VV+어/EC
달라고	달/VX+라고/EC
기분	기분/NNG
좋게	좋/VA+게/EC
요구하셨어요.	요구/NNG+하/XSV+시/EP+었/EP+어요/EF+./SF


# id : NWRW1800000054.114.6.3
사랑받기 시작할 즈음에 이렇게 되셔서 더 안타까웠죠." 그는 어머니의 기억이 사라져가는 동안에도 사랑을 느낄 수 있었다고 했다.

사랑받기	사랑/NNG+받/XSV+기/ETN
시작할	시작/NNG+하/XSV+ㄹ/ETM
즈음에	즈음/NNB+에/JKB
이렇게	이렇/VA+게/EC
되셔서	되/VV+시/EP+어서/EC
더	더/MAG
안타까웠죠."	안타깝/VA+었/EP+죠/EF+./SF+"/SS
그는	그/NP+는/JX
어머니의	어머니/NNG+의/JKG
기억이	기억/NNG+이/JKS
사라져가는	사라지/VV+어/EC+가/VX+는/ETM
동안에도	동안/NNG+에/JKB+도/JX
사랑을	사랑/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있었다고	있/VA+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.114.6.4
"잠깐 잠이 들었는데 어머니가 크고 두꺼운 사전을 펼쳐서 이불처럼 덮어주시더라고요.

"잠깐	"/SS+잠깐/MAG
잠이	잠/NNG+이/JKS
들었는데	들/VV+었/EP+는데/EC
어머니가	어머니/NNG+가/JKS
크고	크/VA+고/EC
두꺼운	두껍/VA+ㄴ/ETM
사전을	사전/NNG+을/JKO
펼쳐서	펼치/VV+어서/EC
이불처럼	이불/NNG+처럼/JKB
덮어주시더라고요.	덮/VV+어/EC+주/VX+시/EP+더라고/EF+요/JX+./SF


# id : NWRW1800000054.114.6.5
기울어질 때마다 다시 올려주시고….

기울어질	기울어지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
다시	다시/MAG
올려주시고….	올리/VV+어/EC+주/VX+시/EP+고/EC+…/SE+./SF


# id : NWRW1800000054.114.6.6
'아들'이라는 개념은 머릿속에서 사라졌을지라도 여전히 나는 어머니한테 소중한 사람이구나 싶었어요.

'아들'이라는	'/SS+아들/NNG+'/SS+이/VCP+라는/ETM
개념은	개념/NNG+은/JX
머릿속에서	머릿속/NNG+에서/JKB
사라졌을지라도	사라지/VV+었/EP+을지라도/EC
여전히	여전히/MAG
나는	나/NP+는/JX
어머니한테	어머니/NNG+한테/JKB
소중한	소중하/VA+ㄴ/ETM
사람이구나	사람/NNG+이/VCP+구나/EF
싶었어요.	싶/VX+었/EP+어요/EF+./SF


# id : NWRW1800000054.114.6.7
그때 정말 많이 울었죠."

그때	그때/NNG
정말	정말/MAG
많이	많이/MAG
울었죠."	울/VV+었/EP+죠/EF+./SF+"/SS


# id : NWRW1800000054.114.7.1
지금은 간병인과 형제들이 돌아가며 어머니를 보살핀다.

지금은	지금/NNG+은/JX
간병인과	간병인/NNG+과/JC
형제들이	형제/NNG+들/XSN+이/JKS
돌아가며	돌아가/VV+며/EC
어머니를	어머니/NNG+를/JKO
보살핀다.	보살피/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.114.7.2
치매 환자 가족이 가장 힘든 점은 "종일 눈을 뗄 수 없다는 것"이라고 했다.

치매	치매/NNG
환자	환자/NNG
가족이	가족/NNG+이/JKS
가장	가장/MAG
힘든	힘들/VA+ㄴ/ETM
점은	점/NNG+은/JX
"종일	"/SS+종일/MAG
눈을	눈/NNG+을/JKO
뗄	떼/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.114.7.3
그는 "65세 이상 인구 열 명 중 한 명이 치매를 앓는다는데 이 흔한 병 때문에 누군가는 직장을 잃고 경제적으로 완전히 무너진다"면서 "치매 환자의 일상을 책임질 수 있는 공공시설이나 환자를 믿고 맡길 수 있는 요양원이 절실하다"고 강조했다.

그는	그/NP+는/JX
"65세	"/SS+65/SN+세/NNB
이상	이상/NNG
인구	인구/NNG
열	열/NR
명	명/NNB
중	중/NNB
한	한/MMN
명이	명/NNB+이/JKS
치매를	치매/NNG+를/JKO
앓는다는데	앓/VV+는다는데/EC
이	이/MMD
흔한	흔하/VA+ㄴ/ETM
병	병/NNG
때문에	때문/NNB+에/JKB
누군가는	누구/NP+이/VCP+ㄴ가/EF+는/JX
직장을	직장/NNG+을/JKO
잃고	잃/VV+고/EC
경제적으로	경제/NNG+적/XSN+으로/JKB
완전히	완전히/MAG
무너진다"면서	무너지/VV+ㄴ다/EF+"/SS+면서/EC
"치매	"/SS+치매/NNG
환자의	환자/NNG+의/JKG
일상을	일상/NNG+을/JKO
책임질	책임지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공공시설이나	공공시설/NNG+이나/JC
환자를	환자/NNG+를/JKO
믿고	믿/VV+고/EC
맡길	맡기/VV+ㄹ/ETM
요양원이	요양원/NNG+이/JKS
절실하다"고	절실하/VA+다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.114.8.1
그는 올해 대한치매학회 홍보대사로 전국에서 열리는 건강 강좌 프로그램에 참여하고 치매 인식 개선을 위한 홍보 영상도 찍을 예정이다.

그는	그/NP+는/JX
올해	올해/NNG
대한치매학회	대한치매학회/NNP
홍보대사로	홍보/NNG+대사/NNG+로/JKB
전국에서	전국/NNG+에서/JKB
열리는	열리/VV+는/ETM
건강	건강/NNG
강좌	강좌/NNG
프로그램에	프로그램/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
치매	치매/NNG
인식	인식/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
홍보	홍보/NNG
영상도	영상/NNG+도/JX
찍을	찍/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.114.8.2
"치매는 우울한 일도 아니고 누구나 만날 수 있는 병이잖아요.

"치매는	"/SS+치매/NNG+는/JX
우울한	우울/NNG+하/XSA+ㄴ/ETM
일도	일/NNG+도/JX
아니고	아니/VCN+고/EC
누구나	누구/NP+나/JX
만날	만나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
병이잖아요.	병/NNG+이/VCP+잖아/EF+요/JX+./SF


# id : NWRW1800000054.114.8.3
배우니까 좀 더 뻔뻔하게 적극적으로 가족의 병에 대해 알리고 싶어요."

배우니까	배우/VV+니까/EC
좀	좀/MAG
더	더/MAG
뻔뻔하게	뻔뻔하/VA+게/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
가족의	가족/NNG+의/JKG
병에	병/NNG+에/JKB
대해	대하/VV+아/EC
알리고	알리/VV+고/EC
싶어요."	싶/VX+어요/EF+./SF+"/SS


