# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.124
metadata : {}


# id : NWRW1800000044.124.1.1
벤츠 부품물류센터 문열어…부품값 인하 이어질까

벤츠	벤츠/NNP
벤츠코리아가	벤츠코리아/NNP+가/JKS
국내로	국내/NNG+로/JKB
들여오는	들여오/VV+는/ETM
부품량은	부품/NNG+량/NNG+은/JX
2011년과	2011/SN+년/NNB+과/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
때(40t	때/NNG+(/SS+40/SN+t/SW
컨테이너	컨테이너/NNG
개수	개수/NNG
기준)	기준/NNG+)/SS
지난해에	지난해/NNG+에/JKB
80%이상	80/SN+%/SW+이상/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.124.7.1
지난해 물류센터를 확장한 아우디폭스바겐코리아에 이어 벤츠코리아도 부품 물류센터를 확장 운영하면서 수입차 업계의 부품 값 인하와 수리기간 단축으로 이어질지 관심을 모으고 있다.

지난해	지난해/NNG
물류센터를	물류/NNG+센터/NNG+를/JKO
확장한	확장/NNG+하/XSV+ㄴ/ETM
아우디폭스바겐코리아에	아우디폭스바겐코리아/NNP+에/JKB
이어	잇/VV+어/EC
벤츠코리아도	벤츠코리아/NNP+도/JX
부품	부품/NNG
확장	확장/NNG
운영하면서	운영/NNG+하/XSV+면서/EC
수입차	수입차/NNG
업계의	업계/NNG+의/JKG
값	값/NNG
인하와	인하/NNG+와/JC
수리기간	수리/NNG+기간/NNG
단축으로	단축/NNG+으로/JKB
이어질지	이어지/VV+ㄹ지/EF
관심을	관심/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.124.8.1
벤츠를 비롯한 주요 수입차 업체들은 부품 물류센터를 운영 중이다.

벤츠를	벤츠/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
주요	주요/NNG
수입차	수입차/NNG
업체들은	업체/NNG+들/XSN+은/JX
부품	부품/NNG
물류센터를	물류/NNG+센터/NNG+를/JKO
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.124.8.2
베엠베(BMW)코리아는 2006년부터 경기 이천시에 벤츠코리아와 비슷한 규모(1만6500㎡)의 센터를 열고 2만7000여종의 부품을 취급하고 있다.

베엠베(BMW)코리아는	베엠베/NNP+(/SS+BMW/SL+)/SS+코리아/NNP+는/JX
2006년부터	2006/SN+년/NNB+부터/JX
경기	경기/NNP
이천시에	이천시/NNP+에/JKB
벤츠코리아와	벤츠코리아/NNP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
규모(1만6500㎡)의	규모/NNG+(/SS+1/SN+만/NR+6500/SN+㎡/SW+)/SS+의/JKG
센터를	센터/NNG+를/JKO
열고	열/VV+고/EC
2만7000여종의	2/SN+만/NR+7000/SN+여/XSN+종/NNG+의/JKG
부품을	부품/NNG+을/JKO
취급하고	취급/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.124.8.3
아우디폭스바겐코리아도 현재 3만5000여종의 부품을 다루고 있다.

아우디폭스바겐코리아도	아우디폭스바겐코리아/NNP+도/JX
현재	현재/MAG
3만5000여종의	3/SN+만/NR+5000/SN+여/XSN+종/NNG+의/JKG
부품을	부품/NNG+을/JKO
다루고	다루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.124.8.4
지난해 국내에서 3500대 가량을 팔아 수입차 시장 점유율 2.8% 정도를 기록한 한국닛산도 1만5000종의 부품을 보관하는 물류센터를 운영하고 있다.

지난해	지난해/NNG
국내에서	국내/NNG+에서/JKB
3500대	3500/SN+대/NNB
가량을	가량/XSN+을/JKO
팔아	팔/VV+아/EC
수입차	수입차/NNG
시장	시장/NNG
점유율	점유/NNG+율/XSN
2.8%	2/SN+./SP+8/SN+%/SW
정도를	정도/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
한국닛산도	한국닛산/NNP+도/JX
1만5000종의	1/SN+만/NR+5000/SN+종/NNG+의/JKG
부품을	부품/NNG+을/JKO
보관하는	보관/NNG+하/XSV+는/ETM
물류센터를	물류/NNG+센터/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.124.9.1
하지만 여전히 부품 보유량이 부족하다는 게 업계 평가다.

하지만	하지만/MAJ
여전히	여전히/MAG
부품	부품/NNG
보유량이	보유량/NNG+이/JKS
부족하다는	부족/NNG+하/XSA+다는/ETM
게	거/NNB+이/JKS
업계	업계/NNG
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.124.9.2
많아야 3만~4만 종류를 보관하는 국내 완성차 업체의 지역 거점 물류센터 수준의 운영으로는 한계가 있다는 설명이다.

많아야	많/VA+아야/EC
3만~4만	3/SN+만/NR+~/SO+4/SN+만/NR
종류를	종류/NNG+를/JKO
보관하는	보관/NNG+하/XSV+는/ETM
국내	국내/NNG
완성차	완성차/NNG
업체의	업체/NNG+의/JKG
지역	지역/NNG
거점	거점/NNG
물류센터	물류/NNG+센터/NNG
수준의	수준/NNG+의/JKG
운영으로는	운영/NNG+으로/JKB+는/JX
한계가	한계/NNG+가/JKS
있다는	있/VA+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.124.9.3
그나마 아예 물류센터를 운영하지 않는 곳이 많다.

그나마	그나마/MAG
아예	아예/MAG
물류센터를	물류/NNG+센터/NNG+를/JKO
운영하지	운영/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
곳이	곳/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000044.124.9.4
수입차 부품은 대부분 외국에서 들여오는데, 물류센터가 없는 경우 수입차 국내 유통 및 서비스를 맡고 있는 딜러사들의 서비스센터에서 각자 부품 조달을 해야 하기 때문에 유통 과정이 복잡해진다.

수입차	수입차/NNG
부품은	부품/NNG+은/JX
대부분	대/XPN+부분/NNG
외국에서	외국/NNG+에서/JKB
들여오는데,	들여오/VV+는데/EC+,/SP
물류센터가	물류/NNG+센터/NNG+가/JKS
없는	없/VA+는/ETM
경우	경우/NNG
국내	국내/NNG
유통	유통/NNG
및	및/MAG
서비스를	서비스/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
딜러사들의	딜러사/NNG+들/XSN+의/JKG
서비스센터에서	서비스/NNG+센터/NNG+에서/JKB
각자	각자/MAG
부품	부품/NNG
조달을	조달/NNG+을/JKO
해야	하/VV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
과정이	과정/NNG+이/JKS
복잡해진다.	복잡하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.124.9.5
도심에 있는 수입차 서비스센터가 보유할 수 있는 물량에도 한계가 있을 수밖에 없어 부품 관리 비용이 가격 거품 구조를 키운다는 지적도 받아왔다.

도심에	도심/NNG+에/JKB
있는	있/VA+는/ETM
수입차	수입차/NNG
서비스센터가	서비스/NNG+센터/NNG+가/JKS
보유할	보유/NNG+하/XSV+ㄹ/ETM
수	수/NNB
물량에도	물량/NNG+에/JKB+도/JX
한계가	한계/NNG+가/JKS
있을	있/VA+을/ETM
수밖에	수/NNB+밖에/JX
없어	없/VA+어/EC
부품	부품/NNG
관리	관리/NNG
비용이	비용/NNG+이/JKS
가격	가격/NNG
거품	거품/NNG
구조를	구조/NNG+를/JKO
키운다는	키우/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.124.10.1
그러다보니 제때 부품 공급이 안 돼 과도한 렌트카 비용을 내게 되는 구조도 문제다.

그러다보니	그러/VV+다/EC+보/VX+니/EC
제때	제때/NNG
부품	부품/NNG
공급이	공급/NNG+이/JKC
안	안/MAG
돼	되/VV+어/EC
과도한	과도/NNG+하/XSA+ㄴ/ETM
렌트카	렌트카/NNG
비용을	비용/NNG+을/JKO
내게	내/VV+게/EC
되는	되/VV+는/ETM
구조도	구조/NNG+도/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.124.10.2
새정치민주연합 민병두 의원이 지난해 손해보험회사 자료를 분석한 결과를 보면 2012년 폭스바겐의 평균 수리일수는 10.1일에 달했다.

새정치민주연합	새정치민주연합/NNP
민병두	민병두/NNP
의원이	의원/NNG+이/JKS
지난해	지난해/NNG
손해보험회사	손해/NNG+보험/NNG+회사/NNG
자료를	자료/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
보면	보/VV+면/EC
2012년	2012/SN+년/NNB
폭스바겐의	폭스바겐/NNP+의/JKG
평균	평균/NNG
수리일수는	수리/NNG+일수/NNG+는/JX
10.1일에	10/SN+./SP+1/SN+일/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.124.10.3
아우디와 벤츠, 베엠베도 수리 기간이 6일을 넘어 국산 차량 평균(4.3일)보다 길었다.

아우디와	아우디/NNP+와/JC
벤츠,	벤츠/NNP+,/SP
베엠베도	베엠베/NNP+도/JX
수리	수리/NNG
기간이	기간/NNG+이/JKS
6일을	6/SN+일/NNB+을/JKO
넘어	넘/VV+어/EC
국산	국산/NNG
차량	차량/NNG
평균(4.3일)보다	평균/NNG+(/SS+4/SN+./SP+3/SN+일/NNB+)/SS+보다/JKB
길었다.	길/VA+었/EP+다/EF+./SF


# id : NWRW1800000044.124.10.4
평균 렌트 비용은 국산차의 3.6배에 달했다.

평균	평균/NNG
렌트	렌트/NNG
비용은	비용/NNG+은/JX
국산차의	국산/NNG+차/NNG+의/JKG
3.6배에	3/SN+./SP+6/SN+배/NNG+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.124.10.5
비싼 부품 값과 더불어 긴 수리기간으로 인한 차량 렌트 비용을 보험사가 지급하면서 애꿎은 국산차 이용자들의 보험료 부담까지 높이고 있는 것이다.

비싼	비싸/VA+ㄴ/ETM
부품	부품/NNG
값과	값/NNG+과/JKB
더불어	더불/VV+어/EC
긴	길/VA+ㄴ/ETM
수리기간으로	수리/NNG+기간/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
차량	차량/NNG
렌트	렌트/NNG
비용을	비용/NNG+을/JKO
보험사가	보험사/NNG+가/JKS
지급하면서	지급/NNG+하/XSV+면서/EC
애꿎은	애꿎/VA+은/ETM
국산차	국산/NNG+차/NNG
이용자들의	이용자/NNG+들/XSN+의/JKG
보험료	보험료/NNG
부담까지	부담/NNG+까지/JX
높이고	높이/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.124.11.1
그나마 일부 수입차 업체들이 물류센터 규모를 늘리는 등 부품 조달에 신경쓰고 나서는 것은 긍정적이라는 평가가 나온다.

그나마	그나마/MAG
일부	일부/NNG
수입차	수입차/NNG
업체들이	업체/NNG+들/XSN+이/JKS
물류센터	물류/NNG+센터/NNG
규모를	규모/NNG+를/JKO
늘리는	늘리/VV+는/ETM
등	등/NNB
부품	부품/NNG
조달에	조달/NNG+에/JKB
신경쓰고	신경/NNG+쓰/VV+고/EC
나서는	나서/VV+는/ETM
것은	것/NNB+은/JX
긍정적이라는	긍정/NNG+적/XSN+이/VCP+라는/ETM
평가가	평가/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.124.11.2
벤츠코리아 관계자는 “물류창고를 운영하면 미리 재고를 준비해 항공배송 대신 선박을 이용하는 등 비용 절감 효과가 있다.

벤츠코리아	벤츠코리아/NNP
관계자는	관계자/NNG+는/JX
“물류창고를	“/SS+물류/NNG+창고/NNG+를/JKO
운영하면	운영/NNG+하/XSV+면/EC
미리	미리/MAG
재고를	재고/NNG+를/JKO
준비해	준비/NNG+하/XSV+아/EC
항공배송	항공/NNG+배송/NNG
대신	대신/NNG
선박을	선박/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
등	등/NNB
비용	비용/NNG
절감	절감/NNG
효과가	효과/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.124.11.3
중장기적으로는 부품값에도 영향을 줄 것”이라고 설명했다.

중장기적으로는	중장기/NNG+적/XSN+으로/JKB+는/JX
부품값에도	부품/NNG+값/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.124.11.4
베엠베코리아 관계자는 “증가하는 수요를 충족하기 위해 앞으로 물류창고를 추가로 만들어 지방고객의 서비스 증대를 모색할 계획”이라고 말했다.

베엠베코리아	베엠베코리아/NNP
관계자는	관계자/NNG+는/JX
“증가하는	“/SS+증가/NNG+하/XSV+는/ETM
수요를	수요/NNG+를/JKO
충족하기	충족/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
앞으로	앞/NNG+으로/JKB
물류창고를	물류/NNG+창고/NNG+를/JKO
추가로	추가/NNG+로/JKB
만들어	만들/VV+어/EC
지방고객의	지방/NNG+고객/NNG+의/JKG
서비스	서비스/NNG
증대를	증대/NNG+를/JKO
모색할	모색/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


