# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.146
metadata : {}


# id : NWRW1800000046.146.1.1
黨政 "소득 많은 피부양자에겐 健保料 부과"

黨政	黨政/SH
현재는 피부양자가 이자·배당 등 금융소득 또는 근로·기타소득이 각각 4000만원 이하이거나 연금소득이 4000만원 이하, 재산세 과세표준액 합산 9억원 이하 등이면 건보료를 내지 않았다.

현재는	현재/NNG+는/JX
피부양자가	피/XPN+부양자/NNG+가/JKS
이자·배당	이자/NNG+·/SP+배당/NNG
등	등/NNB
금융소득	금융/NNG+소득/NNG
또는	또는/MAG
근로·기타소득이	근로/NNG+·/SP+기타/NNG+소득/NNG+이/JKS
각각	각각/MAG
4000만원	4000/SN+만/NR+원/NNB
이하이거나	이하/NNG+이/VCP+거나/EC
연금소득이	연금/NNG+소득/NNG+이/JKS
이하,	이하/NNG+,/SP
재산세	재산세/NNG
과세표준액	과세/NNG+표준액/NNG
합산	합산/NNG
9억원	9/SN+억/NR+원/NNB
이하	이하/NNG
등이면	등/NNB+이/VCP+면/EC
건보료를	건보료/NNG+를/JKO
내지	내/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.146.8.1
이런 피부양자 제도는 그동안 직장인 가족에게만 적용돼 자영업자·농어민을 차별하는 제도라는 불만이 컸다.

이런	이런/MMD
피부양자	피/XPN+부양자/NNG
제도는	제도/NNG+는/JX
그동안	그동안/NNG
직장인	직장인/NNG
가족에게만	가족/NNG+에게/JKB+만/JX
적용돼	적용/NNG+되/XSV+어/EC
자영업자·농어민을	자영업자/NNG+·/SP+농어민/NNG+을/JKO
차별하는	차별/NNG+하/XSV+는/ETM
제도라는	제도/NNG+이/VCP+라는/ETM
불만이	불만/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.146.9.1
이 의원은 또 임금 이외의 종합소득이 높은 '부자' 직장인에 대한 보험료 부과에 대해 "임금 외 종합소득(이자소득, 임대소득, 배당소득, 사업소득, 기타 소득 등)도 모두 보험료 산정 기준에 넣는 방향으로 범위를 넓히기로 했다"고 밝혔다.

이	이/NNP
의원은	의원/NNG+은/JX
또	또/MAG
임금	임금/NNG
이외의	이외/NNG+의/JKG
종합소득이	종합/NNG+소득/NNG+이/JKS
높은	높/VA+은/ETM
'부자'	'/SS+부자/NNG+'/SS
직장인에	직장인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보험료	보험료/NNG
부과에	부과/NNG+에/JKB
대해	대하/VV+아/EC
"임금	"/SS+임금/NNG
외	외/NNB
종합소득(이자소득,	종합/NNG+소득/NNG+(/SS+이자/NNG+소득/NNG+,/SP
임대소득,	임대/NNG+소득/NNG+,/SP
배당소득,	배당/NNG+소득/NNG+,/SP
사업소득,	사업/NNG+소득/NNG+,/SP
기타	기타/NNG
소득	소득/NNG
등)도	등/NNB+)/SS+도/JX
모두	모두/MAG
산정	산정/NNG
기준에	기준/NNG+에/JKB
넣는	넣/VV+는/ETM
방향으로	방향/NNG+으로/JKB
범위를	범위/NNG+를/JKO
넓히기로	넓히/VV+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.146.10.1
현재는 임금소득 이외의 종합소득이 7200만원(월 600만원)이 넘는 직장인 3만여명에게만 건보료를 더 매기고 있다.

현재는	현재/NNG+는/JX
임금소득	임금/NNG+소득/NNG
이외의	이외/NNG+의/JKG
종합소득이	종합/NNG+소득/NNG+이/JKS
7200만원(월	7200/SN+만/NR+원/NNB+(/SS+월/NNG
600만원)이	600/SN+만/NR+원/NNB+)/SS+이/JKS
넘는	넘/VV+는/ETM
직장인	직장인/NNG
3만여명에게만	3/SN+만/NR+여/XSN+명/NNB+에게/JKB+만/JX
건보료를	건보료/NNG+를/JKO
더	더/MAG
매기고	매기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.146.10.2
앞으로는 피부양자 소득 기준처럼 2000만원(월 167만원)이 넘는 경우에 일정액을 공제한 뒤 건보료를 더 내도록 하는 방향으로 논의된 것으로 알려졌다.

앞으로는	앞/NNG+으로/JKB+는/JX
피부양자	피/XPN+부양자/NNG
소득	소득/NNG
기준처럼	기준/NNG+처럼/JKB
2000만원(월	2000/SN+만/NR+원/NNB+(/SS+월/NNG
167만원)이	167/SN+만/NR+원/NNB+)/SS+이/JKS
넘는	넘/VV+는/ETM
경우에	경우/NNG+에/JKB
일정액을	일정액/NNG+을/JKO
공제한	공제/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
건보료를	건보료/NNG+를/JKO
더	더/MAG
내도록	내/VV+도록/EC
하는	하/VX+는/ETM
방향으로	방향/NNG+으로/JKB
논의된	논의/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.146.10.3
가령 종합소득이 3000만원일 경우에는 2000만원을 공제한 1000만원에 대해 건보료를 부과하는 방식이다.

가령	가령/MAG
종합소득이	종합/NNG+소득/NNG+이/JKS
3000만원일	3000/SN+만/NR+원/NNB+이/VCP+ㄹ/ETM
경우에는	경우/NNG+에/JKB+는/JX
2000만원을	2000/SN+만/NR+원/NNB+을/JKO
공제한	공제/NNG+하/XSV+ㄴ/ETM
1000만원에	1000/SN+만/NR+원/NNB+에/JKB
대해	대하/VV+아/EC
건보료를	건보료/NNG+를/JKO
부과하는	부과/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.146.11.1
한편 당정은 지난달 회의에서 소득이 없거나 적은 사람에게 최저 보험료를 도입하는 방안을 검토했고, 앞으로 지역 가입자 소득보험료 부과 방안, 건강보험 재정 중립을 위한 손실 보전 대책에 대해 추가 논의한 뒤 공청회 등을 통해 최종 건보료 부과 체계 개편안을 밝힐 예정이다.

한편	한편/MAG
당정은	당정/NNG+은/JX
지난달	지난달/NNG
회의에서	회의/NNG+에서/JKB
소득이	소득/NNG+이/JKS
없거나	없/VA+거나/EC
적은	적/VA+은/ETM
사람에게	사람/NNG+에게/JKB
최저	최저/NNG
보험료를	보험료/NNG+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토했고,	검토/NNG+하/XSV+았/EP+고/EC+,/SP
앞으로	앞/NNG+으로/JKB
지역	지역/NNG
가입자	가입자/NNG
소득보험료	소득/NNG+보험료/NNG
부과	부과/NNG
방안,	방안/NNG+,/SP
건강보험	건강/NNG+보험/NNG
재정	재정/NNG
중립을	중립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
손실	손실/NNG
보전	보전/NNG
대책에	대책/NNG+에/JKB
대해	대하/VV+아/EC
추가	추가/NNG
논의한	논의/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
공청회	공청회/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
최종	최종/NNG
건보료	건보료/NNG
체계	체계/NNG
개편안을	개편안/NNG+을/JKO
밝힐	밝히/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


