# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.104
metadata : {}


# id : NWRW1800000038.104.1.1
"창경원 사자와 내 처지 다를 게 없다며 토로하셨죠"

"창경원	"/SS+창경원/NNP
뜻을	뜻/NNG+을/JKO
표했다.	표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.104.7.1
김씨는 "박 대통령은 무뚝뚝한 겉모습과 달리 무척 다정다감했다"고 전했다.

김씨는	김/NNP+씨/NNB+는/JX
"박	"/SS+박/NNP
대통령은	대통령/NNG+은/JX
무뚝뚝한	무뚝뚝/NNG+하/XSA+ㄴ/ETM
겉모습과	겉모습/NNG+과/JKB
달리	달리/MAG
무척	무척/MAG
다정다감했다"고	다정다감/NNG+하/XSA+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.104.7.2
"5·16 이후 국가재건 최고회의 의장 때 전북 남원에 심한 물난리가 나서 사람들이 많이 죽었어요.

"5·16	"/SS+5/SN+·/SP+16/SN
이후	이후/NNG
국가재건	국가/NNG+재건/NNG
최고회의	최고/NNG+회의/NNG
의장	의장/NNG
때	때/NNG
전북	전북/NNP
남원에	남원/NNP+에/JKB
심한	심하/VA+ㄴ/ETM
물난리가	물난리/NNG+가/JKS
나서	나/VV+아서/EC
사람들이	사람/NNG+들/XSN+이/JKS
많이	많이/MAG
죽었어요.	죽/VV+었/EP+어요/EF+./SF


# id : NWRW1800000038.104.7.3
현장 기자로 옆에서 지켜봤는데, 군복을 입은 채 70, 80대 촌로들의 손을 붙잡고 눈물을 뚝뚝 흘리더군요."

현장	현장/NNG
기자로	기자/NNG+로/JKB
옆에서	옆/NNG+에서/JKB
지켜봤는데,	지켜보/VV+았/EP+는데/EC+,/SP
군복을	군복/NNG+을/JKO
입은	입/VV+은/ETM
채	채/NNB
70,	70/SN+,/SP
80대	80/SN+대/NNB
촌로들의	촌로/NNG+들/XSN+의/JKG
손을	손/NNG+을/JKO
붙잡고	붙잡/VV+고/EC
눈물을	눈물/NNG+을/JKO
뚝뚝	뚝뚝/MAG
흘리더군요."	흘리/VV+더군/EF+요/JX+./SF+"/SS


# id : NWRW1800000038.104.8.1
1975년 무렵엔 박 대통령이 청와대에 갇혀 사는 외로움을 토로하기도 했다고 한다.

1975년	1975/SN+년/NNB
무렵엔	무렵/NNB+에/JKB+ㄴ/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
청와대에	청와대/NNP+에/JKB
갇혀	갇히/VV+어/EC
사는	살/VV+는/ETM
외로움을	외로움/NNG+을/JKO
토로하기도	토로/NNG+하/XSV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.104.8.2
"사자는 창경원에 갇혀 있다지만, 나는 사람으로서 이 청와대에 갇혀 마음대로 나가지도 못하오.

"사자는	"/SS+사자/NNG+는/JX
창경원에	창경원/NNP+에/JKB
갇혀	갇히/VV+어/EC
있다지만,	있/VX+다지만/EC+,/SP
나는	나/NP+는/JX
사람으로서	사람/NNG+으로서/JKB
이	이/MMD
청와대에	청와대/NNP+에/JKB
마음대로	마음대로/MAG
나가지도	나가/VV+지/EC+도/JX
못하오.	못하/VX+오/EF+./SF


# id : NWRW1800000038.104.8.3
나와 창경원의 사자가 다를 게 뭐요.

나와	나/NP+와/JC
창경원의	창경원/NNP+의/JKG
사자가	사자/NNG+가/JKS
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
뭐요.	뭐/NP+요/JX+./SF


# id : NWRW1800000038.104.8.4
이 멍에를 빨리 벗어던지고 시내를 자유롭게 활보하고 싶소."

이	이/MMD
멍에를	멍에/NNG+를/JKO
빨리	빨리/MAG
벗어던지고	벗어던지/VV+고/EC
시내를	시내/NNG+를/JKO
자유롭게	자유/NNG+롭/XSA+게/EC
활보하고	활보/NNG+하/XSV+고/EC
싶소."	싶/VX+소/EF+./SF+"/SS


# id : NWRW1800000038.104.9.1
김씨는 29일 박 대통령과 편지를 주고받은 일화를 포함, 언론인으로, 또 한국기독교 100주년 기념사업의 핵심으로 살아온 일생을 돌아보는 회고록 '미안합니다, 고맙습니다'(홍성사)를 펴내고 출판기념회를 가졌다.

김씨는	김/NNP+씨/NNB+는/JX
29일	29/SN+일/NNB
박	박/NNP
대통령과	대통령/NNG+과/JKB
편지를	편지/NNG+를/JKO
주고받은	주고받/VV+은/ETM
일화를	일화/NNG+를/JKO
포함,	포함/NNG+,/SP
언론인으로,	언론인/NNG+으로/JKB+,/SP
또	또/MAG
한국기독교	한국/NNP+기독교/NNG
100주년	100/SN+주년/NNB
기념사업의	기념사업/NNG+의/JKG
핵심으로	핵심/NNG+으로/JKB
살아온	살아오/VV+ㄴ/ETM
일생을	일생/NNG+을/JKO
돌아보는	돌아보/VV+는/ETM
회고록	회고록/NNG
'미안합니다,	'/SS+미안/NNG+하/XSA+ㅂ니다/EF+,/SP
고맙습니다'(홍성사)를	고맙/VA+습니다/EF+'/SS+(/SS+홍성사/NNP+)/SS+를/JKO
펴내고	펴내/VV+고/EC
출판기념회를	출판/NNG+기념회/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


