# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.380
metadata : {}


# id : NWRW1800000044.380.1.1
검찰, 오늘 ‘원세훈 항소’ 공심위 이례적 소집

검찰,	검찰/NNG+,/SP
실제로 공심위를 여는 건 드문 일이지만 이번 사건의 쟁점이 첨예해 회의를 열어야 할 것 같다”고 말했다.

실제로	실제로/MAG
공심위를	공심위/NNG+를/JKO
여는	열/VV+는/ETM
건	거/NNB+ㄴ/JX
드문	드물/VA+ㄴ/ETM
일이지만	일/NNG+이/VCP+지만/EC
이번	이번/NNG
사건의	사건/NNG+의/JKG
쟁점이	쟁점/NNG+이/JKS
첨예해	첨예하/VA+아/EC
회의를	회의/NNG+를/JKO
열어야	열/VV+어야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.380.5.1
공심위는 ‘무죄(일부 무죄 포함) 사건의 상소 여부’를 심의한다.

공심위는	공심위/NNG+는/JX
‘무죄(일부	‘/SS+무죄/NNG+(/SS+일부/NNG
무죄	무죄/NNG
포함)	포함/NNG+)/SS
사건의	사건/NNG+의/JKG
상소	상소/NNG
여부’를	여부/NNG+’/SS+를/JKO
심의한다.	심의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.380.5.2
검찰은 그동안 무죄가 날 경우 수사 또는 공소유지 검사의 의견을 받아들여 대부분 상소해왔다.

검찰은	검찰/NNG+은/JX
그동안	그동안/NNG
무죄가	무죄/NNG+가/JKS
날	나/VV+ㄹ/ETM
경우	경우/NNG
수사	수사/NNG
또는	또는/MAG
공소유지	공소/NNG+유지/NNG
검사의	검사/NNG+의/JKG
의견을	의견/NNG+을/JKO
받아들여	받아들이/VV+어/EC
대부분	대/XPN+부분/NNG
상소해왔다.	상소/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.380.5.3
국정원 사건 수사팀은 항소를 강하게 주장하고 있다.

국정원	국정원/NNG
사건	사건/NNG
수사팀은	수사/NNG+팀/NNG+은/JX
항소를	항소/NNG+를/JKO
강하게	강하/VA+게/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.380.5.4
김용판(56) 전 서울경찰청장의 선거법 위반 혐의 1·2심 무죄 판결 때도 공심위는 서면으로 열렸고, 별 이견 없이 상소가 결정된 것으로 알려졌다.

김용판(56)	김용판/NNP+(/SS+56/SN+)/SS
전	전/MMD
서울경찰청장의	서울경찰청장/NNG+의/JKG
선거법	선거법/NNG
위반	위반/NNG
혐의	혐의/NNG
1·2심	1/SN+·/SP+2심/NNG
무죄	무죄/NNG
판결	판결/NNG
때도	때/NNG+도/JX
공심위는	공심위/NNG+는/JX
서면으로	서면/NNG+으로/JKB
열렸고,	열리/VV+었/EP+고/EC+,/SP
별	별/MMA
이견	이견/NNG
없이	없이/MAG
상소가	상소/NNG+가/JKS
결정된	결정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.380.5.5
한 검찰 출신 변호사는 “법률심인 상고심을 포기하는 경우는 종종 있지만, 무죄를 받았는데 사실 인정 여부를 심리하는 마지막 단계인 항소심을 포기하는 건 매우 드문 경우”라고 말했다.

한	한/MMN
검찰	검찰/NNG
출신	출신/NNG
변호사는	변호사/NNG+는/JX
“법률심인	“/SS+법률심/NNG+이/VCP+ㄴ/ETM
상고심을	상고심/NNG+을/JKO
포기하는	포기/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
종종	종종/MAG
있지만,	있/VA+지만/EC+,/SP
무죄를	무죄/NNG+를/JKO
받았는데	받/VV+았/EP+는데/EC
사실	사실/NNG
인정	인정/NNG
여부를	여부/NNG+를/JKO
심리하는	심리/NNG+하/XSV+는/ETM
마지막	마지막/NNG
단계인	단계/NNG+이/VCP+ㄴ/ETM
항소심을	항소심/NNG+을/JKO
건	거/NNB+ㄴ/JX
매우	매우/MAG
드문	드물/VA+ㄴ/ETM
경우”라고	경우/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.380.6.1
공심위는 차장검사가 위원장이고 10명 이내 검사로 구성된다.

공심위는	공심위/NNG+는/JX
차장검사가	차장/NNG+검사/NNG+가/JKS
위원장이고	위원장/NNG+이/VCP+고/EC
10명	10/SN+명/NNB
이내	이내/NNG
검사로	검사/NNG+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.380.6.2
사건 수사·공판담당 검사는 당연직 위원이다.

사건	사건/NNG
수사·공판담당	수사/NNG+·/SP+공판/NNG+담당/NNG
검사는	검사/NNG+는/JX
당연직	당연직/NNG
위원이다.	위원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.380.6.3
그 외 위원은 부장검사, 부부장검사 또는 평검사 중에서 지검장이 지명한다.

그	그/MMD
외	외/NNB
위원은	위원/NNG+은/JX
부장검사,	부장/NNG+검사/NNG+,/SP
부부장검사	부부장/NNG+검사/NNG
또는	또는/MAG
평검사	평검사/NNG
중에서	중/NNB+에서/JKB
지검장이	지검장/NNG+이/JKS
지명한다.	지명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.380.7.1
앞서 ‘국정원법(정치관여) 유죄-선거법(선거개입) 무죄’를 선고받은 원 전 원장은 유죄가 선고된 대목에도 무죄를 다투겠다며 15일 항소했다.

앞서	앞서/MAG
‘국정원법(정치관여)	‘/SS+국정원법/NNG+(/SS+정치/NNG+관여/NNG+)/SS
유죄-선거법(선거개입)	유죄/NNG+-/SO+선거법/NNG+(/SS+선거/NNG+개입/NNG+)/SS
무죄’를	무죄/NNG+’/SS+를/JKO
선고받은	선고/NNG+받/XSV+은/ETM
원	원/NNP
전	전/MMD
원장은	원장/NNG+은/JX
유죄가	유죄/NNG+가/JKS
선고된	선고/NNG+되/XSV+ㄴ/ETM
대목에도	대목/NNG+에/JKB+도/JX
무죄를	무죄/NNG+를/JKO
다투겠다며	다투/VV+겠/EP+다며/EC
15일	15/SN+일/NNB
항소했다.	항소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.380.7.2
만약 검찰이 항소를 포기하면 1심에서 무죄가 선고된 선거법 위반 혐의는 심리 대상에서 제외된다.

만약	만약/MAG
검찰이	검찰/NNG+이/JKS
항소를	항소/NNG+를/JKO
포기하면	포기/NNG+하/XSV+면/EC
1심에서	1심/NNG+에서/JKB
무죄가	무죄/NNG+가/JKS
선고된	선고/NNG+되/XSV+ㄴ/ETM
선거법	선거법/NNG
위반	위반/NNG
혐의는	혐의/NNG+는/JX
심리	심리/NNG
대상에서	대상/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.380.7.3
또 국정원법 위반 혐의에 유죄 판단이 유지되더라도 1심보다 형량을 높일 수 없다.

또	또/MAG
국정원법	국정원법/NNG
위반	위반/NNG
혐의에	혐의/NNG+에/JKB
유죄	유죄/NNG
판단이	판단/NNG+이/JKS
유지되더라도	유지/NNG+되/XSV+더라도/EC
1심보다	1심/NNG+보다/JKB
형량을	형량/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.380.7.4
따라서 검찰의 항소 포기는 ‘원세훈 봐주기’일 수밖에 없다.

따라서	따라서/MAJ
검찰의	검찰/NNG+의/JKG
항소	항소/NNG
포기는	포기/NNG+는/JX
‘원세훈	‘/SS+원세훈/NNP
봐주기’일	봐주/VV+기/ETN+’/SS+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.380.8.1
항소장 제출 시한은 1심 선고일로부터 일주일이 되는 18일이다.

항소장	항소장/NNG
제출	제출/NNG
시한은	시한/NNG+은/JX
1심	1심/NNG
선고일로부터	선고일/NNG+로부터/JKB
일주일이	일주일/NNG+이/JKC
되는	되/VV+는/ETM
18일이다.	18/SN+일/NNB+이/VCP+다/EF+./SF


