# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.330
metadata : {}


# id : NWRW1800000038.330.1.1
'나홀로 인사 스타일' 朴, 바꿀 기미 없는 듯

'나홀로	'/SS+나/NNG+홀로/MAG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.330.4.2
이와 관련, 친박 핵심 관계자는 "인사 검증과 관련해 청와대와 각 부처·기관 관계자들을 제대로 파견받아서 보강해야 한다는 건의는 이미 여러 차례 올라갔다"며 "이런 건의가 반영될지는 하루 이틀 지켜봐야 한다"고 말했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
친박	친/XPN+박/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
"인사	"/SS+인사/NNG
검증과	검증/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
청와대와	청와대/NNP+와/JC
각	각/MMD
부처·기관	부처/NNG+·/SP+기관/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
제대로	제대로/MAG
파견받아서	파견/NNG+받/XSV+아서/EC
보강해야	보강/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
건의는	건의/NNG+는/JX
이미	이미/MAG
여러	여러/MMN
차례	차례/NNG
올라갔다"며	올라가/VV+았/EP+다/EF+"/SS+며/EC
"이런	"/SS+이런/MMD
건의가	건의/NNG+가/JKS
반영될지는	반영/NNG+되/XSV+ㄹ지/EF+는/JX
하루	하루/NNG
이틀	이틀/NNG
지켜봐야	지켜보/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.330.5.1
청와대 측도 이날 "달라진 게 없다"고 했다.

청와대	청와대/NNP
측도	측/NNB+도/JX
이날	이날/NNG
"달라진	"/SS+달라지/VV+ㄴ/ETM
게	거/NNB+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.330.5.2
청와대의 한 고위 관계자는 "인수위원 임명 당시 약 20명 정도에 대해 '위법·탈세 등 기본적인 검증만 해달라'는 부탁이 와서 도와준 적은 있다"며 "청와대 직원이 당선인 쪽에 파견을 나갔거나 당선인 쪽에서 청와대에 파견 나와 있는 직원도 없고, 청와대 인사 파일 전체를 제공하지도 않았다"고 했다.

청와대의	청와대/NNP+의/JKG
한	한/MMN
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"인수위원	"/SS+인수/NNG+위원/NNG
임명	임명/NNG
당시	당시/NNG
약	약/MMA
20명	20/SN+명/NNB
정도에	정도/NNG+에/JKB
대해	대하/VV+아/EC
'위법·탈세	'/SS+위법/NNG+·/SP+탈세/NNG
등	등/NNB
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
검증만	검증/NNG+만/JX
해달라'는	하/VV+아/EC+달/VX+라/EF+'/SS+는/ETM
부탁이	부탁/NNG+이/JKS
와서	오/VV+아서/EC
도와준	도와주/VV+ㄴ/ETM
적은	적/NNB+은/JX
있다"며	있/VA+다/EF+"/SS+며/EC
"청와대	"/SS+청와대/NNP
직원이	직원/NNG+이/JKS
당선인	당선인/NNG
쪽에	쪽/NNB+에/JKB
파견을	파견/NNG+을/JKO
나갔거나	나가/VV+았/EP+거나/EC
쪽에서	쪽/NNB+에서/JKB
청와대에	청와대/NNP+에/JKB
파견	파견/NNG
나와	나오/VV+아/EC
있는	있/VX+는/ETM
직원도	직원/NNG+도/JX
없고,	없/VA+고/EC+,/SP
청와대	청와대/NNP
인사	인사/NNG
파일	파일/NNG
전체를	전체/NNG+를/JKO
제공하지도	제공/NNG+하/XSV+지/EC+도/JX
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.330.6.1
그러나 청와대 측은 "장관 임명과 관련된 인사 검증 작업에 아무런 도움도 주지 않고 있느냐"는 질문에 대해선 "현재 진행 중인 사항에 대해선 확인해줄 수 없다"고 했다.

그러나	그러나/MAJ
청와대	청와대/NNP
측은	측/NNB+은/JX
"장관	"/SS+장관/NNG
임명과	임명/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
인사	인사/NNG
검증	검증/NNG
작업에	작업/NNG+에/JKB
아무런	아무런/MMD
도움도	도움/NNG+도/JX
주지	주/VV+지/EC
않고	않/VX+고/EC
있느냐"는	있/VX+느냐/EF+"/SS+는/ETM
질문에	질문/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"현재	"/SS+현재/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
사항에	사항/NNG+에/JKB
확인해줄	확인/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.330.6.2
이와 관련, 정부와 당선인 측 관계자들은 "당선인 쪽에서 특정인을 찍어서 검증 요청을 하면 그에 대한 작업은 현 정부에서 도와주고 있다"며 "다만 그렇게 들어오는 후보자들이 장관 후보자인지 총리 후보자인지는 알 수가 없다"고 말했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
정부와	정부/NNG+와/JC
당선인	당선인/NNG
측	측/NNB
관계자들은	관계자/NNG+들/XSN+은/JX
"당선인	"/SS+당선인/NNG
쪽에서	쪽/NNB+에서/JKB
특정인을	특정인/NNG+을/JKO
찍어서	찍/VV+어서/EC
검증	검증/NNG
요청을	요청/NNG+을/JKO
하면	하/VV+면/EC
그에	그/NP+에/JKB
대한	대하/VV+ㄴ/ETM
작업은	작업/NNG+은/JX
현	현/MMD
정부에서	정부/NNG+에서/JKB
도와주고	도와주/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"다만	"/SS+다만/MAG
그렇게	그렇/VA+게/EC
들어오는	들어오/VV+는/ETM
후보자들이	후보자/NNG+들/XSN+이/JKS
장관	장관/NNG
후보자인지	후보자/NNG+이/VCP+ㄴ지/EF
총리	총리/NNG
후보자인지는	후보자/NNG+이/VCP+ㄴ지/EF+는/JX
알	알/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.330.6.3
당선인 측의 또 다른 관계자는 "검증이 더욱 중요해진 데 반해 시간이 촉박해진 만큼 결국 청와대에 총리나 장관 후보자들에 대한 검증 협조를 요구할 수밖에 없지 않겠느냐"고 말했다.

당선인	당선인/NNG
측의	측/NNB+의/JKG
또	또/MAG
다른	다른/MMD
관계자는	관계자/NNG+는/JX
"검증이	"/SS+검증/NNG+이/JKS
더욱	더욱/MAG
중요해진	중요/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
데	데/NNB
반해	반하/VV+아/EC
시간이	시간/NNG+이/JKS
촉박해진	촉박/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
만큼	만큼/NNB
결국	결국/MAG
청와대에	청와대/NNP+에/JKB
총리나	총리/NNG+나/JC
장관	장관/NNG
후보자들에	후보자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
검증	검증/NNG
협조를	협조/NNG+를/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없지	없/VA+지/EC
않겠느냐"고	않/VX+겠/EP+느냐/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.330.6.4
총리와 장관 후보자 지명이 급해진 이상 이제 와서 새로운 팀을 꾸리기보다는 청와대와 관계기관을 활용하는 방식을 당분간 채택할 가능성이 커 보인다.

총리와	총리/NNG+와/JC
장관	장관/NNG
후보자	후보자/NNG
지명이	지명/NNG+이/JKS
급해진	급하/VA+아/EC+지/VX+ㄴ/ETM
이상	이상/NNG
이제	이제/MAG
와서	오/VV+아서/EC
새로운	새롭/VA+ㄴ/ETM
팀을	팀/NNG+을/JKO
꾸리기보다는	꾸리/VV+기/ETN+보다/JKB+는/JX
청와대와	청와대/NNP+와/JC
관계기관을	관계/NNG+기관/NNG+을/JKO
활용하는	활용/NNG+하/XSV+는/ETM
방식을	방식/NNG+을/JKO
당분간	당분간/MAG
채택할	채택/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커	크/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


