# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.357
metadata : {}


# id : NWRW1800000032.357.1.1
원외투쟁 회의론·원내지도력 약화 /손학규 대표 ‘혹독한 겨울’

원외투쟁	원외/NNG+투쟁/NNG
손	손/NNP
대표는	대표/NNG+는/JX
측근들에게	측근/NNG+들/XSN+에게/JKB
“이런	“/SS+이런/MMD
꼴	꼴/NNG
보려고	보/VV+려고/EC
2개월	2/SN+개월/NNB
동안	동안/NNG
거적때기	거적때기/NNG
깔고	깔/VV+고/EC
전국을	전국/NNG+을/JKO
떠돌았단	떠돌/VV+았/EP+단/ETM
말이냐”고	말/NNG+이/VCP+냐/EF+”/SS+고/JKQ
격앙했던	격앙/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.357.7.1
이명박 대통령과의 청와대 회담에서 정치적 소득을 올리지 못한 채 국회가 정상화할 경우 손 대표의 입지는 더욱 위축될 수밖에 없다.

이명박	이명박/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
청와대	청와대/NNP
회담에서	회담/NNG+에서/JKB
정치적	정치/NNG+적/XSN
소득을	소득/NNG+을/JKO
올리지	올리/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
국회가	국회/NNG+가/JKS
정상화할	정상/NNG+화/XSN+하/XSV+ㄹ/ETM
경우	경우/NNG
손	손/NNP
대표의	대표/NNG+의/JKG
입지는	입지/NNG+는/JX
더욱	더욱/MAG
위축될	위축/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000032.357.7.2
당장 100일을 목표로 시작한 희망대장정의 지속 여부도 고민해야 할 상황이다.

당장	당장/NNG
100일을	100/SN+일/NNB+을/JKO
목표로	목표/NNG+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
희망대장정의	희망/NNG+대/XPN+장정/NNG+의/JKG
지속	지속/NNG
여부도	여부/NNG+도/JX
고민해야	고민/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.357.7.3
한 측근은 “야당 대표가 전국을 돌며 각계각층의 목소리를 듣고 정책 대안을 만들어가는 실험은 전무후무한 것”이라며 “100일 대장정을 이어간다는 계획에는 결코 변함이 없다”고 말했다.

한	한/MMN
측근은	측근/NNG+은/JX
“야당	“/SS+야당/NNG
대표가	대표/NNG+가/JKS
전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
각계각층의	각계각층/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
듣고	듣/VV+고/EC
정책	정책/NNG
대안을	대안/NNG+을/JKO
만들어가는	만들/VV+어/EC+가/VX+는/ETM
실험은	실험/NNG+은/JX
전무후무한	전무후무/NNG+하/XSA+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“100일	“/SS+100/SN+일/NNB
대장정을	대/XPN+장정/NNG+을/JKO
이어간다는	잇/VV+어/EC+가/VX+ㄴ다는/ETM
계획에는	계획/NNG+에/JKB+는/JX
결코	결코/MAG
변함이	변하/VV+ㅁ/ETN+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.357.7.4
하지만 국회가 열려 구제역과 전세난, 남북관계 등 굵직한 이슈를 둘러싸고 대정부질문과 국정조사 등의 원내 활동에 무게가 실릴 경우 손 대표의 원외 행보에 대한 주목도는 떨어질 수밖에 없다.

하지만	하지만/MAJ
국회가	국회/NNG+가/JKS
열려	열리/VV+어/EC
구제역과	구제역/NNG+과/JC
전세난,	전세난/NNG+,/SP
남북관계	남북/NNP+관계/NNG
등	등/NNB
굵직한	굵직하/VA+ㄴ/ETM
이슈를	이슈/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
대정부질문과	대정부/NNG+질문/NNG+과/JC
국정조사	국정/NNG+조사/NNG
등의	등/NNB+의/JKG
원내	원내/NNG
활동에	활동/NNG+에/JKB
무게가	무게/NNG+가/JKS
실릴	실리/VV+ㄹ/ETM
경우	경우/NNG
손	손/NNP
대표의	대표/NNG+의/JKG
원외	원외/NNG
행보에	행보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주목도는	주목도/NNG+는/JX
떨어질	떨어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000032.357.8.1
일단 손 대표 쪽은 이 대통령과의 청와대회담 조기 개최에 힘을 쏟고 있다.

일단	일단/MAG
손	손/NNP
대표	대표/NNG
쪽은	쪽/NNB+은/JX
이	이/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
청와대회담	청와대/NNP+회담/NNG
조기	조기/NNG
개최에	개최/NNG+에/JKB
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.357.8.2
청와대 회담이 이뤄질 경우 서로 주고받기를 통해 국면 전환을 자연스레 이룰 수 있다는 판단이다.

청와대	청와대/NNP
회담이	회담/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
경우	경우/NNG
서로	서로/MAG
주고받기를	주고받/VV+기/ETN+를/JKO
통해	통하/VV+아/EC
국면	국면/NNG
전환을	전환/NNG+을/JKO
자연스레	자연스레/MAG
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.357.9.1
손 대표 주변에선 4·27 재보선이 반전의 계기가 될 수 있다고 본다.

손	손/NNP
대표	대표/NNG
주변에선	주변/NNG+에서/JKB+ㄴ/JX
4·27	4/SN+·/SP+27/SN
재보선이	재보선/NNG+이/JKS
반전의	반전/NNG+의/JKG
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.357.9.2
손 대표가 공천권을 행사해 치르는 첫 선거라는 점에서 손 대표에겐 중요한 정치적 시험대다.

손	손/NNP
대표가	대표/NNG+가/JKS
공천권을	공천/NNG+권/XSN+을/JKO
행사해	행사/NNG+하/XSV+아/EC
치르는	치르/VV+는/ETM
첫	첫/MMN
선거라는	선거/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
대표에겐	대표/NNG+에게/JKB+ㄴ/JX
중요한	중요/NNG+하/XSA+ㄴ/ETM
정치적	정치/NNG+적/XSN
시험대다.	시험대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.357.9.3
한 측근은 “손 대표가 최근 강원도지사 후보로 거론되는 권오규 전 경제부총리를 만나 출마 의사를 타진했다”며 “손 대표가 그만큼 재보선에 정치적 무게를 크게 두고 있다는 뜻”이라고 말했다.

한	한/MMN
측근은	측근/NNG+은/JX
“손	“/SS+손/NNP
대표가	대표/NNG+가/JKS
최근	최근/MAG
강원도지사	강원/NNP+도지사/NNG
후보로	후보/NNG+로/JKB
거론되는	거론/NNG+되/XSV+는/ETM
권오규	권오규/NNP
전	전/MMD
경제부총리를	경제/NNG+부총리/NNG+를/JKO
만나	만나/VV+아/EC
출마	출마/NNG
의사를	의사/NNG+를/JKO
타진했다”며	타진/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
그만큼	그만큼/MAG
재보선에	재보선/NNG+에/JKB
정치적	정치/NNG+적/XSN
무게를	무게/NNG+를/JKO
크게	크/VA+게/EC
두고	두/VV+고/EC
있다는	있/VX+다는/ETM
뜻”이라고	뜻/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


