# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.210
metadata : {}


# id : NWRW1800000054.210.1.1
초등생 제자를 '남자'로 본 여교사

초등생	초등/NNG+생/XSN


# id : NWRW1800000054.210.3.6
이후 교실과 승용차 등지에서 수차례 더 성관계를 했다.

이후	이후/NNG
교실과	교실/NNG+과/JC
승용차	승용차/NNG
등지에서	등지/NNB+에서/JKB
수차례	수차례/NNG
더	더/MAG
성관계를	성관계/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.210.4.1
경찰은 학생 가족의 신고로 수사를 해 교사를 붙잡았다.

경찰은	경찰/NNG+은/JX
학생	학생/NNG
가족의	가족/NNG+의/JKG
신고로	신고/NNG+로/JKB
수사를	수사/NNG+를/JKO
해	하/VV+아/EC
교사를	교사/NNG+를/JKO
붙잡았다.	붙잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.210.4.2
남편과 자녀를 두고 있는 교사는 경찰에서 "(학생이) 잘생겨서 나도 모르게 좋아하는 감정이 생겼다. 서로 좋아했다"고 진술했다고 전해졌다.

남편과	남편/NNG+과/JC
자녀를	자녀/NNG+를/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
교사는	교사/NNG+는/JX
경찰에서	경찰/NNG+에서/JKB
"(학생이)	"/SS+(/SS+학생/NNG+이/JKS+)/SS
잘생겨서	잘생기/VV+어서/EC
나도	나/NP+도/JX
모르게	모르/VV+게/EC
좋아하는	좋아하/VV+는/ETM
감정이	감정/NNG+이/JKS
생겼다.	생기/VV+었/EP+다/EF+./SF
서로	서로/MAG
좋아했다"고	좋아하/VV+았/EP+다/EF+"/SS+고/JKQ
진술했다고	진술/NNG+하/XSV+았/EP+다고/EC
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.210.4.3
하지만 학생은 이번 사건의 충격으로 심리 상담 및 병원 치료를 받고 있다.

하지만	하지만/MAJ
학생은	학생/NNG+은/JX
이번	이번/NNG
사건의	사건/NNG+의/JKG
충격으로	충격/NNG+으로/JKB
심리	심리/NNG
상담	상담/NNG
및	및/MAG
병원	병원/NNG
치료를	치료/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.210.4.4
교사는 이달 초 직위 해제됐다.

교사는	교사/NNG+는/JX
이달	이달/NNG
초	초/NNB
직위	직위/NNG
해제됐다.	해제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.210.5.1
경찰은 "형법상 '미성년자 의제 강간죄'는 13세 미만의 미성년자와 성관계를 할 경우를 대상으로 하는 것"이라며 "13세 이상 청소년과의 성관계가 상호 합의로 이뤄졌다면 사법 처리에 어려움이 있지만 '미성년자 의제 강간'의 경우 피해자 동의가 있었더라도 범죄로 규정하고 처벌한다"고 말했다.

경찰은	경찰/NNG+은/JX
"형법상	"/SS+형법/NNG+상/XSN
'미성년자	'/SS+미성년자/NNG
의제	의제/NNG
강간죄'는	강간죄/NNG+'/SS+는/JX
13세	13/SN+세/NNB
미만의	미만/NNG+의/JKG
미성년자와	미성년자/NNG+와/JKB
성관계를	성관계/NNG+를/JKO
할	하/VV+ㄹ/ETM
경우를	경우/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"13세	"/SS+13/SN+세/NNB
이상	이상/NNG
청소년과의	청소년/NNG+과/JKB+의/JKG
성관계가	성관계/NNG+가/JKS
상호	상호/NNG
합의로	합의/NNG+로/JKB
이뤄졌다면	이뤄지/VV+었/EP+다면/EC
사법	사법/NNG
처리에	처리/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
있지만	있/VA+지만/EC
강간'의	강간/NNG+'/SS+의/JKG
경우	경우/NNG
피해자	피해자/NNG
동의가	동의/NNG+가/JKS
있었더라도	있/VA+었/EP+더라도/EC
범죄로	범죄/NNG+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
처벌한다"고	처벌/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.210.6.1
경남도교육청은 이날 "충격적인 성 관련 사건과 관련해 진심으로 죄송하다"며 "교원 성범죄는 '원 스트라이크 아웃'으로 엄중히 처리하겠다"고 밝혔다.

경남도교육청은	경남도교육청/NNP+은/JX
이날	이날/NNG
"충격적인	"/SS+충격/NNG+적/XSN+이/VCP+ㄴ/ETM
성	성/NNG
관련	관련/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
진심으로	진심/NNG+으로/JKB
죄송하다"며	죄송하/VA+다/EF+"/SS+며/EC
"교원	"/SS+교원/NNG
성범죄는	성범죄/NNG+는/JX
'원	'/SS+원/NNG
스트라이크	스트라이크/NNG
아웃'으로	아웃/NNG+'/SS+으로/JKB
엄중히	엄중히/MAG
처리하겠다"고	처리/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


