# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.106
metadata : {}


# id : NWRW1800000037.106.1.1
[CAR]똑똑한 기능 탑재… 겨울 운전 스트레스 ZERO

[CAR]똑똑한	[/SS+CAR/SL+]/SS+똑똑하/VA+ㄴ/ETM
인피니티는 7인승 럭셔리 크로스오버 ‘올 뉴 인피니티 JX’를 통해 소비자들에게 보다 안전하고 안락한 주행 환경을 제공하고 있다.

인피니티는	인피니티/NNP+는/JX
7인승	7인승/NNG
럭셔리	럭셔리/NNG
크로스오버	크로스오버/NNG
‘올	‘/SS+올/NNP
뉴	뉴/NNP
인피니티	인피니티/NNP
JX’를	JX/SL+’/SS+를/JKO
통해	통하/VV+아/EC
소비자들에게	소비자/NNG+들/XSN+에게/JKB
보다	보다/MAG
안전하고	안전/NNG+하/XSA+고/EC
안락한	안락/NNG+하/XSA+ㄴ/ETM
주행	주행/NNG
환경을	환경/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.106.4.2
JX AWD모델에 탑재된 전자제어시스템은 차체가 최적의 접지력을 발휘하도록 돕는다.

JX	JX/SL
AWD모델에	AWD/SL+모델/NNG+에/JKB
탑재된	탑재/NNG+되/XSV+ㄴ/ETM
전자제어시스템은	전자/NNG+제어/NNG+시스템/NNG+은/JX
차체가	차체/NNG+가/JKS
최적의	최적/NNG+의/JKG
접지력을	접지력/NNG+을/JKO
발휘하도록	발휘/NNG+하/XSV+도록/EC
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000037.106.4.3
눈길과 같은 미끄러운 노면에서는 ‘차체 자세 제어장치’도 작동해 토크를 최적 상태로 배분해 안정적인 주행을 돕는다.

눈길과	눈길/NNG+과/JKB
같은	같/VA+은/ETM
미끄러운	미끄럽/VA+ㄴ/ETM
노면에서는	노면/NNG+에서/JKB+는/JX
‘차체	‘/SS+차체/NNG
자세	자세/NNG
제어장치’도	제어/NNG+장치/NNG+’/SS+도/JX
작동해	작동/NNG+하/XSV+아/EC
토크를	토크/NNG+를/JKO
최적	최적/NNG
상태로	상태/NNG+로/JKB
배분해	배분/NNG+하/XSV+아/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
주행을	주행/NNG+을/JKO
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000037.106.5.1
JX에 적용한 ‘인피니티 드라이브 모드 실렉터’ 기능도 편안한 주행을 돕는다.

JX에	JX/SL+에/JKB
적용한	적용/NNG+하/XSV+ㄴ/ETM
‘인피니티	‘/SS+인피니티/NNP
드라이브	드라이브/NNG
모드	모드/NNG
실렉터’	실렉터/NNG+’/SS
기능도	기능/NNG+도/JX
편안한	편안/NNG+하/XSA+ㄴ/ETM
주행을	주행/NNG+을/JKO
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000037.106.5.2
운전자는 이 기능을 통해 눈길에서는 스노 모드를 선택하고 평소에는 경제성을 생각한 에코 모드를 이용하면 도로 환경에 최적화된 주행 성능을 느낄 수 있다.

운전자는	운전자/NNG+는/JX
이	이/MMD
기능을	기능/NNG+을/JKO
통해	통하/VV+아/EC
눈길에서는	눈길/NNG+에서/JKB+는/JX
스노	스노/NNG
모드를	모드/NNG+를/JKO
선택하고	선택/NNG+하/XSV+고/EC
평소에는	평소/NNG+에/JKB+는/JX
경제성을	경제/NNG+성/XSN+을/JKO
생각한	생각/NNG+하/XSV+ㄴ/ETM
에코	에코/NNG
이용하면	이용/NNG+하/XSV+면/EC
도로	도로/NNG
환경에	환경/NNG+에/JKB
최적화된	최적/NNG+화/XSN+되/XSV+ㄴ/ETM
주행	주행/NNG
성능을	성능/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.106.6.1
인피니티는 또 최초로 무단변속기(CVT)를 탑재해 동력이 한결 부드럽게 되도록 했다.

인피니티는	인피니티/NNP+는/JX
또	또/MAG
최초로	최초/NNG+로/JKB
무단변속기(CVT)를	무단변속기/NNG+(/SS+CVT/SL+)/SS+를/JKO
탑재해	탑재/NNG+하/XSV+아/EC
동력이	동력/NNG+이/JKS
한결	한결/MAG
부드럽게	부드럽/VA+게/EC
되도록	되/VV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.106.6.2
인피니티 관계자는 “노면이나 바람으로 인해 발생하는 진동과 소음을 잡아주는 쾌적한 실내 환경을 조성해 신경 쓸 것 많은 겨울철 드라이빙 스트레스를 최소화해 준다”고 말했다.

인피니티	인피니티/NNP
관계자는	관계자/NNG+는/JX
“노면이나	“/SS+노면/NNG+이나/JC
바람으로	바람/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
발생하는	발생/NNG+하/XSV+는/ETM
진동과	진동/NNG+과/JC
소음을	소음/NNG+을/JKO
잡아주는	잡/VV+아/EC+주/VX+는/ETM
쾌적한	쾌적하/VA+ㄴ/ETM
실내	실내/NNG
환경을	환경/NNG+을/JKO
조성해	조성/NNG+하/XSV+아/EC
신경	신경/NNG
쓸	쓰/VV+ㄹ/ETM
것	것/NNB
많은	많/VA+은/ETM
겨울철	겨울철/NNG
드라이빙	드라이빙/NNG
스트레스를	스트레스/NNG+를/JKO
최소화해	최소/NNG+화/XSN+하/XSV+아/EC
준다”고	주/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.106.7.1
눈이나 서리로 시야가 확보되지 않아 주차에 어려움을 겪을 때도 있다.

눈이나	눈/NNG+이나/JC
서리로	서리/NNG+로/JKB
시야가	시야/NNG+가/JKS
확보되지	확보/NNG+되/XSV+지/EC
않아	않/VX+아/EC
주차에	주차/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪을	겪/VV+을/ETM
때도	때/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.106.7.2
이때 JX에 탑재된 ‘어라운드 뷰 모니터’ 시스템은 차 주변 이미지를 360도로 보여줘 사각지대에 따른 사고 위험을 크게 줄였다.

이때	이때/NNG
JX에	JX/SL+에/JKB
탑재된	탑재/NNG+되/XSV+ㄴ/ETM
‘어라운드	‘/SS+어라운드/NNG
뷰	뷰/NNG
모니터’	모니터/NNG+’/SS
시스템은	시스템/NNG+은/JX
차	차/NNG
주변	주변/NNG
이미지를	이미지/NNG+를/JKO
360도로	360/SN+도/NNB+로/JKB
보여줘	보이/VV+어/EC+주/VX+어/EC
사각지대에	사각지대/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
사고	사고/NNG
위험을	위험/NNG+을/JKO
크게	크/VA+게/EC
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.106.7.3
차량 위에서 내려다보는 듯한 영상을 실시간으로 제공해 보다 안전하고 정확한 주차를 돕는다.

차량	차량/NNG
위에서	위/NNG+에서/JKB
내려다보는	내려다보/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
영상을	영상/NNG+을/JKO
실시간으로	실시간/NNG+으로/JKB
제공해	제공/NNG+하/XSV+아/EC
보다	보다/MAG
안전하고	안전/NNG+하/XSA+고/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
주차를	주차/NNG+를/JKO
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000037.106.7.4
여기에 전후방에 움직이는 물체를 감지하면 경고 메시지를 내는 ‘무빙 오브젝트 디텍션’ 기능도 있다.

여기에	여기/NP+에/JKB
전후방에	전후방/NNG+에/JKB
움직이는	움직이/VV+는/ETM
물체를	물체/NNG+를/JKO
감지하면	감지/NNG+하/XSV+면/EC
경고	경고/NNG
메시지를	메시지/NNG+를/JKO
내는	내/VV+는/ETM
‘무빙	‘/SS+무빙/NNG
오브젝트	오브젝트/NNG
디텍션’	디텍션/NNG+’/SS
기능도	기능/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.106.8.1
인피니티는 겨울철 고객들의 안전하고 쾌적한 주행을 위해 18일부터 다음 달 20일까지 ‘인피니티 겨울철 무상점검 서비스 캠페인’을 진행한다.

인피니티는	인피니티/NNP+는/JX
겨울철	겨울철/NNG
고객들의	고객/NNG+들/XSN+의/JKG
안전하고	안전/NNG+하/XSA+고/EC
쾌적한	쾌적하/VA+ㄴ/ETM
주행을	주행/NNG+을/JKO
위해	위하/VV+아/EC
18일부터	18/SN+일/NNB+부터/JX
다음	다음/NNG
달	달/NNG
20일까지	20/SN+일/NNB+까지/JX
‘인피니티	‘/SS+인피니티/NNP
무상점검	무상/NNG+점검/NNG
서비스	서비스/NNG
캠페인’을	캠페인/NNG+’/SS+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.106.8.2
11월 한 달 동안 JX 구매 고객에게는 다양한 혜택을 제공하는 ‘11월 특별 금융 프로모션’도 진행한다.

11월	11/SN+월/NNB
한	한/MMN
달	달/NNB
동안	동안/NNG
JX	JX/SL
구매	구매/NNG
고객에게는	고객/NNG+에게/JKB+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
혜택을	혜택/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
‘11월	‘/SS+11/SN+월/NNB
특별	특별/NNG
금융	금융/NNG
프로모션’도	프로모션/NNG+’/SS+도/JX
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.106.8.3
JX AWD 모델을 인피니티 파이낸셜 서비스를 이용해 구매하는 고객에게는 24개월 무이자 할부 혜택을, 현금 구매 고객에게는 150만 원의 지원금을 각각 제공한다.

JX	JX/SL
AWD	AWD/SL
모델을	모델/NNG+을/JKO
인피니티	인피니티/NNP
파이낸셜	파이낸셜/NNG
서비스를	서비스/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
구매하는	구매/NNG+하/XSV+는/ETM
고객에게는	고객/NNG+에게/JKB+는/JX
24개월	24/SN+개월/NNB
무이자	무/XPN+이자/NNG
할부	할부/NNG
혜택을,	혜택/NNG+을/JKO+,/SP
현금	현금/NNG
구매	구매/NNG
150만	150/SN+만/NR
원의	원/NNB+의/JKG
지원금을	지원금/NNG+을/JKO
각각	각각/MAG
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.106.8.4
가격은 JX 2륜구동 모델 6700만 원(부가세 포함), AWD 모델 7020만 원(부가세 포함)이다.

가격은	가격/NNG+은/JX
JX	JX/SL
2륜구동	2/SN+륜/NNG+구동/NNG
모델	모델/NNG
6700만	6700/SN+만/NR
원(부가세	원/NNB+(/SS+부가세/NNG
포함),	포함/NNG+)/SS+,/SP
AWD	AWD/SL
7020만	7020/SN+만/NR
포함)이다.	포함/NNG+)/SS+이/VCP+다/EF+./SF


