# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.72
metadata : {}


# id : NWRW1800000029.72.1.1
“대기업 말로만 현금결제… 대부분 어음 끊어”

“대기업	“/SS+대/XPN+기업/NNG
6∼9개월짜리	6/SN+∼/SO+9/SN+개월/NNB+짜리/XSN
전자어음을	전자/NNG+어음/NNG+을/JKO
끊어주는	끊/VV+어/EC+주/VX+는/ETM
게	거/NNB+이/JKS
현실”이라고	현실/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.72.5.2
그는 “협력회사들은 어음을 현금화하는 데도 어려움이 많은데 일부 대기업은 유동성이 문제되면서 오히려 협력사에 어음 기간을 늘려 달라고 요구하기도 해 고민하는 (협력업체) 사장들이 많다”고 덧붙였다.

그는	그/NP+는/JX
“협력회사들은	“/SS+협력/NNG+회사/NNG+들/XSN+은/JX
어음을	어음/NNG+을/JKO
현금화하는	현금/NNG+화/XSN+하/XSV+는/ETM
데도	데/NNB+도/JX
어려움이	어려움/NNG+이/JKS
많은데	많/VA+은데/EC
일부	일부/NNG
대기업은	대/XPN+기업/NNG+은/JX
유동성이	유동/NNG+성/XSN+이/JKS
문제되면서	문제/NNG+되/XSV+면서/EC
오히려	오히려/MAG
협력사에	협력사/NNG+에/JKB
어음	어음/NNG
기간을	기간/NNG+을/JKO
늘려	늘리/VV+어/EC
달라고	달/VX+라고/EC
요구하기도	요구/NNG+하/XSV+기/ETN+도/JX
해	하/VX+아/EC
고민하는	고민/NNG+하/XSV+는/ETM
(협력업체)	(/SS+협력/NNG+업체/NNG+)/SS
사장들이	사장/NNG+들/XSN+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.72.6.1
대기업의 생산기지 이전 및 중국 업체와의 경쟁도 협력사 대표들이 힘들어하는 대목이었다.

대기업의	대/XPN+기업/NNG+의/JKG
생산기지	생산/NNG+기지/NNG
이전	이전/NNG
및	및/MAG
중국	중국/NNP
업체와의	업체/NNG+와/JKB+의/JKG
경쟁도	경쟁/NNG+도/JX
협력사	협력사/NNG
대표들이	대표/NNG+들/XSN+이/JKS
힘들어하는	힘들/VA+어/EC+하/VX+는/ETM
대목이었다.	대목/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.72.6.2
인쇄회로기판 생산업체인 대덕전자의 김영재 대표는 “많은 대기업이 국제경쟁을 해야 하니 생산기지를 해외로 이전할 수밖에 없다는 점은 이해하지만 협력 중소기업들은 따라가서 성공할 수 있을지 고민”이라며 “계속 치고 올라오는 중국 업체와의 경쟁도 쉽지 않다”고 말했다.

인쇄회로기판	인쇄/NNG+회로/NNG+기판/NNG
생산업체인	생산업체/NNG+이/VCP+ㄴ/ETM
대덕전자의	대덕전자/NNP+의/JKG
김영재	김영재/NNP
대표는	대표/NNG+는/JX
“많은	“/SS+많/VA+은/ETM
대기업이	대/XPN+기업/NNG+이/JKS
국제경쟁을	국제/NNG+경쟁/NNG+을/JKO
해야	하/VV+아야/EC
하니	하/VX+니/EC
생산기지를	생산/NNG+기지/NNG+를/JKO
해외로	해외/NNG+로/JKB
이전할	이전/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
점은	점/NNG+은/JX
이해하지만	이해/NNG+하/XSV+지만/EC
협력	협력/NNG
중소기업들은	중소기업/NNG+들/XSN+은/JX
따라가서	따라가/VV+아서/EC
성공할	성공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
고민”이라며	고민/NNG+”/SS+이/VCP+라며/EC
“계속	“/SS+계속/MAG
치고	치/VV+고/EC
올라오는	올라오/VV+는/ETM
중국	중국/NNP
업체와의	업체/NNG+와/JKB+의/JKG
경쟁도	경쟁/NNG+도/JX
쉽지	쉽/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.72.7.1
최근 삼성전자와 애플의 특허 분쟁에서처럼 치열한 글로벌 경쟁과 공급 과잉에 대한 우려도 높았다.

최근	최근/MAG
삼성전자와	삼성전자/NNP+와/JC
애플의	애플/NNP+의/JKG
특허	특허/NNG
분쟁에서처럼	분쟁/NNG+에서/JKB+처럼/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
글로벌	글로벌/NNG
경쟁과	경쟁/NNG+과/JC
공급	공급/NNG
과잉에	과잉/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.72.7.2
박 에스엔유프리시젼 대표는 “최근 IT분야 경쟁이 날로 치열해지고 있고 공급 과잉인 LCD 시장도 걱정스럽다”며 “협력업체들이 안정적으로 협력할 수 있도록 삼성전자가 계속 글로벌 경쟁력을 갖고 리더십을 잃지 않도록 해달라”고 당부했다.

박	박/NNP
에스엔유프리시젼	에스엔유프리시젼/NNP
대표는	대표/NNG+는/JX
“최근	“/SS+최근/NNG
IT분야	IT/SL+분야/NNG
경쟁이	경쟁/NNG+이/JKS
날로	날로/MAG
치열해지고	치열/NNG+하/XSA+아/EC+지/VX+고/EC
있고	있/VX+고/EC
공급	공급/NNG
과잉인	과잉/NNG+이/VCP+ㄴ/ETM
LCD	LCD/SL
시장도	시장/NNG+도/JX
걱정스럽다”며	걱정/NNG+스럽/XSA+다/EF+”/SS+며/EC
“협력업체들이	“/SS+협력/NNG+업체/NNG+들/XSN+이/JKS
안정적으로	안정/NNG+적/XSN+으로/JKB
협력할	협력/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
삼성전자가	삼성전자/NNP+가/JKS
계속	계속/MAG
글로벌	글로벌/NNG
경쟁력을	경쟁력/NNG+을/JKO
갖고	갖/VV+고/EC
리더십을	리더십/NNG+을/JKO
잃지	잃/VV+지/EC
않도록	않/VX+도록/EC
해달라”고	하/VV+아/EC+달/VX+라/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.72.8.1
이에 앞서 최 부회장은 “동반성장은 삼성전자의 창업이념이자 이건희 회장의 철학이었는데도 타의에 의해 새로운 바람을 맞았다”며 “하지만 이를 통해 반성할 수 있었고, 새로운 모멘텀도 만들 수 있었다”고 평가했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
최	최/NNP
부회장은	부회장/NNG+은/JX
“동반성장은	“/SS+동반/NNG+성장/NNG+은/JX
삼성전자의	삼성전자/NNP+의/JKG
창업이념이자	창업/NNG+이념/NNG+이/VCP+자/EC
이건희	이건희/NNP
회장의	회장/NNG+의/JKG
철학이었는데도	철학/NNG+이/VCP+었/EP+는데/EC+도/JX
타의에	타의/NNG+에/JKB
의해	의하/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
바람을	바람/NNG+을/JKO
맞았다”며	맞/VV+았/EP+다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
이를	이/NP+를/JKO
통해	통하/VV+아/EC
반성할	반성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었고,	있/VA+었/EP+고/EC+,/SP
모멘텀도	모멘텀/NNG+도/JX
만들	만들/VV+ㄹ/ETM
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.72.8.2
그는 “밖에서 뭐라고 하던 삼성은 제 갈 길을 간다.

그는	그/NP+는/JX
“밖에서	“/SS+밖/NNG+에서/JKB
뭐라고	뭐/NP+이/VCP+라고/EC
하던	하/VV+던/ETM
삼성은	삼성/NNP+은/JX
제	저/NP+의/JKG
갈	가/VV+ㄹ/ETM
길을	길/NNG+을/JKO
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.72.8.3
파트너인 협성회와의 성과에도 대단한 자부심을 갖고 있다”며 “‘나는 괜찮은데…’라며 화살을 다른 쪽으로 돌리기보다는 각자 무슨 문제가 있는지 돌아보는 자리가 되었으면 한다”고 말했다.

파트너인	파트너/NNG+이/VCP+ㄴ/ETM
협성회와의	협성회/NNG+와/JKB+의/JKG
성과에도	성과/NNG+에/JKB+도/JX
대단한	대단하/VA+ㄴ/ETM
자부심을	자부심/NNG+을/JKO
갖고	갖/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“‘나는	“/SS+‘/SS+나/NP+는/JX
괜찮은데…’라며	괜찮/VA+은데/EC+…/SE+’/SS+이/VCP+라며/EC
화살을	화살/NNG+을/JKO
다른	다른/MMD
쪽으로	쪽/NNB+으로/JKB
돌리기보다는	돌리/VV+기/ETN+보다/JKB+는/JX
각자	각자/MAG
무슨	무슨/MMD
문제가	문제/NNG+가/JKS
있는지	있/VA+는지/EF
돌아보는	돌아보/VV+는/ETM
자리가	자리/NNG+가/JKC
되었으면	되/VV+었/EP+으면/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.72.9.1
워크숍을 마친 삼성전자와 협력사 대표들은 함께 산행을 하며 진정한 동반성장을 위해서는 협력사도 ‘글로벌 초일류 경쟁력’을 확보해야 한다는 데 의견을 모았다.

워크숍을	워크숍/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
삼성전자와	삼성전자/NNP+와/JC
협력사	협력사/NNG
대표들은	대표/NNG+들/XSN+은/JX
함께	함께/MAG
산행을	산행/NNG+을/JKO
하며	하/VV+며/EC
진정한	진정하/VA+ㄴ/ETM
동반성장을	동반/NNG+성장/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
협력사도	협력사/NNG+도/JX
‘글로벌	‘/SS+글로벌/NNG
초일류	초/XPN+일류/NNG
경쟁력’을	경쟁력/NNG+’/SS+을/JKO
확보해야	확보/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
데	데/NNB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.72.9.2
최 부회장은 “협력사가 차별화된 경쟁력을 갖출 수 있도록 지원하고 경쟁력을 확보한 협력사에는 더욱 협조하겠다”며 “이제는 동반성장의 온기가 1차 협력사는 물론 2, 3차 협력사까지 퍼지는 것이 중요하다”고 강조했다.

최	최/NNP
부회장은	부회장/NNG+은/JX
“협력사가	“/SS+협력사/NNG+가/JKS
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
경쟁력을	경쟁력/NNG+을/JKO
갖출	갖추/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원하고	지원/NNG+하/XSV+고/EC
확보한	확보/NNG+하/XSV+ㄴ/ETM
협력사에는	협력사/NNG+에/JKB+는/JX
더욱	더욱/MAG
협조하겠다”며	협조/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“이제는	“/SS+이제/NNG+는/JX
동반성장의	동반/NNG+성장/NNG+의/JKG
온기가	온기/NNG+가/JKS
1차	1/SN+차/NNB
협력사는	협력사/NNG+는/JX
물론	물론/MAG
2,	2/SN+,/SP
3차	3/SN+차/NNB
협력사까지	협력사/NNG+까지/JX
퍼지는	퍼지/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.72.9.3
협성회 회장인 이세용 이랜텍 대표는 “협력사들이 삼성전자와 동반자 인식을 갖고 진정한 파트너십을 만들기 위해서는 해당 분야에서 최고의 실력을 쌓는 수밖에 없다는 데 인식을 같이하고 있다”고 화답했다.

협성회	협성회/NNG
회장인	회장/NNG+이/VCP+ㄴ/ETM
이세용	이세용/NNP
이랜텍	이랜텍/NNP
대표는	대표/NNG+는/JX
“협력사들이	“/SS+협력사/NNG+들/XSN+이/JKS
삼성전자와	삼성전자/NNP+와/JKB
동반자	동반자/NNG
인식을	인식/NNG+을/JKO
갖고	갖/VV+고/EC
진정한	진정하/VA+ㄴ/ETM
파트너십을	파트너십/NNG+을/JKO
만들기	만들/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
해당	해당/NNG
분야에서	분야/NNG+에서/JKB
최고의	최고/NNG+의/JKG
실력을	실력/NNG+을/JKO
쌓는	쌓/VV+는/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
데	데/NNB
같이하고	같이/MAG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


