# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.209
metadata : {}


# id : NWRW1800000054.209.1.1
유례없는 내란선동 혐의로… 경찰, '태극기 집회' 수사

유례없는	유례없/VA+는/ETM
# id : NWRW1800000054.209.4.1
군인권센터는 지난 1월 태극기 집회 참가자인 장경순 전 국회부의장, 송만기 양평군의회 의원, 한성주 공군 예비역 소장, 윤용 부정부패추방시민연합회장, 주옥순 엄마부대 대표 등 5명을 내란 선동·명예훼손 혐의로 검찰에 고발했다.

군인권센터는	군인권센터/NNP+는/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
태극기	태극기/NNG
집회	집회/NNG
참가자인	참가자/NNG+이/VCP+ㄴ/ETM
장경순	장경순/NNP
전	전/MMD
국회부의장,	국회/NNG+부의장/NNG+,/SP
송만기	송만기/NNP
양평군의회	양평군의회/NNP
의원,	의원/NNG+,/SP
한성주	한성주/NNP
공군	공군/NNG
예비역	예비역/NNG
소장,	소장/NNG+,/SP
윤용	윤용/NNP
부정부패추방시민연합회장,	부정부패추방시민연합회장/NNG+,/SP
주옥순	주옥순/NNP
엄마부대	엄마/NNG+부대/NNG
대표	대표/NNG
등	등/NNB
5명을	5/SN+명/NNB+을/JKO
내란	내란/NNG
선동·명예훼손	선동/NNG+·/SP+명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
검찰에	검찰/NNG+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.5.1
군 인권센터는 주로 군 내부의 인권침해 사건을 외부에 고발해 온 시민단체다.

군	군/NNG
인권센터는	인권/NNG+센터/NNG+는/JX
주로	주로/MAG
내부의	내부/NNG+의/JKG
인권침해	인권/NNG+침해/NNG
사건을	사건/NNG+을/JKO
외부에	외부/NNG+에/JKB
고발해	고발/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
시민단체다.	시민/NNG+단체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.209.5.2
군인권센터는 "피고발인들은 지난해 12월 31일 서울 중구 대한문 앞 집회에서 '계엄령 선포하라' '군대여 일어나라' 등 문장이 적힌 종이를 배포해 평화적 집회인 촛불 집회를 군사력으로 진압하라고 하거나 군부 쿠데타를 촉구했다"고 주장했다.

군인권센터는	군인권센터/NNP+는/JX
"피고발인들은	"/SS+피/XPN+고발인/NNG+들/XSN+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
31일	31/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
대한문	대한문/NNP
앞	앞/NNG
집회에서	집회/NNG+에서/JKB
'계엄령	'/SS+계엄령/NNG
선포하라'	선포/NNG+하/XSV+라/EF+'/SS
'군대여	'/SS+군대/NNG+여/JKV
일어나라'	일어나/VV+아라/EF+'/SS
등	등/NNB
문장이	문장/NNG+이/JKS
적힌	적히/VV+ㄴ/ETM
종이를	종이/NNG+를/JKO
배포해	배포/NNG+하/XSV+아/EC
평화적	평화/NNG+적/XSN
집회인	집회/NNG+이/VCP+ㄴ/ETM
촛불	촛불/NNG
집회를	집회/NNG+를/JKO
군사력으로	군사력/NNG+으로/JKB
진압하라고	진압/NNG+하/XSV+라고/EC
하거나	하/VV+거나/EC
군부	군부/NNG
쿠데타를	쿠데타/NNG+를/JKO
촉구했다"고	촉구/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.6.1
사건을 접수한 서울중앙지검은 지난 3월 24일 사건에 대한 수사를 경찰에 지시했다.

사건을	사건/NNG+을/JKO
접수한	접수/NNG+하/XSV+ㄴ/ETM
서울중앙지검은	서울중앙지검/NNP+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
24일	24/SN+일/NNB
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수사를	수사/NNG+를/JKO
경찰에	경찰/NNG+에/JKB
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.6.2
서울지방경찰청 보안수사대는 군인권센터 관계자를 지난 22일 고발인 신분으로 불러 조사했다.

서울지방경찰청	서울지방경찰청/NNP
보안수사대는	보안/NNG+수사대/NNG+는/JX
군인권센터	군인권센터/NNP
관계자를	관계자/NNG+를/JKO
지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
고발인	고발인/NNG
신분으로	신분/NNG+으로/JKB
불러	부르/VV+어/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.6.3
조만간 피고발인들을 소환해 사실 관계와 발언 경위, 취지 등을 조사할 예정이다.

조만간	조만간/MAG
피고발인들을	피/XPN+고발인/NNG+들/XSN+을/JKO
소환해	소환/NNG+하/XSV+아/EC
사실	사실/NNG
관계와	관계/NNG+와/JC
발언	발언/NNG
경위,	경위/NNG+,/SP
취지	취지/NNG
등을	등/NNB+을/JKO
조사할	조사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.209.6.4
내란선동죄는 '국가 전복을 목적으로 폭력을 행사하는 것'을 선동하는 죄로 3년 이상의 징역에 처해지는 중죄다.

내란선동죄는	내란/NNG+선동죄/NNG+는/JX
'국가	'/SS+국가/NNG
전복을	전복/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
폭력을	폭력/NNG+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
것'을	것/NNB+'/SS+을/JKO
선동하는	선동/NNG+하/XSV+는/ETM
죄로	죄/NNG+로/JKB
3년	3/SN+년/NNB
이상의	이상/NNG+의/JKG
징역에	징역/NNG+에/JKB
처해지는	처하/VV+아/EC+지/VX+는/ETM
중죄다.	중죄/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.209.7.1
박 전 대통령의 탄핵을 반대한 태극기 집회 내용이 과연 내란 선동에 해당하는지에 대해서는 논란이 일고 있다.

박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
탄핵을	탄핵/NNG+을/JKO
반대한	반대/NNG+하/XSV+ㄴ/ETM
태극기	태극기/NNG
집회	집회/NNG
내용이	내용/NNG+이/JKS
과연	과연/MAG
내란	내란/NNG
선동에	선동/NNG+에/JKB
해당하는지에	해당/NNG+하/XSV+는지/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.209.7.2
지금까지 검찰에서 내란죄가 인정된 사람은 12·12사태를 일으킨 전두환·노태우 전 대통령이나 이석기 전 통진당 의원 등이 있다.

지금까지	지금/NNG+까지/JX
검찰에서	검찰/NNG+에서/JKB
내란죄가	내란죄/NNG+가/JKS
인정된	인정/NNG+되/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
12·12사태를	12/SN+·/SP+12/SN+사태/NNG+를/JKO
일으킨	일으키/VV+ㄴ/ETM
전두환·노태우	전두환/NNP+·/SP+노태우/NNP
전	전/MMD
대통령이나	대통령/NNG+이나/JC
이석기	이석기/NNP
통진당	통진당/NNP
의원	의원/NNG
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.209.7.3
한 법조계 인사는 "내란 선동이란 것은 헌법을 유린하고 헌법 질서를 부정하는 것인데, 태극기 집회에 이런 목적이 있다고 보기가 쉽지 않다"며 "태극기 집회보다 훨씬 강도가 센 집회들이 많았다"고 했다.

한	한/MMN
법조계	법조/NNG+계/XSN
인사는	인사/NNG+는/JX
"내란	"/SS+내란/NNG
선동이란	선동/NNG+이/VCP+란/ETM
것은	것/NNB+은/JX
헌법을	헌법/NNG+을/JKO
유린하고	유린/NNG+하/XSV+고/EC
헌법	헌법/NNG
질서를	질서/NNG+를/JKO
부정하는	부정/NNG+하/XSV+는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
태극기	태극기/NNG
집회에	집회/NNG+에/JKB
이런	이런/MMD
목적이	목적/NNG+이/JKS
있다고	있/VA+다고/EC
보기가	보/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
"태극기	"/SS+태극기/NNG
집회보다	집회/NNG+보다/JKB
훨씬	훨씬/MAG
강도가	강도/NNG+가/JKS
센	세/VA+ㄴ/ETM
집회들이	집회/NNG+들/XSN+이/JKS
많았다"고	많/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.8.1
경찰은 검찰로부터 '내란선동죄' 적용 검토로 수사 지휘가 왔기 때문에 어쩔 수 없다는 입장이다.

경찰은	경찰/NNG+은/JX
검찰로부터	검찰/NNG+로부터/JKB
'내란선동죄'	'/SS+내란/NNG+선동죄/NNG+'/SS
적용	적용/NNG
검토로	검토/NNG+로/JKB
수사	수사/NNG
지휘가	지휘/NNG+가/JKS
왔기	오/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.209.8.2
검찰은 내란선동죄로 고발이 접수되더라도 사안을 판단해 일반 형사사건으로 전환시켜 경찰에 조사 지시할 수 있다.

검찰은	검찰/NNG+은/JX
내란선동죄로	내란/NNG+선동죄/NNG+로/JKB
고발이	고발/NNG+이/JKS
접수되더라도	접수/NNG+되/XSV+더라도/EC
사안을	사안/NNG+을/JKO
판단해	판단/NNG+하/XSV+아/EC
일반	일반/NNG
형사사건으로	형사/NNG+사건/NNG+으로/JKB
전환시켜	전환/NNG+시키/XSV+어/EC
경찰에	경찰/NNG+에/JKB
조사	조사/NNG
지시할	지시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.209.8.3
경찰 관계자는 "검찰이 태극기 집회에 대한 시민 단체의 고발을 묵살하기 어려웠는지 정확한 이유는 알 수 없지만 '내란 선동' 혐의를 변경하지 않고 그대로 경찰에 내려 보냈다"고 밝혔다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
"검찰이	"/SS+검찰/NNG+이/JKS
태극기	태극기/NNG
집회에	집회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시민	시민/NNG
단체의	단체/NNG+의/JKG
고발을	고발/NNG+을/JKO
묵살하기	묵살/NNG+하/XSV+기/ETN
어려웠는지	어렵/VA+었/EP+는지/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
이유는	이유/NNG+는/JX
알	알/VV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
'내란	'/SS+내란/NNG
선동'	선동/NNG+'/SS
혐의를	혐의/NNG+를/JKO
변경하지	변경/NNG+하/XSV+지/EC
않고	않/VX+고/EC
그대로	그대로/MAG
경찰에	경찰/NNG+에/JKB
내려	내리/VV+어/EC
보냈다"고	보내/VV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.209.8.4
이에 대해 검찰 관계자는 "경찰이 태극기 집회 중 발생한 폭력 사건 등 다른 집회 관련 사건을 수사 중이었기 때문에 이번 사건도 보낸 것"이라며 "내란 선동 혐의를 변경하지 않는 것은 고발에 따른 것일 뿐 특별한 의미가 있는 것은 아니다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"경찰이	"/SS+경찰/NNG+이/JKS
태극기	태극기/NNG
집회	집회/NNG
중	중/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
폭력	폭력/NNG
사건	사건/NNG
등	등/NNB
다른	다른/MMD
관련	관련/NNG
사건을	사건/NNG+을/JKO
수사	수사/NNG
중이었기	중/NNB+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
이번	이번/NNG
사건도	사건/NNG+도/JX
보낸	보내/VV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"내란	"/SS+내란/NNG
선동	선동/NNG
혐의를	혐의/NNG+를/JKO
변경하지	변경/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
고발에	고발/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐	뿐/NNB
특별한	특별/NNG+하/XSA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있는	있/VA+는/ETM
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.9.1
2015년 11월 한상균 민주노총 위원장이 '민중 총궐기' 불법 집회를 주도했을 때도 내란 혐의를 적용해야 하는 것 아니냐는 논란이 있었다.

2015년	2015/SN+년/NNB
11월	11/SN+월/NNB
한상균	한상균/NNP
민주노총	민주노총/NNP
위원장이	위원장/NNG+이/JKS
'민중	'/SS+민중/NNG
총궐기'	총궐기/NNG+'/SS
불법	불법/NNG
집회를	집회/NNG+를/JKO
주도했을	주도/NNG+하/XSV+았/EP+을/ETM
때도	때/NNG+도/JX
내란	내란/NNG
혐의를	혐의/NNG+를/JKO
적용해야	적용/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
논란이	논란/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.209.9.2
한 위원장은 당시 "물류를 세우고 국가를 멈추라"며 선동했다.

한	한/NNP
위원장은	위원장/NNG+은/JX
당시	당시/NNG
"물류를	"/SS+물류/NNG+를/JKO
세우고	세우/VV+고/EC
국가를	국가/NNG+를/JKO
멈추라"며	멈추/VV+라/EF+"/SS+며/EC
선동했다.	선동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.9.3
폭력 시위로 인해 경찰관 수십명이 다치고 경찰 버스가 파손됐다.

폭력	폭력/NNG
시위로	시위/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
경찰관	경찰관/NNG
수십명이	수십/NR+명/NNB+이/JKS
다치고	다치/VV+고/EC
경찰	경찰/NNG
버스가	버스/NNG+가/JKS
파손됐다.	파손/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.209.9.4
하지만 한 위원장은 특수공무집행방해치상 혐의 등으로 수사받고 구속됐을 뿐 내란 혐의가 적용되진 않았다.

하지만	하지만/MAJ
한	한/NNP
위원장은	위원장/NNG+은/JX
특수공무집행방해치상	특수/NNG+공무/NNG+집행/NNG+방해/NNG+치상/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
수사받고	수사/NNG+받/XSV+고/EC
구속됐을	구속/NNG+되/XSV+었/EP+을/ETM
뿐	뿐/NNB
내란	내란/NNG
혐의가	혐의/NNG+가/JKS
적용되진	적용/NNG+되/XSV+지/EC+ㄴ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.209.10.1
당시 한 위원장에게 적용된 소요 혐의에 대해선 지난 7월 검찰은 '공소권 없음' 처분했다.

당시	당시/NNG
한	한/NNP
위원장에게	위원장/NNG+에게/JKB
적용된	적용/NNG+되/XSV+ㄴ/ETM
소요	소요/NNG
혐의에	혐의/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
검찰은	검찰/NNG+은/JX
'공소권	'/SS+공소/NNG+권/XSN
없음'	없/VA+음/ETN+'/SS
처분했다.	처분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.10.2
소요죄는 '다중이 집합해 폭행·협박·손괴의 행위를 한 자'에게 적용된다.

소요죄는	소요죄/NNG+는/JX
'다중이	'/SS+다중/NNG+이/JKS
집합해	집합/NNG+하/XSV+아/EC
폭행·협박·손괴의	폭행/NNG+·/SP+협박/NNG+·/SP+손괴/NNG+의/JKG
행위를	행위/NNG+를/JKO
한	하/VV+ㄴ/ETM
자'에게	자/NNB+'/SS+에게/JKB
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.209.10.3
검찰은 "한 지방의 평온을 해할 정도의 소요를 일으키겠다는 고의가 있었다고 인정할 증거가 부족하다"고 했다.

검찰은	검찰/NNG+은/JX
"한	"/SS+한/MMN
지방의	지방/NNG+의/JKG
평온을	평온/NNG+을/JKO
해할	해/NNG+하/XSV+ㄹ/ETM
정도의	정도/NNG+의/JKG
소요를	소요/NNG+를/JKO
일으키겠다는	일으키/VV+겠/EP+다는/ETM
고의가	고의/NNG+가/JKS
있었다고	있/VA+었/EP+다고/EC
인정할	인정/NNG+하/XSV+ㄹ/ETM
증거가	증거/NNG+가/JKS
부족하다"고	부족/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.11.1
지난 1월에 들어온 고발건에 대해 반년 이상 지난 지금에야 내란선동죄로 조사하는 것에 대해서도 논란이 있다.

지난	지나/VV+ㄴ/ETM
1월에	1/SN+월/NNB+에/JKB
들어온	들어오/VV+ㄴ/ETM
고발건에	고발/NNG+건/NNG+에/JKB
대해	대하/VV+아/EC
반년	반년/NNG
이상	이상/NNG
지금에야	지금/NNG+에/JKB+야/JX
내란선동죄로	내란/NNG+선동죄/NNG+로/JKB
조사하는	조사/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
논란이	논란/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.209.11.2
경찰은 지난 3월 24일 사건을 접수한 이후 지금까지 사실 관계 기초 조사를 했다고 했다.

경찰은	경찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
24일	24/SN+일/NNB
사건을	사건/NNG+을/JKO
접수한	접수/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
지금까지	지금/NNG+까지/JX
사실	사실/MAG
관계	관계/NNG
기초	기초/NNG
조사를	조사/NNG+를/JKO
했다고	하/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.209.11.3
경찰은 지난달 촛불 집회에 대해 '전 세계가 찬사를 보내는 민주적인 시위'였다며 '촛불 집회 백서'를 발간하겠다고 밝혔다.

경찰은	경찰/NNG+은/JX
지난달	지난달/NNG
촛불	촛불/NNG
집회에	집회/NNG+에/JKB
대해	대하/VV+아/EC
'전	'/SS+전/MMN
세계가	세계/NNG+가/JKS
찬사를	찬사/NNG+를/JKO
보내는	보내/VV+는/ETM
민주적인	민주/NNG+적/XSN+이/VCP+ㄴ/ETM
시위'였다며	시위/NNG+'/SS+이/VCP+었/EP+다며/EC
'촛불	'/SS+촛불/NNG
집회	집회/NNG
백서'를	백서/NNG+'/SS+를/JKO
발간하겠다고	발간/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


