# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.1
metadata : {}


# id : NWRW1800000052.1.1.1
대법 “단말기 보조금 과세대상 아니다”

대법	대법/NNG
보조금을	보조금/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
가격에	가격/NNG+에/JKB
팔고	팔/VV+고/EC
판매금액을	판매/NNG+금액/NNG+을/JKO
케이티에	케이티/NNP+에/JKB
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.1.7.1
케이티는 보조금을 부가가치세에 포함시켜 신고·납부하다가 2011년 “보조금도 부가가치세법상 에누리에 해당한다”며 부가세 1144억원을 돌려달라고 소송을 냈다.

케이티는	케이티/NNP+는/JX
보조금을	보조금/NNG+을/JKO
부가가치세에	부가/NNG+가치세/NNG+에/JKB
포함시켜	포함/NNG+시키/XSV+어/EC
신고·납부하다가	신고/NNG+·/SP+납부/NNG+하/XSV+다가/EC
2011년	2011/SN+년/NNB
“보조금도	“/SS+보조금/NNG+도/JX
부가가치세법상	부가/NNG+가치세법/NNG+상/XSN
에누리에	에누리/NNG+에/JKB
해당한다”며	해당/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
부가세	부가세/NNG
1144억원을	1144/SN+억/NR+원/NNB+을/JKO
돌려달라고	돌리/VV+어/EC+달/VX+라고/EC
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.1.7.2
부가가치세법은 재화나 용역을 공급할 때 공급조건에 따라 에누리해 준 금액을 과세 표준이 되는 공급가액에서 제외하도록 하고 있다.

부가가치세법은	부가/NNG+가치세법/NNG+은/JX
재화나	재화/NNG+나/JC
용역을	용역/NNG+을/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
때	때/NNG
공급조건에	공급/NNG+조건/NNG+에/JKB
따라	따르/VV+아/EC
에누리해	에누리/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
금액을	금액/NNG+을/JKO
과세	과세/NNG
표준이	표준/NNG+이/JKC
되는	되/VV+는/ETM
공급가액에서	공급가액/NNG+에서/JKB
제외하도록	제외/NNG+하/XSV+도록/EC
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.1.8.1
1심 재판부는 KT의 손을 들어줬다.

1심	1심/NNG
재판부는	재판부/NNG+는/JX
KT의	KT/SL+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.1.8.2
이에 반해 2심 재판부는 “단말기 공급가액에서 보조금을 직접 제외하는 것이 아니라 채권을 상계하는 방식으로 단말기 대금을 정산했다”고 지적하며 세무당국의 손을 들어줬다.

이에	이/NP+에/JKB
반해	반하/VV+아/EC
2심	2심/NNG
재판부는	재판부/NNG+는/JX
“단말기	“/SS+단말기/NNG
공급가액에서	공급가액/NNG+에서/JKB
보조금을	보조금/NNG+을/JKO
직접	직접/MAG
제외하는	제외/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
채권을	채권/NNG+을/JKO
상계하는	상계/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
단말기	단말기/NNG
대금을	대금/NNG+을/JKO
정산했다”고	정산/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
지적하며	지적/NNG+하/XSV+며/EC
세무당국의	세무/NNG+당국/NNG+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.1.8.3
그러나 대법원은 단말기 구입 보조금이 세금을 부과할 수 없는 에누리액에 해당한다고 판단해, 케이티의 손을 들어줬다.

그러나	그러나/MAJ
대법원은	대/XPN+법원/NNG+은/JX
단말기	단말기/NNG
구입	구입/NNG
보조금이	보조금/NNG+이/JKS
세금을	세금/NNG+을/JKO
부과할	부과/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
에누리액에	에누리액/NNG+에/JKB
해당한다고	해당/NNG+하/XSV+ㄴ다고/EC
판단해,	판단/NNG+하/XSV+아/EC+,/SP
케이티의	케이티/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.1.8.4
대법원은 “케이티와 대리점 사이에 보조금만큼 할인 판매하는 조건으로 보조금 상당액을 감액해 결제하는 약정이 있었다고 볼 수 있다”며 “결국 보조금은 케이티의 단말기 공급 가격에서 직접 공제되는 가격에 해당한다”고 판시했다.

대법원은	대/XPN+법원/NNG+은/JX
“케이티와	“/SS+케이티/NNP+와/JC
대리점	대리점/NNG
사이에	사이/NNG+에/JKB
보조금만큼	보조금/NNG+만큼/JKB
할인	할인/NNG
판매하는	판매/NNG+하/XSV+는/ETM
조건으로	조건/NNG+으로/JKB
보조금	보조금/NNG
상당액을	상당액/NNG+을/JKO
감액해	감액/NNG+하/XSV+아/EC
결제하는	결제/NNG+하/XSV+는/ETM
약정이	약정/NNG+이/JKS
있었다고	있/VA+었/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“결국	“/SS+결국/MAG
보조금은	보조금/NNG+은/JX
케이티의	케이티/NNP+의/JKG
단말기	단말기/NNG
공급	공급/NNG
가격에서	가격/NNG+에서/JKB
직접	직접/MAG
공제되는	공제/NNG+되/XSV+는/ETM
가격에	가격/NNG+에/JKB
해당한다”고	해당/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
판시했다.	판시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.1.8.5
이어 재판부는 “보조금이 이동통신용역 공급거래에서 수익을 얻기 위한 목적이라고 해도 일정 기간 공급을 조건으로 직접 공제된 이상 단말기 공급과 관련된 에누리액”이라고 덧붙였다.

이어	이어/MAG
재판부는	재판부/NNG+는/JX
“보조금이	“/SS+보조금/NNG+이/JKS
이동통신용역	이동/NNG+통신/NNG+용역/NNG
공급거래에서	공급/NNG+거래/NNG+에서/JKB
수익을	수익/NNG+을/JKO
얻기	얻/VV+기/ETN
위한	위하/VV+ㄴ/ETM
목적이라고	목적/NNG+이/VCP+라고/EC
해도	하/VV+아도/EC
일정	일정/NNG
기간	기간/NNG
공급을	공급/NNG+을/JKO
조건으로	조건/NNG+으로/JKB
직접	직접/MAG
공제된	공제/NNG+되/XSV+ㄴ/ETM
이상	이상/NNG
단말기	단말기/NNG
공급과	공급/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
에누리액”이라고	에누리액/NNG+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.1.9.1
이번 소송 결과는 다른 통신사들이 제기한 유사한 소송에도 영향을 미칠 것으로 보인다.

이번	이번/NNG
소송	소송/NNG
결과는	결과/NNG+는/JX
다른	다른/MMD
통신사들이	통신사/NNG+들/XSN+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
유사한	유사/NNG+하/XSA+ㄴ/ETM
소송에도	소송/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.1.9.2
현재 에스케이텔레콤은 2900억원, 엘지유플러스도 400억원의 부가세 환급소송을 제기해놓은 상태다.

현재	현재/MAG
에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
2900억원,	2900/SN+억/NR+원/NNB+,/SP
엘지유플러스도	엘지유플러스/NNP+도/JX
400억원의	400/SN+억/NR+원/NNB+의/JKG
부가세	부가세/NNG
환급소송을	환급/NNG+소송/NNG+을/JKO
제기해놓은	제기/NNG+하/XSV+아/EC+놓/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


