# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.310
metadata : {}


# id : NWRW1800000041.310.1.1
[프리미엄 리포트]韓-칠레 FTA 10년… 농민도 정부도 틀렸다

[프리미엄	[/SS+프리미엄/NNG
역부족이었다.	역부족/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.310.4.3
결국 포도, 복숭아, 키위 시설(비닐하우스) 농가에 대해 폐업 지원금 제도라는 파격적인 보상책이 등장했다.

결국	결국/MAG
포도,	포도/NNG+,/SP
복숭아,	복숭아/NNG+,/SP
키위	키위/NNG
시설(비닐하우스)	시설/NNG+(/SS+비닐하우스/NNG+)/SS
농가에	농가/NNG+에/JKB
대해	대하/VV+아/EC
폐업	폐업/NNG
지원금	지원금/NNG
제도라는	제도/NNG+이/VCP+라는/ETM
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
보상책이	보상책/NNG+이/JKS
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.5.1
한국의 첫 FTA였던 한-칠레 FTA가 다음 달 1일 발효 10년을 맞는다.

한국의	한국/NNP+의/JKG
첫	첫/MMN
FTA였던	FTA/SL+이/VCP+었/EP+던/ETM
한-칠레	한/NNP+-/SO+칠레/NNP
FTA가	FTA/SL+가/JKS
다음	다음/NNG
달	달/NNG
1일	1/SN+일/NNB
발효	발효/NNG
10년을	10/SN+년/NNB+을/JKO
맞는다.	맞/VV+는다/EF+./SF


# id : NWRW1800000041.310.5.2
한-칠레 FTA는 한국이 글로벌 FTA 중심 국가(발효 9건, 협상 타결 2건)로 거듭나는 초석이 됐다는 긍정적 평가를 받고 있다.

한-칠레	한/NNP+-/SO+칠레/NNP
FTA는	FTA/SL+는/JX
한국이	한국/NNP+이/JKS
글로벌	글로벌/NNG
FTA	FTA/SL
중심	중심/NNG
국가(발효	국가/NNG+(/SS+발효/NNG
9건,	9/SN+건/NNB+,/SP
협상	협상/NNG
타결	타결/NNG
2건)로	2/SN+건/NNB+)/SS+로/JKB
거듭나는	거듭나/VV+는/ETM
초석이	초석/NNG+이/JKC
됐다는	되/VV+었/EP+다는/ETM
긍정적	긍정/NNG+적/XSN
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.310.5.3
그러나 협상 및 국회비준 과정에서 큰 사회적 비용을 치러야 했다.

그러나	그러나/MAJ
협상	협상/NNG
및	및/MAG
국회비준	국회/NNG+비준/NNG
과정에서	과정/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
사회적	사회/NNG+적/XSN
비용을	비용/NNG+을/JKO
치러야	치르/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.310.6.1
동아일보 취재팀은 최근 국내 최대 포도 산지인 경북 김천시와 충북 옥천군, 영동군을 찾았다.

동아일보	동아일보/NNP
취재팀은	취재/NNG+팀/NNG+은/JX
최근	최근/NNG
국내	국내/NNG
최대	최대/NNG
포도	포도/NNG
산지인	산지/NNG+이/VCP+ㄴ/ETM
경북	경북/NNP
김천시와	김천시/NNP+와/JC
충북	충북/NNP
옥천군,	옥천군/NNP+,/SP
영동군을	영동군/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.6.2
한-칠레 FTA의 최대 피해자로 꼽혔던 포도 농가들은 “다 망한다기에 반대시위에도 참가했는데 정작 FTA 피해는 거의 없었다”고 입을 모았다.

한-칠레	한/NNP+-/SO+칠레/NNP
FTA의	FTA/SL+의/JKG
최대	최대/NNG
피해자로	피해자/NNG+로/JKB
꼽혔던	꼽히/VV+었/EP+던/ETM
포도	포도/NNG
농가들은	농가/NNG+들/XSN+은/JX
“다	“/SS+다/MAG
망한다기에	망하/VV+ㄴ다기/ETN+에/JKB
반대시위에도	반대/NNG+시위/NNG+에/JKB+도/JX
참가했는데	참가/NNG+하/XSV+았/EP+는데/EC
정작	정작/MAG
FTA	FTA/SL
피해는	피해/NNG+는/JX
거의	거의/MAG
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.6.3
국내 포도 농가의 단위 면적당 소득은 10년 만에 2배로 늘어났다.

국내	국내/NNG
포도	포도/NNG
농가의	농가/NNG+의/JKG
단위	단위/NNG
면적당	면적/NNG+당/XSN
소득은	소득/NNG+은/JX
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
2배로	2/SN+배/NNG+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.7.1
정부가 2004∼2010년 국내 농가에 지원한 폐업 지원금은 모두 2400억 원에 이른다.

정부가	정부/NNG+가/JKS
2004∼2010년	2004/SN+∼/SO+2010/SN+년/NNB
국내	국내/NNG
농가에	농가/NNG+에/JKB
지원한	지원/NNG+하/XSV+ㄴ/ETM
폐업	폐업/NNG
지원금은	지원금/NNG+은/JX
모두	모두/MAG
2400억	2400/SN+억/NR
원에	원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.310.7.2
복숭아 농가에 폐업 지원금으로 1800억 원이 나갔지만 칠레산 복숭아는 검역 문제 때문에 단 한 개도 수입되지 않았다.

복숭아	복숭아/NNG
농가에	농가/NNG+에/JKB
폐업	폐업/NNG
지원금으로	지원금/NNG+으로/JKB
1800억	1800/SN+억/NR
원이	원/NNB+이/JKS
나갔지만	나가/VV+았/EP+지만/EC
칠레산	칠레/NNP+산/XSN
복숭아는	복숭아/NNG+는/JX
검역	검역/NNG
문제	문제/NNG
때문에	때문/NNB+에/JKB
단	단/MMA
한	한/MMN
개도	개/NNB+도/JX
수입되지	수입/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.310.7.3
폐업했던 포도 농가들도 동일 작물 재배 제한기간인 5년이 끝나자마자 대부분 다시 포도나무를 심었다.

폐업했던	폐업/NNG+하/XSV+았/EP+던/ETM
포도	포도/NNG
농가들도	농가/NNG+들/XSN+도/JX
동일	동일/NNG
작물	작물/NNG
재배	재배/NNG
제한기간인	제한/NNG+기간/NNG+이/VCP+ㄴ/ETM
5년이	5/SN+년/NNB+이/JKS
끝나자마자	끝나/VV+자마자/EC
대부분	대/XPN+부분/NNG
다시	다시/MAG
포도나무를	포도나무/NNG+를/JKO
심었다.	심/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.310.7.4
과장된 피해 우려로 헛돈을 쓴 셈이다.

과장된	과장/NNG+되/XSV+ㄴ/ETM
피해	피해/NNG
우려로	우려/NNG+로/JKB
헛돈을	헛/XPN+돈/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.310.8.1
FTA 효과에 대한 정부의 예측이 빗나간 부분도 있었다.

FTA	FTA/SL
효과에	효과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
예측이	예측/NNG+이/JKS
빗나간	빗나가/VV+ㄴ/ETM
부분도	부분/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.310.8.2
당시 정부는 FTA 이후 칠레와의 무역수지가 개선될 것으로 내다봤지만 소비재 수출량보다 원자재 수입량이 급증하면서 적자폭이 2003년 5억4000만 달러에서 지난해 22억 달러로 커졌다.

당시	당시/NNG
정부는	정부/NNG+는/JX
FTA	FTA/SL
이후	이후/NNG
칠레와의	칠레/NNP+와/JKB+의/JKG
무역수지가	무역/NNG+수지/NNG+가/JKS
개선될	개선/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤지만	내다보/VV+았/EP+지만/EC
소비재	소비재/NNG
수출량보다	수출량/NNG+보다/JKB
원자재	원자재/NNG
수입량이	수입량/NNG+이/JKS
급증하면서	급증/NNG+하/XSV+면서/EC
적자폭이	적자/NNG+폭/NNG+이/JKS
2003년	2003/SN+년/NNB
5억4000만	5/SN+억/NR+4000/SN+만/NR
달러에서	달러/NNB+에서/JKB
지난해	지난해/NNG
22억	22/SN+억/NR
달러로	달러/NNB+로/JKB
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.310.9.1
동아일보는 한국개발연구원(KDI), 대외경제정책연구원(KIEP), 현대경제연구원 등 9개 정부출연 및 민간 연구기관 전문가 95명을 대상으로 설문조사를 했다.

동아일보는	동아일보/NNP+는/JX
한국개발연구원(KDI),	한국개발연구원/NNP+(/SS+KDI/SL+)/SS+,/SP
대외경제정책연구원(KIEP),	대외/NNG+경제/NNG+정책/NNG+연구원/NNG+(/SS+KIEP/SL+)/SS+,/SP
현대경제연구원	현대경제연구원/NNP
등	등/NNB
9개	9/SN+개/NNB
정부출연	정부/NNG+출연/NNG
및	및/MAG
민간	민간/NNG
연구기관	연구/NNG+기관/NNG
전문가	전문가/NNG
95명을	95/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
설문조사를	설문/NNG+조사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.9.2
전문가들은 ‘한미 FTA 등을 위한 예행연습’(34.8%), ‘세계 자유무역 트렌드에 합류한 것’(29.2%) 등을 한-칠레 FTA의 긍정적 측면으로 꼽았다.

전문가들은	전문가/NNG+들/XSN+은/JX
‘한미	‘/SS+한미/NNP
FTA	FTA/SL
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
예행연습’(34.8%),	예행연습/NNG+’/SS+(/SS+34/SN+./SP+8/SN+%/SW+)/SS+,/SP
‘세계	‘/SS+세계/NNG
자유무역	자유/NNG+무역/NNG
트렌드에	트렌드/NNG+에/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
것’(29.2%)	것/NNB+’/SS+(/SS+29/SN+./SP+2/SN+%/SW+)/SS
한-칠레	한/NNP+-/SO+칠레/NNP
FTA의	FTA/SL+의/JKG
긍정적	긍정/NNG+적/XSN
측면으로	측면/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.9.3
부정적인 면으로는 ‘경제적, 사회적 효과 미미’(42.0%)와 ‘엄청난 사회적 갈등비용 초래’(22.9%) 등을 지적했다.

부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
면으로는	면/NNG+으로/JKB+는/JX
‘경제적,	‘/SS+경제/NNG+적/XSN+,/SP
사회적	사회/NNG+적/XSN
효과	효과/NNG
미미’(42.0%)와	미미/XR+’/SS+(/SS+42/SN+./SP+0/SN+%/SW+)/SS+와/JC
‘엄청난	‘/SS+엄청나/VA+ㄴ/ETM
갈등비용	갈등/NNG+비용/NNG
초래’(22.9%)	초래/NNG+’/SS+(/SS+22/SN+./SP+9/SN+%/SW+)/SS
등을	등/NNB+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.10.1
주원 현대경제연구원 수석연구원은 “이익단체의 지나친 개입이나 잘못된 분석은 협상 자체를 불리하게 이끌고 제대로 된 피해 대책을 마련하는 데도 악영향을 미친다”고 지적했다.

주원	주원/NNP
현대경제연구원	현대경제연구원/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
“이익단체의	“/SS+이익/NNG+단체/NNG+의/JKG
지나친	지나치/VA+ㄴ/ETM
개입이나	개입/NNG+이나/JC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
분석은	분석/NNG+은/JX
협상	협상/NNG
자체를	자체/NNG+를/JKO
불리하게	불리/NNG+하/XSA+게/EC
이끌고	이끌/VV+고/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
피해	피해/NNG
대책을	대책/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
악영향을	악영향/NNG+을/JKO
미친다”고	미치/VV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.11.1
농림축산식품부 관계자는 “정부도 조만간 한-칠레 FTA의 효과에 대해 분석 작업을 진행할 예정”이라며 “한중 FTA 협상 등에 그 결과를 충분히 반영하겠다”고 밝혔다.

농림축산식품부	농림/NNG+축산/NNG+식품부/NNG
관계자는	관계자/NNG+는/JX
“정부도	“/SS+정부/NNG+도/JX
조만간	조만간/MAG
한-칠레	한/NNP+-/SO+칠레/NNP
FTA의	FTA/SL+의/JKG
효과에	효과/NNG+에/JKB
대해	대하/VV+아/EC
분석	분석/NNG
작업을	작업/NNG+을/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
예정”이라며	예정/NNG+”/SS+이/VCP+라며/EC
“한중	“/SS+한중/NNP
FTA	FTA/SL
협상	협상/NNG
등에	등/NNB+에/JKB
그	그/MMD
결과를	결과/NNG+를/JKO
충분히	충분히/MAG
반영하겠다”고	반영/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


