# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.109
metadata : {}


# id : NWRW1800000033.109.1.1
[에너지 기업]독일 태양광 업체 인수 세계 3대 회사로 발돋음

[에너지	[/SS+에너지/NNG
중국산	중국/NNP+산/XSN
셀에	셀/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반(反)덤핑	반/XPN+(/SS+反/SH+)/SS+덤핑/NNG
규제를	규제/NNG+를/JKO
자연스럽게	자연/NNG+스럽/XSA+게/EC
피할	피하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.109.3.3
한화그룹 관계자는 “생산능력을 확충하는 동시에 국제적 교섭력까지 갖추며 새로운 성장의 기반을 마련하게 됐다”고 설명했다.

한화그룹	한화그룹/NNP
관계자는	관계자/NNG+는/JX
“생산능력을	“/SS+생산/NNG+능력/NNG+을/JKO
확충하는	확충/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
국제적	국제/NNG+적/XSN
교섭력까지	교섭력/NNG+까지/JX
갖추며	갖추/VV+며/EC
새로운	새롭/VA+ㄴ/ETM
성장의	성장/NNG+의/JKG
기반을	기반/NNG+을/JKO
마련하게	마련/NNG+하/XSV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.109.4.1
10월 한화큐셀을 새롭게 출범시키며 체제를 정비한 한화그룹은 미래 태양광 기술개발 분야에서 선도적인 위치에 서겠다는 계획이다.

10월	10/SN+월/NNB
한화큐셀을	한화큐셀/NNP+을/JKO
새롭게	새롭/VA+게/EC
출범시키며	출범/NNG+시키/XSV+며/EC
체제를	체제/NNG+를/JKO
정비한	정비/NNG+하/XSV+ㄴ/ETM
한화그룹은	한화그룹/NNP+은/JX
미래	미래/NNG
태양광	태양광/NNG
기술개발	기술/NNG+개발/NNG
분야에서	분야/NNG+에서/JKB
선도적인	선도/NNG+적/XSN+이/VCP+ㄴ/ETM
위치에	위치/NNG+에/JKB
서겠다는	서/VV+겠/EP+다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.109.5.1
미국 캘리포니아 주 실리콘밸리에 설립한 태양광 연구개발 전담 연구소 한화솔라아메리카는 관련 기술개발의 요람이다.

미국	미국/NNP
캘리포니아	캘리포니아/NNP
주	주/NNG
실리콘밸리에	실리콘밸리/NNP+에/JKB
설립한	설립/NNG+하/XSV+ㄴ/ETM
태양광	태양광/NNG
연구개발	연구/NNG+개발/NNG
전담	전담/NNG
연구소	연구소/NNG
한화솔라아메리카는	한화솔라아메리카/NNP+는/JX
관련	관련/NNG
기술개발의	기술/NNG+개발/NNG+의/JKG
요람이다.	요람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.109.5.2
연구소장으로 한화솔라아메리카를 이끌고 있는 크리스 이버스파처 박사는 25년 동안 태양전지 기술개발에 전념해온 전문가다.

연구소장으로	연구소장/NNG+으로/JKB
한화솔라아메리카를	한화솔라아메리카/NNP+를/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
크리스	크리스/NNP
이버스파처	이버스파처/NNP
박사는	박사/NNG+는/JX
25년	25/SN+년/NNB
동안	동안/NNG
태양전지	태양/NNG+전지/NNG
기술개발에	기술/NNG+개발/NNG+에/JKB
전념해온	전념/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.109.5.3
그는 현재 한화그룹 내 태양광 부문 글로벌 최고기술책임자(CTO) 자리를 맡고 있기도 하다.

그는	그/NP+는/JX
현재	현재/MAG
한화그룹	한화그룹/NNP
내	내/NNB
태양광	태양광/NNG
부문	부문/NNG
글로벌	글로벌/NNG
최고기술책임자(CTO)	최고/NNG+기술/NNG+책임자/NNG+(/SS+CTO/SL+)/SS
자리를	자리/NNG+를/JKO
맡고	맡/VV+고/EC
있기도	있/VX+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000033.109.6.1
한화그룹은 자체 연구소를 운영하는데 그치지 않고 1366 테크놀로지, 크리스탈솔라, 텐케이솔라, 사일란트파워 등 태양광 관련 벤처기업들의 지분을 인수하며 기술력 강화에 힘쓰고 있다.

한화그룹은	한화그룹/NNP+은/JX
자체	자체/NNG
연구소를	연구소/NNG+를/JKO
운영하는데	운영/NNG+하/XSV+는/ETM+데/NNB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
1366	1366/SN
테크놀로지,	테크놀로지/NNP+,/SP
크리스탈솔라,	크리스탈솔라/NNP+,/SP
텐케이솔라,	텐케이솔라/NNP+,/SP
사일란트파워	사일란트파워/NNP
등	등/NNB
태양광	태양광/NNG
관련	관련/NNG
벤처기업들의	벤처/NNG+기업/NNG+들/XSN+의/JKG
지분을	지분/NNG+을/JKO
인수하며	인수/NNG+하/XSV+며/EC
기술력	기술력/NNG
강화에	강화/NNG+에/JKB
힘쓰고	힘쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.109.6.2
한화그룹이 축적한 노하우에 벤처기업들의 참신한 기술력을 더해 시너지를 얻겠다는 계산이다.

한화그룹이	한화그룹/NNP+이/JKS
축적한	축적/NNG+하/XSV+ㄴ/ETM
노하우에	노하우/NNG+에/JKB
벤처기업들의	벤처/NNG+기업/NNG+들/XSN+의/JKG
참신한	참신하/VA+ㄴ/ETM
기술력을	기술력/NNG+을/JKO
더해	더/MAG+하/XSV+아/EC
시너지를	시너지/NNG+를/JKO
얻겠다는	얻/VV+겠/EP+다는/ETM
계산이다.	계산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.109.7.1
지난해 9월에는 미국 법인인 한화인터내셔널을 통해 지붕형 태양광 발전설비 설치에 필요한 리스 프로그램을 제공하는 미국 원루프에너지의 지분을 인수하기도 했다.

지난해	지난해/NNG
9월에는	9/SN+월/NNB+에/JKB+는/JX
미국	미국/NNP
법인인	법인/NNG+이/VCP+ㄴ/ETM
한화인터내셔널을	한화인터내셔널/NNP+을/JKO
통해	통하/VV+아/EC
지붕형	지붕/NNG+형/XSN
태양광	태양광/NNG
발전설비	발전/NNG+설비/NNG
설치에	설치/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
리스	리스/NNG
프로그램을	프로그램/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
원루프에너지의	원루프에너지/NNP+의/JKG
지분을	지분/NNG+을/JKO
인수하기도	인수/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.109.7.2
원루프에너지를 미국 주택용 태양광 시장에 진출하기 위한 교두보로 삼는다는 방침이다.

원루프에너지를	원루프에너지/NNP+를/JKO
미국	미국/NNP
주택용	주택/NNG+용/XSN
태양광	태양광/NNG
시장에	시장/NNG+에/JKB
진출하기	진출/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
교두보로	교두보/NNG+로/JKB
삼는다는	삼/VV+는다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.109.8.1
그룹 측은 향후 주택용 태양광 시장이 연 평균 30% 이상 가파른 성장을 이어갈 것이라 내다보고 있다.

그룹	그룹/NNG
측은	측/NNB+은/JX
향후	향후/NNG
주택용	주택/NNG+용/XSN
태양광	태양광/NNG
시장이	시장/NNG+이/JKS
연	연/NNG
평균	평균/NNG
30%	30/SN+%/SW
이상	이상/NNG
가파른	가파르/VA+ㄴ/ETM
성장을	성장/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EC
내다보고	내다보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.109.8.2
이런 노력의 결과 미국의 ‘GTM 리서치’는 10월 보고서를 통해 한화그룹을 ‘2015년 시장을 선도할 8개 회사’중 하나로 꼽기도 했다.

이런	이런/MMD
노력의	노력/NNG+의/JKG
결과	결과/NNG
미국의	미국/NNP+의/JKG
‘GTM	‘/SS+GTM/NNP
리서치’는	리서치/NNP+’/SS+는/JX
10월	10/SN+월/NNB
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
한화그룹을	한화그룹/NNP+을/JKO
‘2015년	‘/SS+2015/SN+년/NNB
시장을	시장/NNG+을/JKO
선도할	선도/NNG+하/XSV+ㄹ/ETM
8개	8/SN+개/NNB
회사’중	회사/NNG+’/SS+중/NNB
하나로	하나/NR+로/JKB
꼽기도	꼽/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.109.9.1
기술력을 높이기 위한 한화그룹의 노력은 해외에서 가시적인 성과를 만들어내고 있다.

기술력을	기술력/NNG+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
한화그룹의	한화그룹/NNP+의/JKG
노력은	노력/NNG+은/JX
해외에서	해외/NNG+에서/JKB
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
성과를	성과/NNG+를/JKO
만들어내고	만들/VV+어/EC+내/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.109.9.2
한화그룹은 2010년 이탈리아 북부 로비고에 6MW 규모의 태양광 발전소를 건설한 데 이어 올해 5월에는 포르투갈 리스본 지역에 17.6MW 규모의 태양광 발전소 건설 계약을 체결하기도 했다.

한화그룹은	한화그룹/NNP+은/JX
2010년	2010/SN+년/NNB
이탈리아	이탈리아/NNP
북부	북부/NNG
로비고에	로비고/NNP+에/JKB
6MW	6/SN+MW/SW
규모의	규모/NNG+의/JKG
태양광	태양광/NNG
발전소를	발전소/NNG+를/JKO
건설한	건설/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올해	올해/NNG
5월에는	5/SN+월/NNB+에/JKB+는/JX
포르투갈	포르투갈/NNP
리스본	리스본/NNP
지역에	지역/NNG+에/JKB
17.6MW	17/SN+./SP+6/SN+MW/SW
발전소	발전소/NNG
건설	건설/NNG
계약을	계약/NNG+을/JKO
체결하기도	체결/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.109.9.3
내년 3월 발전소가 완공되면 발전소 주변 8800여 가구가 태양광으로 만든 전력을 공급받게 된다.

내년	내년/NNG
3월	3/SN+월/NNB
발전소가	발전소/NNG+가/JKS
완공되면	완공/NNG+되/XSV+면/EC
발전소	발전소/NNG
주변	주변/NNG
8800여	8800/SN+여/XSN
가구가	가구/NNG+가/JKS
태양광으로	태양광/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
전력을	전력/NNG+을/JKO
공급받게	공급/NNG+받/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.109.10.1
태양광 사업에 관한 한화그룹의 성과는 아시아 지역에서도 뚜렷하게 나타나고 있다.

태양광	태양광/NNG
사업에	사업/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
한화그룹의	한화그룹/NNP+의/JKG
성과는	성과/NNG+는/JX
아시아	아시아/NNP
지역에서도	지역/NNG+에서/JKB+도/JX
뚜렷하게	뚜렷하/VA+게/EC
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.109.10.2
한화솔라원은 일본의 소프트뱅크그룹이 짓는 태양광 발전소에 5.6MW 규모의 태양광 모듈을 공급한 데 이어, 종합상사인 마루베니가 일본 전역에 건설하는 태양광 발전소에 앞으로 4년 동안 500MW 규모의 모듈을 공급하기로 했다.

한화솔라원은	한화솔라원/NNP+은/JX
일본의	일본/NNP+의/JKG
소프트뱅크그룹이	소프트뱅크그룹/NNP+이/JKS
짓는	짓/VV+는/ETM
태양광	태양광/NNG
발전소에	발전소/NNG+에/JKB
5.6MW	5/SN+./SP+6/SN+MW/SW
규모의	규모/NNG+의/JKG
모듈을	모듈/NNG+을/JKO
공급한	공급/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
종합상사인	종합/NNG+상사/NNG+이/VCP+ㄴ/ETM
마루베니가	마루베니/NNP+가/JKS
일본	일본/NNP
전역에	전역/NNG+에/JKB
건설하는	건설/NNG+하/XSV+는/ETM
앞으로	앞/NNG+으로/JKB
4년	4/SN+년/NNB
동안	동안/NNG
500MW	500/SN+MW/SW
공급하기로	공급/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.109.11.1
국내 사업계획도 다양하다.

국내	국내/NNG
사업계획도	사업/NNG+계획/NNG+도/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.109.11.2
우선 한화케미칼은 내년 하반기부터 전남 여수에서 1만 t 규모의 폴리실리콘 공장을 가동할 계획이다.

우선	우선/MAG
한화케미칼은	한화케미칼/NNP+은/JX
내년	내년/NNG
하반기부터	하반기/NNG+부터/JX
전남	전남/NNP
여수에서	여수/NNP+에서/JKB
1만	1/SN+만/NR
t	t/SW
규모의	규모/NNG+의/JKG
폴리실리콘	폴리실리콘/NNG
공장을	공장/NNG+을/JKO
가동할	가동/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.109.11.3
폴리실리콘 자체 조달이 가능해짐으로써 경기 변동에 대비할 수 있고, 원가 경쟁력을 확보하게 됐다는 평가다.

폴리실리콘	폴리실리콘/NNG
자체	자체/NNG
조달이	조달/NNG+이/JKS
가능해짐으로써	가능/NNG+하/XSA+아/EC+지/VX+ㅁ/ETN+으로써/JKB
경기	경기/NNG
변동에	변동/NNG+에/JKB
대비할	대비/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
원가	원가/NNG
경쟁력을	경쟁력/NNG+을/JKO
확보하게	확보/NNG+하/XSV+게/EC
됐다는	되/VV+었/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.109.11.4
또 한화솔라에너지는 서울시에 2014년까지 100MW 규모의 태양광 발전설비를 설치하는 내용의 양해각서(MOU)를 체결하기도 했다.

또	또/MAG
한화솔라에너지는	한화솔라에너지/NNP+는/JX
서울시에	서울시/NNP+에/JKB
2014년까지	2014/SN+년/NNB+까지/JX
100MW	100/SN+MW/SW
규모의	규모/NNG+의/JKG
태양광	태양광/NNG
발전설비를	발전/NNG+설비/NNG+를/JKO
설치하는	설치/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결하기도	체결/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


