# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.327
metadata : {}


# id : NWRW1800000037.327.1.1
임원들보다 과장님 더 챙기는 CEO

임원들보다	임원/NNG+들/XSN+보다/JKB
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
방식의	방식/NNG+의/JKG
이해와	이해/NNG+와/JC
소통을	소통/NNG+을/JKO
경험할	경험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.327.8.1
오후 7시에 시작해 2시간 반 동안 진행된 행사는 시종일관 화기애애한 분위기였다.

오후	오후/NNG
7시에	7/SN+시/NNB+에/JKB
시작해	시작/NNG+하/XSV+아/EC
2시간	2/SN+시간/NNB
반	반/NNG
동안	동안/NNG
진행된	진행/NNG+되/XSV+ㄴ/ETM
행사는	행사/NNG+는/JX
시종일관	시종일관/NNG
화기애애한	화기애애하/VA+ㄴ/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.327.8.2
승진자와 가족들은 행사장에 들어가기에 앞서 포토존과 얼음장식 앞에서 사진을 찍고, 다양한 게임을 하면서 친목을 다졌다.

승진자와	승진자/NNG+와/JC
가족들은	가족/NNG+들/XSN+은/JX
행사장에	행사장/NNG+에/JKB
들어가기에	들어가/VV+기에/EC
앞서	앞서/VV+어/EC
포토존과	포토존/NNG+과/JC
얼음장식	얼음/NNG+장식/NNG
앞에서	앞/NNG+에서/JKB
사진을	사진/NNG+을/JKO
찍고,	찍/VV+고/EC+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
게임을	게임/NNG+을/JKO
하면서	하/VV+면서/EC
친목을	친목/NNG+을/JKO
다졌다.	다지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.327.8.3
한 승진자는 ‘10월의 어느 멋진 날에’라는 가곡을 개사해 ‘2월의 어느 멋진 날에’를 불러 아내에게 애틋한 마음을 표현하기도 했다.

한	한/MMN
승진자는	승진자/NNG+는/JX
‘10월의	‘/SS+10/SN+월/NNB+의/JKG
어느	어느/MMD
멋진	멋지/VA+ㄴ/ETM
날에’라는	날/NNG+에/JKB+’/SS+이/VCP+라는/ETM
가곡을	가곡/NNG+을/JKO
개사해	개사/NNG+하/XSV+아/EC
‘2월의	‘/SS+2/SN+월/NNB+의/JKG
날에’를	날/NNG+에/JKB+’/SS+를/JKO
불러	부르/VV+어/EC
아내에게	아내/NNG+에게/JKB
애틋한	애틋하/VA+ㄴ/ETM
마음을	마음/NNG+을/JKO
표현하기도	표현/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.327.9.1
만찬 후에는 승진자들이 자신의 배우자에게 감사의 마음을 담은 편지와 장미꽃을 전달하는 시간을 가졌다.

만찬	만찬/NNG
후에는	후/NNG+에/JKB+는/JX
승진자들이	승진자/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
배우자에게	배우자/NNG+에게/JKB
감사의	감사/NNG+의/JKG
마음을	마음/NNG+을/JKO
담은	담/VV+은/ETM
편지와	편지/NNG+와/JC
장미꽃을	장미꽃/NNG+을/JKO
전달하는	전달/NNG+하/XSV+는/ETM
시간을	시간/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.327.9.2
호텔 숙박권 등 푸짐한 경품을 내건 퀴즈도 큰 호응을 받았다.

호텔	호텔/NNG
숙박권	숙박/NNG+권/XSN
등	등/NNB
푸짐한	푸짐하/VA+ㄴ/ETM
경품을	경품/NNG+을/JKO
내건	내걸/VV+ㄴ/ETM
퀴즈도	퀴즈/NNG+도/JX
큰	크/VA+ㄴ/ETM
호응을	호응/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.327.9.3
구 부회장은 LG전자의 전략 스마트폰 ‘옵티머스G’ 2대를 깜짝 선물로 내놓기도 했다.

구	구/NNP
부회장은	부회장/NNG+은/JX
LG전자의	LG전자/NNP+의/JKG
전략	전략/NNG
스마트폰	스마트폰/NNG
‘옵티머스G’	‘/SS+옵티머스G/NNP+’/SS
2대를	2/SN+대/NNB+를/JKO
깜짝	깜짝/MAG
선물로	선물/NNG+로/JKB
내놓기도	내놓/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.327.9.4
이 밖에 승진자 가족 전원에게는 관리직으로 첫발을 힘차게 내딛기를 기원하는 의미로 워킹화를 선물했다.

이	이/MMD
밖에	밖/NNG+에/JKB
승진자	승진자/NNG
가족	가족/NNG
전원에게는	전원/NNG+에게/JKB+는/JX
관리직으로	관리직/NNG+으로/JKB
첫발을	첫발/NNG+을/JKO
힘차게	힘차/VA+게/EC
내딛기를	내딛/VV+기/ETN+를/JKO
기원하는	기원/NNG+하/XSV+는/ETM
의미로	의미/NNG+로/JKB
워킹화를	워킹화/NNG+를/JKO
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.327.10.1
구 부회장은 평소에도 일 못지않게 가정을 중시하는 것으로 유명하다.

구	구/NNP
부회장은	부회장/NNG+은/JX
평소에도	평소/NNG+에/JKB+도/JX
일	일/NNG
못지않게	못지않/VA+게/EC
가정을	가정/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.327.10.2
‘가정이 즐거워야 일터도 즐겁다’는 신념에 따라 매달 금요일 중 하루를 ‘가정의 날’로 삼아 오후 5시 30분에 정시 퇴근하도록 권장하고, 이 시간이 지나면 사무실 전체를 소등한다.

‘가정이	‘/SS+가정/NNG+이/JKS
즐거워야	즐겁/VA+어야/EC
일터도	일터/NNG+도/JX
즐겁다’는	즐겁/VA+다/EF+’/SS+는/ETM
신념에	신념/NNG+에/JKB
따라	따르/VV+아/EC
매달	매달/MAG
금요일	금요일/NNG
중	중/NNB
하루를	하루/NNG+를/JKO
‘가정의	‘/SS+가정/NNG+의/JKG
날’로	날/NNG+’/SS+로/JKB
삼아	삼/VV+아/EC
오후	오후/NNG
5시	5/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
정시	정시/NNG
퇴근하도록	퇴근/NNG+하/XSV+도록/EC
권장하고,	권장/NNG+하/XSV+고/EC+,/SP
이	이/MMD
시간이	시간/NNG+이/JKS
지나면	지나/VV+면/EC
사무실	사무실/NNG
전체를	전체/NNG+를/JKO
소등한다.	소등/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.327.10.3
2011년부터는 사내 효행(孝行) 사례를 접수해 ‘대표 효자’를 선정하는 행사도 열고 있다.

2011년부터는	2011/SN+년/NNB+부터/JX+는/JX
사내	사내/NNG
효행(孝行)	효행/NNG+(/SS+孝行/SH+)/SS
사례를	사례/NNG+를/JKO
접수해	접수/NNG+하/XSV+아/EC
‘대표	‘/SS+대표/NNG
효자’를	효자/NNG+’/SS+를/JKO
선정하는	선정/NNG+하/XSV+는/ETM
행사도	행사/NNG+도/JX
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.327.11.1
구 부회장은 행사를 마치면서 “LS산전 직원들의 승진은 가족의 헌신적인 지원 덕분”이라며 참석한 가족들과 일일이 인사를 나누며 감사를 표시했다.

구	구/NNP
부회장은	부회장/NNG+은/JX
행사를	행사/NNG+를/JKO
마치면서	마치/VV+면서/EC
“LS산전	“/SS+LS산전/NNP
직원들의	직원/NNG+들/XSN+의/JKG
승진은	승진/NNG+은/JX
가족의	가족/NNG+의/JKG
헌신적인	헌신/NNG+적/XSN+이/VCP+ㄴ/ETM
지원	지원/NNG
덕분”이라며	덕분/NNG+”/SS+이/VCP+라며/EC
참석한	참석/NNG+하/XSV+ㄴ/ETM
가족들과	가족/NNG+들/XSN+과/JKB
일일이	일일이/MAG
인사를	인사/NNG+를/JKO
나누며	나누/VV+며/EC
감사를	감사/NNG+를/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.327.11.2
구 부회장은 이 같은 행사를 계속할 계획이다.

구	구/NNP
부회장은	부회장/NNG+은/JX
이	이/MMD
같은	같/VA+은/ETM
행사를	행사/NNG+를/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


