# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.224
metadata : {}


# id : NWRW1800000030.224.1.1
CF 요청 쇄도… 손연재는 좋겠네

CF	CF/SL
손연재는 "런던올림픽행이 확정되자 러시아에서 혼자 힘들게 훈련했던 순간들이 생각나 울컥했다"면서 "내년 런던올림픽에선 톱 텐(10위)에 들겠다"고 말했다.

손연재는	손연재/NNP+는/JX
"런던올림픽행이	"/SS+런던/NNP+올림픽행/NNG+이/JKS
확정되자	확정/NNG+되/XSV+자/EC
러시아에서	러시아/NNP+에서/JKB
혼자	혼자/MAG
힘들게	힘들/VA+게/EC
훈련했던	훈련/NNG+하/XSV+았/EP+던/ETM
순간들이	순간/NNG+들/XSN+이/JKS
생각나	생각나/VV+아/EC
울컥했다"면서	울컥/MAG+하/XSV+았/EP+다/EF+"/SS+면서/EC
"내년	"/SS+내년/NNG
런던올림픽에선	런던/NNP+올림픽/NNG+에서/JKB+ㄴ/JX
톱	톱/NNG
텐(10위)에	텐/NNG+(/SS+10/SN+위/NNB+)/SS+에/JKB
들겠다"고	들/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.224.5.3
손연재는 올해 1월부터 모스크바 인근의 노보고르스크 훈련센터에서 이 종목 최강인 러시아 선수들과 함께 훈련을 했다.

손연재는	손연재/NNP+는/JX
올해	올해/NNG
1월부터	1/SN+월/NNB+부터/JX
모스크바	모스크바/NNP
인근의	인근/NNG+의/JKG
노보고르스크	노보고르스크/NNP
훈련센터에서	훈련/NNG+센터/NNG+에서/JKB
이	이/MMD
종목	종목/NNG
최강인	최강/NNG+이/VCP+ㄴ/ETM
러시아	러시아/NNP
선수들과	선수/NNG+들/XSN+과/JKB
함께	함께/MAG
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.224.5.4
작년 모스크바 세계선수권에선 예선 32위에 그쳐 결선에도 오르지 못했으나 불과 1년 사이에 세계적으로 인정받는 선수로 성장했다.

작년	작년/NNG
모스크바	모스크바/NNP
세계선수권에선	세계/NNG+선수/NNG+권/XSN+에서/JKB+ㄴ/JX
예선	예선/NNG
32위에	32/SN+위/NNB+에/JKB
그쳐	그치/VV+어/EC
결선에도	결선/NNG+에/JKB+도/JX
오르지	오르/VV+지/EC
못했으나	못하/VX+았/EP+으나/EC
불과	불과/MAG
1년	1/SN+년/NNB
사이에	사이/NNG+에/JKB
세계적으로	세계/NNG+적/XSN+으로/JKB
인정받는	인정/NNG+받/XSV+는/ETM
선수로	선수/NNG+로/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.224.5.5
이번 대회에 손연재와 동행한 스포츠심리학자 조수경 박사는 "연재는 어리지만 목표 달성을 위한 자기 절제가 뛰어나다"고 칭찬했다.

이번	이번/NNG
대회에	대회/NNG+에/JKB
손연재와	손연재/NNP+와/JKB
동행한	동행/NNG+하/XSV+ㄴ/ETM
스포츠심리학자	스포츠/NNG+심리학자/NNG
조수경	조수경/NNP
박사는	박사/NNG+는/JX
"연재는	"/SS+연재/NNP+는/JX
어리지만	어리/VA+지만/EC
목표	목표/NNG
달성을	달성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자기	자기/NNG
절제가	절제/NNG+가/JKS
뛰어나다"고	뛰어나/VA+다/EF+"/SS+고/JKQ
칭찬했다.	칭찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.224.6.1
손연재는 다음 달 6일부터 경기도 고양시 일원에서 열리는 전국체육대회에 서울 대표로 출전한다.

손연재는	손연재/NNP+는/JX
다음	다음/NNG
달	달/NNG
6일부터	6/SN+일/NNB+부터/JX
경기도	경기도/NNP
고양시	고양시/NNP
일원에서	일원/NNG+에서/JKB
열리는	열리/VV+는/ETM
전국체육대회에	전국/NNG+체육/NNG+대회/NNG+에/JKB
서울	서울/NNP
대표로	대표/NNG+로/JKB
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.224.6.2
한국에 한 달쯤 머물며 런던올림픽을 대비한 안무·음악·의상 계획을 세운 다음 러시아로 돌아가 훈련에 들어갈 예정이다.

한국에	한국/NNP+에/JKB
한	한/MMN
달쯤	달/NNB+쯤/XSN
머물며	머물/VV+며/EC
런던올림픽을	런던/NNP+올림픽/NNG+을/JKO
대비한	대비/NNG+하/XSV+ㄴ/ETM
안무·음악·의상	안무/NNG+·/SP+음악/NNG+·/SP+의상/NNG
계획을	계획/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
다음	다음/NNG
러시아로	러시아/NNP+로/JKB
돌아가	돌아가/VV+아/EC
훈련에	훈련/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


