# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.99
metadata : {}


# id : NWRW1800000024.99.1.1
국민연금, 주식투자허용 범위 늘려

국민연금,	국민연금/NNG+,/SP
이번 변경안에 대해 정부가 여전히 주식 투자를 확대하려는 의도를 가진 것으로 보는 비판도 나온다.

이번	이번/NNG
변경안에	변경안/NNG+에/JKB
대해	대하/VV+아/EC
정부가	정부/NNG+가/JKS
여전히	여전히/MAG
주식	주식/NNG
투자를	투자/NNG+를/JKO
확대하려는	확대/NNG+하/XSV+려는/ETM
의도를	의도/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보는	보/VV+는/ETM
비판도	비판/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.99.6.2
오건호 사회공공연구소 연구실장은 “국민연금기금의 주식 투자로 19조원의 손실을 입고도 여전히 주식 투자를 확대하려는 정부의 의지를 재확인한 셈”이라며 “투자 허용범위를 늘리는 것이 아니라 국내 주식 목표 비중을 낮추는 방식이어야 했다”고 지적했다.

오건호	오건호/NNP
사회공공연구소	사회/NNG+공공/NNG+연구소/NNG
연구실장은	연구실장/NNG+은/JX
“국민연금기금의	“/SS+국민연금/NNG+기금/NNG+의/JKG
주식	주식/NNG
투자로	투자/NNG+로/JKB
19조원의	19/SN+조/NR+원/NNB+의/JKG
손실을	손실/NNG+을/JKO
입고도	입/VV+고/EC+도/JX
여전히	여전히/MAG
투자를	투자/NNG+를/JKO
확대하려는	확대/NNG+하/XSV+려는/ETM
정부의	정부/NNG+의/JKG
의지를	의지/NNG+를/JKO
재확인한	재/XPN+확인/NNG+하/XSV+ㄴ/ETM
셈”이라며	셈/NNB+”/SS+이/VCP+라며/EC
“투자	“/SS+투자/NNG
허용범위를	허용/NNG+범위/NNG+를/JKO
늘리는	늘리/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
국내	국내/NNG
목표	목표/NNG
비중을	비중/NNG+을/JKO
낮추는	낮추/VV+는/ETM
방식이어야	방식/NNG+이/VCP+어야/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


