# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.211
metadata : {}


# id : NWRW1800000041.211.1.1
2013년 잘못 거둔 세금 3조… 이자만 1500억 돌려줘

2013년	2013/SN+년/NNB
측은	측/NNB+은/JX
“환급액	“/SS+환급액/NNG
중	중/NNB
상당	상당/NNG
규모는	규모/NNG+는/JX
납세자의	납세자/NNG+의/JKG
과·오납으로	과·오납/NNG+으로/JKB
발생한다”고	발생/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.211.8.1
돌려줘야 할 금액이 늘어나면서 납세자들이 찾아가지 않은 미수령 환급금도 역대 최대규모를 기록했다.

돌려줘야	돌려주/VV+어야/EC
할	하/VX+ㄹ/ETM
금액이	금액/NNG+이/JKS
늘어나면서	늘어나/VV+면서/EC
납세자들이	납세자/NNG+들/XSN+이/JKS
찾아가지	찾아가/VV+지/EC
않은	않/VX+은/ETM
미수령	미/XPN+수령/NNG
환급금도	환급금/NNG+도/JX
역대	역대/NNG
최대규모를	최대/NNG+규모/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.211.8.2
지난해 말 기준으로 미수령 환급금은 544억 원에 달했다.

지난해	지난해/NNG
말	말/NNB
기준으로	기준/NNG+으로/JKB
미수령	미/XPN+수령/NNG
환급금은	환급금/NNG+은/JX
544억	544/SN+억/NR
원에	원/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.211.8.3
돌려주기로 결정된 뒤 납세자가 2개월간 찾아가지 않으면 ‘미수령 환급금’으로 편입되고, 5년간 찾아가지 않으면 소멸시효가 지나 국고로 들어간다.

돌려주기로	돌려주/VV+기/ETN+로/JKB
결정된	결정/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
납세자가	납세자/NNG+가/JKS
2개월간	2/SN+개월/NNB+간/XSN
찾아가지	찾아가/VV+지/EC
않으면	않/VX+으면/EC
‘미수령	‘/SS+미/XPN+수령/NNG
환급금’으로	환급금/NNG+’/SS+으로/JKB
편입되고,	편입/NNG+되/XSV+고/EC+,/SP
5년간	5/SN+년/NNB+간/XSN
소멸시효가	소멸/NNG+시효/NNG+가/JKS
지나	지나/VV+아/EC
국고로	국고/NNG+로/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


