# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.27
metadata : {}


# id : NWRW1800000046.27.1.1
[who] "마윈, 난 당신을 믿었는데"… 7000억원 날린 中 여배우

[who]	[/SS+who/SL+]/SS
74억3000만홍콩달러(1조800억원)를	74/SN+억/NR+3000/SN+만/NR+홍콩/NNP+달러/NNG+(/SS+1/SN+조/NR+800/SN+억/NR+원/NNB+)/SS+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
'연예계의	'/SS+연예/NNG+계/XSN+의/JKG
워런	워런/NNP
버핏'으로	버핏/NNP+'/SS+으로/JKB
대서특필됐었다.	대서특필/NNG+되/XSV+었었/EP+다/EF+./SF


# id : NWRW1800000046.27.5.1
자오웨이는 마윈과 대학 동창 모임에 함께 갈 정도로 친분이 깊은 것으로 알려졌다.

자오웨이는	자오웨이/NNP+는/JX
마윈과	마윈/NNP+과/JKB
대학	대학/NNG
동창	동창/NNG
모임에	모임/NNG+에/JKB
함께	함께/MAG
갈	가/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
친분이	친분/NNG+이/JKS
깊은	깊/VA+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.27.5.2
자오웨이는 영화 '소림축구'와 '적벽대전' 등에 출연한 중국 인기 배우로, 우리나라에는 지난 1998년 방영된 중국 드라마 '황제의 딸(還珠格格)'로 잘 알려져 있다.

자오웨이는	자오웨이/NNP+는/JX
영화	영화/NNG
'소림축구'와	'/SS+소림축구/NNP+'/SS+와/JC
'적벽대전'	'/SS+적벽대전/NNP+'/SS
등에	등/NNB+에/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
인기	인기/NNG
배우로,	배우/NNG+로/JKB+,/SP
우리나라에는	우리나라/NNG+에/JKB+는/JX
지난	지나/VV+ㄴ/ETM
1998년	1998/SN+년/NNB
방영된	방영/NNG+되/XSV+ㄴ/ETM
드라마	드라마/NNG
'황제의	'/SS+황제/NNG+의/JKG
딸(還珠格格)'로	딸/NNG+(/SS+還珠格格/SH+)/SS+'/SS+로/JKB
잘	잘/MAG
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.27.5.3
2009년 싱가포르 영주권자인 부동산 재벌 황유룽(黃有龍·39)과 결혼한 후 미디어 관련 기업에 잇따라 투자하면서 재계 인사와 인맥을 넓혔다.

2009년	2009/SN+년/NNB
싱가포르	싱가포르/NNP
영주권자인	영주권자/NNG+이/VCP+ㄴ/ETM
부동산	부동산/NNG
재벌	재벌/NNG
황유룽(黃有龍·39)과	황유룽/NNP+(/SS+黃有龍/SH+·/SP+39/SN+)/SS+과/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
후	후/NNG
미디어	미디어/NNG
관련	관련/NNG
기업에	기업/NNG+에/JKB
잇따라	잇따르/VV+아/EC
투자하면서	투자/NNG+하/XSV+면서/EC
재계	재계/NNG
인사와	인사/NNG+와/JKB
인맥을	인맥/NNG+을/JKO
넓혔다.	넓히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.27.6.1
중국 언론은 자오웨이의 투자 실패를 두고 "마윈조차 주식시장 폭락의 여파를 이겨내지 못했다"고 보도했다.

중국	중국/NNP
언론은	언론/NNG+은/JX
자오웨이의	자오웨이/NNP+의/JKG
투자	투자/NNG
실패를	실패/NNG+를/JKO
두고	두/VV+고/EC
"마윈조차	"/SS+마윈/NNP+조차/JX
주식시장	주식/NNG+시장/NNG
폭락의	폭락/NNG+의/JKG
여파를	여파/NNG+를/JKO
이겨내지	이기/VV+어/EC+내/VX+지/EC
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


