# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.374
metadata : {}


# id : NWRW1800000041.374.1.1
[수도권]서울, 설 연휴 고속-시외버스 32% 증편

[수도권]서울,	[/SS+수도/NNG+권/XSN+]/SS+서울/NNP+,/SP
서울시청 지하 시민청에서는 ‘2014 설 민속놀이 체험’과 ‘설 특집 활력 콘서트’가 열린다.

서울시청	서울시청/NNP
지하	지하/NNG
시민청에서는	시민청/NNG+에서/JKB+는/JX
‘2014	‘/SS+2014/SN
설	설/NNG
민속놀이	민속놀이/NNG
체험’과	체험/NNG+’/SS+과/JC
‘설	‘/SS+설/NNG
특집	특집/NNG
활력	활력/NNG
콘서트’가	콘서트/NNG+’/SS+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.6.3
남산골 한옥마을과 운현궁에서는 연휴 내내 민속놀이, 떡메치기, 인절미 시식 등을 할 수 있다.

남산골	남산골/NNP
한옥마을과	한옥/NNG+마을/NNG+과/JC
운현궁에서는	운현궁/NNP+에서/JKB+는/JX
연휴	연휴/NNG
내내	내내/MAG
민속놀이,	민속놀이/NNG+,/SP
떡메치기,	떡메/NNG+치/VV+기/ETN+,/SP
인절미	인절미/NNG
시식	시식/NNG
등을	등/NNB+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


