# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.316
metadata : {}


# id : NWRW1800000038.316.1.1
[강경희의 터치! 코리아] 한국 교육, 창조경제의 적?

[강경희의	[/SS+강경희/NNP+의/JKG
할머니	할머니/NNG
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
친구를	친구/NNG+를/JKO
위로하기는커녕,	위로/NNG+하/XSV+기/ETN+는커녕/JX+,/SP
장례식	장례식/NNG
치르느라	치르/VV+느라/EC
결시(缺試)한	결시/NNG+(/SS+缺試/SH+)/SS+하/XSV+ㄴ/ETM
급우가	급우/NNG+가/JKS
쉬운	쉽/VA+ㄴ/ETM
덕에	덕/NNG+에/JKB
중간고사까지	중간고사/NNG+까지/JX
유리한	유리/NNG+하/XSA+ㄴ/ETM
성적을	성적/NNG+을/JKO
받게	받/VV+게/EC
될까	되/VV+ㄹ까/EF
조바심부터	조바심/NNG+부터/JX
내는	내/VV+는/ETM
10대한테	10/SN+대/NNB+한테/JKB
교사는	교사/NNG+는/JX
충격받았다고	충격/NNG+받/XSV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.316.2.5
교사는 "그 학생들만 그런 게 아니고, 매 학기 상대평가로 1~9등급이 나뉘고, 1점 차로 2등급, 3등급이냐가 갈리니 한 교실에 앉았어도 급우가 불리해야 내가 유리하다는 이기적 심성만 자꾸 커져 걱정"이라고 했다.

교사는	교사/NNG+는/JX
"그	"/SS+그/MMD
학생들만	학생/NNG+들/XSN+만/JX
그런	그런/MMD
게	거/NNB+이/JKC
아니고,	아니/VCN+고/EC+,/SP
매	매/MMD
학기	학기/NNG
상대평가로	상대/NNG+평가/NNG+로/JKB
1~9등급이	1/SN+~/SO+9/SN+등급/NNG+이/JKS
나뉘고,	나뉘/VV+고/EC+,/SP
1점	1/SN+점/NNB
차로	차/NNG+로/JKB
2등급,	2/SN+등급/NNG+,/SP
3등급이냐가	3/SN+등급/NNG+이/VCP+냐/EF+가/JKS
갈리니	갈리/VV+니/EC
한	한/MMN
교실에	교실/NNG+에/JKB
앉았어도	앉/VV+았/EP+어도/EC
급우가	급우/NNG+가/JKS
불리해야	불리/NNG+하/XSA+아야/EC
내가	내/NP+가/JKS
유리하다는	유리/NNG+하/XSA+다는/ETM
이기적	이기/NNG+적/XSN
심성만	심성/NNG+만/JX
자꾸	자꾸/MAG
커져	커지/VV+어/EC
걱정"이라고	걱정/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.316.3.1
사회의 조화로운 구성원을 배출하기는커녕, 한국 교육의 터널을 지나는 동안 평범한 아이들 심성이 이리 꼬여간다면 그 교육 제도는 설계 도면부터 다시 들여다봐야 할 부실이다.

사회의	사회/NNG+의/JKG
조화로운	조화/NNG+롭/XSA+ㄴ/ETM
구성원을	구성원/NNG+을/JKO
배출하기는커녕,	배출/NNG+하/XSV+기/ETN+는커녕/JX+,/SP
한국	한국/NNP
교육의	교육/NNG+의/JKG
터널을	터널/NNG+을/JKO
지나는	지나/VV+는/ETM
동안	동안/NNG
평범한	평범하/VA+ㄴ/ETM
아이들	아이/NNG+들/XSN
심성이	심성/NNG+이/JKS
이리	이리/MAG
꼬여간다면	꼬이/VV+어/EC+가/VX+ㄴ다면/EC
그	그/MMD
교육	교육/NNG
제도는	제도/NNG+는/JX
설계	설계/NNG
도면부터	도면/NNG+부터/JX
다시	다시/MAG
들여다봐야	들여다보/VV+아야/EC
할	하/VX+ㄹ/ETM
부실이다.	부실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.316.4.1
얼마 전 제기된 대학수학능력시험(수능)의 세계지리 8번 문제 논란도 가뜩이나 치열한 경쟁 속에서 상대평가로 더 비틀어진 한국 입시 교육의 심각성을 보여줬다.

얼마	얼마/NNG
전	전/NNG
제기된	제기/NNG+되/XSV+ㄴ/ETM
대학수학능력시험(수능)의	대학/NNG+수학/NNG+능력/NNG+시험/NNG+(/SS+수능/NNG+)/SS+의/JKG
세계지리	세계/NNG+지리/NNG
8번	8/SN+번/NNB
문제	문제/NNG
논란도	논란/NNG+도/JX
가뜩이나	가뜩이나/MAG
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁	경쟁/NNG
속에서	속/NNG+에서/JKB
상대평가로	상대/NNG+평가/NNG+로/JKB
더	더/MAG
비틀어진	비틀어지/VV+ㄴ/ETM
한국	한국/NNP
입시	입시/NNG
교육의	교육/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.316.4.2
수능 문제도 사람이 출제하는 이상 오류가 생길 수 있다.

수능	수능/NNG
문제도	문제/NNG+도/JX
사람이	사람/NNG+이/JKS
출제하는	출제/NNG+하/XSV+는/ETM
이상	이상/NNG
오류가	오류/NNG+가/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.316.4.3
그 경우 문제 잘못 낸 한국교육과정평가원이 잘못을 인정하고 해당 문제를 취소해서 논란을 잠재우면 된다.

그	그/MMD
경우	경우/NNG
문제	문제/NNG
잘못	잘못/MAG
낸	내/VV+ㄴ/ETM
한국교육과정평가원이	한국교육과정평가원/NNP+이/JKS
잘못을	잘못/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
해당	해당/NNG
문제를	문제/NNG+를/JKO
취소해서	취소/NNG+하/XSV+아서/EC
논란을	논란/NNG+을/JKO
잠재우면	잠재우/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.316.4.4
공신력에 흠은 좀 나겠지만 그편이 교육적이다.

공신력에	공신력/NNG+에/JKB
흠은	흠/NNG+은/JX
좀	좀/MAG
나겠지만	나/VV+겠/EP+지만/EC
그편이	그편/NP+이/JKS
교육적이다.	교육/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.316.4.5
한데 평가원은 오류가 드러난 문제를 '교과서에 그리돼 있으니 정답이 맞는다' '우수한 학생이 대부분 다 맞혔으니 문항에 이상 없다'며 버티고 지나갔다.

한데	한데/MAJ
평가원은	평가원/NNG+은/JX
오류가	오류/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
문제를	문제/NNG+를/JKO
'교과서에	'/SS+교과서/NNG+에/JKB
그리돼	그리/MAG+되/XSV+어/EC
있으니	있/VX+으니/EC
정답이	정답/NNG+이/JKS
맞는다'	맞/VV+는다/EF+'/SS
'우수한	'/SS+우수/NNG+하/XSA+ㄴ/ETM
학생이	학생/NNG+이/JKS
대부분	대/XPN+부분/NNG
다	다/MAG
맞혔으니	맞히/VV+었/EP+으니/EC
문항에	문항/NNG+에/JKB
이상	이상/NNG
없다'며	없/VA+다/EF+'/SS+며/EC
버티고	버티/VV+고/EC
지나갔다.	지나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.316.5.1
단지 평가원이 불통(不通) 기관이어서가 아니라, 상하좌우 한 발짝도 옴짝달싹 못하게 짜인 상대평가의 틀 안에서 '오류 맞는다'고 선뜻 인정하지 못하는 수능 구조 탓도 크다.

단지	단지/MAG
평가원이	평가원/NNG+이/JKS
불통(不通)	불통/NNG+(/SS+不通/SH+)/SS
기관이어서가	기관/NNG+이/VCP+어서/EC+가/JKC
아니라,	아니/VCN+라/EC+,/SP
상하좌우	상하좌우/NNG
한	한/MMN
발짝도	발짝/NNB+도/JX
옴짝달싹	옴짝달싹/MAG
못하게	못/MAG+하/VV+게/EC
짜인	짜이/VV+ㄴ/ETM
상대평가의	상대/NNG+평가/NNG+의/JKG
틀	틀/NNG
안에서	안/NNG+에서/JKB
'오류	'/SS+오류/NNG
맞는다'고	맞/VV+는다/EF+'/SS+고/JKQ
선뜻	선뜻/MAG
인정하지	인정/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
수능	수능/NNG
구조	구조/NNG
탓도	탓/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.316.5.2
현재 수능은 과목별로 학생들 성적 따라 9등급이 매겨진다.

현재	현재/MAG
수능은	수능/NNG+은/JX
과목별로	과목/NNG+별/XSN+로/JKB
학생들	학생/NNG+들/XSN
성적	성적/NNG
따라	따르/VV+아/EC
9등급이	9/SN+등급/NNG+이/JKS
매겨진다.	매기/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.316.5.3
또 학생들이 선택한 과목마다 난이도를 감안해 점수를 매긴다.

또	또/MAG
학생들이	학생/NNG+들/XSN+이/JKS
선택한	선택/NNG+하/XSV+ㄴ/ETM
과목마다	과목/NNG+마다/JX
난이도를	난이도/NNG+를/JKO
감안해	감안/NNG+하/XSV+아/EC
점수를	점수/NNG+를/JKO
매긴다.	매기/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.316.5.4
그래서 내가 시험 쳐서 받은 점수(원점수) 있고, 과목마다 난이도 조정해서 받는 상대 점수(표준점수) 있고, 그것 따라 백분율로 등급도 매겨진다.

그래서	그래서/MAJ
내가	내/NP+가/JKS
시험	시험/NNG
쳐서	치/VV+어서/EC
받은	받/VV+은/ETM
점수(원점수)	점수/NNG+(/SS+원점수/NNG+)/SS
있고,	있/VA+고/EC+,/SP
과목마다	과목/NNG+마다/JX
난이도	난이도/NNG
조정해서	조정/NNG+하/XSV+아서/EC
받는	받/VV+는/ETM
상대	상대/NNG
점수(표준점수)	점수/NNG+(/SS+표준/NNG+점수/NNG+)/SS
그것	그것/NP
따라	따르/VV+아/EC
백분율로	백/NR+분/XSN+율/XSN+로/JKB
등급도	등급/NNG+도/JX
매겨진다.	매기/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.316.5.5
이런 틀에서 만약 3만7000명이 넘는 세계지리 수험생 가운데 절반이 맞힌 3점짜리 8번 문제를 다 맞는다고 동점 처리하면 그 과목의 평균 점수가 올라가고, 그리되면 다른 사회 과목에 비해 세계지리 난도가 낮아져 세계지리 택한 수험생들의 표준점수가 낮아진다.

이런	이런/MMD
틀에서	틀/NNG+에서/JKB
만약	만약/MAG
3만7000명이	3/SN+만/NR+7000/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
세계지리	세계/NNG+지리/NNG
수험생	수험/NNG+생/XSN
가운데	가운데/NNG
절반이	절반/NNG+이/JKS
맞힌	맞히/VV+ㄴ/ETM
3점짜리	3/SN+점/NNB+짜리/XSN
8번	8/SN+번/NNB
문제를	문제/NNG+를/JKO
다	다/MAG
맞는다고	맞/VV+는다고/EC
동점	동점/NNG
처리하면	처리/NNG+하/XSV+면/EC
그	그/MMD
과목의	과목/NNG+의/JKG
평균	평균/NNG
점수가	점수/NNG+가/JKS
올라가고,	올라가/VV+고/EC+,/SP
그리되면	그리/MAG+되/XSV+면/EC
다른	다른/MMD
사회	사회/NNG
과목에	과목/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
난도가	난도/NNG+가/JKS
낮아져	낮/VA+아/EC+지/VX+어/EC
택한	택하/VV+ㄴ/ETM
수험생들의	수험/NNG+생/XSN+들/XSN+의/JKG
표준점수가	표준/NNG+점수/NNG+가/JKS
낮아진다.	낮/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.316.5.6
평가원이 '정답 없다'고 하는 순간, 교과서대로 정답 고른 학생 1만8000여명이 무더기로 점수가 내려가는 불이익을 받는 구조다.

평가원이	평가원/NNG+이/JKS
'정답	'/SS+정답/NNG
없다'고	없/VA+다/EF+'/SS+고/JKQ
하는	하/VV+는/ETM
순간,	순간/NNG+,/SP
교과서대로	교과서/NNG+대로/JX
정답	정답/NNG
고른	고르/VA+ㄴ/ETM
학생	학생/NNG
1만8000여명이	1/SN+만/NR+8000/SN+여/XSN+명/NNB+이/JKS
무더기로	무더기/NNG+로/JKB
점수가	점수/NNG+가/JKS
내려가는	내려가/VV+는/ETM
불이익을	불/XPN+이익/NNG+을/JKO
받는	받/VV+는/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.316.5.7
그러니 좀 하자가 있는 정답도 정답이어야만 하고, 논란 있어도 논쟁하면 안 되는 어처구니없는 일이 교육 현장에서 벌어지는 것이다.

그러니	그러니/MAJ
좀	좀/MAG
하자가	하자/NNG+가/JKS
있는	있/VA+는/ETM
정답도	정답/NNG+도/JX
정답이어야만	정답/NNG+이/VCP+어야/EC+만/JX
하고,	하/VX+고/EC+,/SP
논란	논란/NNG
있어도	있/VA+어도/EC
논쟁하면	논쟁/NNG+하/XSV+면/EC
안	안/MAG
되는	되/VV+는/ETM
어처구니없는	어처구니없/VA+는/ETM
일이	일/NNG+이/JKS
교육	교육/NNG
현장에서	현장/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.316.6.1
얼마 전 방한한 김용 세계은행 총재는 박근혜 대통령을 만나 '창조경제가 성과를 내려면 교육의 질을 끌어올려 창의력 뛰어난 인재들을 육성해야 한다'고 했다.

얼마	얼마/NNG
전	전/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
김용	김용/NNP
세계은행	세계은행/NNP
총재는	총재/NNG+는/JX
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
만나	만나/VV+아/EC
'창조경제가	'/SS+창조/NNG+경제/NNG+가/JKS
성과를	성과/NNG+를/JKO
내려면	내/VV+려면/EC
교육의	교육/NNG+의/JKG
질을	질/NNG+을/JKO
끌어올려	끌어올리/VV+어/EC
창의력	창의력/NNG
뛰어난	뛰어나/VA+ㄴ/ETM
인재들을	인재/NNG+들/XSN+을/JKO
육성해야	육성/NNG+하/XSV+아야/EC
한다'고	하/VX+ㄴ다/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.316.6.2
그가 핀란드 교육을 모델 삼아 강조한 질 높은 교육의 핵심은 세 가지.

그가	그/NP+가/JKS
핀란드	핀란드/NNP
교육을	교육/NNG+을/JKO
모델	모델/NNG
삼아	삼/VV+아/EC
강조한	강조/NNG+하/XSV+ㄴ/ETM
질	질/NNG
높은	높/VA+은/ETM
교육의	교육/NNG+의/JKG
핵심은	핵심/NNG+은/JX
세	세/MMN
가지.	가지/NNB+./SF


# id : NWRW1800000038.316.6.3
인재들이 교사가 되고, 수시로 시험 치르고 점수로 닦달하면 청소년들이 잠재력을 발휘할 수 없으며, 학생들이 협업을 통해 사회성을 키워야 한다는 것이었다.

인재들이	인재/NNG+들/XSN+이/JKS
교사가	교사/NNG+가/JKC
되고,	되/VV+고/EC+,/SP
수시로	수시로/MAG
시험	시험/NNG
치르고	치르/VV+고/EC
점수로	점수/NNG+로/JKB
닦달하면	닦달/NNG+하/XSV+면/EC
청소년들이	청소년/NNG+들/XSN+이/JKS
잠재력을	잠재력/NNG+을/JKO
발휘할	발휘/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없으며,	없/VA+으며/EC+,/SP
학생들이	학생/NNG+들/XSN+이/JKS
협업을	협업/NNG+을/JKO
통해	통하/VV+아/EC
사회성을	사회/NNG+성/XSN+을/JKO
키워야	키우/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.316.6.4
이 잣대로 보면, 지금의 한국 입시 교육으로 창조경제는 절대로 못 올라갈 나무 같다.

이	이/MMD
잣대로	잣대/NNG+로/JKB
보면,	보/VV+면/EC+,/SP
지금의	지금/NNG+의/JKG
한국	한국/NNP
입시	입시/NNG
교육으로	교육/NNG+으로/JKB
창조경제는	창조/NNG+경제/NNG+는/JX
절대로	절대로/MAG
못	못/MAG
올라갈	올라가/VV+ㄹ/ETM
나무	나무/NNG
같다.	같/VA+다/EF+./SF


