# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.46
metadata : {}


# id : NWRW1800000045.46.1.1
“혼자 튀는 에이스보다 함께 뛰는 B급이 낫다”

“혼자	“/SS+혼자/NNG
“재능은	“/SS+재능/NNG+은/JX
있지만	있/VA+지만/EC
희생하지	희생/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
다섯	다섯/NR
명보다	명/NNB+보다/JKB
재능은	재능/NNG+은/JX
부족해도	부족/NNG+하/XSA+아도/EC
한	한/MMN
팀으로	팀/NNG+으로/JKB
뭉치려는	뭉치/VV+려는/ETM
명이	명/NNB+이/JKS
훨씬	훨씬/MAG
낫다”고	낫/VA+다/EF+”/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.46.5.1
대표적인 에피소드가 조던을 UNC로 스카우트했던 때의 일.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
에피소드가	에피소드/NNG+가/JKS
조던을	조던/NNP+을/JKO
UNC로	UNC/SL+로/JKB
스카우트했던	스카우트/NNG+하/XSV+았/EP+던/ETM
때의	때/NNG+의/JKG
일.	일/NNG+./SF


# id : NWRW1800000045.46.5.2
스미스 감독은 이미 고교 시절부터 전국적 스타였던 조던에게 “너의 감독이 되고 싶다”고 자필 편지까지 써가며 1981년 그를 스카우트했다.

스미스	스미스/NNP
감독은	감독/NNG+은/JX
이미	이미/MAG
고교	고교/NNG
시절부터	시절/NNG+부터/JX
전국적	전국/NNG+적/XSN
스타였던	스타/NNG+이/VCP+었/EP+던/ETM
조던에게	조던/NNP+에게/JKB
“너의	“/SS+너/NP+의/JKG
감독이	감독/NNG+이/JKC
되고	되/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
자필	자필/NNG
편지까지	편지/NNG+까지/JX
써가며	쓰/VV+어/EC+가/VX+며/EC
1981년	1981/SN+년/NNB
그를	그/NP+를/JKO
스카우트했다.	스카우트/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.46.5.3
조던은 당연히 1학년 때부터 자신이 주전선수로 뛰리라 믿었다.

조던은	조던/NNP+은/JX
당연히	당연히/MAG
1학년	1/SN+학년/NNG
때부터	때/NNG+부터/JX
자신이	자신/NNG+이/JKS
주전선수로	주전/NNG+선수/NNG+로/JKB
뛰리라	뛰/VV+리라/EF
믿었다.	믿/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.46.5.4
그러나 스미스 감독은 그를 포함시키지 않았다.

그러나	그러나/MAJ
스미스	스미스/NNP
감독은	감독/NNG+은/JX
그를	그/NP+를/JKO
포함시키지	포함/NNG+시키/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.46.5.5
조던은 이때 “엄청 열을 받았다”며 “당시 감독의 조련으로 벤치에서 대기하며 팀워크를 배웠다”고 한다.

조던은	조던/NNP+은/JX
이때	이때/NNG
“엄청	“/SS+엄청/MAG
열을	열/NNG+을/JKO
받았다”며	받/VV+았/EP+다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
감독의	감독/NNG+의/JKG
조련으로	조련/NNG+으로/JKB
벤치에서	벤치/NNG+에서/JKB
대기하며	대기/NNG+하/XSV+며/EC
팀워크를	팀워크/NNG+를/JKO
배웠다”고	배우/VV+었/EP+다/EF+”/SS+고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.46.6.1
조던은 대학 2학년 때 최고 선수가 됐지만 3학년이 되자 해이해졌다.

조던은	조던/NNP+은/JX
대학	대학/NNG
2학년	2/SN+학년/NNG
때	때/NNG
최고	최고/NNG
선수가	선수/NNG+가/JKC
됐지만	되/VV+었/EP+지만/EC
3학년이	3/SN+학년/NNG+이/JKC
되자	되/VV+자/EC
해이해졌다.	해이/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.46.6.2
수비를 적극적으로 하지 않고 공격 때 골밑을 어슬렁거리며 멋진 덩크슛만 하려 한 것.

수비를	수비/NNG+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
하지	하/VV+지/EC
않고	않/VX+고/EC
공격	공격/NNG
때	때/NNG
골밑을	골/NNG+밑/NNG+을/JKO
어슬렁거리며	어슬렁거리/VV+며/EC
멋진	멋지/VA+ㄴ/ETM
덩크슛만	덩크/NNG+슛/NNG+만/JX
하려	하/VV+려/EC
한	하/VX+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000045.46.6.3
스미스 감독은 당시 조던을 혼내는 대신 조용히 불러 아무 말 없이 두 개의 경기 영상을 보여줬다고 한다.

스미스	스미스/NNP
감독은	감독/NNG+은/JX
당시	당시/NNG
조던을	조던/NNP+을/JKO
혼내는	혼내/VV+는/ETM
대신	대신/NNG
조용히	조용히/MAG
불러	부르/VV+어/EC
아무	아무/MMD
말	말/NNG
없이	없이/MAG
두	두/MMN
개의	개/NNB+의/JKG
경기	경기/NNG
영상을	영상/NNG+을/JKO
보여줬다고	보이/VV+어/EC+주/VX+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.46.6.4
하나는 조던이 몸을 사리지 않고 뛰던 2학년 때의 장면이었고 다른 하나는 폼만 잡으려는 현재의 모습이었다.

하나는	하나/NR+는/JX
조던이	조던/NNP+이/JKS
몸을	몸/NNG+을/JKO
사리지	사리/VV+지/EC
않고	않/VX+고/EC
뛰던	뛰/VV+던/ETM
2학년	2/SN+학년/NNG
때의	때/NNG+의/JKG
장면이었고	장면/NNG+이/VCP+었/EP+고/EC
다른	다른/MMD
폼만	폼/NNG+만/JX
잡으려는	잡/VV+으려는/ETM
현재의	현재/NNG+의/JKG
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.46.6.5
스스로 자신의 문제를 깨닫게 한 것이다.

스스로	스스로/MAG
자신의	자신/NNG+의/JKG
문제를	문제/NNG+를/JKO
깨닫게	깨닫/VV+게/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.46.6.6
뉴욕타임스(NYT)는 9일 스미스 감독 부음 기사에서 “그는 아무리 실력 없는 선수라도 질책하거나 비난하지 않는 걸로 유명했다.

뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
9일	9/SN+일/NNB
스미스	스미스/NNP
감독	감독/NNG
부음	부음/NNG
기사에서	기사/NNG+에서/JKB
“그는	“/SS+그/NP+는/JX
아무리	아무리/MAG
실력	실력/NNG
없는	없/VA+는/ETM
선수라도	선수/NNG+이/VCP+라도/EC
질책하거나	질책/NNG+하/XSV+거나/EC
비난하지	비난/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
걸로	거/NNB+ㄹ로/JKB
유명했다.	유명/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.46.6.7
스스로 깨닫게 했다.

스스로	스스로/MAG
깨닫게	깨닫/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.46.6.8
그래서 ‘그의 아이들(His kids)’은 그에게 지독한 충성심을 보였다”고 전했다.

그래서	그래서/MAJ
‘그의	‘/SS+그/NP+의/JKG
아이들(His	아이/NNG+들/XSN+(/SS+His/SL
kids)’은	kids/SL+)/SS+’/SS+은/JX
그에게	그/NP+에게/JKB
지독한	지독하/VA+ㄴ/ETM
충성심을	충성심/NNG+을/JKO
보였다”고	보이/VV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.46.7.1
스미스 감독은 자유투 라인에서 점프해서 덩크슛을 꽂아 넣는 화려한 공격력을 자랑하는 조던에게 지독하게 수비 훈련을 시켰다.

스미스	스미스/NNP
감독은	감독/NNG+은/JX
자유투	자유투/NNG
라인에서	라인/NNG+에서/JKB
점프해서	점프/NNG+하/XSV+아서/EC
덩크슛을	덩크/NNG+슛/NNG+을/JKO
꽂아	꽂/VV+아/EC
넣는	넣/VV+는/ETM
화려한	화려하/VA+ㄴ/ETM
공격력을	공격력/NNG+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
조던에게	조던/NNP+에게/JKB
지독하게	지독하/VA+게/EC
수비	수비/NNG
훈련을	훈련/NNG+을/JKO
시켰다.	시키/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.46.7.2
기초의 중요성 때문이었다.

기초의	기초/NNG+의/JKG
중요성	중요/NNG+성/XSN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.46.7.3
그래서 당시 미 대학농구계에선 “조던의 경기당 득점을 20점 이하로 묶어 놓는 사람은 상대팀 수비수가 아니라 스미스 감독”이라는 농담이 나돌 정도였다.

그래서	그래서/MAJ
당시	당시/NNG
미	미/NNP
대학농구계에선	대학/NNG+농구/NNG+계/XSN+에서/JKB+ㄴ/JX
“조던의	“/SS+조던/NNP+의/JKG
경기당	경기/NNG+당/XSN
득점을	득점/NNG+을/JKO
20점	20/SN+점/NNB
이하로	이하/NNG+로/JKB
묶어	묶/VV+어/EC
놓는	놓/VX+는/ETM
사람은	사람/NNG+은/JX
상대팀	상대/NNG+팀/NNG
수비수가	수비수/NNG+가/JKC
아니라	아니/VCN+라/EC
스미스	스미스/NNP
감독”이라는	감독/NNG+”/SS+이/VCP+라는/ETM
농담이	농담/NNG+이/JKS
나돌	나돌/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.46.7.4
조던은 훗날 “NBA에 진출한 뒤 슈터만 한 게 아니라 수비에 치중하기도 하는 등 경기마다 주문받은 역할이 달랐다.

조던은	조던/NNP+은/JX
훗날	훗날/NNG
“NBA에	“/SS+NBA/SL+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
슈터만	슈터/NNG+만/JX
한	하/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
수비에	수비/NNG+에/JKB
치중하기도	치중/NNG+하/XSV+기/ETN+도/JX
하는	하/VX+는/ETM
등	등/NNB
경기마다	경기/NNG+마다/JX
주문받은	주문/NNG+받/XSV+은/ETM
역할이	역할/NNG+이/JKS
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000045.46.7.5
나는 스미스 감독 아래서 기초를 튼튼히 쌓아서 어떤 역할도 소화할 수 있었다”고 말했다.

나는	나/NP+는/JX
스미스	스미스/NNP
감독	감독/NNG
아래서	아래/NNG+서/JKB
기초를	기초/NNG+를/JKO
튼튼히	튼튼히/MAG
쌓아서	쌓/VV+아서/EC
어떤	어떤/MMD
역할도	역할/NNG+도/JX
소화할	소화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.46.8.1
조던은 스미스 감독을 ‘코치 그 이상의 분’이라며 평생 ‘삶의 스승’으로 모셨다.

조던은	조던/NNP+은/JX
스미스	스미스/NNP
감독을	감독/NNG+을/JKO
‘코치	‘/SS+코치/NNG
그	그/MMD
이상의	이상/NNG+의/JKG
분’이라며	분/NNB+’/SS+이/VCP+라며/EC
평생	평생/NNG
‘삶의	‘/SS+삶/NNG+의/JKG
스승’으로	스승/NNG+’/SS+으로/JKB
모셨다.	모시/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.46.8.2
NYT는 “스미스 감독은 여러 면에서 교육자의 덕목을 보였다”고 전했다.

NYT는	NYT/SL+는/JX
“스미스	“/SS+스미스/NNP
감독은	감독/NNG+은/JX
여러	여러/MMN
면에서	면/NNG+에서/JKB
교육자의	교육자/NNG+의/JKG
덕목을	덕목/NNG+을/JKO
보였다”고	보이/VV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.46.8.3
흑백 차별이 심했던 1960년대 후반 미 동부 대학 리그에서 최초로 흑인 고교생(찰리 스콧)을 스카우트했다.

흑백	흑백/NNG
차별이	차별/NNG+이/JKS
심했던	심하/VA+았/EP+던/ETM
1960년대	1960/SN+년대/NNB
후반	후반/NNG
미	미/NNP
동부	동부/NNG
대학	대학/NNG
리그에서	리그/NNG+에서/JKB
최초로	최초/NNG+로/JKB
흑인	흑인/NNG
고교생(찰리	고교/NNG+생/XSN+(/SS+찰리/NNP
스콧)을	스콧/NNP+)/SS+을/JKO
스카우트했다.	스카우트/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.46.8.4
그가 지도했던 농구 선수의 96.6%가 명문 주립대로 꼽히는 UNC 학위를 받고 졸업했다.

그가	그/NP+가/JKS
지도했던	지도/NNG+하/XSV+았/EP+던/ETM
농구	농구/NNG
선수의	선수/NNG+의/JKG
96.6%가	96/SN+./SP+6/SN+%/SW+가/JKS
명문	명문/NNG
주립대로	주립대/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
UNC	UNC/SL
학위를	학위/NNG+를/JKO
받고	받/VV+고/EC
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.46.8.5
2013년 스미스 감독에게 미국 시민의 최고 영예인 자유의 메달을 수여했던 버락 오바마 대통령은 8일 장문의 성명에서 “전설적 코치이자 신사였다”며 애도했다.

2013년	2013/SN+년/NNB
스미스	스미스/NNP
감독에게	감독/NNG+에게/JKB
미국	미국/NNP
시민의	시민/NNG+의/JKG
최고	최고/NNG
영예인	영예/NNG+이/VCP+ㄴ/ETM
자유의	자유/NNG+의/JKG
메달을	메달/NNG+을/JKO
수여했던	수여/NNG+하/XSV+았/EP+던/ETM
버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
8일	8/SN+일/NNB
장문의	장문/NNG+의/JKG
성명에서	성명/NNG+에서/JKB
“전설적	“/SS+전설/NNG+적/XSN
코치이자	코치/NNG+이/VCP+자/EC
신사였다”며	신사/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
애도했다.	애도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.46.9.1
한편 스미스가 조던을 영입하기 위해 보낸 스카우트 편지는 지난해 미국의 한 경매회사에서 2만7000달러(약 2970만 원)에 팔리기도 했다.

한편	한편/MAG
스미스가	스미스/NNP+가/JKS
조던을	조던/NNP+을/JKO
영입하기	영입/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
보낸	보내/VV+ㄴ/ETM
스카우트	스카우트/NNG
편지는	편지/NNG+는/JX
지난해	지난해/NNG
미국의	미국/NNP+의/JKG
한	한/MMN
경매회사에서	경매/NNG+회사/NNG+에서/JKB
2만7000달러(약	2/SN+만/NR+7000/SN+달러/NNB+(/SS+약/MMA
2970만	2970/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
팔리기도	팔리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


