# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.27
metadata : {}


# id : NWRW1800000049.27.1.1
‘예상가격 1조’ 금호타이어 20일 매각 공고

‘예상가격	‘/SS+예상/NNG+가격/NNG
여기에 경영권 프리미엄이 더해지면 최종 매각가격은 1조 원 안팎이라는 것이 타이어업계의 중론이다.

여기에	여기/NP+에/JKB
경영권	경영/NNG+권/XSN
프리미엄이	프리미엄/NNG+이/JKS
더해지면	더/MAG+하/XSV+아/EC+지/VX+면/EC
최종	최종/NNG
매각가격은	매각/NNG+가격/NNG+은/JX
1조	1/SN+조/NR
원	원/NNB
안팎이라는	안팎/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
타이어업계의	타이어/NNG+업계/NNG+의/JKG
중론이다.	중론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.27.5.3
중국이 최근 공장 신설을 규제하고 있는 가운데 금호타이어는 이미 중국에 생산 공장을 가지고 있다는 점도 가격 인상 요인이다.

중국이	중국/NNP+이/JKS
최근	최근/MAG
공장	공장/NNG
신설을	신설/NNG+을/JKO
규제하고	규제/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
금호타이어는	금호타이어/NNP+는/JX
이미	이미/MAG
중국에	중국/NNP+에/JKB
생산	생산/NNG
공장을	공장/NNG+을/JKO
가지고	가지/VV+고/EC
있다는	있/VX+다는/ETM
점도	점/NNG+도/JX
가격	가격/NNG
인상	인상/NNG
요인이다.	요인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.27.6.1
크레디트스위스는 입찰공고 뒤 11월 중순 예비입찰에 들어가 내년 1월 본입찰을 거쳐 우선협상대상자를 선정할 계획이다.

크레디트스위스는	크레디트스위스/NNP+는/JX
입찰공고	입찰/NNG+공고/NNG
뒤	뒤/NNG
11월	11/SN+월/NNB
중순	중순/NNG
예비입찰에	예비/NNG+입찰/NNG+에/JKB
들어가	들어가/VV+아/EC
내년	내년/NNG
1월	1/SN+월/NNB
본입찰을	본입찰/NNG+을/JKO
거쳐	거치/VV+어/EC
우선협상대상자를	우선/NNG+협상/NNG+대상자/NNG+를/JKO
선정할	선정/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.27.7.1
금호타이어 인수에 박차를 가하고 있는 박삼구 금호아시아나그룹 회장이 과연 인수에 성공할 수 있을지가 관심사다.

금호타이어	금호타이어/NNP
인수에	인수/NNG+에/JKB
박차를	박차/NNG+를/JKO
가하고	가하/VV+고/EC
있는	있/VX+는/ETM
박삼구	박삼구/NNP
금호아시아나그룹	금호아시아나그룹/NNP
회장이	회장/NNG+이/JKS
과연	과연/MAG
성공할	성공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지가	있/VA+을지/EF+가/JKS
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.27.7.2
박 회장은 본입찰에서 선정된 우선협상대상자보다 높은 가격을 제시하면 우선매수청구권을 행사할 수 있다.

박	박/NNP
회장은	회장/NNG+은/JX
본입찰에서	본입찰/NNG+에서/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
우선협상대상자보다	우선/NNG+협상/NNG+대상자/NNG+보다/JKB
높은	높/VA+은/ETM
가격을	가격/NNG+을/JKO
제시하면	제시/NNG+하/XSV+면/EC
우선매수청구권을	우선/NNG+매수/NNG+청구/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.27.7.3
다만 해외 유력 타이어업체들이 인수전에 뛰어들 것으로 예상돼 인수가격이 오를 가능성이 있다는 것은 박 회장에게 부담스러운 부분이다.

다만	다만/MAG
해외	해외/NNG
유력	유력/NNG
타이어업체들이	타이어/NNG+업체/NNG+들/XSN+이/JKS
인수전에	인수전/NNG+에/JKB
뛰어들	뛰어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상돼	예상/NNG+되/XSV+어/EC
인수가격이	인수/NNG+가격/NNG+이/JKS
오를	오르/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
것은	것/NNB+은/JX
박	박/NNP
회장에게	회장/NNG+에게/JKB
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.27.7.4
금호아시아나그룹은 금호타이어 인수를 그룹 재건의 ‘마지막 단추’로 여기며 의지를 불태우고 있다.

금호아시아나그룹은	금호아시아나그룹/NNP+은/JX
금호타이어	금호타이어/NNP
인수를	인수/NNG+를/JKO
그룹	그룹/NNG
재건의	재건/NNG+의/JKG
‘마지막	‘/SS+마지막/NNG
단추’로	단추/NNG+’/SS+로/JKB
여기며	여기/VV+며/EC
의지를	의지/NNG+를/JKO
불태우고	불태우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.27.7.5
타이어업계의 한 관계자는 “박 회장이 지난해 금호산업 인수 과정에서 5000억 원의 빚을 진 상황이라 자금 조달이 제대로 이뤄질 수 있을지가 관건”이라고 말했다.

타이어업계의	타이어/NNG+업계/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“박	“/SS+박/NNP
회장이	회장/NNG+이/JKS
지난해	지난해/NNG
금호산업	금호산업/NNP
인수	인수/NNG
과정에서	과정/NNG+에서/JKB
5000억	5000/SN+억/NR
원의	원/NNB+의/JKG
빚을	빚/NNG+을/JKO
진	지/VV+ㄴ/ETM
상황이라	상황/NNG+이/VCP+라/EC
자금	자금/NNG
조달이	조달/NNG+이/JKS
제대로	제대로/MAG
이뤄질	이뤄지/VV+ㄹ/ETM
수	수/NNB
있을지가	있/VA+을지/EF+가/JKS
관건”이라고	관건/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


