# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.315
metadata : {}


# id : NWRW1800000046.315.1.1
[野 새 대표 문재인] 惜敗(석패) 박지원 "진 것은 진 것… 勝者 잘해주길"

[野	[/SS+野/SH
받았다"	받/VV+았/EP+다/EF+"/SS
등	등/NNB
위험	위험/NNG
수위를	수위/NNG+를/JKO
넘나드는	넘나들/VV+는/ETM
말을	말/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.315.6.1
당 관계자들은 "그간 '내일은 없다'는 듯이 싸웠던 만큼, 전대 후유증이 클 수 있다"고 말했다.

당	당/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"그간	"/SS+그/NP+간/XSN
'내일은	'/SS+내일/NNG+은/JX
없다'는	없/VA+다/EF+'/SS+는/ETM
듯이	듯이/NNB
싸웠던	싸우/VV+었/EP+던/ETM
만큼,	만큼/NNB+,/SP
전대	전대/NNG
후유증이	후유증/NNG+이/JKS
클	크/VA+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.315.6.2
하지만 박 의원은 이날 경선 규칙 등 논란에 대해 "선거가 끝났으니 (이제) 그런 얘기할 필요는 없다"며 "문 대표가 공약대로, 국민과 당원이 요구하는 대로 잘하리라 본다"고 했다.

하지만	하지만/MAJ
박	박/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
경선	경선/NNG
규칙	규칙/NNG
등	등/NNB
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
"선거가	"/SS+선거/NNG+가/JKS
끝났으니	끝나/VV+았/EP+으니/EC
(이제)	(/SS+이제/NNG+)/SS
그런	그런/MMD
얘기할	얘기/NNG+하/XSV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"문	"/SS+문/NNP
대표가	대표/NNG+가/JKS
공약대로,	공약/NNG+대로/JX+,/SP
국민과	국민/NNG+과/JC
당원이	당원/NNG+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
대로	대로/NNB
잘하리라	잘/MAG+하/XSV+리라/EF
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.315.6.3
박 의원은 다만 9일 새 지도부의 첫 일정으로 함께 국립서울현충원 참배를 하기로 한 데 대해서는 "쉬고 싶다"며 불참의 뜻을 밝혔다.

박	박/NNP
의원은	의원/NNG+은/JX
다만	다만/MAG
9일	9/SN+일/NNB
새	새/MMA
지도부의	지도부/NNG+의/JKG
첫	첫/MMN
일정으로	일정/NNG+으로/JKB
함께	함께/MAG
국립서울현충원	국립서울현충원/NNP
참배를	참배/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
데	데/NNB
대해서는	대하/VV+아서/EC+는/JX
"쉬고	"/SS+쉬/VV+고/EC
싶다"며	싶/VX+다/EF+"/SS+며/EC
불참의	불참/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


