# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.425
metadata : {}


# id : NWRW1800000022.425.1.1
[강원] 강원, 의료관광 기반 강화 시급하다

[강원]	[/SS+강원/NNP+]/SS
지역발전위원회	지역/NNG+발전/NNG+위원회/NNG
회의에서	회의/NNG+에서/JKB
"한국에	"/SS+한국/NNP+에/JKB
와야만	오/VV+아야/EC+만/JX
효과적으로	효과/NNG+적/XSN+으로/JKB
치료받을	치료/NNG+받/XSV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의료관광객을	의료/NNG+관광객/NNG+을/JKO
유치하는	유치/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF
태국이나	태국/NNP+이나/JC
싱가포르와	싱가포르/NNP+와/JKB
많이	많이/MAG
비교하는데	비교/NNG+하/XSV+는데/EC
구분돼야	구분/NNG+되/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
의료관광을	의료/NNG+관광/NNG+을/JKO
고급의료로	고급/NNG+의료/NNG+로/JKB
특화할	특화/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.425.4.1
반면 강원도는 의료관광 육성 모델로 태국을 삼고 있다.

반면	반면/NNG
강원도는	강원도/NNP+는/JX
의료관광	의료/NNG+관광/NNG
육성	육성/NNG
모델로	모델/NNG+로/JKB
태국을	태국/NNP+을/JKO
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.425.4.2
의료관광을 고급 의료로 특화하기 위해서는 브랜드와 의료기술, 시설 면에서 최고의 수준을 지닌 의료기관이 많아야 하나 강원도 의료기관 규모는 낮은 수준에 그치고 있다.

의료관광을	의료/NNG+관광/NNG+을/JKO
고급	고급/NNG
의료로	의료/NNG+로/JKB
특화하기	특화/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
브랜드와	브랜드/NNG+와/JC
의료기술,	의료/NNG+기술/NNG+,/SP
시설	시설/NNG
면에서	면/NNG+에서/JKB
최고의	최고/NNG+의/JKG
수준을	수준/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
의료기관이	의료/NNG+기관/NNG+이/JKS
많아야	많/VA+아야/EC
하나	하/VX+나/EC
강원도	강원도/NNP
의료기관	의료/NNG+기관/NNG
규모는	규모/NNG+는/JX
낮은	낮/VA+은/ETM
수준에	수준/NNG+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.425.4.3
또 병의원, 치과병의원, 한방병의원이 전국에서 차지하는 비율은 5% 이하다.

또	또/MAG
병의원,	병의원/NNG+,/SP
치과병의원,	치과/NNG+병의원/NNG+,/SP
한방병의원이	한방/NNG+병의원/NNG+이/JKS
전국에서	전국/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비율은	비율/NNG+은/JX
5%	5/SN+%/SW
이하다.	이하/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.425.5.1
이 같은 여건을 감안해 강원도는 치료보다는 건강상태 유지 목적의 국내외 시니어 계층을 타깃으로 의료관광객을 유치한다는 방침이다.

이	이/NP
같은	같/VA+은/ETM
여건을	여건/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
강원도는	강원도/NNP+는/JX
치료보다는	치료/NNG+보다/JKB+는/JX
건강상태	건강/NNG+상태/NNG
유지	유지/NNG
목적의	목적/NNG+의/JKG
국내외	국내외/NNG
시니어	시니어/NNG
계층을	계층/NNG+을/JKO
타깃으로	타깃/NNG+으로/JKB
의료관광객을	의료/NNG+관광객/NNG+을/JKO
유치한다는	유치/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.425.5.2
이는 의료관광업계의 흐름과는 다른 방향이다.

이는	이/NP+는/JX
의료관광업계의	의료/NNG+관광업/NNG+계/XSN+의/JKG
흐름과는	흐름/NNG+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
방향이다.	방향/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.425.6.1
경기관광공사는 최근 중국지역을 대상으로 의료관광 팸투어를 실시하고 부천시는 178만㎡ 규모의 의료관광복합단지 조성 등의 사업을 추진 중이나 강원도의 의료관광은 인력양성에 들어가는 등 아직 준비단계에 머물러 있다.

경기관광공사는	경기관광공사/NNP+는/JX
최근	최근/MAG
중국지역을	중국지역/NNP+을/JKO
대상으로	대상/NNG+으로/JKB
의료관광	의료/NNG+관광/NNG
팸투어를	팸투어/NNG+를/JKO
실시하고	실시/NNG+하/XSV+고/EC
부천시는	부천시/NNP+는/JX
178만㎡	178/SN+만/NR+㎡/SW
규모의	규모/NNG+의/JKG
의료관광복합단지	의료/NNG+관광/NNG+복합/NNG+단지/NNG
조성	조성/NNG
등의	등/NNB+의/JKG
사업을	사업/NNG+을/JKO
추진	추진/NNG
중이나	중/NNB+이/VCP+나/EC
강원도의	강원도/NNP+의/JKG
의료관광은	의료/NNG+관광/NNG+은/JX
인력양성에	인력/NNG+양성/NNG+에/JKB
들어가는	들어가/VV+는/ETM
등	등/NNB
아직	아직/MAG
준비단계에	준비/NNG+단계/NNG+에/JKB
머물러	머무르/VV+어/EC
있다.	있/VX+다/EF+./SF


