# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.264
metadata : {}


# id : NWRW1800000038.264.1.1
박인비 빠진 LPGA 타이완 챔피언십… 페테르센, 1라운드 선두

박인비	박인비/NNP
현재 올해의 선수 랭킹에서 박인비가 1위(290점), 페테르센이 2위(222점)로 68점 차이가 난다.

현재	현재/MAG
올해의	올해/NNG+의/JKG
선수	선수/NNG
랭킹에서	랭킹/NNG+에서/JKB
박인비가	박인비/NNP+가/JKS
1위(290점),	1/SN+위/NNB+(/SS+290/SN+점/NNB+)/SS+,/SP
페테르센이	페테르센/NNP+이/JKS
2위(222점)로	2/SN+위/NNB+(/SS+222/SN+점/NNB+)/SS+로/JKB
68점	68/SN+점/NNB
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.264.5.3
각 대회 1위에게 포인트 30점, 2위에 12점, 3위에 9점, 4위에 7점이 순차적으로 부여되고 10위에겐 1점을 준다.

각	각/MMD
대회	대회/NNG
1위에게	1/SN+위/NNB+에게/JKB
포인트	포인트/NNG
30점,	30/SN+점/NNB+,/SP
2위에	2/SN+위/NNB+에/JKB
12점,	12/SN+점/NNB+,/SP
3위에	3/SN+위/NNB+에/JKB
9점,	9/SN+점/NNB+,/SP
4위에	4/SN+위/NNB+에/JKB
7점이	7/SN+점/NNB+이/JKS
순차적으로	순차/NNG+적/XSN+으로/JKB
부여되고	부여/NNG+되/XSV+고/EC
10위에겐	10/SN+위/NNB+에게/JKB+ㄴ/JX
1점을	1/SN+점/NNB+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.264.5.4
메이저 대회와 시즌 최종전은 2배의 점수가 주어진다.

메이저	메이저/NNG
대회와	대회/NNG+와/JC
시즌	시즌/NNG
최종전은	최종전/NNG+은/JX
2배의	2/SN+배/NNG+의/JKG
점수가	점수/NNG+가/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.264.6.1
상금 랭킹에선 박인비가 1위(233만5460달러), 페테르센이 2위(194만1847달러)로 격차가 39만3613달러까지 좁혀졌다.

상금	상금/NNG
랭킹에선	랭킹/NNG+에서/JKB+ㄴ/JX
박인비가	박인비/NNP+가/JKS
1위(233만5460달러),	1/SN+위/NNB+(/SS+233/SN+만/NR+5460/SN+달러/NNB+)/SS+,/SP
페테르센이	페테르센/NNP+이/JKS
2위(194만1847달러)로	2/SN+위/NNB+(/SS+194/SN+만/NR+1847/SN+달러/NNB+)/SS+로/JKB
격차가	격차/NNG+가/JKS
39만3613달러까지	39/SN+만/NR+3613/SN+달러/NNB+까지/JX
좁혀졌다.	좁히/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.264.6.2
이번 대회 우승 상금은 30만달러다.

이번	이번/NNG
대회	대회/NNG
우승	우승/NNG
상금은	상금/NNG+은/JX
30만달러다.	30/SN+만/NR+달러/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.264.7.1
올 시즌 LPGA 투어는 이번 대회를 포함해 4개 대회가 남아 있다.

올	올/NNG
시즌	시즌/NNG
LPGA	LPGA/SL
투어는	투어/NNG+는/JX
이번	이번/NNG
대회를	대회/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
4개	4/SN+개/NNB
대회가	대회/NNG+가/JKS
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.264.7.2
페테르센은 "아직 나에게 (박인비를 추월할) 기회가 남아 있다"며 "일단은 이번 대회에서 우승하는 데 집중하겠다"고 했다.

페테르센은	페테르센/NNP+은/JX
"아직	"/SS+아직/MAG
나에게	나/NP+에게/JKB
(박인비를	(/SS+박인비/NNP+를/JKO
추월할)	추월/NNG+하/XSV+ㄹ/ETM+)/SS
기회가	기회/NNG+가/JKS
남아	남/VV+아/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"일단은	"/SS+일단/MAG+은/JX
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
우승하는	우승/NNG+하/XSV+는/ETM
데	데/NNB
집중하겠다"고	집중/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


