# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.377
metadata : {}


# id : NWRW1800000041.377.1.1
[수도권]월미은하레일, 스카이 바이크로 거듭날까

[수도권]월미은하레일,	[/SS+수도/NNG+권/XSN+]/SS+월미은하레일/NNP+,/SP
계속하거나	계속/NNG+하/XSV+거나/EC
공사	공사/NNG
측에	측/NNB+에/JKB
시설	시설/NNG
및	및/MAG
운영권을	운영/NNG+권/XSN+을/JKO
넘겨주는	넘겨주/VV+는/ETM
조건이다.	조건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.377.6.1
공사 측은 이달 중 제안서 평가 심사를 마치고 우선협상대상자를 가리기로 했다.

공사	공사/NNG
측은	측/NNB+은/JX
이달	이달/NNG
중	중/NNB
제안서	제안서/NNG
평가	평가/NNG
심사를	심사/NNG+를/JKO
마치고	마치/VV+고/EC
우선협상대상자를	우선/NNG+협상/NNG+대상자/NNG+를/JKO
가리기로	가리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.377.6.2
개통 예정일은 이르면 2016년 상반기 중이다.

개통	개통/NNG
예정일은	예정일/NNG+은/JX
이르면	이르/VA+면/EC
2016년	2016/SN+년/NNB
상반기	상반기/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.377.6.3
인천교통공사 관계자는 “이 사업이 마무리되면 월미도 관광특구에 국내 최초의 ‘스카이 바이크’가 운행되는 것”이라고 말했다.

인천교통공사	인천교통공사/NNP
관계자는	관계자/NNG+는/JX
“이	“/SS+이/MMD
사업이	사업/NNG+이/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
월미도	월미도/NNP
관광특구에	관광특구/NNG+에/JKB
국내	국내/NNG
최초의	최초/NNG+의/JKG
‘스카이	‘/SS+스카이/NNG
바이크’가	바이크/NNG+’/SS+가/JKS
운행되는	운행/NNG+되/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.377.6.4
인천시는 853억 원을 들여 모노레일을 2010년 완공했지만 시험운행 중 안전사고가 잇따르자 개통을 못한 채 도심 속 흉물로 방치해 놓고 있다.

인천시는	인천시/NNP+는/JX
853억	853/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
모노레일을	모노레일/NNG+을/JKO
2010년	2010/SN+년/NNB
완공했지만	완공/NNG+하/XSV+았/EP+지만/EC
시험운행	시험/NNG+운행/NNG
중	중/NNB
안전사고가	안전사고/NNG+가/JKS
잇따르자	잇따르/VV+자/EC
개통을	개통/NNG+을/JKO
못한	못/MAG+하/VV+ㄴ/ETM
채	채/NNB
도심	도심/NNG
속	속/NNG
흉물로	흉물/NNG+로/JKB
방치해	방치/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
있다.	있/VX+다/EF+./SF


