# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.224
metadata : {}


# id : NWRW1800000053.224.1.1
급류 타는 ‘2030 월드컵 南北中日 공동 개최’ 논의… 가능성 있지만 넘어야 할 산 많아

급류	급류/NNG
공동개최	공동/NNG+개최/NNG
방안은	방안/NNG+은/JX
FIFA	FIFA/SL
평의원에	평의원/NNG+에/JKB
당선된	당선/NNG+되/XSV+ㄴ/ETM
정몽규	정몽규/NNP
대한축구협회	대한축구협회/NNP
회장이	회장/NNG+이/JKS
올해	올해/NNG
3월	3/SN+월/NNB
처음	처음/NNG
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.224.5.1
2002년 한일 월드컵을 계기로 비약적인 축구 발전을 이루었던 한국으로서는 월드컵 유치를 통해 다시 한 번 축구 중흥의 기틀을 마련할 수 있다.

2002년	2002/SN+년/NNB
한일	한일/NNP
월드컵을	월드컵/NNG+을/JKO
계기로	계기/NNG+로/JKB
비약적인	비약/NNG+적/XSN+이/VCP+ㄴ/ETM
축구	축구/NNG
발전을	발전/NNG+을/JKO
이루었던	이루/VV+었/EP+던/ETM
한국으로서는	한국/NNP+으로서/JKB+는/JX
월드컵	월드컵/NNG
유치를	유치/NNG+를/JKO
통해	통하/VV+아/EC
다시	다시/MAG
한	한/MMN
번	번/NNB
중흥의	중흥/NNG+의/JKG
기틀을	기틀/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.224.5.2
또 월드컵 공동개최는 최근 급격히 악화되고 있는 4개국의 관계를 개선할 기회가 될 수 있다.

또	또/MAG
월드컵	월드컵/NNG
공동개최는	공동/NNG+개최/NNG+는/JX
최근	최근/NNG
급격히	급격히/MAG
악화되고	악화/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
4개국의	4/SN+개국/NNB+의/JKG
관계를	관계/NNG+를/JKO
개선할	개선/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.224.5.3
월드컵 개최는 국내 축구 발전과 국내외 평화 분위기 조성에 기여할 수 있는 다목적 카드로 활용될 수 있다.

월드컵	월드컵/NNG
개최는	개최/NNG+는/JX
국내	국내/NNG
축구	축구/NNG
발전과	발전/NNG+과/JC
국내외	국내외/NNG
평화	평화/NNG
분위기	분위기/NNG
조성에	조성/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
다목적	다목적/NNG
카드로	카드/NNG+로/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.224.6.1
FIFA는 2026년 월드컵부터 참가국을 종전 32개국에서 48개국으로 늘리기로 했다.

FIFA는	FIFA/SL+는/JX
2026년	2026/SN+년/NNB
월드컵부터	월드컵/NNG+부터/JX
참가국을	참가국/NNG+을/JKO
종전	종전/NNG
32개국에서	32/SN+개국/NNB+에서/JKB
48개국으로	48/SN+개국/NNB+으로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.224.6.2
이 때문에 공동 개최의 의미는 더 커지고 있다.

이	이/NP
때문에	때문/NNB+에/JKB
공동	공동/NNG
개최의	개최/NNG+의/JKG
의미는	의미/NNG+는/JX
더	더/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.224.6.3
참가국 수가 늘어나는 상황에서 각종 시설 및 운영 관련 부담이 더 커지고 있기 때문이다.

참가국	참가국/NNG
수가	수/NNG+가/JKS
늘어나는	늘어나/VV+는/ETM
상황에서	상황/NNG+에서/JKB
각종	각종/NNG
시설	시설/NNG
및	및/MAG
운영	운영/NNG
관련	관련/NNG
부담이	부담/NNG+이/JKS
더	더/MAG
커지고	커지/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.224.6.4
이와 관련해 최근 미국과 캐나다, 멕시코 등 북미 3개국이 2026년 월드컵 공동 유치에 나섰다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
최근	최근/NNG
미국과	미국/NNP+과/JC
캐나다,	캐나다/NNP+,/SP
멕시코	멕시코/NNP
등	등/NNB
북미	북미/NNP
3개국이	3/SN+개국/NNB+이/JKS
2026년	2026/SN+년/NNB
월드컵	월드컵/NNG
공동	공동/NNG
유치에	유치/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.224.7.1
월드컵의 동북아 공동 개최가 실현 불가능한 것은 아니다.

월드컵의	월드컵/NNG+의/JKG
동북아	동북아/NNP
공동	공동/NNG
개최가	개최/NNG+가/JKS
실현	실현/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000053.224.7.2
2018년에 유럽의 러시아에서, 2022년에는 아시아의 카타르에서 월드컵이 열린다.

2018년에	2018/SN+년/NNB+에/JKB
유럽의	유럽/NNP+의/JKG
러시아에서,	러시아/NNP+에서/JKB+,/SP
2022년에는	2022/SN+년/NNB+에/JKB+는/JX
아시아의	아시아/NNP+의/JKG
카타르에서	카타르/NNP+에서/JKB
월드컵이	월드컵/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.224.7.3
48개국 체제 첫 월드컵인 2026년 대회가 북미 대륙에서 열린다면 2030년 동북아 공동 개최로 월드컵이 치러지는 건 FIFA가 정한 ‘대륙별 순환 원칙’에도 위배되지 않는다.

48개국	48/SN+개국/NNB
체제	체제/NNG
첫	첫/MMN
월드컵인	월드컵/NNG+이/VCP+ㄴ/ETM
2026년	2026/SN+년/NNB
대회가	대회/NNG+가/JKS
북미	북미/NNP
대륙에서	대륙/NNG+에서/JKB
열린다면	열리/VV+ㄴ다면/EC
2030년	2030/SN+년/NNB
동북아	동북아/NNP
공동	공동/NNG
개최로	개최/NNG+로/JKB
월드컵이	월드컵/NNG+이/JKS
치러지는	치르/VV+어/EC+지/VX+는/ETM
건	거/NNB+ㄴ/JX
FIFA가	FIFA/SL+가/JKS
정한	정하/VV+ㄴ/ETM
‘대륙별	‘/SS+대륙/NNG+별/XSN
순환	순환/NNG
원칙’에도	원칙/NNG+’/SS+에/JKB+도/JX
위배되지	위배/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000053.224.7.4
인판티노 회장도 “긍정적으로 검토하겠다”는 입장이다.

인판티노	인판티노/NNP
회장도	회장/NNG+도/JX
“긍정적으로	“/SS+긍정/NNG+적/XSN+으로/JKB
검토하겠다”는	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.224.8.1
하지만 넘어야 할 산도 많다.

하지만	하지만/MAJ
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
산도	산/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000053.224.8.2
먼저 일본과 중국을 설득해야 한다.

먼저	먼저/MAG
일본과	일본/NNP+과/JC
중국을	중국/NNP+을/JKO
설득해야	설득/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.224.8.3
정 회장은 “해당 국가와 지속적으로 논의하겠다”는 단서를 달았다.

정	정/NNP
회장은	회장/NNG+은/JX
“해당	“/SS+해당/NNG
국가와	국가/NNG+와/JC
지속적으로	지속/NNG+적/XSN+으로/JKB
논의하겠다”는	논의/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
단서를	단서/NNG+를/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.224.8.4
정 회장의 제안이 나왔을 때 다시마 고조 일본축구협회 회장은 “일본은 2050년까지 월드컵 단독 개최를 목표로 하고 있다”며 한국의 제안을 사실상 무시했다.

정	정/NNP
회장의	회장/NNG+의/JKG
제안이	제안/NNG+이/JKS
나왔을	나오/VV+았/EP+을/ETM
때	때/NNG
다시마	다시마/NNP
고조	고조/NNP
일본축구협회	일본축구협회/NNP
회장은	회장/NNG+은/JX
“일본은	“/SS+일본/NNP+은/JX
2050년까지	2050/SN+년/NNB+까지/JX
월드컵	월드컵/NNG
단독	단독/NNG
개최를	개최/NNG+를/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
한국의	한국/NNP+의/JKG
제안을	제안/NNG+을/JKO
사실상	사실/NNG+상/XSN
무시했다.	무시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.224.8.5
장기적으로 월드컵 우승을 목표로 하고 있는 일본은 단독 개최에 대한 의지가 강하다.

장기적으로	장기/NNG+적/XSN+으로/JKB
월드컵	월드컵/NNG
우승을	우승/NNG+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있는	있/VX+는/ETM
일본은	일본/NNP+은/JX
단독	단독/NNG
개최에	개최/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지가	의지/NNG+가/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000053.224.8.6
중국 또한 축구광인 시진핑 국가주석이 앞장서서 ‘축구 굴기’를 내세우고 있다.

중국	중국/NNP
또한	또한/MAG
축구광인	축구/NNG+광/XSN+이/VCP+ㄴ/ETM
시진핑	시진핑/NNP
국가주석이	국가주석/NNG+이/JKS
앞장서서	앞장서/VV+어서/EC
‘축구	‘/SS+축구/NNG
굴기’를	굴기/NNG+’/SS+를/JKO
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.224.8.7
자국 프로축구리그에도 막대한 돈을 쏟아붓고 있는 중국도 월드컵 개최에 관심이 많다.

자국	자국/NNG
프로축구리그에도	프로/NNG+축구/NNG+리그/NNG+에/JKB+도/JX
막대한	막대하/VA+ㄴ/ETM
돈을	돈/NNG+을/JKO
쏟아붓고	쏟아붓/VV+고/EC
있는	있/VX+는/ETM
중국도	중국/NNP+도/JX
월드컵	월드컵/NNG
개최에	개최/NNG+에/JKB
관심이	관심/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000053.224.8.8
월드컵 유치 효과 극대화를 노리고 있는 일본과 중국이 한국의 공동개최 제안에 얼마만큼 협조적일지는 미지수다.

월드컵	월드컵/NNG
유치	유치/NNG
효과	효과/NNG
극대화를	극대/NNG+화/XSN+를/JKO
노리고	노리/VV+고/EC
있는	있/VX+는/ETM
일본과	일본/NNP+과/JC
중국이	중국/NNP+이/JKS
한국의	한국/NNP+의/JKG
공동개최	공동/NNG+개최/NNG
제안에	제안/NNG+에/JKB
얼마만큼	얼마/NNG+만큼/JKB
협조적일지는	협조/NNG+적/XSN+이/VCP+ㄹ지/EC+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.224.9.1
북한 김정은 노동당 위원장도 축구에 큰 관심을 갖고 있다.

북한	북한/NNP
김정은	김정은/NNP
노동당	노동당/NNP
위원장도	위원장/NNG+도/JX
축구에	축구/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.224.9.2
하지만 핵무기 개발 등으로 국제사회를 자극하고 있는 북한을 월드컵 공동개최 국가로 인정해 줄 것인가의 문제가 불거질 수 있다.

하지만	하지만/MAJ
핵무기	핵무기/NNG
개발	개발/NNG
등으로	등/NNB+으로/JKB
국제사회를	국제/NNG+사회/NNG+를/JKO
자극하고	자극/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
북한을	북한/NNP+을/JKO
월드컵	월드컵/NNG
공동개최	공동/NNG+개최/NNG
국가로	국가/NNG+로/JKB
인정해	인정/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것인가의	것/NNB+이/VCP+ㄴ가/EF+의/JKG
문제가	문제/NNG+가/JKS
불거질	불거지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


