# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.209
metadata : {}


# id : NWRW1800000040.209.1.1
외톨이 대구 고교생, 애완 거북이 남긴채…

외톨이	외톨이/NNG
경북	경북/NNP
청도군	청도군/NNP
친척집에서	친척/NNG+집/NNG+에서/JKB
제사를	제사/NNG+를/JKO
지내러	지내/VV+러/EC
집을	집/NNG+을/JKO
나서	나서/VV+어/EC
귀가할	귀가/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
비웠다.	비우/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.209.6.2
ㅎ군은 16일 오후 4시께 대학 기숙사에서 지내는 누나(19·2년)에게 전화를 걸어 컴퓨터게임의 비밀번호 등을 물어본 뒤 ‘안녕’이라며 전화를 끊었다.

ㅎ군은	ㅎ/NNG+군/NNB+은/JX
16일	16/SN+일/NNB
오후	오후/NNG
4시께	4/SN+시/NNB+께/XSN
대학	대학/NNG
기숙사에서	기숙사/NNG+에서/JKB
지내는	지내/VV+는/ETM
누나(19·2년)에게	누나/NNG+(/SS+19/SN+·/SP+2/SN+년/NNB+)/SS+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
컴퓨터게임의	컴퓨터/NNG+게임/NNG+의/JKG
비밀번호	비밀번호/NNG
등을	등/NNB+을/JKO
물어본	물어보/VV+ㄴ/ETM
뒤	뒤/NNG
‘안녕’이라며	‘/SS+안녕/IC+’/SS+이/VCP+라며/EC
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.209.6.3
경찰은 ㅎ군이 17일 새벽 3시~오전 9시 질식해 숨진 것으로 추정하고 있다.

경찰은	경찰/NNG+은/JX
ㅎ군이	ㅎ/NNG+군/NNB+이/JKS
17일	17/SN+일/NNB
새벽	새벽/NNG
3시~오전	3/SN+시/NNB+~/SO+오전/NNG
9시	9/SN+시/NNB
질식해	질식/NNG+하/XSV+아/EC
숨진	숨지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.209.7.1
ㅎ군은 지난해 5월 학교에서 시행한 정서행동발달 선별 1차 검사에서 정상으로 나왔다.

ㅎ군은	ㅎ/NNG+군/NNB+은/JX
지난해	지난해/NNG
5월	5/SN+월/NNB
학교에서	학교/NNG+에서/JKB
시행한	시행/NNG+하/XSV+ㄴ/ETM
정서행동발달	정서/NNG+행동/NNG+발달/NNG
선별	선별/NNG
1차	1/SN+차/NNB
검사에서	검사/NNG+에서/JKB
정상으로	정상/NNG+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.209.7.2
평소 ㅎ군 상태가 이상하다고 여긴 담임교사가 같은달 2차 검사까지 받게 했지만 역시 뚜렷한 문제점은 발견되지 않았다.

평소	평소/NNG
ㅎ군	ㅎ/NNG+군/NNB
상태가	상태/NNG+가/JKS
이상하다고	이상/NNG+하/XSA+다고/EC
여긴	여기/VV+ㄴ/ETM
담임교사가	담임/NNG+교사/NNG+가/JKS
같은달	같/VA+은/ETM+달/NNG
2차	2/SN+차/NNB
검사까지	검사/NNG+까지/JX
받게	받/VV+게/EC
했지만	하/VX+았/EP+지만/EC
역시	역시/MAG
뚜렷한	뚜렷하/VA+ㄴ/ETM
문제점은	문제점/NNG+은/JX
발견되지	발견/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.209.7.3
지난해 8~10월 학교폭력 실태조사에서도 특이한 점은 없었으며, 비정규직 상담사가 근무하는 위클래스(학교상담교실) 등에서 학교폭력 등의 문제로 상담을 받은 적도 없었다.

지난해	지난해/NNG
8~10월	8/SN+~/SO+10/SN+월/NNB
학교폭력	학교/NNG+폭력/NNG
실태조사에서도	실태/NNG+조사/NNG+에서/JKB+도/JX
특이한	특이/NNG+하/XSA+ㄴ/ETM
점은	점/NNG+은/JX
없었으며,	없/VA+었/EP+으며/EC+,/SP
비정규직	비/XPN+정규직/NNG
상담사가	상담사/NNG+가/JKS
근무하는	근무/NNG+하/XSV+는/ETM
위클래스(학교상담교실)	위클래스/NNG+(/SS+학교/NNG+상담/NNG+교실/NNG+)/SS
등에서	등/NNB+에서/JKB
등의	등/NNB+의/JKG
문제로	문제/NNG+로/JKB
상담을	상담/NNG+을/JKO
받은	받/VV+은/ETM
적도	적/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.209.8.1
ㅎ군이 다니던 고교의 교감은 “무단결석 등 문제행동도 없었다.

ㅎ군이	ㅎ/NNG+군/NNB+이/JKS
다니던	다니/VV+던/ETM
고교의	고교/NNG+의/JKG
교감은	교감/NNG+은/JX
“무단결석	“/SS+무단결석/NNG
등	등/NNB
문제행동도	문제/NNG+행동/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.209.8.2
다만 말이 거의 없었고 수업을 집중해 듣는 편이 아니었다고 한다.

다만	다만/MAG
말이	말/NNG+이/JKS
거의	거의/MAG
없었고	없/VA+었/EP+고/EC
수업을	수업/NNG+을/JKO
집중해	집중/NNG+하/XSV+아/EC
듣는	듣/VV+는/ETM
편이	편/NNB+이/JKC
아니었다고	아니/VCN+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.209.8.3
학교에서 이야기를 나누는 친구가 한 명 있었지만, 그다지 절친한 사이는 아니라고 한다”고 말했다.

학교에서	학교/NNG+에서/JKB
이야기를	이야기/NNG+를/JKO
나누는	나누/VV+는/ETM
친구가	친구/NNG+가/JKS
한	한/MMN
명	명/NNB
있었지만,	있/VA+었/EP+지만/EC+,/SP
그다지	그다지/MAG
절친한	절친하/VA+ㄴ/ETM
사이는	사이/NNG+는/JX
아니라고	아니/VCN+라고/EC
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.209.9.1
ㅎ군은 가족과도 대화를 자주 하는 편이 아니었으며, 뜨거운 물에 손을 담그는 등 이따금 이상한 행동을 해 중학생 시절에는 정신과 진료를 받은 적이 있다고 경찰은 밝혔다.

ㅎ군은	ㅎ/NNG+군/NNB+은/JX
가족과도	가족/NNG+과/JKB+도/JX
대화를	대화/NNG+를/JKO
자주	자주/MAG
하는	하/VV+는/ETM
편이	편/NNB+이/JKC
아니었으며,	아니/VCN+었/EP+으며/EC+,/SP
뜨거운	뜨겁/VA+ㄴ/ETM
물에	물/NNG+에/JKB
손을	손/NNG+을/JKO
담그는	담그/VV+는/ETM
등	등/NNB
이따금	이따금/MAG
이상한	이상/NNG+하/XSA+ㄴ/ETM
행동을	행동/NNG+을/JKO
해	하/VV+아/EC
중학생	중학/NNG+생/XSN
시절에는	시절/NNG+에/JKB+는/JX
정신과	정신과/NNG
진료를	진료/NNG+를/JKO
받은	받/VV+은/ETM
적이	적/NNB+이/JKS
있다고	있/VA+다고/EC
경찰은	경찰/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.209.9.2
컴퓨터도 거의 하지 않았고, 자신의 방에서 애완용 거북이를 키우고 있었다.

컴퓨터도	컴퓨터/NNG+도/JX
거의	거의/MAG
하지	하/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
자신의	자신/NNG+의/JKG
방에서	방/NNG+에서/JKB
애완용	애완/NNG+용/XSN
거북이를	거북이/NNG+를/JKO
키우고	키우/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.209.10.1
경찰은 ㅎ군이 우울증·자폐증 등의 증세로 스스로 목숨을 끊은 것으로 보고 있지만, 숨진 방법이 특이한 점 등을 고려해 유족과 학교 쪽을 상대로 자세한 경위를 조사하고 있다.

경찰은	경찰/NNG+은/JX
ㅎ군이	ㅎ/NNG+군/NNB+이/JKS
우울증·자폐증	우울증/NNG+·/SP+자폐증/NNG
등의	등/NNB+의/JKG
증세로	증세/NNG+로/JKB
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
숨진	숨지/VV+ㄴ/ETM
방법이	방법/NNG+이/JKS
특이한	특이/NNG+하/XSA+ㄴ/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
유족과	유족/NNG+과/JC
학교	학교/NNG
쪽을	쪽/NNB+을/JKO
상대로	상대/NNG+로/JKB
자세한	자세하/VA+ㄴ/ETM
경위를	경위/NNG+를/JKO
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


