# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.4
metadata : {}


# id : NWRW1800000021.4.1.1
속끓는 평택-동두천… 느긋한 서울시

속끓는	속/NNG+끓/VV+는/ETM
실제로 이 씨 사무실 주변에는 ‘미군특수’를 노리고 3, 4년 전 집중적으로 지어진 빌라형 임대주택 10여 동이 있었지만 거의 입주가 이뤄지지 않아 을씨년스럽기만 했다.

실제로	실제로/MAG
이	이/NNP
씨	씨/NNB
사무실	사무실/NNG
주변에는	주변/NNG+에/JKB+는/JX
‘미군특수’를	‘/SS+미군/NNG+특수/NNG+’/SS+를/JKO
노리고	노리/VV+고/EC
3,	3/SN+,/SP
4년	4/SN+년/NNB
전	전/NNG
집중적으로	집중/NNG+적/XSN+으로/JKB
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
빌라형	빌라/NNG+형/XSN
임대주택	임대/NNG+주택/NNG
10여	10/SN+여/XSN
동이	동/NNB+이/JKS
있었지만	있/VA+었/EP+지만/EC
거의	거의/MAG
입주가	입주/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않아	않/VX+아/EC
을씨년스럽기만	을씨년스럽/VA+기/ETN+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.4.4.3
▶본보 5일자 A1면 참조

▶본보	▶/SW+본보/NNG
5일자	5/SN+일자/NNG
A1면	A/SL+1/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000021.4.5.1
▽평택.

▽평택.	▽/SW+평택/NNP+./SF


# id : NWRW1800000021.4.5.2
부동산 거품에 전전긍긍=이처럼 미군 임대용 주택이 최근 5, 6년 사이 평택지역에 1500여 채가 새로 지어졌다.

부동산	부동산/NNG
거품에	거품/NNG+에/JKB
전전긍긍=이처럼	전전긍긍/NNG+=/SW+이/NP+처럼/JKB
미군	미군/NNG
임대용	임대/NNG+용/XSN
주택이	주택/NNG+이/JKS
최근	최근/NNG
5,	5/SN+,/SP
6년	6/SN+년/NNB
사이	사이/NNG
평택지역에	평택/NNP+지역/NNG+에/JKB
1500여	1500/SN+여/XSN
채가	채/NNB+가/JKS
새로	새로/MAG
지어졌다.	짓/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.4.5.3
하지만 당초 2008년이던 이전 시기가 차일피일 미뤄지면서 빈집은 절반을 웃돌고 있다.

하지만	하지만/MAJ
당초	당초/NNG
2008년이던	2008/SN+년/NNB+이/VCP+던/ETM
이전	이전/NNG
시기가	시기/NNG+가/JKS
차일피일	차일피일/MAG
미뤄지면서	미루/VV+어/EC+지/VX+면서/EC
빈집은	빈집/NNG+은/JX
절반을	절반/NNG+을/JKO
웃돌고	웃돌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.4.6.1
일부 사업자는 빈집을 장기 방치할 수 없어 임대료를 크게 낮춰 내국인 임대용으로 돌리고 있지만 장기 공실(空室)에 따른 손실은 계속 커지고 있다.

일부	일부/NNG
사업자는	사업자/NNG+는/JX
빈집을	빈집/NNG+을/JKO
장기	장기/NNG
방치할	방치/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
임대료를	임대료/NNG+를/JKO
크게	크/VA+게/EC
낮춰	낮추/VV+어/EC
내국인	내국인/NNG
임대용으로	임대/NNG+용/XSN+으로/JKB
돌리고	돌리/VV+고/EC
있지만	있/VX+지만/EC
공실(空室)에	공실/NNG+(/SS+空室/SH+)/SS+에/JKB
따른	따르/VV+ㄴ/ETM
손실은	손실/NNG+은/JX
계속	계속/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.4.7.1
평택지역 임대업자와 중개업자들로 구성된 한미부동산협회 이헌현(59) 회장은 “가장 큰 문제는 (정부 정책의) 불확실성”이라며 “지금까지의 손해는 어쩔 수 없지만 제발 2014년이든 2016년이든 하루빨리 결정해 사업자들이 대비할 수 있게 해주면 좋겠다”고 말했다.

평택지역	평택/NNP+지역/NNG
임대업자와	임대업자/NNG+와/JC
중개업자들로	중개업자/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
한미부동산협회	한미부동산협회/NNP
이헌현(59)	이헌현/NNP+(/SS+59/SN+)/SS
회장은	회장/NNG+은/JX
“가장	“/SS+가장/MAG
큰	크/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
(정부	(/SS+정부/NNG
정책의)	정책/NNG+의/JKG+)/SS
불확실성”이라며	불확실/NNG+성/XSN+”/SS+이/VCP+라며/EC
“지금까지의	“/SS+지금/NNG+까지/JX+의/JKG
손해는	손해/NNG+는/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
제발	제발/MAG
2014년이든	2014/SN+년/NNB+이/VCP+든/EC
2016년이든	2016/SN+년/NNB+이/VCP+든/EC
하루빨리	하루빨리/MAG
결정해	결정/NNG+하/XSV+아/EC
사업자들이	사업자/NNG+들/XSN+이/JKS
대비할	대비/NNG+하/XSV+ㄹ/ETM
있게	있/VA+게/EC
해주면	하/VX+아/EC+주/VX+면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.8.1
속이 타기는 평택시도 마찬가지다.

속이	속/NNG+이/JKS
타기는	타/VV+기/ETN+는/JX
평택시도	평택시/NNP+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.4.8.2
주민들의 불만도 잘 알고 조속히 이전 일정이 확정되기를 바라지만 정부 방침에 대놓고 반발할 수도 없기 때문이다.

주민들의	주민/NNG+들/XSN+의/JKG
불만도	불만/NNG+도/JX
잘	잘/MAG
알고	알/VV+고/EC
조속히	조속히/MAG
이전	이전/NNG
일정이	일정/NNG+이/JKS
확정되기를	확정/NNG+되/XSV+기/ETN+를/JKO
바라지만	바라/VV+지만/EC
정부	정부/NNG
방침에	방침/NNG+에/JKB
대놓고	대놓고/MAG
반발할	반발/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.4.9.1
평택시 관계자는 “우리는 당초 일정대로 기지 이전이 추진되기를 바라지만 이것이 자칫 정부 심기를 거스르는 것처럼 보일까 봐 걱정”이라고 말했다.

평택시	평택시/NNP
관계자는	관계자/NNG+는/JX
“우리는	“/SS+우리/NP+는/JX
당초	당초/NNG
일정대로	일정/NNG+대로/JX
기지	기지/NNG
이전이	이전/NNG+이/JKS
추진되기를	추진/NNG+되/XSV+기/ETN+를/JKO
바라지만	바라/VV+지만/EC
이것이	이것/NP+이/JKS
자칫	자칫/MAG
정부	정부/NNG
심기를	심기/NNG+를/JKO
거스르는	거스르/VV+는/ETM
것처럼	것/NNB+처럼/JKB
보일까	보이/VV+ㄹ까/EF
봐	보/VX+아/EC
걱정”이라고	걱정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.10.1
▽경기북부도 “지역 개발 차질”=아직 반환되지 않은 미군기지가 산재한 경기 북부에서도 기지 이전이 늦춰질수록 지역 개발이 더디게 진행될 것을 우려하고 있다.

▽경기북부도	▽/SW+경기/NNP+북부/NNG+도/JX
“지역	“/SS+지역/NNG
개발	개발/NNG
차질”=아직	차질/NNG+”/SS+=/SW+아직/MAG
반환되지	반환/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
미군기지가	미군/NNG+기지/NNG+가/JKS
산재한	산재/NNG+하/XSV+ㄴ/ETM
경기	경기/NNP
북부에서도	북부/NNG+에서/JKB+도/JX
기지	기지/NNG
이전이	이전/NNG+이/JKS
늦춰질수록	늦춰지/VV+ㄹ수록/EC
지역	지역/NNG
개발이	개발/NNG+이/JKS
더디게	더디/VA+게/EC
진행될	진행/NNG+되/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.4.11.1
경기도 한배수 특별대책지역과장은 “미군기지 이전이 지연되면 반환 공여지 개발사업도 차질을 빚게 돼 낙후된 경기 북부 발전에 큰 어려움이 예상된다”며 “지연에 따른 별도의 지원 대책 마련을 정부에 건의하겠다”고 말했다.

경기도	경기도/NNP
한배수	한배수/NNP
특별대책지역과장은	특별/NNG+대책/NNG+지역과장/NNG+은/JX
“미군기지	“/SS+미군/NNG+기지/NNG
이전이	이전/NNG+이/JKS
지연되면	지연/NNG+되/XSV+면/EC
반환	반환/NNG
공여지	공여지/NNG
개발사업도	개발/NNG+사업/NNG+도/JX
차질을	차질/NNG+을/JKO
빚게	빚/VV+게/EC
돼	되/VV+어/EC
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
경기	경기/NNP
북부	북부/NNG
발전에	발전/NNG+에/JKB
큰	크/VA+ㄴ/ETM
어려움이	어려움/NNG+이/JKS
예상된다”며	예상/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“지연에	“/SS+지연/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
지원	지원/NNG
대책	대책/NNG
마련을	마련/NNG+을/JKO
정부에	정부/NNG+에/JKB
건의하겠다”고	건의/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.12.1
동두천시의 캠프 케이시와 호비는 각각 면적이 1400만 m²가 넘는다.

동두천시의	동두천시/NNP+의/JKG
캠프	캠프/NNG
케이시와	케이시/NNP+와/JC
호비는	호비/NNP+는/JX
각각	각각/MAG
면적이	면적/NNG+이/JKS
1400만	1400/SN+만/NR
m²가	m²/SW+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000021.4.12.2
이 기지들을 포함해 동두천시의 미군기지 면적은 전체 시 면적의 42%를 차지한다.

이	이/MMD
기지들을	기지/NNG+들/XSN+을/JKO
포함해	포함/NNG+하/XSV+아/EC
동두천시의	동두천시/NNP+의/JKG
미군기지	미군/NNG+기지/NNG
면적은	면적/NNG+은/JX
전체	전체/NNG
시	시/NNG
면적의	면적/NNG+의/JKG
42%를	42/SN+%/SW+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.4.12.3
이 때문에 동두천에는 변변한 문화·교육 시설이 자리 잡기 어려웠고 클럽과 환전상 등 미군에 의존한 상업만 번성했다.

이	이/NP
때문에	때문/NNB+에/JKB
동두천에는	동두천/NNP+에/JKB+는/JX
변변한	변변하/VA+ㄴ/ETM
문화·교육	문화/NNG+·/SP+교육/NNG
시설이	시설/NNG+이/JKS
자리	자리/NNG
잡기	잡/VV+기/ETN
어려웠고	어렵/VA+었/EP+고/EC
클럽과	클럽/NNG+과/JC
환전상	환전상/NNG
등	등/NNB
미군에	미군/NNG+에/JKB
의존한	의존/NNG+하/XSV+ㄴ/ETM
상업만	상업/NNG+만/JX
번성했다.	번성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.13.1
‘동두천시 관광특구상가 연합회’ 유준호 회장은 “최소한 미군이 언제 떠나는지는 정확히 알려줘야 미군을 상대로 하는 우리도 업종을 바꾸는 등 생계를 꾸려갈 대책을 세울 것 아니냐”며 “불확실하게 늦춰지는 기지 이전 계획은 우리에게도 큰 피해를 준다”고 말했다.

‘동두천시	‘/SS+동두천시/NNP
관광특구상가	관광특구/NNG+상가/NNG
연합회’	연합회/NNG+’/SS
유준호	유준호/NNP
회장은	회장/NNG+은/JX
“최소한	“/SS+최소한/MAG
미군이	미군/NNG+이/JKS
언제	언제/MAG
떠나는지는	떠나/VV+는지/EC+는/JX
정확히	정확히/MAG
알려줘야	알리/VV+어/EC+주/VX+어야/EC
미군을	미군/NNG+을/JKO
상대로	상대/NNG+로/JKB
하는	하/VV+는/ETM
우리도	우리/NP+도/JX
업종을	업종/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
등	등/NNB
생계를	생계/NNG+를/JKO
꾸려갈	꾸리/VV+어/EC+가/VX+ㄹ/ETM
대책을	대책/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
것	것/NNB
아니냐”며	아니/VCN+냐/EF+”/SS+며/EC
“불확실하게	“/SS+불확실/NNG+하/XSA+게/EC
늦춰지는	늦춰지/VV+는/ETM
기지	기지/NNG
이전	이전/NNG
계획은	계획/NNG+은/JX
우리에게도	우리/NP+에게/JKB+도/JX
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
준다”고	주/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.14.1
▽서울시, “영향 없다” 느긋=경기지역은 미군기지 이전 연기에 따른 불만의 목소리가 높지만 용산 미군기지가 있는 서울시는 다소 느긋한 표정이다.

▽서울시,	▽/SW+서울시/NNP+,/SP
“영향	“/SS+영향/NNG
없다”	없/VA+다/EF+”/SS
느긋=경기지역은	느긋/XR+=/SW+경기지역/NNP+은/JX
미군기지	미군/NNG+기지/NNG
이전	이전/NNG
연기에	연기/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
불만의	불만/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
높지만	높/VA+지만/EC
용산	용산/NNP
미군기지가	미군/NNG+기지/NNG+가/JKS
있는	있/VA+는/ETM
서울시는	서울시/NNP+는/JX
다소	다소/MAG
느긋한	느긋하/VA+ㄴ/ETM
표정이다.	표정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.4.15.1
서울시 관계자는 “2012년 말 공원 조성 공사를 시작해 2015년경 1단계로 시민들에게 개방할 예정이었으나 (용산기지 이전 2년 연기로) 착공이 다소 지연될 것으로 예상된다”며 “공원 조성 주체가 중앙정부이기 때문에 시는 정부와 긴밀히 협의해 이른 시일 내에 공원을 시민들에게 되돌려 줄 방침”이라고 말했다.

서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
“2012년	“/SS+2012/SN+년/NNB
말	말/NNB
공원	공원/NNG
조성	조성/NNG
공사를	공사/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
2015년경	2015/SN+년/NNB+경/XSN
1단계로	1/SN+단계/NNG+로/JKB
시민들에게	시민/NNG+들/XSN+에게/JKB
개방할	개방/NNG+하/XSV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
(용산기지	(/SS+용산기지/NNP
이전	이전/NNG
2년	2/SN+년/NNB
연기로)	연기/NNG+로/JKB+)/SS
착공이	착공/NNG+이/JKS
다소	다소/MAG
지연될	지연/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다”며	예상/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“공원	“/SS+공원/NNG
주체가	주체/NNG+가/JKS
중앙정부이기	중앙/NNG+정부/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
시는	시/NNG+는/JX
정부와	정부/NNG+와/JKB
긴밀히	긴밀히/MAG
협의해	협의/NNG+하/XSV+아/EC
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
내에	내/NNB+에/JKB
공원을	공원/NNG+을/JKO
되돌려	되돌리/VV+어/EC
줄	주/VX+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.16.1
정부 예산으로 용산기지를 공원화하기로 한 터라 일정이 조금 늦춰져도 서울시는 큰 부담이 없다.

정부	정부/NNG
예산으로	예산/NNG+으로/JKB
용산기지를	용산기지/NNP+를/JKO
공원화하기로	공원/NNG+화/XSN+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
터라	터/NNB+이/VCP+라/EC
일정이	일정/NNG+이/JKS
조금	조금/MAG
늦춰져도	늦춰지/VV+어도/EC
서울시는	서울시/NNP+는/JX
큰	크/VA+ㄴ/ETM
부담이	부담/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.4.17.1
현 용산 미군기지 일대 246만 m²는 단계적으로 공원이 조성돼 2045년에는 완전히 개장할 예정이었다.

현	현/MMD
용산	용산/NNP
미군기지	미군/NNG+기지/NNG
일대	일대/NNG
246만	246/SN+만/NR
m²는	m²/SW+는/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
공원이	공원/NNG+이/JKS
조성돼	조성/NNG+되/XSV+어/EC
2045년에는	2045/SN+년/NNB+에/JKB+는/JX
완전히	완전히/MAG
개장할	개장/NNG+하/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.4.18.1
■ 美2사단, 왜 2016년까지 이전 미루나… 盧정부 ‘이전연기 요청’ 불신 남아… ‘反美변수’ 고려 넉넉한 일정 원해

■	■/SW
美2사단,	美/SH+2/SN+사단/NNG+,/SP
왜	왜/MAG
2016년까지	2016/SN+년/NNB+까지/JX
이전	이전/NNG
미루나…	미루/VV+나/EF+…/SE
盧정부	盧/SH+정부/NNG
‘이전연기	‘/SS+이전/NNG+연기/NNG
요청’	요청/NNG+’/SS
불신	불신/NNG
남아…	남/VV+아/EF+…/SE
‘反美변수’	‘/SS+反美/SH+변수/NNG+’/SS
고려	고려/NNG
넉넉한	넉넉하/VA+ㄴ/ETM
일정	일정/NNG
원해	원/NNG+하/XSV+아/EF


# id : NWRW1800000021.4.19.1
한국과 미국 군 당국은 주한미군기지 이전사업 종합관리업체(PMC)가 최근 최종제안서를 제출함에 따라 이달 중 미군기지 이전 일정과 비용에 대한 최종 합의를 도출할 것이라고 국방부가 5일 밝혔다.

한국과	한국/NNP+과/JC
미국	미국/NNP
군	군/NNG
당국은	당국/NNG+은/JX
주한미군기지	주한/NNG+미군/NNG+기지/NNG
이전사업	이전/NNG+사업/NNG
종합관리업체(PMC)가	종합/NNG+관리/NNG+업체/NNG+(/SS+PMC/SL+)/SS+가/JKS
최근	최근/NNG
최종제안서를	최종/NNG+제안서/NNG+를/JKO
제출함에	제출/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이달	이달/NNG
중	중/NNB
미군기지	미군/NNG+기지/NNG
이전	이전/NNG
일정과	일정/NNG+과/JC
비용에	비용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최종	최종/NNG
합의를	합의/NNG+를/JKO
도출할	도출/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
국방부가	국방부/NNG+가/JKS
5일	5/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.4.20.1
국방부 기지이전사업단 관계자는 이날 “한미가 PMC의 최종제안서를 검토 중이며 큰 견해차가 없다”고 말했다.

국방부	국방부/NNG
기지이전사업단	기지이전사업단/NNP
관계자는	관계자/NNG+는/JX
이날	이날/NNG
“한미가	“/SS+한미/NNP+가/JKS
PMC의	PMC/SL+의/JKG
최종제안서를	최종/NNG+제안서/NNG+를/JKO
검토	검토/NNG
중이며	중/NNB+이/VCP+며/EC
큰	크/VA+ㄴ/ETM
견해차가	견해차/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.20.2
이상희 국방장관과 월터 샤프 주한미군사령관도 이른 시일 안에 합의 도출을 위한 최종 조율을 할 것으로 알려졌다.

이상희	이상희/NNP
국방장관과	국방/NNG+장관/NNG+과/JC
월터	월터/NNP
샤프	샤프/NNP
주한미군사령관도	주한/NNG+미군/NNG+사령관/NNG+도/JX
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
안에	안/NNG+에/JKB
합의	합의/NNG
도출을	도출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
최종	최종/NNG
조율을	조율/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.4.21.1
PMC는 미군기지 이전사업 전반을 총괄하는 한미 양국의 민간용역업체 컨소시엄으로 지난해 말 서울 용산기지는 2014년 말, 경기 북부의 미2사단은 2016년 상반기까지 이전을 끝내는 내용의 최종제안서를 한미 양국에 제출했다.

PMC는	PMC/SL+는/JX
미군기지	미군/NNG+기지/NNG
이전사업	이전/NNG+사업/NNG
전반을	전반/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
한미	한미/NNP
양국의	양국/NNG+의/JKG
민간용역업체	민간/NNG+용역업체/NNG
컨소시엄으로	컨소시엄/NNG+으로/JKB
지난해	지난해/NNG
말	말/NNB
서울	서울/NNP
용산기지는	용산기지/NNP+는/JX
2014년	2014/SN+년/NNB
말,	말/NNB+,/SP
경기	경기/NNP
북부의	북부/NNG+의/JKG
미2사단은	미/NNP+2/SN+사단/NNG+은/JX
2016년	2016/SN+년/NNB
상반기까지	상반기/NNG+까지/JX
이전을	이전/NNG+을/JKO
끝내는	끝내/VV+는/ETM
내용의	내용/NNG+의/JKG
최종제안서를	최종/NNG+제안서/NNG+를/JKO
양국에	양국/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.21.2
▶본보 5일자 A1면 참조

▶본보	▶/SW+본보/NNG
5일자	5/SN+일자/NNG
A1면	A/SL+1/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000021.4.22.1
그러나 군 일각에서는 곧바로 합의가 이뤄질 것으로 낙관하기에는 아직 이르다는 관측도 나온다.

그러나	그러나/MAJ
군	군/NNG
일각에서는	일각/NNG+에서/JKB+는/JX
곧바로	곧바로/MAG
합의가	합의/NNG+가/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
낙관하기에는	낙관/NNG+하/XSV+기/ETN+에/JKB+는/JX
아직	아직/MAG
이르다는	이르/VA+다는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.4.23.1
한국 측은 여전히 용산기지와 미2사단 모두 2014년까지 이전을 끝낼 것을 요구하고 있으나 미국 측이 용산기지는 2014년 말까지 이전을 완료할 수 있겠지만 미2사단은 예산 확보가 힘들어 2016년에나 이전을 끝낼 수 있다는 방침을 고수하고 있기 때문이다.

한국	한국/NNP
측은	측/NNB+은/JX
여전히	여전히/MAG
용산기지와	용산기지/NNP+와/JC
미2사단	미/NNP+2/SN+사단/NNG
모두	모두/MAG
2014년까지	2014/SN+년/NNB+까지/JX
이전을	이전/NNG+을/JKO
끝낼	끝내/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
미국	미국/NNP
측이	측/NNB+이/JKS
용산기지는	용산기지/NNP+는/JX
2014년	2014/SN+년/NNB
말까지	말/NNB+까지/JX
완료할	완료/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠지만	있/VA+겠/EP+지만/EC
미2사단은	미/NNP+2/SN+사단/NNG+은/JX
예산	예산/NNG
확보가	확보/NNG+가/JKS
힘들어	힘들/VA+어/EC
2016년에나	2016/SN+년/NNB+에/JKB+나/JX
있다는	있/VA+다는/ETM
방침을	방침/NNG+을/JKO
고수하고	고수/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.4.23.2
특히 미국 측이 ‘2016년’을 고수하는 또 다른 이유는 노무현 정부 때처럼 한국이 합의 후 일정 변경을 요구할지 모른다는 우려 때문이라고 군 소식통은 전했다.

특히	특히/MAG
미국	미국/NNP
측이	측/NNB+이/JKS
‘2016년’을	‘/SS+2016/SN+년/NNB+’/SS+을/JKO
고수하는	고수/NNG+하/XSV+는/ETM
또	또/MAG
다른	다른/MMD
이유는	이유/NNG+는/JX
노무현	노무현/NNP
정부	정부/NNG
때처럼	때/NNG+처럼/JKB
한국이	한국/NNP+이/JKS
합의	합의/NNG
후	후/NNG
일정	일정/NNG
변경을	변경/NNG+을/JKO
요구할지	요구/NNG+하/XSV+ㄹ지/EF
모른다는	모르/VV+ㄴ다는/ETM
우려	우려/NNG
때문이라고	때문/NNB+이/VCP+라고/EC
군	군/NNG
소식통은	소식통/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.24.1
