# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.364
metadata : {}


# id : NWRW1800000044.364.1.1
정성근, 지난해 “공지영·조국 등 북한 가서 살 자유 있다”

정성근,	정성근/NNP+,/SP
올린	올리/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
9~11월은	9/SN+~/SO+11/SN+월/NNB+은/JX
지난	지나/VV+ㄴ/ETM
대선	대선/NNG
당시	당시/NNG
국가정보원	국가/NNG+정보원/NNG
요원들이	요원/NNG+들/XSN+이/JKS
야당	야당/NNG
후보를	후보/NNG+를/JKO
비난하는	비난/NNG+하/XSV+는/ETM
인터넷	인터넷/NNG
댓글을	댓글/NNG+을/JKO
조직적으로	조직/NNG+적/XSN+으로/JKB
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
대통령	대통령/NNG
사과와	사과/NNG+와/JC
특검	특검/NNG
도입을	도입/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
촛불시위가	촛불/NNG+시위/NNG+가/JKS
확산되던	확산/NNG+되/XSV+던/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.364.8.1
국정원 대선개입을 비판하며 시국미사를 주도한 천주교 정의구현사제단에 대해선 “갈등 야기적, 무늬만 신앙인”이라며 “천주교 주교회의는 이들을 경고하고 축출하기 바란다”고 말했다.

국정원	국정원/NNG
대선개입을	대선/NNG+개입/NNG+을/JKO
비판하며	비판/NNG+하/XSV+며/EC
시국미사를	시국/NNG+미사/NNG+를/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
천주교	천주교/NNG
정의구현사제단에	정의구현사제단/NNP+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“갈등	“/SS+갈등/NNG
야기적,	야기/NNG+적/XSN+,/SP
무늬만	무늬/NNG+만/JX
신앙인”이라며	신앙인/NNG+”/SS+이/VCP+라며/EC
“천주교	“/SS+천주교/NNG
주교회의는	주교/NNG+회의/NNG+는/JX
이들을	이/NP+들/XSN+을/JKO
경고하고	경고/NNG+하/XSV+고/EC
축출하기	축출/NNG+하/XSV+기/ETN
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.364.8.2
종교활동을 지원해야 할 주무부처 장관 후보자의 종교관으로는 지나치게 편협하다는 비판이 가능한 대목이다.

종교활동을	종교/NNG+활동/NNG+을/JKO
지원해야	지원/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
주무부처	주무/NNG+부처/NNG
장관	장관/NNG
후보자의	후보자/NNG+의/JKG
종교관으로는	종교관/NNG+으로/JKB+는/JX
지나치게	지나치/VA+게/EC
편협하다는	편협/NNG+하/XSA+다는/ETM
비판이	비판/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.364.9.1
대선 당시 박근혜 캠프 공보위원으로 활동한 이력을 발판 삼아 <아리랑티브이(TV)> 사장에 취임한 뒤에도 정치적 발언을 이어갔다.

대선	대선/NNG
당시	당시/NNG
박근혜	박근혜/NNP
캠프	캠프/NNG
공보위원으로	공보/NNG+위원/NNG+으로/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
이력을	이력/NNG+을/JKO
발판	발판/NNG
삼아	삼/VV+아/EC
<아리랑티브이(TV)>	</SS+아리랑티브이/NNP+(/SS+TV/SL+)/SS+>/SS
사장에	사장/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
정치적	정치/NNG+적/XSN
발언을	발언/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.364.9.2
올해 4월7일에는 “최근 모 정치인의 좌충우돌을 보며 문득 떠오른 영상”이라며 “순백의 라임 요거트 아이스크림에 구정물이 튀었다”고 조롱했다.

올해	올해/NNG
4월7일에는	4/SN+월/NNB+7/SN+일/NNB+에/JKB+는/JX
“최근	“/SS+최근/NNG
모	모/MMD
정치인의	정치인/NNG+의/JKG
좌충우돌을	좌충우돌/NNG+을/JKO
보며	보/VV+며/EC
문득	문득/MAG
떠오른	떠오르/VV+ㄴ/ETM
영상”이라며	영상/NNG+”/SS+이/VCP+라며/EC
“순백의	“/SS+순백/NNG+의/JKG
라임	라임/NNG
요거트	요거트/NNG
아이스크림에	아이스크림/NNG+에/JKB
구정물이	구정물/NNG+이/JKS
튀었다”고	튀/VV+었/EP+다/EF+”/SS+고/JKQ
조롱했다.	조롱/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.364.9.3
새정치민주연합 안철수 공동대표가 기초선거 무공천 여부를 당원·국민여론을 물어 결정하겠다고 밝힌 직후인 점으로 미뤄 안 대표를 겨냥한 것으로 보인다.

새정치민주연합	새정치민주연합/NNP
안철수	안철수/NNP
공동대표가	공동/NNG+대표/NNG+가/JKS
기초선거	기초/NNG+선거/NNG
무공천	무/XPN+공천/NNG
여부를	여부/NNG+를/JKO
당원·국민여론을	당원/NNG+·/SP+국민/NNG+여론/NNG+을/JKO
물어	묻/VV+어/EC
결정하겠다고	결정/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
직후인	직후/NNG+이/VCP+ㄴ/ETM
점으로	점/NNG+으로/JKB
미뤄	미루/VV+어/EC
안	안/NNP
대표를	대표/NNG+를/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.364.10.1
조정식 의원은 “정 후보자의 이념 편향성이 정상적 공무수행을 할 수 없을 정도로 도를 넘었다.

조정식	조정식/NNP
의원은	의원/NNG+은/JX
“정	“/SS+정/NNP
후보자의	후보자/NNG+의/JKG
이념	이념/NNG
편향성이	편향/NNG+성/XSN+이/JKS
정상적	정상/NNG+적/XSN
공무수행을	공무/NNG+수행/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
도를	도/NNG+를/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.364.10.2
박 대통령의 ‘에스엔에스(SNS) 호위무사’ 역할을 자처하지 않았다면 올해 3월 <아리랑티브이> 사장에 오른 지 불과 석달 만에 문광부 장관으로 초고속 승진할 수 있었겠느냐”며 “측근 챙기기 보은인사를 중단하고 검증된 인물을 다시 내놔야 한다”고 말했다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
‘에스엔에스(SNS)	‘/SS+에스엔에스/NNG+(/SS+SNS/SL+)/SS
호위무사’	호위/NNG+무사/NNG+’/SS
역할을	역할/NNG+을/JKO
자처하지	자처/NNG+하/XSV+지/EC
않았다면	않/VX+았/EP+다면/EC
올해	올해/NNG
3월	3/SN+월/NNB
<아리랑티브이>	</SS+아리랑티브이/NNP+>/SS
사장에	사장/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
지	지/NNB
불과	불과/MAG
석달	석/MMN+달/NNB
만에	만/NNB+에/JKB
문광부	문광부/NNG
장관으로	장관/NNG+으로/JKB
초고속	초/XPN+고속/NNG
승진할	승진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었겠느냐”며	있/VA+었/EP+겠/EP+느냐/EF+”/SS+며/EC
“측근	“/SS+측근/NNG
챙기기	챙기/VV+기/ETN
보은인사를	보은/NNG+인사/NNG+를/JKO
중단하고	중단/NNG+하/XSV+고/EC
검증된	검증/NNG+되/XSV+ㄴ/ETM
인물을	인물/NNG+을/JKO
다시	다시/MAG
내놔야	내놓/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.364.11.1
정 후보자는 <한겨레>와의 통화에서 “정치적 야인으로 있던 시절 쓴 글로, 당시 야당뿐 아니라 새누리당의 잘못도 자주 지적했다”며 “여러 글 중에 한쪽 글만 추려내 비판하니 억울함은 있지만, 지적하신 부분 겸허히 받아들인다”고 말했다.

정	정/NNP
후보자는	후보자/NNG+는/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“정치적	“/SS+정치/NNG+적/XSN
야인으로	야인/NNG+으로/JKB
있던	있/VA+던/ETM
시절	시절/NNG
쓴	쓰/VV+ㄴ/ETM
글로,	글/NNG+로/JKB+,/SP
당시	당시/NNG
야당뿐	야당/NNG+뿐/JX
아니라	아니/VCN+라/EC
새누리당의	새누리당/NNP+의/JKG
잘못도	잘못/NNG+도/JX
자주	자주/MAG
지적했다”며	지적/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“여러	“/SS+여러/MMN
글	글/NNG
중에	중/NNB+에/JKB
한쪽	한쪽/NNG
글만	글/NNG+만/JX
추려내	추리/VV+어/EC+내/VX+어/EC
비판하니	비판/NNG+하/XSV+니/EC
억울함은	억울/NNG+하/XSA+ㅁ/ETN+은/JX
있지만,	있/VA+지만/EC+,/SP
지적하신	지적/NNG+하/XSV+시/EP+ㄴ/ETM
부분	부분/NNG
겸허히	겸허히/MAG
받아들인다”고	받아들이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


