# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.214
metadata : {}


# id : NWRW1800000037.214.1.1
‘꿀벅지’일수록 당뇨병 걸릴 가능성 낮다

‘꿀벅지’일수록	‘/SS+꿀벅지/NNG+’/SS+이/VCP+ㄹ수록/EC
# id : NWRW1800000037.214.7.1
또 지 교수는 16만 명의 KMI 자료를 분석해 ‘신체 계측치를 이용한 당뇨병 위험도 모형’을 만들었다.

또	또/MAG
지	지/NNP
교수는	교수/NNG+는/JX
16만	16/SN+만/NR
명의	명/NNB+의/JKG
KMI	KMI/SL
자료를	자료/NNG+를/JKO
분석해	분석/NNG+하/XSV+아/EC
‘신체	‘/SS+신체/NNG
계측치를	계측/NNG+치/XSN+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
당뇨병	당뇨병/NNG
위험도	위험도/NNG
모형’을	모형/NNG+’/SS+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.214.7.2
나이와 허벅지둘레, 허리둘레 등 체격 측정치만으로 당뇨병에 걸릴 위험도를 예측할 수 있는 모형으로 정확도는 81.1%로 나타났다.

나이와	나이/NNG+와/JC
허벅지둘레,	허벅지/NNG+둘레/NNG+,/SP
허리둘레	허리둘레/NNG
등	등/NNB
체격	체격/NNG
측정치만으로	측정/NNG+치/XSN+만/JX+으로/JKB
당뇨병에	당뇨병/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
위험도를	위험도/NNG+를/JKO
예측할	예측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모형으로	모형/NNG+으로/JKB
정확도는	정확도/NNG+는/JX
81.1%로	81/SN+./SP+1/SN+%/SW+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.214.7.3
앞으로 KMI는 건강검진을 받는 고객들에게 당뇨병 위험도 정보를 제공하는 이 모형을 활용할 예정이다.

앞으로	앞/NNG+으로/JKB
KMI는	KMI/SL+는/JX
건강검진을	건강/NNG+검진/NNG+을/JKO
받는	받/VV+는/ETM
고객들에게	고객/NNG+들/XSN+에게/JKB
당뇨병	당뇨병/NNG
위험도	위험도/NNG
정보를	정보/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
이	이/MMD
모형을	모형/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.214.8.1
지 교수는 “이 기술은 혈액 검사 없이 간단한 체격 측정만으로 개인의 당뇨병 위험도를 예측할 수 있어 향후 당뇨병 예방과 관리에 널리 활용될 수 있다”라며 “후속 연구를 계속해 연구 결과의 정확도와 신뢰도를 높이겠다”라고 말했다.

지	지/NNP
교수는	교수/NNG+는/JX
“이	“/SS+이/MMD
기술은	기술/NNG+은/JX
혈액	혈액/NNG
검사	검사/NNG
없이	없이/MAG
간단한	간단하/VA+ㄴ/ETM
체격	체격/NNG
측정만으로	측정/NNG+만/JX+으로/JKB
개인의	개인/NNG+의/JKG
당뇨병	당뇨병/NNG
위험도를	위험도/NNG+를/JKO
예측할	예측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
향후	향후/NNG
예방과	예방/NNG+과/JC
관리에	관리/NNG+에/JKB
널리	널리/MAG
활용될	활용/NNG+되/XSV+ㄹ/ETM
있다”라며	있/VA+다/EF+”/SS+이/VCP+라며/EC
“후속	“/SS+후속/NNG
연구를	연구/NNG+를/JKO
계속해	계속/NNG+하/XSV+아/EC
연구	연구/NNG
결과의	결과/NNG+의/JKG
정확도와	정확도/NNG+와/JC
신뢰도를	신뢰도/NNG+를/JKO
높이겠다”라고	높이/VV+겠/EP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


