# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.102
metadata : {}


# id : NWRW1800000056.102.1.1
리플릿, 세상을 여는 ‘문’

리플릿,	리플릿/NNG+,/SP
누군가	누구/NP+이/VCP+ㄴ가/EF
이	이/MMD
전시	전시/NNG
리플릿을	리플릿/NNG+을/JKO
들여다본다면	들여다보/VV+ㄴ다면/EC
거기서	거기/NP+서/JKB
무엇을	무엇/NP+을/JKO
보게	보/VV+게/EC
될까?	되/VV+ㄹ까/EF+?/SF


# id : NWRW1800000056.102.5.3
2017년 한국 사회에서 낯설지 않은, 불행한 가정·정치인들의 거짓·삼성공화국을 통해 지금, 여기 한국 사회의 부조리와 만나게 될 것이다.

2017년	2017/SN+년/NNB
한국	한국/NNP
사회에서	사회/NNG+에서/JKB
낯설지	낯설/VA+지/EC
않은,	않/VX+은/ETM+,/SP
불행한	불행/NNG+하/XSA+ㄴ/ETM
가정·정치인들의	가정/NNG+·/SP+정치인/NNG+들/XSN+의/JKG
거짓·삼성공화국을	거짓/NNG+·/SP+삼성/NNP+공화국/NNG+을/JKO
통해	통하/VV+아/EC
지금,	지금/MAG+,/SP
여기	여기/NP
사회의	사회/NNG+의/JKG
부조리와	부/XPN+조리/NNG+와/JKB
만나게	만나/VV+게/EC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.102.6.1
미술은 사회를 반영하며, 리플릿은 미술작품을 압축된 시어처럼 함축적으로 설명한다.

미술은	미술/NNG+은/JX
사회를	사회/NNG+를/JKO
반영하며,	반영/NNG+하/XSV+며/EC+,/SP
리플릿은	리플릿/NNG+은/JX
미술작품을	미술/NNG+작품/NNG+을/JKO
압축된	압축/NNG+되/XSV+ㄴ/ETM
시어처럼	시어/NNG+처럼/JKB
함축적으로	함축/NNG+적/XSN+으로/JKB
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.102.6.2
이 때문에 리플릿은 단순한 ‘전시 광고지’를 넘어 그 시대의 전시와 문화, 사회를 들여다 볼 수 있는 사료이자 출입문이 된다.

이	이/NP
때문에	때문/NNB+에/JKB
리플릿은	리플릿/NNG+은/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
‘전시	‘/SS+전시/NNG
광고지’를	광고지/NNG+’/SS+를/JKO
넘어	넘/VV+어/EC
그	그/MMD
시대의	시대/NNG+의/JKG
전시와	전시/NNG+와/JC
문화,	문화/NNG+,/SP
사회를	사회/NNG+를/JKO
들여다	들이/VV+어다/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사료이자	사료/NNG+이/VCP+자/EC
출입문이	출입문/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.102.7.1
<리플릿>은 백민석 작가가 수집한 리플릿을 펼쳐놓고 미술을 통해 세상을 들여다 본 책이다.

<리플릿>은	</SS+리플릿/NNG+>/SS+은/JX
백민석	백민석/NNP
작가가	작가/NNG+가/JKS
수집한	수집/NNG+하/XSV+ㄴ/ETM
리플릿을	리플릿/NNG+을/JKO
펼쳐놓고	펼치/VV+어/EC+놓/VX+고/EC
미술을	미술/NNG+을/JKO
통해	통하/VV+아/EC
세상을	세상/NNG+을/JKO
들여다	들이/VV+어다/EC
본	보/VV+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.102.7.2
백 작가는 1995년 등단 이후 신선하고도 기괴한 문학의 새로운 경향을 이끌었던 소설가다.

백	백/NNP
작가는	작가/NNG+는/JX
1995년	1995/SN+년/NNB
등단	등단/NNG
이후	이후/NNG
신선하고도	신선하/VA+고도/EC
기괴한	기괴하/VA+ㄴ/ETM
문학의	문학/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
경향을	경향/NNG+을/JKO
이끌었던	이끌/VV+었/EP+던/ETM
소설가다.	소설가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.102.7.3
그는 8년간 왕성하게 작품활동을 하던 때에도, 돌연 10년간 절필했던 기간에도 미술관을 다녔다.

그는	그/NP+는/JX
8년간	8/SN+년/NNB+간/XSN
왕성하게	왕성/NNG+하/XSA+게/EC
작품활동을	작품/NNG+활동/NNG+을/JKO
하던	하/VV+던/ETM
때에도,	때/NNG+에/JKB+도/JX+,/SP
돌연	돌연/MAG
10년간	10/SN+년/NNB+간/XSN
절필했던	절필/NNG+하/XSV+았/EP+던/ETM
기간에도	기간/NNG+에/JKB+도/JX
미술관을	미술관/NNG+을/JKO
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.102.7.4
책은 그가 복귀한 이후 2015년 3월부터 1년간 <한겨레>에 연재했던 ‘백민석의 리플릿’ 26편을 묶어낸 것이다.

책은	책/NNG+은/JX
그가	그/NP+가/JKS
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
2015년	2015/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
1년간	1/SN+년/NNB+간/XSN
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
연재했던	연재/NNG+하/XSV+았/EP+던/ETM
‘백민석의	‘/SS+백민석/NNP+의/JKG
리플릿’	리플릿/NNG+’/SS
26편을	26/SN+편/NNB+을/JKO
묶어낸	묶/VV+어/EC+내/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.102.8.1
백 작가가 모은 리플릿 100여장은 지난 20년 한국의 미술과 사회로 여행을 떠날 수 있는 그럴듯한 사료가 되었다.

백	백/NNP
작가가	작가/NNG+가/JKS
모은	모으/VV+ㄴ/ETM
리플릿	리플릿/NNG
100여장은	100/SN+여/XSN+장/NNB+은/JX
지난	지나/VV+ㄴ/ETM
20년	20/SN+년/NNB
한국의	한국/NNP+의/JKG
미술과	미술/NNG+과/JC
사회로	사회/NNG+로/JKB
여행을	여행/NNG+을/JKO
떠날	떠나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
그럴듯한	그럴듯하/VA+ㄴ/ETM
사료가	사료/NNG+가/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.102.8.2
그는 연재 마지막회에서 “여러 작가의 여러 작품을 다루면서 평가하지 않고 나름대로 분석하려 했다”며 “작품을 선택할 때도 작품에 대한 평가가 아닌, 오로지 제 취향만을 기준으로 삼았다”고 했다.

그는	그/NP+는/JX
연재	연재/NNG
마지막회에서	마지막/NNG+회/NNB+에서/JKB
“여러	“/SS+여러/MMN
작가의	작가/NNG+의/JKG
여러	여러/MMN
작품을	작품/NNG+을/JKO
다루면서	다루/VV+면서/EC
평가하지	평가/NNG+하/XSV+지/EC
않고	않/VX+고/EC
나름대로	나름/NNB+대로/JX
분석하려	분석/NNG+하/XSV+려/EC
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
“작품을	“/SS+작품/NNG+을/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
작품에	작품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가가	평가/NNG+가/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
오로지	오로지/MAG
제	저/NP+의/JKG
취향만을	취향/NNG+만/JX+을/JKO
기준으로	기준/NNG+으로/JKB
삼았다”고	삼/VV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.102.8.3
그러나 미술 작품 속에 묘사된 현대인을 ‘거대도시 속에서 짓눌리면서도 어깨 위 세상을 내려놓지 못하는 콘크리트 아틀라스’로 풀어내려간 작가의 통찰은 사회학적 탐사로 봐도 손색이 없다.

그러나	그러나/MAJ
미술	미술/NNG
작품	작품/NNG
속에	속/NNG+에/JKB
묘사된	묘사/NNG+되/XSV+ㄴ/ETM
현대인을	현대인/NNG+을/JKO
‘거대도시	‘/SS+거대/NNG+도시/NNG
속에서	속/NNG+에서/JKB
짓눌리면서도	짓눌리/VV+면서/EC+도/JX
어깨	어깨/NNG
위	위/NNG
세상을	세상/NNG+을/JKO
내려놓지	내려놓/VV+지/EC
못하는	못하/VX+는/ETM
콘크리트	콘크리트/NNG
아틀라스’로	아틀라스/NNP+’/SS+로/JKB
풀어내려간	풀/VV+어/EC+내려가/VV+ㄴ/ETM
작가의	작가/NNG+의/JKG
통찰은	통찰/NNG+은/JX
사회학적	사회학/NNG+적/XSN
탐사로	탐사/NNG+로/JKB
봐도	보/VV+아도/EC
손색이	손색/NNG+이/JKS
없다.	없/VA+다/EF+./SF


