# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.281
metadata : {}


# id : NWRW1800000040.281.1.1
‘호타준족’ 박재홍 은퇴…“직설적 야구해설 기대하세요”

‘호타준족’	‘/SS+호타준족/NNG+’/SS
호텔에서	호텔/NNG+에서/JKB
은퇴	은퇴/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
연	열/VV+ㄴ/ETM
박재홍(40·사진)은	박재홍/NNP+(/SS+40/SN+·/SP+사진/NNG+)/SS+은/JX
“마지막	“/SS+마지막/NNG
야구	야구/NNG
인생을	인생/NNG+을/JKO
걸고	걸/VV+고/EC
기록을	기록/NNG+을/JKO
이루고	이루/VV+고/EC
싶었지만	싶/VX+었/EP+지만/EC
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000040.281.6.3
그러나 30(홈런)-30(도루)을 세번 달성하며 팬들에게 감동과 즐거움을 줬다고 생각한다”며 ‘호타준족’으로서의 성공적인 야구 인생을 회상하며 눈시울을 붉혔다.

그러나	그러나/MAJ
30(홈런)-30(도루)을	30/SN+(/SS+홈런/NNG+)/SS+-/SO+30/SN+(/SS+도루/NNG+)/SS+을/JKO
세번	세/MMN+번/NNB
달성하며	달성/NNG+하/XSV+며/EC
팬들에게	팬/NNG+들/XSN+에게/JKB
감동과	감동/NNG+과/JC
즐거움을	즐거움/NNG+을/JKO
줬다고	주/VV+었/EP+다고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
‘호타준족’으로서의	‘/SS+호타준족/NNG+’/SS+으로서/JKB+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
야구	야구/NNG
인생을	인생/NNG+을/JKO
회상하며	회상/NNG+하/XSV+며/EC
눈시울을	눈시울/NNG+을/JKO
붉혔다.	붉히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.281.7.1
은퇴는 자신의 의지보다는 환경의 영향이 컸다.

은퇴는	은퇴/NNG+는/JX
자신의	자신/NNG+의/JKG
의지보다는	의지/NNG+보다/JKB+는/JX
환경의	환경/NNG+의/JKG
영향이	영향/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.281.7.2
박재홍은 1996년 현대 유니콘스에 입단한 첫해 타율 0.295, 30홈런 108타점 36도루로 한국 프로야구 사상 최초로 30-30클럽에 가입했다.

박재홍은	박재홍/NNP+은/JX
1996년	1996/SN+년/NNB
현대	현대/NNP
유니콘스에	유니콘스/NNP+에/JKB
입단한	입단/NNG+하/XSV+ㄴ/ETM
첫해	첫해/NNG
타율	타율/NNG
0.295,	0/SN+./SP+295/SN+,/SP
30홈런	30/SN+홈런/NNG
108타점	108/SN+타점/NNG
36도루로	36/SN+도루/NNG+로/JKB
한국	한국/NNP
프로야구	프로/NNG+야구/NNG
사상	사상/NNG
최초로	최초/NNG+로/JKB
30-30클럽에	30/SN+-/SO+30/SN+클럽/NNG+에/JKB
가입했다.	가입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.281.7.3
1998년, 2000년에도 30-30클럽에 들었다.

1998년,	1998/SN+년/NNB+,/SP
2000년에도	2000/SN+년/NNB+에/JKB+도/JX
30-30클럽에	30/SN+-/SO+30/SN+클럽/NNG+에/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.281.7.4
세번의 30-30클럽을 이룬 선수는 박재홍이 유일하다.

세번의	세/MMN+번/NNB+의/JKG
30-30클럽을	30/SN+-/SO+30/SN+클럽/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
박재홍이	박재홍/NNP+이/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.281.7.5
메이저리그에서도 8명밖에 달성하지 못한 300-300을 이루려고 에스케이의 코치 연수 제의도 거절했지만 결국 은퇴를 결정했다.

메이저리그에서도	메이저리그/NNG+에서/JKB+도/JX
8명밖에	8/SN+명/NNB+밖에/JX
달성하지	달성/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
300-300을	300/SN+-/SO+300/SN+을/JKO
이루려고	이루/VV+려고/EC
에스케이의	에스케이/NNP+의/JKG
코치	코치/NNG
연수	연수/NNG
제의도	제의/NNG+도/JX
거절했지만	거절/NNG+하/XSV+았/EP+지만/EC
결국	결국/MAG
은퇴를	은퇴/NNG+를/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.281.7.6
“1월 초까지도 방망이를 휘두르며 연습했지만 찾는 팀이 없어 현역 의지가 많이 꺾였다.

“1월	“/SS+1/SN+월/NNB
초까지도	초/NNB+까지/JX+도/JX
방망이를	방망이/NNG+를/JKO
휘두르며	휘두르/VV+며/EC
연습했지만	연습/NNG+하/XSV+았/EP+지만/EC
찾는	찾/VV+는/ETM
팀이	팀/NNG+이/JKS
없어	없/VA+어/EC
현역	현역/NNG
의지가	의지/NNG+가/JKS
많이	많이/MAG
꺾였다.	꺾이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.281.7.7
불러주겠다는 팀이 있었으나 결국 힘들겠다는 답을 받고는 그만둘 때가 됐다고 생각했다.”

불러주겠다는	부르/VV+어/EC+주/VX+겠/EP+다는/ETM
팀이	팀/NNG+이/JKS
있었으나	있/VA+었/EP+으나/EC
결국	결국/MAG
힘들겠다는	힘들/VA+겠/EP+다는/ETM
답을	답/NNG+을/JKO
받고는	받/VV+고/EC+는/JX
그만둘	그만두/VV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다고	되/VV+었/EP+다고/EC
생각했다.”	생각/NNG+하/XSV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000040.281.8.1
구단에서 부담스러워하는 프로야구선수협회장 자리가 현역 연장에 걸림돌이 됐다는 얘기도 나온다.

구단에서	구단/NNG+에서/JKB
부담스러워하는	부담/NNG+스럽/XSA+어/EC+하/VX+는/ETM
프로야구선수협회장	프로야구선수협회장/NNG
자리가	자리/NNG+가/JKS
현역	현역/NNG
연장에	연장/NNG+에/JKB
걸림돌이	걸림돌/NNG+이/JKC
됐다는	되/VV+었/EP+다는/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.281.8.2
그는 “그런 말이 나오는 일은 있었지만 주된 이유는 아니다.

그는	그/NP+는/JX
“그런	“/SS+그런/MMD
말이	말/NNG+이/JKS
나오는	나오/VV+는/ETM
일은	일/NNG+은/JX
있었지만	있/VA+었/EP+지만/EC
주된	주/NNG+되/XSV+ㄴ/ETM
이유는	이유/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000040.281.8.3
선수협 회장직을 내려놓고 팀을 알아보라고 조언하는 분도 있었지만 비겁하다고 생각했다.

선수협	선수협/NNG
회장직을	회장직/NNG+을/JKO
내려놓고	내려놓/VV+고/EC
팀을	팀/NNG+을/JKO
알아보라고	알아보/VV+라고/EC
조언하는	조언/NNG+하/XSV+는/ETM
분도	분/NNB+도/JX
있었지만	있/VA+었/EP+지만/EC
비겁하다고	비겁하/VA+다고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.281.8.4
10구단 창단이 됐고 나는 혜택을 못 받지만 후배들이 좋은 환경에서 야구를 할 수 있다는 것이 뿌듯하다”고 했다.

10구단	10/SN+구단/NNG
창단이	창단/NNG+이/JKC
됐고	되/VV+었/EP+고/EC
나는	나/NP+는/JX
혜택을	혜택/NNG+을/JKO
못	못/MAG
받지만	받/VV+지만/EC
후배들이	후배/NNG+들/XSN+이/JKS
좋은	좋/VA+은/ETM
환경에서	환경/NNG+에서/JKB
야구를	야구/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
뿌듯하다”고	뿌듯하/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.281.8.5
현역 선수만 할 수 있다는 규정에 따라 선수협회장직도 반납한다.

현역	현역/NNG
선수만	선수/NNG+만/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
선수협회장직도	선수/NNG+협회장/NNG+직/NNG+도/JX
반납한다.	반납/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.281.9.1
제2의 인생은 지도자다.

제2의	제/XPN+2/SN+의/JKG
인생은	인생/NNG+은/JX
지도자다.	지도자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.281.9.2
당장은 <엠비시(MBC)스포츠플러스>에서 야구 해설가로 활동한다.

당장은	당장/NNG+은/JX
<엠비시(MBC)스포츠플러스>에서	</SS+엠비시/NNP+(/SS+MBC/SL+)/SS+스포츠플러스/NNP+>/SS+에서/JKB
야구	야구/NNG
해설가로	해설가/NNG+로/JKB
활동한다.	활동/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.281.9.3
“지금은 해설로 시작하지만 언젠가 현장에 복귀해 (지도자로서) 잘할 수 있도록 열심히 공부하겠다.”

“지금은	“/SS+지금/NNG+은/JX
해설로	해설/NNG+로/JKB
시작하지만	시작/NNG+하/XSV+지만/EC
언젠가	언젠가/MAG
현장에	현장/NNG+에/JKB
복귀해	복귀/NNG+하/XSV+아/EC
(지도자로서)	(/SS+지도자/NNG+로서/JKB+)/SS
잘할	잘/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
열심히	열심히/MAG
공부하겠다.”	공부/NNG+하/XSV+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000040.281.10.1
한때 한국 야구의 성장을 이끈 박재홍마저도 어쩔 수 없이 퇴장해야 하는 한국 스포츠계가 아쉽진 않을까.

한때	한때/MAG
한국	한국/NNP
야구의	야구/NNG+의/JKG
성장을	성장/NNG+을/JKO
이끈	이끌/VV+ㄴ/ETM
박재홍마저도	박재홍/NNP+마저/JX+도/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
퇴장해야	퇴장/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
스포츠계가	스포츠/NNG+계/XSN+가/JKS
아쉽진	아쉽/VA+지/EC+ㄴ/JX
않을까.	않/VX+을까/EF+./SF


# id : NWRW1800000040.281.10.2
박재홍은 “이제 선수도 하나의 콘텐츠다.

박재홍은	박재홍/NNP+은/JX
“이제	“/SS+이제/MAG
선수도	선수/NNG+도/JX
하나의	하나/NR+의/JKG
콘텐츠다.	콘텐츠/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.281.10.3
팬들 중에는 옛 콘텐츠를 보고 싶어하는 이들도 있다.

팬들	팬/NNG+들/XSN
중에는	중/NNB+에/JKB+는/JX
옛	옛/MMA
콘텐츠를	콘텐츠/NNG+를/JKO
보고	보/VV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
이들도	이/NNB+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.281.10.4
구단은 젊은 선수를 키워야 하지만 서로 조금 더 존중한다면 더 오래 뛰면서 팬들과 헤어질 때도 좋은 추억을 남길 기회가 오리라 생각한다”고 말했다.

구단은	구단/NNG+은/JX
젊은	젊/VA+은/ETM
선수를	선수/NNG+를/JKO
키워야	키우/VV+어야/EC
하지만	하/VX+지만/EC
서로	서로/MAG
조금	조금/MAG
더	더/MAG
존중한다면	존중/NNG+하/XSV+ㄴ다면/EC
오래	오래/MAG
뛰면서	뛰/VV+면서/EC
팬들과	팬/NNG+들/XSN+과/JKB
헤어질	헤어지/VV+ㄹ/ETM
때도	때/NNG+도/JX
좋은	좋/VA+은/ETM
추억을	추억/NNG+을/JKO
남길	남기/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
오리라	오/VV+리라/EF
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


