# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.272
metadata : {}


# id : NWRW1800000052.272.1.1
“핸드볼 보러 오세요”

“핸드볼	“/SS+핸드볼/NNG
리그는	리그/NNG+는/JX
올해부터	올해/NNG+부터/JX
주말	주말/NNG
리그를	리그/NNG+를/JKO
활성화하는	활성/NNG+화/XSN+하/XSV+는/ETM
등	등/NNB
일정을	일정/NNG+을/JKO
대폭	대폭/MAG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.272.5.2
경기 일정을 주말인 금요일부터 일요일까지로 편성하고 경기 시작 시간도 금요일은 오후 5시, 주말은 오후 2시로 정했다.

경기	경기/NNG
일정을	일정/NNG+을/JKO
주말인	주말/NNG+이/VCP+ㄴ/ETM
금요일부터	금요일/NNG+부터/JX
일요일까지로	일요일/NNG+까지/JX+로/JKB
편성하고	편성/NNG+하/XSV+고/EC
시작	시작/NNG
시간도	시간/NNG+도/JX
금요일은	금요일/NNG+은/JX
오후	오후/NNG
5시,	5/SN+시/NNB+,/SP
주말은	주말/NNG+은/JX
2시로	2/SN+시/NNB+로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.272.5.3
8개 팀이 참가하는 여자부는 연고지를 중심으로 홈 앤드 어웨이 방식으로 열릴 예정이다.

8개	8/SN+개/NNB
팀이	팀/NNG+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
여자부는	여자부/NNG+는/JX
연고지를	연고지/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
홈	홈/NNG
앤드	앤드/NNG
어웨이	어웨이/NNG
방식으로	방식/NNG+으로/JKB
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.272.5.4
반면 남자부는 코로사가 팀 해체를 통보하면서 4개 팀으로 줄었다.

반면	반면/NNG
남자부는	남자부/NNG+는/JX
코로사가	코로사/NNP+가/JKS
팀	팀/NNG
해체를	해체/NNG+를/JKO
통보하면서	통보/NNG+하/XSV+면서/EC
4개	4/SN+개/NNB
팀으로	팀/NNG+으로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.272.6.1
27일 오전 서울 프레스센터에서 열린 미디어데이에 참석한 여자부 감독과 주요 선수들은 저마다 선전을 다짐했다.

27일	27/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
프레스센터에서	프레스센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
미디어데이에	미디어데이/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
여자부	여자부/NNG
감독과	감독/NNG+과/JC
주요	주요/NNG
선수들은	선수/NNG+들/XSN+은/JX
저마다	저마다/MAG
선전을	선전/NNG+을/JKO
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.272.6.2
임오경 서울시청 감독은 “2년 연속 챔프전에서 2위에 머물렀다”며 “정상을 향해 29일 개막전부터 최선을 다하겠다.

임오경	임오경/NNP
서울시청	서울시청/NNP
감독은	감독/NNG+은/JX
“2년	“/SS+2/SN+년/NNB
연속	연속/NNG
챔프전에서	챔프전/NNG+에서/JKB
2위에	2/SN+위/NNB+에/JKB
머물렀다”며	머무르/VV+었/EP+다/EF+”/SS+며/EC
“정상을	“/SS+정상/NNG+을/JKO
향해	향하/VV+아/EC
29일	29/SN+일/NNB
개막전부터	개막전/NNG+부터/JX
최선을	최선/NNG+을/JKO
다하겠다.	다/MAG+하/XSV+겠/EP+다/EF+./SF


# id : NWRW1800000052.272.6.3
올림픽에 힘입어 붐을 일으켰으면 좋겠다”고 말했다.

올림픽에	올림픽/NNG+에/JKB
힘입어	힘입/VV+어/EC
붐을	붐/NNG+을/JKO
일으켰으면	일으키/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.272.7.1
여자부는 지난해 우승팀 인천시청의 전력 누수가 눈에 띄는 가운데 서울시청·삼척시청·에스케이의 거센 도전이 예상되고 있다.

여자부는	여자부/NNG+는/JX
지난해	지난해/NNG
우승팀	우승/NNG+팀/NNG
인천시청의	인천시청/NNP+의/JKG
전력	전력/NNG
누수가	누수/NNG+가/JKS
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
가운데	가운데/NNG
서울시청·삼척시청·에스케이의	서울시청/NNP+·/SP+삼척시청/NNP+·/SP+에스케이/NNP+의/JKG
거센	거세/VA+ㄴ/ETM
도전이	도전/NNG+이/JKS
예상되고	예상/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.272.7.2
지난해 인천시청을 위협했던 서울시청과 삼척시청은 전년도 전력을 유지하고 있고, 에스케이의 경우 인천시청에서 자유계약선수(FA) 자격을 얻은 센터백 김온아와 라이트윙 김선화 자매를 영입했다.

지난해	지난해/NNG
인천시청을	인천시청/NNP+을/JKO
위협했던	위협/NNG+하/XSV+았/EP+던/ETM
서울시청과	서울시청/NNP+과/JC
삼척시청은	삼척시청/NNP+은/JX
전년도	전년도/NNG
전력을	전력/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
에스케이의	에스케이/NNP+의/JKG
경우	경우/NNG
인천시청에서	인천시청/NNP+에서/JKB
자유계약선수(FA)	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS
자격을	자격/NNG+을/JKO
얻은	얻/VV+은/ETM
센터백	센터/NNG+백/NNG
김온아와	김온아/NNP+와/JC
라이트윙	라이트/NNG+윙/NNG
김선화	김선화/NNP
자매를	자매/NNG+를/JKO
영입했다.	영입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.272.7.3
반면 인천시청은 김온아 자매가 이적한데다 문필희와 송미영마저 은퇴해 3년 연속 우승에 빨간불이 켜졌다.

반면	반면/NNG
인천시청은	인천시청/NNP+은/JX
김온아	김온아/NNP
자매가	자매/NNG+가/JKS
이적한데다	이적/NNG+하/XSV+ㄴ/ETM+데/NNB+다/JX
문필희와	문필희/NNP+와/JC
송미영마저	송미영/NNP+마저/JX
은퇴해	은퇴/NNG+하/XSV+아/EC
3년	3/SN+년/NNB
연속	연속/NNG
우승에	우승/NNG+에/JKB
빨간불이	빨간불/NNG+이/JKS
켜졌다.	켜/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.272.8.1
한편 협회 임원과 감독·선수들은 미디어데이 행사가 끝난 뒤 광화문과 서울광장 일대 등에서 2016핸드볼 코리아리그를 알리는 거리 캠페인을 벌였다.

한편	한편/MAG
협회	협회/NNG
임원과	임원/NNG+과/JC
감독·선수들은	감독/NNG+·/SP+선수/NNG+들/XSN+은/JX
미디어데이	미디어데이/NNG
행사가	행사/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
광화문과	광화문/NNP+과/JC
서울광장	서울광장/NNP
일대	일대/NNG
등에서	등/NNB+에서/JKB
2016핸드볼	2016/SN+핸드볼/NNG
코리아리그를	코리아/NNP+리그/NNG+를/JKO
알리는	알리/VV+는/ETM
거리	거리/NNG
캠페인을	캠페인/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


