# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.70
metadata : {}


# id : NWRW1800000040.70.1.1
일본, 중국 겨냥 자위대 정비 박차

일본,	일본/NNP+,/SP
아베	아베/NNP
신조	신조/NNP
내각은	내각/NNG+은/JX
이	이/MMD
통합방위전략을	통합/NNG+방위/NNG+전략/NNG+을/JKO
올	올/NNG
여름부터	여름/NNG+부터/JX
개정	개정/NNG
작업에	작업/NNG+에/JKB
착수할	착수/NNG+하/XSV+ㄹ/ETM
‘방위계획대강’에도	‘/SS+방위/NNG+계획/NNG+대강/NNG+’/SS+에/JKB+도/JX
반영할	반영/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.70.7.1
<산케이신문>은 통합전략 수립의 배경에 대해 “지금까지의 방위계획대강에서는 유사시 시나리오에 바탕을 둔 대응책을 검토하지 않았다.

<산케이신문>은	</SS+산케이신문/NNP+>/SS+은/JX
통합전략	통합/NNG+전략/NNG
수립의	수립/NNG+의/JKG
배경에	배경/NNG+에/JKB
대해	대하/VV+아/EC
“지금까지의	“/SS+지금/NNG+까지/JX+의/JKG
방위계획대강에서는	방위/NNG+계획/NNG+대강/NNG+에서/JKB+는/JX
유사시	유사시/NNG
시나리오에	시나리오/NNG+에/JKB
바탕을	바탕/NNG+을/JKO
둔	두/VV+ㄴ/ETM
대응책을	대응책/NNG+을/JKO
검토하지	검토/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.70.7.2
이 때문에 육·해·공 자위대가 별도로 위험 분석을 진행해 통합운용에 적합지 않은 장비를 도입하는 등 폐해가 지적돼 왔다”고 밝혔다.

이	이/NP
때문에	때문/NNB+에/JKB
육·해·공	육·해·공/NNG
자위대가	자위대/NNG+가/JKS
별도로	별도/NNG+로/JKB
위험	위험/NNG
분석을	분석/NNG+을/JKO
진행해	진행/NNG+하/XSV+아/EC
통합운용에	통합/NNG+운용/NNG+에/JKB
적합지	적합/NNG+하/XSA+지/EC
않은	않/VX+은/ETM
장비를	장비/NNG+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
등	등/NNB
폐해가	폐해/NNG+가/JKS
지적돼	지적/NNG+되/XSV+어/EC
왔다”고	오/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.70.7.3
신문은 “일본이 오키나와 주둔 미군의 주력부대인 ‘제31 해병원정부대(약 2200명)’ 규모의 해병대 기능을 육상자위대가 갖추는 방안과 중국군 활동이 활발한 동중국해의 상시 감시를 위해 대형 비행선으로 구성된 성층권 플랫폼과 무인정찰기 도입 등도 검토하기로 했다”고 덧붙였다.

신문은	신문/NNG+은/JX
“일본이	“/SS+일본/NNP+이/JKS
오키나와	오키나와/NNP
주둔	주둔/NNG
미군의	미군/NNG+의/JKG
주력부대인	주력/NNG+부대/NNG+이/VCP+ㄴ/ETM
‘제31	‘/SS+제/XPN+31/SN
해병원정부대(약	해병/NNG+원정/NNG+부대/NNG+(/SS+약/MMA
2200명)’	2200/SN+명/NNB+)/SS+’/SS
규모의	규모/NNG+의/JKG
해병대	해병대/NNG
기능을	기능/NNG+을/JKO
육상자위대가	육상/NNG+자위대/NNG+가/JKS
갖추는	갖추/VV+는/ETM
방안과	방안/NNG+과/JC
중국군	중국군/NNG
활동이	활동/NNG+이/JKS
활발한	활발하/VA+ㄴ/ETM
동중국해의	동중국해/NNP+의/JKG
상시	상시/NNG
감시를	감시/NNG+를/JKO
위해	위하/VV+아/EC
대형	대형/NNG
비행선으로	비행선/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
성층권	성층/NNG+권/XSN
플랫폼과	플랫폼/NNG+과/JC
무인정찰기	무인/NNG+정찰기/NNG
도입	도입/NNG
등도	등/NNB+도/JX
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.70.8.1
중국은 31일 2차 아베 내각 출범 이후 처음으로 센카쿠열도(중국명 댜오위다오) 주변 해역에 해양감시선 3척을 진입시키는 등 일본의 영유권 흔들기를 계속할 것임을 분명히 하고 있다.

중국은	중국/NNP+은/JX
31일	31/SN+일/NNB
2차	2/SN+차/NNB
아베	아베/NNP
내각	내각/NNG
출범	출범/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
센카쿠열도(중국명	센카쿠열도/NNP+(/SS+중국/NNP+명/NNG
댜오위다오)	댜오위다오/NNP+)/SS
주변	주변/NNG
해역에	해역/NNG+에/JKB
해양감시선	해양/NNG+감시선/NNG
3척을	3/SN+척/NNB+을/JKO
진입시키는	진입/NNG+시키/XSV+는/ETM
등	등/NNB
일본의	일본/NNP+의/JKG
영유권	영유/NNG+권/XSN
흔들기를	흔들/VV+기/ETN+를/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
분명히	분명히/MAG
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


